      Time                Qrx             Qth             Qtrans           Flowv              Pp               Px             PxIND            PRZLVL         PRZLVLIND         VelSRG            QHTRP            QHTRB         SCV Position      Spray GPM           THL            THL Ind            TCL            TCL Ind          TaveREF           Tave            Tave Ind          Tmod           Flow SFWS         Flow FD        Flow FD Ind         Demand         Steam Flow     Steam Flow Ind       Wload            Wturb           Omega FP        Texit SG 1      Texit SG IND     SG Exit Void       Dryout 1        SGLVL Ind           Trx            TCL Hot           MDNBR            Tfeed           TfeedIND          Qsteam            PSG             PSG Ind           Pimp          DeltaP SG      DeltaP SG IND     DP elev SG         Deltat             rho             rhoX              FCV              FBV             SFWV             TCV 1            TCV 2            TCV 3            TCV 4            TBV 1            TBV 2            TBV 3            TBV 4            BANK A           BANK B           BANK C           BANK D           RhoCBA           RhoCBB           RhoCBC           RhoCBD          TESLoad       TESFlowDemand       FlowAUX1         FlowAUX2         FlowAUX3           PTAP           Tsat Tap          PTES           TES_TBV(1)       TES_TBV(2)       TES_TBV(3)       TES_TBV(4)
   .00000000E+00    .18739540E+03    .20065380E+03    .19511960E+03    .54542090E+07    .20505630E+04    .20501610E+04    .20501610E+04    .50104050E+02    .50104050E+02   -.35122000E-02    .18267580E+02    .00000000E+00    .00000000E+00    .97341840E+00    .62544850E+03    .62544850E+03    .53010380E+03    .53010380E+03    .57799980E+03    .57777610E+03    .57777610E+03    .57777610E+03    .00000000E+00    .85244520E+05    .85244520E+05    .85243520E+05    .85241390E+05    .85241410E+05    .45000000E+02    .44999180E+02    .31397140E+04    .60632560E+03    .60632560E+03    .10000000E+01    .59807650E+02    .10521050E+02    .87198750E+03    .17985420E+04    .33966930E+01    .29426990E+03    .29426990E+03    .20114440E+03    .82499960E+03    .82499960E+03    .88427660E+02    .34875560E+01    .34875560E+01    .32411510E+01    .30000000E+00    .46817360E-07    .55222050E-05    .72587660E+00    .00000000E+00    .00000000E+00    .54155080E+00    .54155080E+00    .54155080E+00    .54155080E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53373070E+01    .16489560E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30000000E+00    .18739540E+03    .20065380E+03    .19512000E+03    .54542110E+07    .20505630E+04    .20501610E+04    .20501610E+04    .50104050E+02    .50104050E+02   -.42294580E-02    .18225330E+02    .00000000E+00    .00000000E+00    .97341850E+00    .62544860E+03    .62544860E+03    .53010370E+03    .53010370E+03    .57799980E+03    .57777610E+03    .57777610E+03    .57777610E+03    .00000000E+00    .85074200E+05    .85074200E+05    .76557480E+05    .85255890E+05    .85255890E+05    .40500000E+02    .45003830E+02    .31397140E+04    .60623880E+03    .60623880E+03    .10000000E+01    .59807470E+02    .10518240E+02    .87198770E+03    .17985420E+04    .33966840E+01    .29426810E+03    .29426810E+03    .20114330E+03    .82499710E+03    .82499710E+03    .88444580E+02    .34866250E+01    .34866250E+01    .32410830E+01    .40805050E-01    .44967900E-07    .55203550E-05    .72417960E+00    .00000000E+00    .00000000E+00    .54155000E+00    .54155000E+00    .54155000E+00    .54155000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53382010E+01    .16490280E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .10347150E+01    .18739230E+03    .20065080E+03    .19511960E+03    .54541850E+07    .20505690E+04    .20501670E+04    .20501670E+04    .50104180E+02    .50104180E+02    .39030770E-02    .18123040E+02    .00000000E+00    .00000000E+00    .97341840E+00    .62544890E+03    .62544890E+03    .53010380E+03    .53010380E+03    .57798790E+03    .57777640E+03    .57777640E+03    .57777640E+03    .00000000E+00    .84579140E+05    .84579140E+05    .76461790E+05    .85216410E+05    .85216410E+05    .40500000E+02    .44972180E+02    .31394450E+04    .60617410E+03    .60617410E+03    .10000000E+01    .59806030E+02    .10509550E+02    .87198720E+03    .17985410E+04    .33966940E+01    .29421310E+03    .29421310E+03    .20092940E+03    .82499690E+03    .82499690E+03    .88353660E+02    .34837470E+01    .34837470E+01    .32406830E+01    .40828460E-01   -.48654400E-07    .55203550E-05    .71943560E+00    .00000000E+00    .00000000E+00    .54137920E+00    .54137920E+00    .54137920E+00    .54137920E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53334040E+01    .16486400E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .20147090E+01    .18739070E+03    .20064910E+03    .19511730E+03    .54540000E+07    .20505820E+04    .20501800E+04    .20501800E+04    .50104650E+02    .50104650E+02    .87134650E-02    .17984530E+02    .00000000E+00    .00000000E+00    .97341820E+00    .62544930E+03    .62544930E+03    .53010370E+03    .53010370E+03    .57799050E+03    .57777650E+03    .57777650E+03    .57777650E+03    .00000000E+00    .83933170E+05    .83933170E+05    .76367910E+05    .85214400E+05    .85214400E+05    .40500000E+02    .44963860E+02    .31388050E+04    .60606550E+03    .60606550E+03    .10000000E+01    .59804420E+02    .10496050E+02    .87198660E+03    .17985380E+04    .33967080E+01    .29422490E+03    .29422490E+03    .20073580E+03    .82499790E+03    .82499790E+03    .88332890E+02    .34792690E+01    .34792690E+01    .32394030E+01    .40837180E-01   -.89426710E-07    .55203550E-05    .71347990E+00    .00000000E+00    .00000000E+00    .54138550E+00    .54138550E+00    .54138550E+00    .54138550E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53323080E+01    .16485520E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30357460E+01    .18738000E+03    .20063830E+03    .19511280E+03    .54536020E+07    .20506030E+04    .20502000E+04    .20502000E+04    .50105450E+02    .50105450E+02    .12522520E-01    .17832680E+02    .00000000E+00    .00000000E+00    .97341810E+00    .62545100E+03    .62545100E+03    .53010370E+03    .53010370E+03    .57798840E+03    .57777730E+03    .57777730E+03    .57777730E+03    .00000000E+00    .83287730E+05    .83287730E+05    .76270200E+05    .85228050E+05    .85228050E+05    .40500000E+02    .44961020E+02    .31379320E+04    .60587070E+03    .60587070E+03    .10000000E+01    .59799950E+02    .10479850E+02    .87198430E+03    .17985280E+04    .33967010E+01    .29421530E+03    .29421530E+03    .20052800E+03    .82499980E+03    .82499980E+03    .88331210E+02    .34738970E+01    .34738970E+01    .32371740E+01    .40844510E-01   -.39396740E-06    .55203550E-05    .70770730E+00    .00000000E+00    .00000000E+00    .54137080E+00    .54137080E+00    .54137080E+00    .54137080E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53322200E+01    .16485440E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .40161040E+01    .18735700E+03    .20061510E+03    .19510420E+03    .54530590E+07    .20506300E+04    .20502280E+04    .20502280E+04    .50106740E+02    .50106740E+02    .23446270E-01    .17673620E+02    .00000000E+00    .00000000E+00    .97341800E+00    .62545420E+03    .62545420E+03    .53010420E+03    .53010420E+03    .57798730E+03    .57777920E+03    .57777920E+03    .57777920E+03    .00000000E+00    .82702030E+05    .82702030E+05    .76176450E+05    .85235340E+05    .85235340E+05    .40500000E+02    .44956040E+02    .31370080E+04    .60571180E+03    .60571180E+03    .10000000E+01    .59791080E+02    .10462490E+02    .87197750E+03    .17985010E+04    .33967380E+01    .29421010E+03    .29421010E+03    .20032020E+03    .82499870E+03    .82499870E+03    .88322250E+02    .34681450E+01    .34681450E+01    .32342100E+01    .40852170E-01   -.10166150E-05    .55203550E-05    .70255730E+00    .00000000E+00    .00000000E+00    .54135720E+00    .54135720E+00    .54135720E+00    .54135720E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53317470E+01    .16485060E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .50375300E+01    .18732690E+03    .20058480E+03    .19509080E+03    .54523390E+07    .20506730E+04    .20502700E+04    .20502700E+04    .50108780E+02    .50108780E+02    .31440430E-01    .17487050E+02    .00000000E+00    .00000000E+00    .97341790E+00    .62545850E+03    .62545850E+03    .53010460E+03    .53010460E+03    .57798500E+03    .57778150E+03    .57778150E+03    .57778150E+03    .00000000E+00    .82127840E+05    .82127840E+05    .76078910E+05    .85238270E+05    .85238270E+05    .40500000E+02    .44948200E+02    .31360250E+04    .60555630E+03    .60555630E+03    .10000000E+01    .59779400E+02    .10442730E+02    .87196350E+03    .17984450E+04    .33968370E+01    .29419960E+03    .29419960E+03    .20009180E+03    .82499900E+03    .82499900E+03    .88304630E+02    .34615940E+01    .34615940E+01    .32303200E+01    .40861800E-01   -.17187650E-05    .55203550E-05    .69757280E+00    .00000000E+00    .00000000E+00    .54132660E+00    .54132660E+00    .54132660E+00    .54132660E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53308170E+01    .16484310E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .60183010E+01    .18729080E+03    .20054820E+03    .19507070E+03    .54515070E+07    .20507910E+04    .20503890E+04    .20503890E+04    .50113130E+02    .50113130E+02    .31661040E-01    .17253700E+02    .00000000E+00    .00000000E+00    .97341740E+00    .62546320E+03    .62546320E+03    .53010530E+03    .53010530E+03    .57798330E+03    .57778430E+03    .57778430E+03    .57778430E+03    .00000000E+00    .81612240E+05    .81612240E+05    .75985410E+05    .85242590E+05    .85242590E+05    .40500000E+02    .44942500E+02    .31350990E+04    .60541890E+03    .60541890E+03    .10000000E+01    .59763760E+02    .10422320E+02    .87194310E+03    .17983590E+04    .33970750E+01    .29419160E+03    .29419160E+03    .19987310E+03    .82499750E+03    .82499750E+03    .88292820E+02    .34548290E+01    .34548290E+01    .32258630E+01    .40869380E-01   -.25094730E-05    .55203550E-05    .69312630E+00    .00000000E+00    .00000000E+00    .54130320E+00    .54130320E+00    .54130320E+00    .54130320E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53301940E+01    .16483810E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .70402270E+01    .18724810E+03    .20050510E+03    .19504690E+03    .54504900E+07    .20509680E+04    .20505660E+04    .20505660E+04    .50118950E+02    .50118950E+02    .39000320E-01    .16889420E+02    .00000000E+00    .00000000E+00    .97341680E+00    .62546830E+03    .62546830E+03    .53010690E+03    .53010690E+03    .57797730E+03    .57778760E+03    .57778760E+03    .57778760E+03    .00000000E+00    .81111300E+05    .81111300E+05    .75888230E+05    .85220800E+05    .85220800E+05    .40500000E+02    .44920070E+02    .31341670E+04    .60530300E+03    .60530300E+03    .10000000E+01    .59732910E+02    .10399800E+02    .87191470E+03    .17982340E+04    .33973770E+01    .29416340E+03    .29416340E+03    .19959560E+03    .82499130E+03    .82499130E+03    .88231260E+02    .34473690E+01    .34473690E+01    .32205320E+01    .40887670E-01   -.33645760E-05    .55203550E-05    .68881830E+00    .00000000E+00    .00000000E+00    .54120180E+00    .54120180E+00    .54120180E+00    .54120180E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53269470E+01    .16481180E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .80219250E+01    .18719920E+03    .20045560E+03    .19501630E+03    .54493190E+07    .20511840E+04    .20507810E+04    .20507810E+04    .50125640E+02    .50125640E+02    .47091280E-01    .16392020E+02    .00000000E+00    .00000000E+00    .97341610E+00    .62547380E+03    .62547380E+03    .53010900E+03    .53010900E+03    .57796250E+03    .57779140E+03    .57779140E+03    .57779140E+03    .00000000E+00    .80662460E+05    .80662460E+05    .75795600E+05    .85149400E+05    .85149400E+05    .40500000E+02    .44866430E+02    .31333080E+04    .60524030E+03    .60524030E+03    .10000000E+01    .59680900E+02    .10377270E+02    .87187930E+03    .17980770E+04    .33977890E+01    .29409430E+03    .29409430E+03    .19924450E+03    .82498240E+03    .82498240E+03    .88076330E+02    .34399050E+01    .34399050E+01    .32148450E+01    .40925850E-01   -.43011870E-05    .55203550E-05    .68496690E+00    .00000000E+00    .00000000E+00    .54093710E+00    .54093710E+00    .54093710E+00    .54093710E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .00000000E+00    .00000000E+00    .00000000E+00   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53187750E+01    .16474560E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
