,Day-ahead demand forecast1
20191219T00-06,1336
20191218T23-06,1370
20191218T22-06,1447
20191218T21-06,1493
20191218T20-06,1487
20191218T19-06,1452
20191218T18-06,1359
20191218T17-06,1148
20191218T16-06,1024
20191218T15-06,985
20191218T14-06,1011
20191218T13-06,1050
20191218T12-06,1116
20191218T11-06,1218
20191218T10-06,1336
20191218T09-06,1456
20191218T08-06,1598
20191218T07-06,1644
20191218T06-06,1491
20191218T05-06,1336
20191218T04-06,1244
20191218T03-06,1190
20191218T02-06,1149
20191218T01-06,1136
20191218T00-06,1051
20191217T23-06,1098
20191217T22-06,1155
20191217T21-06,1198
20191217T20-06,1214
20191217T19-06,1196
20191217T18-06,1140
20191217T17-06,1023
20191217T16-06,934
20191217T15-06,895
20191217T14-06,894
20191217T13-06,890
20191217T12-06,891
20191217T11-06,882
20191217T10-06,862
20191217T09-06,840
20191217T08-06,831
20191217T07-06,842
20191217T06-06,733
20191217T05-06,649
20191217T04-06,620
20191217T03-06,629
20191217T02-06,631
20191217T01-06,665
20191217T00-06,714
20191216T23-06,796
20191216T22-06,882
20191216T21-06,952
20191216T20-06,989
20191216T19-06,1021
20191216T18-06,994
20191216T17-06,910
20191216T16-06,840
20191216T15-06,823
20191216T14-06,821
20191216T13-06,816
20191216T12-06,801
20191216T11-06,818
20191216T10-06,823
20191216T09-06,833
20191216T08-06,857
20191216T07-06,870
20191216T06-06,777
20191216T05-06,688
20191216T04-06,651
20191216T03-06,643
20191216T02-06,651
20191216T01-06,671
20191216T00-06,717
20191215T23-06,781
20191215T22-06,856
20191215T21-06,917
20191215T20-06,951
20191215T19-06,963
20191215T18-06,962
20191215T17-06,881
20191215T16-06,836
20191215T15-06,831
20191215T14-06,852
20191215T13-06,854
20191215T12-06,875
20191215T11-06,934
20191215T10-06,1015
20191215T09-06,1076
20191215T08-06,1055
20191215T07-06,998
20191215T06-06,943
20191215T05-06,910
20191215T04-06,889
20191215T03-06,867
20191215T02-06,875
20191215T01-06,894
20191215T00-06,898
20191214T23-06,938
20191214T22-06,982
20191214T21-06,1008
20191214T20-06,1014
20191214T19-06,1000
20191214T18-06,971
20191214T17-06,869
20191214T16-06,823
20191214T15-06,817
20191214T14-06,836
20191214T13-06,868
20191214T12-06,911
20191214T11-06,959
20191214T10-06,1008
20191214T09-06,1041
20191214T08-06,1018
20191214T07-06,954
20191214T06-06,897
20191214T05-06,849
20191214T04-06,803
20191214T03-06,785
20191214T02-06,788
20191214T01-06,795
20191214T00-06,822
20191213T23-06,876
20191213T22-06,931
20191213T21-06,975
20191213T20-06,1009
20191213T19-06,1028
20191213T18-06,1014
20191213T17-06,937
20191213T16-06,875
20191213T15-06,859
20191213T14-06,866
20191213T13-06,880
20191213T12-06,924
20191213T11-06,963
20191213T10-06,998
20191213T09-06,1036
20191213T08-06,1075
20191213T07-06,1115
20191213T06-06,1018
20191213T05-06,919
20191213T04-06,878
20191213T03-06,873
20191213T02-06,878
20191213T01-06,918
20191213T00-06,938
20191212T23-06,1013
20191212T22-06,1090
20191212T21-06,1138
20191212T20-06,1172
20191212T19-06,1187
20191212T18-06,1158
20191212T17-06,1039
20191212T16-06,956
20191212T15-06,935
20191212T14-06,941
20191212T13-06,964
20191212T12-06,1008
20191212T11-06,1063
20191212T10-06,1119
20191212T09-06,1185
20191212T08-06,1263
20191212T07-06,1324
20191212T06-06,1211
20191212T05-06,1104
20191212T04-06,1049
20191212T03-06,1031
20191212T02-06,1029
20191212T01-06,1036
20191212T00-06,958
20191211T23-06,1030
20191211T22-06,1099
20191211T21-06,1151
20191211T20-06,1165
20191211T19-06,1160
20191211T18-06,1114
20191211T17-06,968
20191211T16-06,887
20191211T15-06,862
20191211T14-06,878
20191211T13-06,898
20191211T12-06,937
20191211T11-06,985
20191211T10-06,1034
20191211T09-06,1090
20191211T08-06,1139
20191211T07-06,1145
20191211T06-06,999
20191211T05-06,873
20191211T04-06,804
20191211T03-06,776
20191211T02-06,761
20191211T01-06,776
20191211T00-06,734
20191210T23-06,801
20191210T22-06,874
20191210T21-06,929
20191210T20-06,957
20191210T19-06,978
20191210T18-06,977
20191210T17-06,894
20191210T16-06,865
20191210T15-06,869
20191210T14-06,864
20191210T13-06,865
20191210T12-06,863
20191210T11-06,862
20191210T10-06,835
20191210T09-06,817
20191210T08-06,819
20191210T07-06,814
20191210T06-06,720
20191210T05-06,638
20191210T04-06,610
20191210T03-06,607
20191210T02-06,618
20191210T01-06,646
20191210T00-06,691
20191209T23-06,769
20191209T22-06,850
20191209T21-06,914
20191209T20-06,953
20191209T19-06,978
20191209T18-06,964
20191209T17-06,878
20191209T16-06,837
20191209T15-06,825
20191209T14-06,823
20191209T13-06,816
20191209T12-06,811
20191209T11-06,808
20191209T10-06,804
20191209T09-06,806
20191209T08-06,822
20191209T07-06,835
20191209T06-06,742
20191209T05-06,658
20191209T04-06,626
20191209T03-06,619
20191209T02-06,627
20191209T01-06,643
20191209T00-06,697
20191208T23-06,766
20191208T22-06,840
20191208T21-06,896
20191208T20-06,931
20191208T19-06,953
20191208T18-06,949
20191208T17-06,864
20191208T16-06,827
20191208T15-06,821
20191208T14-06,829
20191208T13-06,839
20191208T12-06,852
20191208T11-06,885
20191208T10-06,914
20191208T09-06,915
20191208T08-06,851
20191208T07-06,796
20191208T06-06,754
20191208T05-06,727
20191208T04-06,710
20191208T03-06,714
20191208T02-06,718
20191208T01-06,739
20191208T00-06,749
20191207T23-06,799
20191207T22-06,853
20191207T21-06,893
20191207T20-06,922
20191207T19-06,937
20191207T18-06,926
20191207T17-06,850
20191207T16-06,810
20191207T15-06,806
20191207T14-06,814
20191207T13-06,832
20191207T12-06,856
20191207T11-06,887
20191207T10-06,908
20191207T09-06,904
20191207T08-06,860
20191207T07-06,812
20191207T06-06,764
20191207T05-06,729
20191207T04-06,711
20191207T03-06,703
20191207T02-06,711
20191207T01-06,727
20191207T00-06,739
20191206T23-06,792
20191206T22-06,846
20191206T21-06,890
20191206T20-06,913
20191206T19-06,935
20191206T18-06,926
20191206T17-06,835
20191206T16-06,777
20191206T15-06,755
20191206T14-06,758
20191206T13-06,782
20191206T12-06,799
20191206T11-06,856
20191206T10-06,921
20191206T09-06,1008
20191206T08-06,1101
20191206T07-06,1142
20191206T06-06,1037
20191206T05-06,937
20191206T04-06,878
20191206T03-06,857
20191206T02-06,843
20191206T01-06,841
20191206T00-06,864
20191205T23-06,917
20191205T22-06,985
20191205T21-06,1035
20191205T20-06,1055
20191205T19-06,1049
20191205T18-06,995
20191205T17-06,856
20191205T16-06,790
20191205T15-06,778
20191205T14-06,794
20191205T13-06,819
20191205T12-06,862
20191205T11-06,933
20191205T10-06,1032
20191205T09-06,1164
20191205T08-06,1310
20191205T07-06,1377
20191205T06-06,1252
20191205T05-06,1127
20191205T04-06,1050
20191205T03-06,1010
20191205T02-06,982
20191205T01-06,974
20191205T00-06,987
20191204T23-06,1032
20191204T22-06,1095
20191204T21-06,1138
20191204T20-06,1140
20191204T19-06,1123
20191204T18-06,1050
20191204T17-06,900
20191204T16-06,825
20191204T15-06,812
20191204T14-06,832
20191204T13-06,868
20191204T12-06,920
20191204T11-06,1016
20191204T10-06,1130
20191204T09-06,1285
20191204T08-06,1446
20191204T07-06,1522
20191204T06-06,1408
20191204T05-06,1286
20191204T04-06,1220
20191204T03-06,1174
20191204T02-06,1155
20191204T01-06,1142
20191204T00-06,1145
20191203T23-06,1202
20191203T22-06,1275
20191203T21-06,1313
20191203T20-06,1308
20191203T19-06,1289
20191203T18-06,1195
20191203T17-06,1018
20191203T16-06,927
20191203T15-06,904
20191203T14-06,931
20191203T13-06,991
20191203T12-06,1062
20191203T11-06,1171
20191203T10-06,1287
20191203T09-06,1434
20191203T08-06,1572
20191203T07-06,1643
20191203T06-06,1537
20191203T05-06,1414
20191203T04-06,1328
20191203T03-06,1282
20191203T02-06,1247
20191203T01-06,1217
20191203T00-06,1202
20191202T23-06,1250
20191202T22-06,1320
20191202T21-06,1370
20191202T20-06,1378
20191202T19-06,1332
20191202T18-06,1255
20191202T17-06,1086
20191202T16-06,982
20191202T15-06,959
20191202T14-06,972
20191202T13-06,1000
20191202T12-06,1032
20191202T11-06,1084
20191202T10-06,1121
20191202T09-06,1164
20191202T08-06,1226
20191202T07-06,1238
20191202T06-06,1081
20191202T05-06,930
20191202T04-06,851
20191202T03-06,809
20191202T02-06,789
20191202T01-06,795
20191202T00-06,768
20191201T23-06,819
20191201T22-06,882
20191201T21-06,931
20191201T20-06,949
20191201T19-06,955
20191201T18-06,935
20191201T17-06,858
20191201T16-06,842
20191201T15-06,859
20191201T14-06,874
20191201T13-06,872
20191201T12-06,865
20191201T11-06,845
20191201T10-06,825
20191201T09-06,796
20191201T08-06,731
20191201T07-06,668
20191201T06-06,636
20191201T05-06,614
20191201T04-06,609
20191201T03-06,625
20191201T02-06,642
20191201T01-06,672
20191130T23-06,772
20191130T22-06,831
