,Day-ahead demand forecast
20191114T06Z,3141
20191114T05Z,3238
20191114T04Z,3372
20191114T03Z,3430
20191114T02Z,3439
20191114T01Z,3373
20191114T00Z,3182
20191113T23Z,2952
20191113T22Z,2862
20191113T21Z,2878
20191113T20Z,2952
20191113T19Z,3062
20191113T18Z,3240
20191113T17Z,3439
20191113T16Z,3660
20191113T15Z,3911
20191113T14Z,4145
20191113T13Z,4171
20191113T12Z,3916
20191113T11Z,3739
20191113T10Z,3655
20191113T09Z,3630
20191113T08Z,3610
20191113T07Z,3611
20191113T06Z,3607
20191113T05Z,3677
20191113T04Z,3802
20191113T03Z,3854
20191113T02Z,3864
20191113T01Z,3776
20191113T00Z,3527
20191112T23Z,3249
20191112T22Z,3132
20191112T21Z,3122
20191112T20Z,3200
20191112T19Z,3319
20191112T18Z,3501
20191112T17Z,3688
20191112T16Z,3872
20191112T15Z,4075
20191112T14Z,4287
20191112T13Z,4300
20191112T12Z,4021
20191112T11Z,3813
20191112T10Z,3714
20191112T09Z,3657
20191112T08Z,3607
20191112T07Z,3587
20191112T06Z,3581
20191112T05Z,3545
20191112T04Z,3760
20191112T03Z,3985
20191112T02Z,3982
20191112T01Z,3963
20191112T00Z,3784
20191111T23Z,3561
20191111T22Z,3457
20191111T21Z,3408
20191111T20Z,3388
20191111T19Z,3367
20191111T18Z,3357
20191111T17Z,3303
20191111T16Z,3219
20191111T15Z,3129
20191111T14Z,3054
20191111T13Z,3027
20191111T12Z,2701
20191111T11Z,2438
20191111T10Z,2288
20191111T09Z,2219
20191111T08Z,2172
20191111T07Z,2116
20191111T06Z,2232
20191111T05Z,2333
20191111T04Z,2471
20191111T03Z,2562
20191111T02Z,2596
20191111T01Z,2573
20191111T00Z,2445
20191110T23Z,2292
20191110T22Z,2224
20191110T21Z,2237
20191110T20Z,2295
20191110T19Z,2363
20191110T18Z,2406
20191110T17Z,2499
20191110T16Z,2657
20191110T15Z,2725
20191110T14Z,2697
20191110T13Z,2617
20191110T12Z,2513
20191110T11Z,2436
20191110T10Z,2386
20191110T09Z,2375
20191110T08Z,2372
20191110T07Z,2390
20191110T06Z,2524
20191110T05Z,2583
20191110T04Z,2657
20191110T03Z,2700
20191110T02Z,2701
20191110T01Z,2689
20191110T00Z,2644
20191109T23Z,2519
20191109T22Z,2466
20191109T21Z,2499
20191109T20Z,2573
20191109T19Z,2650
20191109T18Z,2787
20191109T17Z,2931
20191109T16Z,3084
20191109T15Z,3201
20191109T14Z,3230
20191109T13Z,3176
20191109T12Z,3065
20191109T11Z,2975
20191109T10Z,2921
20191109T09Z,2911
20191109T08Z,2902
20191109T07Z,2852
20191109T06Z,2942
20191109T05Z,3007
20191109T04Z,3074
20191109T03Z,3097
20191109T02Z,3058
20191109T01Z,2966
20191109T00Z,2795
20191108T23Z,2665
20191108T22Z,2599
20191108T21Z,2611
20191108T20Z,2689
20191108T19Z,2786
20191108T18Z,2938
20191108T17Z,3101
20191108T16Z,3269
20191108T15Z,3473
20191108T14Z,3656
20191108T13Z,3657
20191108T12Z,3399
20191108T11Z,3206
20191108T10Z,3113
20191108T09Z,3064
20191108T08Z,3032
20191108T07Z,3021
20191108T06Z,3036
20191108T05Z,3114
20191108T04Z,3218
20191108T03Z,3285
20191108T02Z,3246
20191108T01Z,3134
20191108T00Z,2967
20191107T23Z,2792
20191107T22Z,2708
20191107T21Z,2701
20191107T20Z,2733
20191107T19Z,2739
20191107T18Z,2824
20191107T17Z,2876
20191107T16Z,2906
20191107T15Z,2899
20191107T14Z,2991
20191107T13Z,2911
20191107T12Z,2610
20191107T11Z,2398
20191107T10Z,2291
20191107T09Z,2247
20191107T08Z,2221
