,Day-ahead demand forecast
20191114T08Z,1368
20191114T07Z,1436
20191114T06Z,1539
20191114T05Z,1616
20191114T04Z,1656
20191114T03Z,1704
20191114T02Z,1677
20191114T01Z,1625
20191114T00Z,1535
20191113T23Z,1537
20191113T22Z,1556
20191113T21Z,1571
20191113T20Z,1616
20191113T19Z,1632
20191113T18Z,1658
20191113T17Z,1713
20191113T16Z,1735
20191113T15Z,1666
20191113T14Z,1507
20191113T13Z,1367
20191113T12Z,1308
20191113T11Z,1286
20191113T10Z,1296
20191113T09Z,1313
20191113T08Z,1387
20191113T07Z,1468
20191113T06Z,1567
20191113T05Z,1643
20191113T04Z,1704
20191113T03Z,1769
20191113T02Z,1787
20191113T01Z,1718
20191113T00Z,1625
20191112T23Z,1614
20191112T22Z,1613
20191112T21Z,1635
20191112T20Z,1664
20191112T19Z,1683
20191112T18Z,1710
20191112T17Z,1729
20191112T16Z,1743
20191112T15Z,1660
20191112T14Z,1504
20191112T13Z,1379
20191112T12Z,1316
20191112T11Z,1283
20191112T10Z,1298
20191112T09Z,1304
20191112T08Z,1409
20191112T07Z,1470
20191112T06Z,1577
20191112T05Z,1621
20191112T04Z,1679
20191112T03Z,1729
20191112T02Z,1747
20191112T01Z,1659
20191112T00Z,1562
20191111T23Z,1559
20191111T22Z,1558
20191111T21Z,1591
20191111T20Z,1631
20191111T19Z,1674
20191111T18Z,1710
20191111T17Z,1763
20191111T16Z,1783
20191111T15Z,1698
20191111T14Z,1550
20191111T13Z,1415
20191111T12Z,1354
20191111T11Z,1320
20191111T10Z,1293
20191111T09Z,1288
20191111T08Z,1324
20191111T07Z,1366
20191111T06Z,1471
20191111T05Z,1581
20191111T04Z,1601
20191111T03Z,1595
20191111T02Z,1611
20191111T01Z,1558
20191111T00Z,1460
20191110T23Z,1442
20191110T22Z,1430
20191110T21Z,1458
20191110T20Z,1475
20191110T19Z,1501
20191110T18Z,1541
20191110T17Z,1500
20191110T16Z,1449
20191110T15Z,1383
20191110T14Z,1339
20191110T13Z,1249
20191110T12Z,1230
20191110T11Z,1221
20191110T10Z,1236
20191110T09Z,1240
20191110T08Z,1317
20191110T07Z,1364
20191110T06Z,1444
20191110T05Z,1496
20191110T04Z,1533
20191110T03Z,1597
20191110T02Z,1616
20191110T01Z,1566
20191110T00Z,1508
20191109T23Z,1499
20191109T22Z,1516
20191109T21Z,1538
20191109T20Z,1571
20191109T19Z,1591
20191109T18Z,1600
20191109T17Z,1573
20191109T16Z,1519
20191109T15Z,1439
20191109T14Z,1368
20191109T13Z,1315
20191109T12Z,1286
20191109T11Z,1271
20191109T10Z,1280
20191109T09Z,1312
20191109T08Z,1356
20191109T07Z,1419
20191109T06Z,1508
20191109T05Z,1567
20191109T04Z,1585
20191109T03Z,1647
20191109T02Z,1659
20191109T01Z,1613
20191109T00Z,1494
20191108T23Z,1509
20191108T22Z,1529
20191108T21Z,1549
20191108T20Z,1619
20191108T19Z,1640
20191108T18Z,1671
20191108T17Z,1762
20191108T16Z,1798
20191108T15Z,1717
20191108T14Z,1561
20191108T13Z,1428
20191108T12Z,1323
20191108T11Z,1298
20191108T10Z,1301
20191108T09Z,1328
20191108T08Z,1393
20191108T07Z,1462
20191108T06Z,1560
20191108T05Z,1642
20191108T04Z,1651
20191108T03Z,1688
20191108T02Z,1698
20191108T01Z,1621
20191108T00Z,1540
20191107T23Z,1547
20191107T22Z,1596
20191107T21Z,1618
20191107T20Z,1649
20191107T19Z,1677
20191107T18Z,1729
20191107T17Z,1790
20191107T16Z,1831
20191107T15Z,1770
20191107T14Z,1585
20191107T13Z,1436
20191107T12Z,1356
20191107T11Z,1338
20191107T10Z,1340
20191107T09Z,1319
20191107T08Z,1392
20191107T07Z,1468
20191107T06Z,1550
20191107T05Z,1629
20191107T04Z,1677
20191107T03Z,1697
20191107T02Z,1730
20191107T01Z,1609
20191107T00Z,1525
