,Day-ahead demand forecast1
20200107T00-07,2960
20200106T23-07,3148
20200106T22-07,3333
20200106T21-07,3430
20200106T20-07,3444
20200106T19-07,3381
20200106T18-07,3154
20200106T17-07,2845
20200106T16-07,2713
20200106T15-07,2666
20200106T14-07,2690
20200106T13-07,2755
20200106T12-07,2892
20200106T11-07,3107
20200106T10-07,3389
20200106T09-07,3662
20200106T08-07,3801
20200106T07-07,3643
20200106T06-07,3295
20200106T05-07,3018
20200106T04-07,2871
20200106T03-07,2819
20200106T02-07,2793
20200106T01-07,2838
20200106T00-07,2925
20200105T23-07,3074
20200105T22-07,3263
20200105T21-07,3349
20200105T20-07,3374
20200105T19-07,3360
20200105T18-07,3129
20200105T17-07,2814
20200105T16-07,2645
20200105T15-07,2591
20200105T14-07,2575
20200105T13-07,2653
20200105T12-07,2796
20200105T11-07,2996
20200105T10-07,3275
20200105T09-07,3428
20200105T08-07,3408
20200105T07-07,3251
20200105T06-07,3086
20200105T05-07,2984
20200105T04-07,2930
20200105T03-07,2915
20200105T02-07,2917
20200105T01-07,2965
20200105T00-07,3035
20200104T23-07,3173
20200104T22-07,3272
20200104T21-07,3325
20200104T20-07,3334
20200104T19-07,3382
20200104T18-07,3247
20200104T17-07,2925
20200104T16-07,2758
20200104T15-07,2674
20200104T14-07,2695
20200104T13-07,2804
20200104T12-07,2981
20200104T11-07,3178
20200104T10-07,3445
20200104T09-07,3648
20200104T08-07,3585
20200104T07-07,3392
20200104T06-07,3241
20200104T05-07,3127
20200104T04-07,3046
20200104T03-07,3000
20200104T02-07,3014
20200104T01-07,3061
20200104T00-07,3182
20200103T23-07,3325
20200103T22-07,3425
20200103T21-07,3483
20200103T20-07,3491
20200103T19-07,3514
20200103T18-07,3349
20200103T17-07,3052
20200103T16-07,2941
20200103T15-07,2880
20200103T14-07,2867
20200103T13-07,2976
20200103T12-07,3216
20200103T11-07,3394
20200103T10-07,3614
20200103T09-07,3853
20200103T08-07,3946
20200103T07-07,3759
20200103T06-07,3458
20200103T05-07,3219
20200103T04-07,3080
20200103T03-07,3042
20200103T02-07,3046
20200103T01-07,3101
20200103T00-07,3232
20200102T23-07,3423
20200102T22-07,3583
20200102T21-07,3659
20200102T20-07,3641
20200102T19-07,3650
20200102T18-07,3436
20200102T17-07,3089
20200102T16-07,2931
20200102T15-07,2867
