,Day-ahead demand forecast1
20191115T00-08,5431
20191114T23-08,5758
20191114T22-08,6143
20191114T21-08,6454
20191114T20-08,6637
20191114T19-08,6749
20191114T18-08,6760
20191114T17-08,6417
20191114T16-08,6124
20191114T15-08,6063
20191114T14-08,6120
20191114T13-08,6229
20191114T12-08,6379
20191114T11-08,6560
20191114T10-08,6810
20191114T09-08,7036
20191114T08-08,7211
20191114T07-08,6941
20191114T06-08,6225
20191114T05-08,5660
20191114T04-08,5393
20191114T03-08,5314
20191114T02-08,5349
20191114T01-08,5535
20191114T00-08,5784
20191113T23-08,6098
20191113T22-08,6490
20191113T21-08,6825
20191113T20-08,7007
20191113T19-08,7114
20191113T18-08,7071
20191113T17-08,6651
20191113T16-08,6327
20191113T15-08,6252
20191113T14-08,6306
20191113T13-08,6420
20191113T12-08,6556
20191113T11-08,6724
20191113T10-08,6922
20191113T09-08,7080
20191113T08-08,7237
20191113T07-08,6954
20191113T06-08,6293
20191113T05-08,5759
20191113T04-08,5497
20191113T03-08,5438
20191113T02-08,5502
20191113T01-08,5507
20191113T00-08,5777
20191112T23-08,6102
20191112T22-08,6506
20191112T21-08,6833
20191112T20-08,6990
20191112T19-08,7064
20191112T18-08,6978
20191112T17-08,6516
20191112T16-08,6191
20191112T15-08,6118
20191112T14-08,6181
20191112T13-08,6315
20191112T12-08,6488
20191112T11-08,6723
20191112T10-08,6987
20191112T09-08,7237
20191112T08-08,7405
20191112T07-08,7121
20191112T06-08,6401
20191112T05-08,5775
20191112T04-08,5483
20191112T03-08,5395
20191112T02-08,5404
20191112T01-08,5429
20191112T00-08,5735
20191111T23-08,6019
20191111T22-08,6342
20191111T21-08,6663
20191111T20-08,6848
20191111T19-08,6916
20191111T18-08,6883
20191111T17-08,6440
20191111T16-08,6144
20191111T15-08,6108
20191111T14-08,6187
20191111T13-08,6368
20191111T12-08,6607
20191111T11-08,6846
20191111T10-08,7076
20191111T09-08,7202
20191111T08-08,7180
20191111T07-08,6864
20191111T06-08,6266
20191111T05-08,5708
20191111T04-08,5398
20191111T03-08,5266
20191111T02-08,5285
20191111T01-08,5460
20191111T00-08,5495
20191110T23-08,5767
20191110T22-08,6059
20191110T21-08,6363
20191110T20-08,6542
20191110T19-08,6655
20191110T18-08,6640
20191110T17-08,6241
20191110T16-08,5940
20191110T15-08,5862
20191110T14-08,5920
20191110T13-08,6091
20191110T12-08,6292
20191110T11-08,6447
20191110T10-08,6587
20191110T09-08,6542
20191110T08-08,6294
20191110T07-08,5978
20191110T06-08,5702
20191110T05-08,5453
20191110T04-08,5326
20191110T03-08,5292
20191110T02-08,5336
20191110T01-08,5538
20191110T00-08,5628
20191109T23-08,5863
20191109T22-08,6081
20191109T21-08,6325
20191109T20-08,6505
20191109T19-08,6662
20191109T18-08,6685
20191109T17-08,6343
20191109T16-08,6076
20191109T15-08,6017
20191109T14-08,6098
20191109T13-08,6259
20191109T12-08,6524
20191109T11-08,6759
20191109T10-08,6935
20191109T09-08,6936
20191109T08-08,6686
20191109T07-08,6383
20191109T06-08,6073
20191109T05-08,5831
20191109T04-08,5694
20191109T03-08,5661
20191109T02-08,5666
20191109T01-08,5695
20191109T00-08,5649
20191108T23-08,5890
20191108T22-08,6153
20191108T21-08,6412
20191108T20-08,6686
20191108T19-08,6867
20191108T18-08,6912
20191108T17-08,6536
20191108T16-08,6246
20191108T15-08,6158
20191108T14-08,6220
20191108T13-08,6352
20191108T12-08,6633
20191108T11-08,6911
20191108T10-08,7215
20191108T09-08,7496
20191108T08-08,7697
20191108T07-08,7465
20191108T06-08,6758
20191108T05-08,6182
20191108T04-08,5887
20191108T03-08,5784
20191108T02-08,5767
20191108T01-08,5708
20191108T00-08,5805
20191107T23-08,6108
20191107T22-08,6488
20191107T21-08,6840
20191107T20-08,6978
20191107T19-08,7079
20191107T18-08,6989
20191107T17-08,6514
20191107T16-08,6239
20191107T15-08,6168
20191107T14-08,6240
20191107T13-08,6381
20191107T12-08,6573
20191107T11-08,6826
20191107T10-08,7151
20191107T09-08,7521
20191107T08-08,7769
20191107T07-08,7512
20191107T06-08,6755
20191107T05-08,6135
20191107T04-08,5818
20191107T03-08,5699
20191107T02-08,5635
20191107T01-08,5509
20191107T00-08,5686
20191106T23-08,5996
20191106T22-08,6393
20191106T21-08,6725
20191106T20-08,6880
20191106T19-08,6992
20191106T18-08,6916
20191106T17-08,6449
20191106T16-08,6150
20191106T15-08,6092
20191106T14-08,6169
20191106T13-08,6301
20191106T12-08,6481
20191106T11-08,6728
20191106T10-08,7052
20191106T09-08,7346
20191106T08-08,7586
20191106T07-08,7322
20191106T06-08,6546
20191106T05-08,5927
20191106T04-08,5623
20191106T03-08,5516
20191106T02-08,5542
20191106T01-08,5607
20191106T00-08,5688
20191105T23-08,5993
20191105T22-08,6375
20191105T21-08,6693
20191105T20-08,6868
20191105T19-08,6966
20191105T18-08,6889
20191105T17-08,6370
20191105T16-08,6089
20191105T15-08,6032
20191105T14-08,6097
20191105T13-08,6239
20191105T12-08,6443
20191105T11-08,6780
20191105T10-08,7134
20191105T09-08,7480
20191105T08-08,7769
20191105T07-08,7499
20191105T06-08,6702
20191105T05-08,6053
20191105T04-08,5732
20191105T03-08,5609
20191105T02-08,5558
20191105T01-08,5647
20191105T00-08,5781
20191104T23-08,6080
20191104T22-08,6475
20191104T21-08,6813
20191104T20-08,6998
20191104T19-08,7113
20191104T18-08,7025
20191104T17-08,6470
20191104T16-08,6154
20191104T15-08,6096
20191104T14-08,6141
20191104T13-08,6302
20191104T12-08,6503
20191104T11-08,6775
20191104T10-08,7084
20191104T09-08,7491
20191104T08-08,7728
