,Day-ahead demand forecast1
20191115T00-08,26495
20191114T23-08,28425
20191114T22-08,30328
20191114T21-08,31828
20191114T20-08,32910
20191114T19-08,33687
20191114T18-08,33927
20191114T17-08,32011
20191114T16-08,31035
20191114T15-08,30401
20191114T14-08,29949
20191114T13-08,29366
20191114T12-08,29144
20191114T11-08,29188
20191114T10-08,29257
20191114T09-08,29372
20191114T08-08,29319
20191114T07-08,27909
20191114T06-08,25259
20191114T05-08,23626
20191114T04-08,23030
20191114T03-08,23155
20191114T02-08,23808
20191114T01-08,24702
20191114T00-08,26348
20191113T23-08,28285
20191113T22-08,30339
20191113T21-08,31777
20191113T20-08,32912
20191113T19-08,33989
20191113T18-08,34162
20191113T17-08,32412
20191113T16-08,31465
20191113T15-08,30711
20191113T14-08,29812
20191113T13-08,29057
20191113T12-08,28667
20191113T11-08,28470
20191113T10-08,28634
20191113T09-08,28895
20191113T08-08,28848
20191113T07-08,27570
20191113T06-08,25318
20191113T05-08,23698
20191113T04-08,23060
20191113T03-08,23162
20191113T02-08,23752
20191113T01-08,24595
20191113T00-08,26489
20191112T23-08,28534
20191112T22-08,30808
20191112T21-08,32723
20191112T20-08,34144
20191112T19-08,35255
20191112T18-08,35440
20191112T17-08,33652
20191112T16-08,32560
20191112T15-08,31665
20191112T14-08,30613
20191112T13-08,29663
20191112T12-08,29218
20191112T11-08,29056
20191112T10-08,29107
20191112T09-08,29361
20191112T08-08,28747
20191112T07-08,27576
20191112T06-08,25261
20191112T05-08,23661
20191112T04-08,23034
20191112T03-08,23243
20191112T02-08,23839
20191112T01-08,24789
20191112T00-08,26388
20191111T23-08,28407
20191111T22-08,30695
20191111T21-08,32576
20191111T20-08,33929
20191111T19-08,35173
20191111T18-08,35302
20191111T17-08,33276
20191111T16-08,31989
20191111T15-08,30934
20191111T14-08,30037
20191111T13-08,29159
20191111T12-08,28738
20191111T11-08,28718
20191111T10-08,28887
20191111T09-08,29053
20191111T08-08,28791
20191111T07-08,27518
20191111T06-08,25145
20191111T05-08,23295
20191111T04-08,22514
20191111T03-08,22511
20191111T02-08,23027
20191111T01-08,23744
20191111T00-08,25288
20191110T23-08,27172
20191110T22-08,29096
20191110T21-08,30567
20191110T20-08,31689
20191110T19-08,32399
20191110T18-08,32182
20191110T17-08,29636
20191110T16-08,27906
20191110T15-08,26695
20191110T14-08,25652
20191110T13-08,24647
20191110T12-08,24162
20191110T11-08,23935
20191110T10-08,23747
20191110T09-08,23697
20191110T08-08,23497
20191110T07-08,23398
20191110T06-08,22979
20191110T05-08,22489
20191110T04-08,22441
20191110T03-08,22855
20191110T02-08,23561
20191110T01-08,24547
20191110T00-08,25875
20191109T23-08,27599
20191109T22-08,29255
20191109T21-08,30639
20191109T20-08,31918
20191109T19-08,32990
