,Day-ahead demand forecast1
20191219T00-05,29185
20191218T23-05,30123
20191218T22-05,31047
20191218T21-05,31315
20191218T20-05,31075
20191218T19-05,30459
20191218T18-05,28785
20191218T17-05,26042
20191218T16-05,24673
20191218T15-05,24466
20191218T14-05,24855
20191218T13-05,25426
20191218T12-05,26708
20191218T11-05,28060
20191218T10-05,29485
20191218T09-05,30997
20191218T08-05,31673
20191218T07-05,30302
20191218T06-05,27064
20191218T05-05,24598
20191218T04-05,23321
20191218T03-05,22668
20191218T02-05,22373
20191218T01-05,22398
20191218T00-05,23026
20191217T23-05,23927
20191217T22-05,25050
20191217T21-05,25582
20191217T20-05,25687
20191217T19-05,25669
20191217T18-05,24875
20191217T17-05,23066
20191217T16-05,22345
20191217T15-05,22162
20191217T14-05,22187
20191217T13-05,22204
20191217T12-05,22486
20191217T11-05,22926
20191217T10-05,23210
20191217T09-05,23648
20191217T08-05,24072
20191217T07-05,22970
20191217T06-05,20465
20191217T05-05,18924
20191217T04-05,18399
20191217T03-05,18446
20191217T02-05,18670
20191217T01-05,19366
20191217T00-05,20876
20191216T23-05,22444
20191216T22-05,24143
20191216T21-05,25214
20191216T20-05,25690
20191216T19-05,25825
20191216T18-05,25239
20191216T17-05,23255
20191216T16-05,22635
20191216T15-05,22732
20191216T14-05,23059
20191216T13-05,23396
20191216T12-05,24126
20191216T11-05,25104
20191216T10-05,26387
20191216T09-05,27410
20191216T08-05,28159
20191216T07-05,27108
20191216T06-05,24213
20191216T05-05,22249
20191216T04-05,21393
20191216T03-05,21147
20191216T02-05,21135
20191216T01-05,21568
20191216T00-05,22208
20191215T23-05,23508
20191215T22-05,24550
20191215T21-05,25337
20191215T20-05,25416
20191215T19-05,25208
20191215T18-05,24062
20191215T17-05,21723
20191215T16-05,21084
20191215T15-05,20947
20191215T14-05,21405
20191215T13-05,22108
20191215T12-05,23064
20191215T11-05,24448
20191215T10-05,26031
20191215T09-05,26899
20191215T08-05,26213
20191215T07-05,25027
20191215T06-05,23808
20191215T05-05,22938
20191215T04-05,22516
20191215T03-05,22373
20191215T02-05,22469
20191215T01-05,22940
20191215T00-05,23602
20191214T23-05,24480
20191214T22-05,25248
20191214T21-05,25573
20191214T20-05,25748
20191214T19-05,25749
20191214T18-05,25046
20191214T17-05,23305
20191214T16-05,22540
20191214T15-05,22822
20191214T14-05,23348
20191214T13-05,24053
20191214T12-05,24946
20191214T11-05,25597
20191214T10-05,26116
20191214T09-05,26093
20191214T08-05,25307
20191214T07-05,24272
20191214T06-05,23262
20191214T05-05,22787
20191214T04-05,22635
20191214T03-05,22713
20191214T02-05,22986
20191214T01-05,23822
20191214T00-05,24831
20191213T23-05,26390
20191213T22-05,27671
20191213T21-05,28584
20191213T20-05,29194
20191213T19-05,29829
20191213T18-05,29845
20191213T17-05,28378
20191213T16-05,27696
20191213T15-05,27760
20191213T14-05,28100
20191213T13-05,28646
20191213T12-05,29355
20191213T11-05,30241
20191213T10-05,31076
20191213T09-05,31937
20191213T08-05,32355
20191213T07-05,31507
20191213T06-05,29024
20191213T05-05,27384
20191213T04-05,26710
20191213T03-05,26432
20191213T02-05,26410
20191213T01-05,26640
20191213T00-05,27482
20191212T23-05,28686
20191212T22-05,30077
20191212T21-05,30737
20191212T20-05,30884
20191212T19-05,30256
20191212T18-05,28891
20191212T17-05,26431
20191212T16-05,25222
20191212T15-05,25068
20191212T14-05,25557
20191212T13-05,26370
20191212T12-05,27729
20191212T11-05,29573
20191212T10-05,31984
20191212T09-05,34332
20191212T08-05,35205
20191212T07-05,34217
20191212T06-05,31247
20191212T05-05,29033
20191212T04-05,27971
20191212T03-05,27407
20191212T02-05,27138
20191212T01-05,27130
20191212T00-05,27564
20191211T23-05,28627
20191211T22-05,29715
20191211T21-05,30191
20191211T20-05,29975
20191211T19-05,29457
20191211T18-05,28029
20191211T17-05,25489
20191211T16-05,24451
20191211T15-05,24229
20191211T14-05,24484
20191211T13-05,24776
20191211T12-05,25492
20191211T11-05,26143
20191211T10-05,26758
20191211T09-05,27093
20191211T08-05,27403
20191211T07-05,26119
20191211T06-05,23231
20191211T05-05,21450
20191211T04-05,20596
20191211T03-05,20281
20191211T02-05,20300
20191211T01-05,20713
20191211T00-05,20793
20191210T23-05,22390
20191210T22-05,23878
20191210T21-05,24838
20191210T20-05,25385
20191210T19-05,25633
20191210T18-05,24820
20191210T17-05,23400
20191210T16-05,22812
20191210T15-05,22570
20191210T14-05,22766
20191210T13-05,22712
20191210T12-05,22927
20191210T11-05,23277
20191210T10-05,23521
20191210T09-05,23872
20191210T08-05,24263
20191210T07-05,23329
20191210T06-05,20964
20191210T05-05,19421
20191210T04-05,19064
20191210T03-05,19069
20191210T02-05,19415
20191210T01-05,20221
20191210T00-05,21024
20191209T23-05,22647
20191209T22-05,24310
20191209T21-05,25532
20191209T20-05,26242
20191209T19-05,26499
20191209T18-05,25935
20191209T17-05,24190
20191209T16-05,23542
20191209T15-05,23601
20191209T14-05,23954
20191209T13-05,24245
20191209T12-05,24973
20191209T11-05,25830
20191209T10-05,26559
20191209T09-05,27159
20191209T08-05,27542
20191209T07-05,26529
20191209T06-05,23769
20191209T05-05,22045
20191209T04-05,21294
20191209T03-05,21139
20191209T02-05,21240
20191209T01-05,21652
20191209T00-05,22451
20191208T23-05,23680
20191208T22-05,24962
20191208T21-05,25772
20191208T20-05,25955
20191208T19-05,25833
20191208T18-05,25017
20191208T17-05,22795
20191208T16-05,21799
20191208T15-05,21878
20191208T14-05,22425
20191208T13-05,23262
20191208T12-05,24474
20191208T11-05,26015
20191208T10-05,27989
20191208T09-05,29285
20191208T08-05,28551
20191208T07-05,27132
20191208T06-05,26012
20191208T05-05,24899
20191208T04-05,24235
20191208T03-05,23678
20191208T02-05,23477
20191208T01-05,23609
20191208T00-05,24551
20191207T23-05,25313
20191207T22-05,25932
20191207T21-05,26189
20191207T20-05,26096
20191207T19-05,26012
20191207T18-05,25076
20191207T17-05,22943
20191207T16-05,22077
20191207T15-05,22179
20191207T14-05,22589
20191207T13-05,23300
20191207T12-05,24200
20191207T11-05,25293
20191207T10-05,26018
20191207T09-05,26061
20191207T08-05,25275
20191207T07-05,24138
20191207T06-05,22894
20191207T05-05,22020
20191207T04-05,21549
20191207T03-05,21491
20191207T02-05,21668
20191207T01-05,22198
20191207T00-05,22874
20191206T23-05,23651
20191206T22-05,24652
20191206T21-05,25213
20191206T20-05,25481
20191206T19-05,25586
20191206T18-05,24899
20191206T17-05,23043
20191206T16-05,22514
20191206T15-05,22568
20191206T14-05,23057
20191206T13-05,23638
20191206T12-05,24593
20191206T11-05,25921
20191206T10-05,27303
20191206T09-05,28811
20191206T08-05,29806
20191206T07-05,28978
20191206T06-05,25983
20191206T05-05,24123
20191206T04-05,23250
20191206T03-05,22941
20191206T02-05,22905
20191206T01-05,23219
20191206T00-05,24167
20191205T23-05,25326
20191205T22-05,26648
20191205T21-05,27219
20191205T20-05,27130
20191205T19-05,26657
20191205T18-05,25414
20191205T17-05,23399
20191205T16-05,22705
20191205T15-05,22699
20191205T14-05,23134
20191205T13-05,23733
20191205T12-05,24768
20191205T11-05,26237
20191205T10-05,28120
20191205T09-05,30190
20191205T08-05,31371
20191205T07-05,30636
20191205T06-05,27756
20191205T05-05,25591
20191205T04-05,24706
20191205T03-05,24189
20191205T02-05,24134
