,Day-ahead demand forecast
20191114T06Z,29885
20191114T05Z,30968
20191114T04Z,32196
20191114T03Z,32922
20191114T02Z,33125
20191114T01Z,33115
20191114T00Z,32172
20191113T23Z,31029
20191113T22Z,30763
20191113T21Z,31082
20191113T20Z,31766
20191113T19Z,32457
20191113T18Z,33405
20191113T17Z,34366
20191113T16Z,35272
20191113T15Z,36177
20191113T14Z,36694
20191113T13Z,35691
20191113T12Z,33099
20191113T11Z,31671
20191113T10Z,31141
20191113T09Z,31131
20191113T08Z,31369
20191113T07Z,31797
20191113T06Z,32960
20191113T05Z,34165
20191113T04Z,35621
20191113T03Z,36557
20191113T02Z,36859
20191113T01Z,36864
20191113T00Z,35831
20191112T23Z,34504
20191112T22Z,34095
20191112T21Z,34460
20191112T20Z,35180
20191112T19Z,35768
20191112T18Z,36480
20191112T17Z,37073
20191112T16Z,37576
20191112T15Z,38077
20191112T14Z,38409
20191112T13Z,37148
20191112T12Z,34344
20191112T11Z,32791
20191112T10Z,32097
20191112T09Z,31899
20191112T08Z,31979
20191112T07Z,32287
20191112T06Z,32742
20191112T05Z,33736
20191112T04Z,35322
20191112T03Z,36402
20191112T02Z,36730
20191112T01Z,37171
20191112T00Z,36111
20191111T23Z,35103
20191111T22Z,34488
20191111T21Z,34414
20191111T20Z,34517
20191111T19Z,34370
20191111T18Z,34067
20191111T17Z,33952
20191111T16Z,33845
20191111T15Z,33645
20191111T14Z,33572
20191111T13Z,31619
20191111T12Z,28771
20191111T11Z,27219
20191111T10Z,26413
20191111T09Z,26030
20191111T08Z,25884
20191111T07Z,25988
20191111T06Z,27280
20191111T05Z,28219
20191111T04Z,29091
20191111T03Z,29600
20191111T02Z,29862
20191111T01Z,29901
20191111T00Z,29120
20191110T23Z,27859
20191110T22Z,27407
20191110T21Z,27432
20191110T20Z,27674
20191110T19Z,27825
20191110T18Z,27831
20191110T17Z,27829
20191110T16Z,27947
20191110T15Z,27881
20191110T14Z,27213
20191110T13Z,26795
20191110T12Z,26100
20191110T11Z,25599
20191110T10Z,25465
20191110T09Z,25495
20191110T08Z,25553
20191110T07Z,26098
20191110T06Z,26039
20191110T05Z,26766
20191110T04Z,27374
20191110T03Z,27988
20191110T02Z,28207
20191110T01Z,28287
20191110T00Z,27883
20191109T23Z,27035
20191109T22Z,26866
20191109T21Z,27154
20191109T20Z,27577
20191109T19Z,28119
20191109T18Z,28870
20191109T17Z,29438
20191109T16Z,29929
20191109T15Z,30137
20191109T14Z,30051
20191109T13Z,29322
20191109T12Z,28238
20191109T11Z,27556
20191109T10Z,27201
20191109T09Z,27126
20191109T08Z,27208
20191109T07Z,27556
20191109T06Z,28196
20191109T05Z,28984
20191109T04Z,29781
20191109T03Z,30225
20191109T02Z,30315
20191109T01Z,30077
20191109T00Z,29577
20191108T23Z,29108
20191108T22Z,29096
20191108T21Z,29545
20191108T20Z,30198
20191108T19Z,30676
20191108T18Z,31481
20191108T17Z,32252
20191108T16Z,32898
20191108T15Z,33473
20191108T14Z,33774
20191108T13Z,32681
20191108T12Z,30353
20191108T11Z,28934
20191108T10Z,28338
20191108T09Z,28175
20191108T08Z,28172
20191108T07Z,28456
20191108T06Z,30114
20191108T05Z,31224
20191108T04Z,32403
20191108T03Z,33295
20191108T02Z,33668
20191108T01Z,33520
20191108T00Z,32984
20191107T23Z,32383
20191107T22Z,32340
20191107T21Z,32671
20191107T20Z,32998
20191107T19Z,33066
20191107T18Z,32955
20191107T17Z,33042
20191107T16Z,32834
20191107T15Z,32411
20191107T14Z,32126
20191107T13Z,30933
20191107T12Z,28606
20191107T11Z,27253
20191107T10Z,26718
20191107T09Z,26536
20191107T08Z,26447
20191107T07Z,26699
20191107T06Z,26087
20191107T05Z,27230
20191107T04Z,28495
20191107T03Z,29262
20191107T02Z,29628
20191107T01Z,29507
20191107T00Z,28902
20191106T23Z,28555
20191106T22Z,28383
20191106T21Z,28449
20191106T20Z,28621
20191106T19Z,28693
20191106T18Z,28921
20191106T17Z,29126
20191106T16Z,29321
20191106T15Z,29559
20191106T14Z,29570
20191106T13Z,28394
20191106T12Z,26349
20191106T11Z,25195
20191106T10Z,24771
20191106T09Z,24734
