,Day-ahead demand forecast1
20191219T00-08,24005
20191218T23-08,25868
20191218T22-08,27867
20191218T21-08,29156
20191218T20-08,29937
20191218T19-08,30393
20191218T18-08,30155
20191218T17-08,27474
20191218T16-08,25613
20191218T15-08,24840
20191218T14-08,24486
20191218T13-08,24397
20191218T12-08,24675
20191218T11-08,25308
20191218T10-08,26046
20191218T09-08,26784
20191218T08-08,27301
20191218T07-08,26126
20191218T06-08,23507
20191218T05-08,21869
20191218T04-08,21248
20191218T03-08,21290
20191218T02-08,21792
20191218T01-08,22640
20191218T00-08,23940
20191217T23-08,25808
20191217T22-08,27845
20191217T21-08,29187
20191217T20-08,30015
20191217T19-08,30446
20191217T18-08,30163
20191217T17-08,27664
20191217T16-08,25848
20191217T15-08,25216
20191217T14-08,25178
20191217T13-08,25097
20191217T12-08,25346
20191217T11-08,25821
20191217T10-08,26386
20191217T09-08,27043
20191217T08-08,27441
20191217T07-08,26348
20191217T06-08,23727
20191217T05-08,22027
20191217T04-08,21341
20191217T03-08,21371
20191217T02-08,21851
20191217T01-08,22668
20191217T00-08,23488
20191216T23-08,25379
20191216T22-08,27419
20191216T21-08,28740
20191216T20-08,29510
20191216T19-08,29915
20191216T18-08,29622
20191216T17-08,26530
20191216T16-08,24482
20191216T15-08,23532
20191216T14-08,23146
20191216T13-08,22971
20191216T12-08,23316
20191216T11-08,23964
20191216T10-08,24900
20191216T09-08,25903
20191216T08-08,26524
20191216T07-08,25305
20191216T06-08,22631
20191216T05-08,20865
20191216T04-08,20115
20191216T03-08,20032
20191216T02-08,20354
20191216T01-08,21016
20191216T00-08,22093
20191215T23-08,23703
20191215T22-08,25278
20191215T21-08,26264
20191215T20-08,26780
20191215T19-08,27072
20191215T18-08,26580
20191215T17-08,23454
20191215T16-08,21191
20191215T15-08,20148
20191215T14-08,19537
20191215T13-08,19441
20191215T12-08,19442
20191215T11-08,19819
20191215T10-08,20373
20191215T09-08,20674
20191215T08-08,21004
20191215T07-08,20659
20191215T06-08,19919
20191215T05-08,19438
20191215T04-08,19351
20191215T03-08,19546
20191215T02-08,20150
20191215T01-08,21009
20191215T00-08,22082
20191214T23-08,23471
20191214T22-08,24760
20191214T21-08,25569
20191214T20-08,26166
20191214T19-08,26592
20191214T18-08,26502
20191214T17-08,24288
20191214T16-08,22496
20191214T15-08,21667
20191214T14-08,21283
20191214T13-08,21028
20191214T12-08,21210
20191214T11-08,21680
20191214T10-08,22280
20191214T09-08,22224
20191214T08-08,21769
20191214T07-08,21123
20191214T06-08,20140
20191214T05-08,19558
20191214T04-08,19436
20191214T03-08,19711
20191214T02-08,20313
20191214T01-08,21228
20191214T00-08,22515
20191213T23-08,24170
20191213T22-08,25754
20191213T21-08,26808
20191213T20-08,27718
20191213T19-08,28414
20191213T18-08,28571
20191213T17-08,26631
20191213T16-08,25262
20191213T15-08,24727
20191213T14-08,24551
20191213T13-08,24280
20191213T12-08,24348
20191213T11-08,24525
20191213T10-08,24852
20191213T09-08,25265
20191213T08-08,25222
20191213T07-08,24078
20191213T06-08,21648
20191213T05-08,20212
20191213T04-08,19678
20191213T03-08,19783
20191213T02-08,20277
20191213T01-08,21132
20191213T00-08,22649
20191212T23-08,24533
20191212T22-08,26436
20191212T21-08,27781
20191212T20-08,28679
20191212T19-08,29270
20191212T18-08,29288
20191212T17-08,27123
20191212T16-08,25748
20191212T15-08,24948
20191212T14-08,24538
20191212T13-08,24160
20191212T12-08,24220
20191212T11-08,24497
20191212T10-08,25028
20191212T09-08,25613
20191212T08-08,25946
20191212T07-08,24806
20191212T06-08,22264
20191212T05-08,20725
20191212T04-08,20163
20191212T03-08,20260
20191212T02-08,20780
20191212T01-08,21619
20191212T00-08,22756
20191211T23-08,24624
20191211T22-08,26588
20191211T21-08,27937
20191211T20-08,28766
20191211T19-08,29315
20191211T18-08,29235
20191211T17-08,26697
20191211T16-08,25125
20191211T15-08,24352
20191211T14-08,23915
20191211T13-08,23697
20191211T12-08,23833
20191211T11-08,24276
20191211T10-08,24868
20191211T09-08,25647
20191211T08-08,26186
20191211T07-08,25078
20191211T06-08,22549
20191211T05-08,20960
20191211T04-08,20366
20191211T03-08,20457
20191211T02-08,20915
20191211T01-08,21741
20191211T00-08,22870
20191210T23-08,24749
20191210T22-08,26777
20191210T21-08,28141
20191210T20-08,28976
20191210T19-08,29452
20191210T18-08,29304
20191210T17-08,27046
20191210T16-08,25545
20191210T15-08,24958
20191210T14-08,24632
20191210T13-08,24480
20191210T12-08,24688
20191210T11-08,25040
20191210T10-08,25421
20191210T09-08,25778
20191210T08-08,25822
20191210T07-08,24739
20191210T06-08,22303
20191210T05-08,20676
20191210T04-08,20071
20191210T03-08,20117
20191210T02-08,20571
20191210T01-08,21392
20191210T00-08,22706
20191209T23-08,24573
20191209T22-08,26545
20191209T21-08,27943
20191209T20-08,28820
20191209T19-08,29336
20191209T18-08,29165
20191209T17-08,26491
20191209T16-08,24920
20191209T15-08,24129
20191209T14-08,23764
20191209T13-08,23652
20191209T12-08,23823
20191209T11-08,24261
20191209T10-08,24812
20191209T09-08,25265
20191209T08-08,25279
20191209T07-08,23917
20191209T06-08,21356
20191209T05-08,19644
20191209T04-08,18962
20191209T03-08,18990
20191209T02-08,19425
20191209T01-08,20149
20191209T00-08,21491
20191208T23-08,23109
20191208T22-08,24681
20191208T21-08,25702
20191208T20-08,26309
20191208T19-08,26635
20191208T18-08,26299
20191208T17-08,23952
20191208T16-08,22247
20191208T15-08,21574
20191208T14-08,21261
20191208T13-08,21115
20191208T12-08,21208
20191208T11-08,21422
20191208T10-08,21538
20191208T09-08,21326
20191208T08-08,20916
20191208T07-08,20260
20191208T06-08,19514
20191208T05-08,19011
20191208T04-08,18987
20191208T03-08,19288
20191208T02-08,19826
20191208T01-08,20722
20191208T00-08,21734
20191207T23-08,23132
20191207T22-08,24475
20191207T21-08,25394
20191207T20-08,26094
20191207T19-08,26722
20191207T18-08,26804
20191207T17-08,24974
20191207T16-08,23844
20191207T15-08,23380
20191207T14-08,23193
20191207T13-08,23073
20191207T12-08,23098
20191207T11-08,23140
20191207T10-08,23170
20191207T09-08,22875
20191207T08-08,22285
20191207T07-08,21453
20191207T06-08,20212
20191207T05-08,19587
20191207T04-08,19449
20191207T03-08,19692
20191207T02-08,20308
20191207T01-08,21283
20191207T00-08,22501
20191206T23-08,24209
20191206T22-08,25823
20191206T21-08,26908
20191206T20-08,27708
20191206T19-08,28422
20191206T18-08,28590
20191206T17-08,26523
20191206T16-08,25056
20191206T15-08,24629
20191206T14-08,24145
20191206T13-08,23863
20191206T12-08,24036
20191206T11-08,24288
20191206T10-08,24754
20191206T09-08,25213
20191206T08-08,25437
20191206T07-08,24358
20191206T06-08,21911
20191206T05-08,20450
20191206T04-08,19877
20191206T03-08,19977
20191206T02-08,20473
20191206T01-08,21313
20191206T00-08,22644
20191205T23-08,24510
20191205T22-08,26483
20191205T21-08,27850
20191205T20-08,28719
20191205T19-08,29227
20191205T18-08,29129
20191205T17-08,26774
20191205T16-08,25390
20191205T15-08,24867
20191205T14-08,24617
20191205T13-08,24431
20191205T12-08,24546
20191205T11-08,24969
20191205T10-08,25383
20191205T09-08,25814
20191205T08-08,25862
20191205T07-08,24649
20191205T06-08,22195
20191205T05-08,20641
20191205T04-08,20053
20191205T03-08,20149
20191205T02-08,20667
20191205T01-08,21494
20191205T00-08,22762
20191204T23-08,24622
20191204T22-08,26640
20191204T21-08,28025
20191204T20-08,28864
20191204T19-08,29358
20191204T18-08,29261
20191204T17-08,26991
20191204T16-08,26313
20191204T15-08,26060
20191204T14-08,26240
20191204T13-08,26339
20191204T12-08,26444
20191204T11-08,26528
20191204T10-08,26639
20191204T09-08,26534
20191204T08-08,26167
20191204T07-08,24764
20191204T06-08,22266
20191204T05-08,20700
20191204T04-08,20199
20191204T03-08,20350
20191204T02-08,20861
20191204T01-08,21684
20191204T00-08,22836
20191203T23-08,24748
20191203T22-08,26833
20191203T21-08,28275
20191203T20-08,29150
20191203T19-08,29714
20191203T18-08,29688
20191203T17-08,27315
20191203T16-08,26060
20191203T15-08,25864
20191203T14-08,25689
20191203T13-08,25600
20191203T12-08,25727
20191203T11-08,25979
20191203T10-08,26223
20191203T09-08,26485
20191203T08-08,26532
20191203T07-08,25143
20191203T06-08,22585
20191203T05-08,20786
20191203T04-08,20202
20191203T03-08,20267
20191203T02-08,20721
20191203T01-08,21480
20191203T00-08,22803
20191202T23-08,24701
20191202T22-08,26804
20191202T21-08,28329
20191202T20-08,29277
20191202T19-08,29819
20191202T18-08,29624
20191202T17-08,27302
20191202T16-08,26009
20191202T15-08,25563
20191202T14-08,25296
20191202T13-08,25210
20191202T12-08,25337
20191202T11-08,25559
20191202T10-08,25809
20191202T09-08,25978
20191202T08-08,25865
20191202T07-08,24447
20191202T06-08,21962
20191202T05-08,20314
20191202T04-08,19694
20191202T03-08,19669
20191202T02-08,20051
20191202T01-08,20807
20191202T00-08,21566
20191201T23-08,23160
20191201T22-08,24751
20191201T21-08,25796
20191201T20-08,26409
20191201T19-08,26720
20191201T18-08,26187
20191201T17-08,23311
20191201T16-08,21460
20191201T15-08,20609
20191201T14-08,20126
20191201T13-08,20079
20191201T12-08,20216
20191201T11-08,20624
20191201T10-08,20969
20191201T09-08,21192
20191201T08-08,21177
20191201T07-08,20815
20191201T06-08,20131
20191201T05-08,19625
20191201T04-08,19603
20191201T03-08,19842
20191201T02-08,20352
20191201T01-08,21146
20191201T00-08,22355
20191130T23-08,23596
20191130T22-08,24866
20191130T21-08,25697
20191130T20-08,26409
20191130T19-08,26976
20191130T18-08,26716
20191130T17-08,24373
20191130T16-08,23013
20191130T15-08,22416
20191130T14-08,22289
20191130T13-08,22512
20191130T12-08,22701
20191130T11-08,22970
20191130T10-08,23163
20191130T09-08,23360
20191130T08-08,23169
20191130T07-08,22628
