,Day-ahead demand forecast
20191114T05Z,8892
20191114T04Z,9079
20191114T03Z,9365
20191114T02Z,9530
20191114T01Z,9468
20191114T00Z,9197
20191113T23Z,8738
20191113T22Z,7853
20191113T21Z,7450
20191113T20Z,7420
20191113T19Z,7498
20191113T18Z,7636
20191113T17Z,8053
20191113T16Z,8661
20191113T15Z,9311
20191113T14Z,9939
20191113T13Z,10433
20191113T12Z,10341
20191113T11Z,9612
20191113T10Z,9018
20191113T09Z,8629
20191113T08Z,8399
20191113T07Z,8222
20191113T06Z,8125
20191113T05Z,8319
20191113T04Z,8541
20191113T03Z,8776
20191113T02Z,8838
20191113T01Z,8728
20191113T00Z,8565
20191112T23Z,8151
20191112T22Z,7275
20191112T21Z,6899
20191112T20Z,6770
20191112T19Z,6829
20191112T18Z,6907
20191112T17Z,7110
20191112T16Z,7353
20191112T15Z,7558
20191112T14Z,7702
20191112T13Z,7847
20191112T12Z,7637
20191112T11Z,6865
20191112T10Z,6244
20191112T09Z,5958
20191112T08Z,5830
20191112T07Z,5789
20191112T06Z,5657
20191112T05Z,5706
20191112T04Z,6099
20191112T03Z,6524
20191112T02Z,6761
20191112T01Z,6818
20191112T00Z,6867
20191111T23Z,6552
20191111T22Z,6031
20191111T21Z,5772
20191111T20Z,5592
20191111T19Z,5606
20191111T18Z,5614
20191111T17Z,5827
20191111T16Z,6160
20191111T15Z,6671
20191111T14Z,7273
20191111T13Z,7611
20191111T12Z,7639
20191111T11Z,6802
20191111T10Z,6147
20191111T09Z,5890
20191111T08Z,5775
20191111T07Z,5727
20191111T06Z,5725
20191111T05Z,6153
20191111T04Z,6352
20191111T03Z,6681
20191111T02Z,6884
20191111T01Z,6951
20191111T00Z,6837
20191110T23Z,6483
20191110T22Z,5801
20191110T21Z,5554
20191110T20Z,5629
20191110T19Z,5833
20191110T18Z,6109
20191110T17Z,6417
20191110T16Z,6902
20191110T15Z,7471
20191110T14Z,7986
20191110T13Z,8211
20191110T12Z,7982
20191110T11Z,7506
20191110T10Z,7283
20191110T09Z,7145
20191110T08Z,7043
20191110T07Z,7042
20191110T06Z,7074
20191110T05Z,7034
20191110T04Z,7310
20191110T03Z,7454
20191110T02Z,7539
20191110T01Z,7598
20191110T00Z,7411
20191109T23Z,7039
20191109T22Z,6413
20191109T21Z,6146
20191109T20Z,6239
20191109T19Z,6318
20191109T18Z,6662
20191109T17Z,6973
20191109T16Z,7338
20191109T15Z,7772
20191109T14Z,8137
20191109T13Z,8376
20191109T12Z,8204
20191109T11Z,7799
20191109T10Z,7436
20191109T09Z,7296
20191109T08Z,7142
20191109T07Z,7097
20191109T06Z,7141
20191109T05Z,7299
20191109T04Z,7765
20191109T03Z,7869
20191109T02Z,7929
20191109T01Z,7886
20191109T00Z,7759
20191108T23Z,7404
20191108T22Z,6740
20191108T21Z,6461
20191108T20Z,6435
20191108T19Z,6462
20191108T18Z,6544
20191108T17Z,6670
20191108T16Z,6811
20191108T15Z,6855
20191108T14Z,6888
20191108T13Z,6922
20191108T12Z,6635
20191108T11Z,5824
20191108T10Z,5254
20191108T09Z,5017
20191108T08Z,4972
20191108T07Z,4977
20191108T06Z,5075
20191108T05Z,5181
20191108T04Z,5375
20191108T03Z,5800
20191108T02Z,6076
20191108T01Z,6281
20191108T00Z,6348
20191107T23Z,6200
20191107T22Z,5890
20191107T21Z,5760
20191107T20Z,5759
20191107T19Z,5740
20191107T18Z,5760
20191107T17Z,5891
20191107T16Z,6147
20191107T15Z,6461
20191107T14Z,6772
20191107T13Z,7021
20191107T12Z,6878
