,Day-ahead demand forecast1
20200107T00-05,652
20200106T23-05,684
20200106T22-05,710
20200106T21-05,734
20200106T20-05,743
20200106T19-05,732
20200106T18-05,679
20200106T17-05,616
20200106T16-05,604
20200106T15-05,602
20200106T14-05,620
20200106T13-05,648
20200106T12-05,694
20200106T11-05,748
20200106T10-05,801
20200106T09-05,823
20200106T08-05,823
20200106T07-05,775
20200106T06-05,699
20200106T05-05,660
20200106T04-05,639
20200106T03-05,624
20200106T02-05,616
20200106T01-05,619
20200106T00-05,660
20200105T23-05,697
20200105T22-05,719
20200105T21-05,726
20200105T20-05,719
20200105T19-05,730
20200105T18-05,676
20200105T17-05,600
20200105T16-05,570
20200105T15-05,612
20200105T14-05,641
20200105T13-05,663
20200105T12-05,656
20200105T11-05,717
20200105T10-05,767
20200105T09-05,750
20200105T08-05,720
20200105T07-05,666
20200105T06-05,641
20200105T05-05,614
20200105T04-05,598
20200105T03-05,610
20200105T02-05,613
20200105T01-05,622
20200105T00-05,635
20200104T23-05,663
20200104T22-05,693
20200104T21-05,716
20200104T20-05,726
20200104T19-05,720
20200104T18-05,694
20200104T17-05,657
20200104T16-05,639
20200104T15-05,620
20200104T14-05,617
20200104T13-05,626
20200104T12-05,630
20200104T11-05,651
20200104T10-05,630
20200104T09-05,577
20200104T08-05,541
20200104T07-05,512
20200104T06-05,475
20200104T05-05,468
20200104T04-05,457
20200104T03-05,459
20200104T02-05,463
20200104T01-05,473
20200104T00-05,482
20200103T23-05,540
20200103T22-05,582
20200103T21-05,614
20200103T20-05,624
20200103T19-05,634
20200103T18-05,610
20200103T17-05,586
20200103T16-05,579
20200103T15-05,574
20200103T14-05,586
20200103T13-05,588
20200103T12-05,608
20200103T11-05,636
20200103T10-05,633
20200103T09-05,643
20200103T08-05,639
20200103T07-05,601
20200103T06-05,546
20200103T05-05,515
20200103T04-05,506
20200103T03-05,506
20200103T02-05,510
20200103T01-05,530
20200103T00-05,575
20200102T23-05,620
20200102T22-05,662
20200102T21-05,696
20200102T20-05,710
20200102T19-05,708
20200102T18-05,669
20200102T17-05,617
20200102T16-05,614
20200102T15-05,616
20200102T14-05,644
20200102T13-05,667
20200102T12-05,711
20200102T11-05,728
20200102T10-05,760
20200102T09-05,785
20200102T08-05,788
20200102T07-05,750
20200102T06-05,675
20200102T05-05,641
20200102T04-05,618
20200102T03-05,609
20200102T02-05,598
20200102T01-05,605
20200101T00-05,640
20191231T23-05,636
20191231T22-05,648
20191231T21-05,660
20191231T20-05,682
20191231T19-05,681
20191231T18-05,644
20191231T17-05,591
20191231T16-05,565
20191231T15-05,573
20191231T14-05,582
20191231T13-05,612
20191231T12-05,648
20191231T11-05,686
20191231T10-05,730
20191231T09-05,736
20191231T08-05,702
20191231T07-05,653
20191231T06-05,605
20191231T05-05,572
20191231T04-05,549
20191231T03-05,534
20191231T02-05,534
20191231T01-05,530
20191231T00-05,540
20191230T23-05,559
20191230T22-05,589
20191230T21-05,611
20191230T20-05,617
20191230T19-05,616
20191230T18-05,586
20191230T17-05,532
20191230T16-05,505
20191230T15-05,511
