,Day-ahead demand forecast1
20191115T00-05,12369
20191114T23-05,13090
20191114T22-05,13853
20191114T21-05,14420
20191114T20-05,14598
20191114T19-05,14745
20191114T18-05,14462
20191114T17-05,13726
20191114T16-05,13422
20191114T15-05,13383
20191114T14-05,13554
20191114T13-05,13795
20191114T12-05,14293
20191114T11-05,14890
20191114T10-05,15549
20191114T09-05,16205
20191114T08-05,16766
20191114T07-05,16672
20191114T06-05,15497
20191114T05-05,14748
20191114T04-05,14346
20191114T03-05,14174
20191114T02-05,14059
20191114T01-05,14039
20191114T00-05,14387
20191113T23-05,14852
20191113T22-05,15336
20191113T21-05,15554
20191113T20-05,15475
20191113T19-05,15249
20191113T18-05,14428
20191113T17-05,13370
20191113T16-05,12989
20191113T15-05,13024
20191113T14-05,13145
20191113T13-05,13407
20191113T12-05,13980
20191113T11-05,14643
20191113T10-05,15461
20191113T09-05,16271
20191113T08-05,16948
20191113T07-05,16676
20191113T06-05,15406
20191113T05-05,14355
20191113T04-05,13810
20191113T03-05,13529
20191113T02-05,13495
20191113T01-05,13485
20191113T00-05,13367
20191112T23-05,13779
20191112T22-05,14373
20191112T21-05,14778
20191112T20-05,14832
20191112T19-05,14752
20191112T18-05,14237
20191112T17-05,13315
20191112T16-05,12859
20191112T15-05,12738
20191112T14-05,12504
20191112T13-05,12424
20191112T12-05,12361
20191112T11-05,12287
20191112T10-05,12092
20191112T09-05,11896
20191112T08-05,11825
20191112T07-05,11240
20191112T06-05,9907
20191112T05-05,9118
20191112T04-05,8831
20191112T03-05,8800
20191112T02-05,8940
20191112T01-05,9229
20191112T00-05,9772
20191111T23-05,10430
20191111T22-05,11111
20191111T21-05,11705
20191111T20-05,11991
20191111T19-05,12074
20191111T18-05,11715
20191111T17-05,11054
20191111T16-05,10891
20191111T15-05,10848
20191111T14-05,10990
20191111T13-05,11067
20191111T12-05,11284
20191111T11-05,11654
20191111T10-05,12039
20191111T09-05,12340
20191111T08-05,12410
20191111T07-05,11852
20191111T06-05,10708
20191111T05-05,9821
20191111T04-05,9485
20191111T03-05,9345
20191111T02-05,9314
20191111T01-05,9475
20191111T00-05,9829
20191110T23-05,10311
20191110T22-05,10755
20191110T21-05,11128
20191110T20-05,11310
20191110T19-05,11188
20191110T18-05,10631
20191110T17-05,9834
20191110T16-05,9715
20191110T15-05,9711
20191110T14-05,9870
20191110T13-05,10249
20191110T12-05,10599
20191110T11-05,11431
20191110T10-05,12273
20191110T09-05,12731
20191110T08-05,12818
20191110T07-05,12229
20191110T06-05,11771
20191110T05-05,11340
20191110T04-05,11261
20191110T03-05,11072
20191110T02-05,10992
20191110T01-05,11041
20191110T00-05,11384
20191109T23-05,11852
20191109T22-05,12182
20191109T21-05,12356
20191109T20-05,12460
20191109T19-05,12246
20191109T18-05,11642
20191109T17-05,10852
20191109T16-05,10630
20191109T15-05,10699
20191109T14-05,11032
20191109T13-05,11468
20191109T12-05,12003
20191109T11-05,12622
20191109T10-05,13210
20191109T09-05,13580
20191109T08-05,13678
20191109T07-05,13152
20191109T06-05,12481
20191109T05-05,12043
20191109T04-05,11701
20191109T03-05,11534
20191109T02-05,11546
20191109T01-05,11625
20191109T00-05,11834
20191108T23-05,12125
20191108T22-05,12421
20191108T21-05,12487
20191108T20-05,12428
20191108T19-05,12257
20191108T18-05,11730
20191108T17-05,10999
20191108T16-05,10827
20191108T15-05,10965
20191108T14-05,11170
20191108T13-05,11338
20191108T12-05,11731
20191108T11-05,12086
20191108T10-05,12255
20191108T09-05,12290
20191108T08-05,12235
20191108T07-05,11452
20191108T06-05,9969
20191108T05-05,9039
20191108T04-05,8686
20191108T03-05,8588
20191108T02-05,8668
20191108T01-05,8906
20191108T00-05,9755
20191107T23-05,10283
20191107T22-05,10895
20191107T21-05,11357
20191107T20-05,11602
20191107T19-05,11640
20191107T18-05,11246
20191107T17-05,10801
20191107T16-05,10674
20191107T15-05,10673
20191107T14-05,10754
20191107T13-05,10820
20191107T12-05,10982
20191107T11-05,11284
20191107T10-05,11587
20191107T09-05,11844
20191107T08-05,12182
20191107T07-05,11709
20191107T06-05,10298
20191107T05-05,9473
20191107T04-05,9162
20191107T03-05,9094
20191107T02-05,9207
20191107T01-05,9432
20191107T00-05,10192
20191106T23-05,10723
20191106T22-05,11301
20191106T21-05,11712
20191106T20-05,11842
20191106T19-05,11774
20191106T18-05,11330
20191106T17-05,10759
20191106T16-05,10689
20191106T15-05,10698
20191106T14-05,10778
20191106T13-05,10864
20191106T12-05,11035
20191106T11-05,11285
20191106T10-05,11537
20191106T09-05,11789
20191106T08-05,12007
20191106T07-05,11491
20191106T06-05,10080
20191106T05-05,9230
20191106T04-05,8917
20191106T03-05,8830
20191106T02-05,8924
20191106T01-05,9142
20191106T00-05,9789
20191105T23-05,10329
20191105T22-05,10949
20191105T21-05,11465
20191105T20-05,11751
20191105T19-05,11893
20191105T18-05,11508
20191105T17-05,11051
20191105T16-05,10931
20191105T15-05,10936
20191105T14-05,11056
20191105T13-05,11064
20191105T12-05,11210
20191105T11-05,11476
20191105T10-05,11665
20191105T09-05,11932
20191105T08-05,11998
20191105T07-05,11571
20191105T06-05,10366
20191105T05-05,9642
20191105T04-05,9397
20191105T03-05,9362
20191105T02-05,9435
20191105T01-05,9694
20191105T00-05,10218
20191104T23-05,10823
20191104T22-05,11488
20191104T21-05,12036
20191104T20-05,12265
20191104T19-05,12235
20191104T18-05,11754
20191104T17-05,11049
20191104T16-05,10968
20191104T15-05,11017
20191104T14-05,11168
20191104T13-05,11333
20191104T12-05,11696
20191104T11-05,12208
20191104T10-05,12730
20191104T09-05,13278
20191104T08-05,13779
20191104T07-05,13253
20191104T06-05,11780
20191104T05-05,10808
20191104T04-05,10392
20191104T03-05,10171
20191104T02-05,9989
20191104T01-05,10057
20191103T23-05,10426
20191103T22-05,10845
20191103T21-05,11272
20191103T20-05,11594
20191103T19-05,11567
20191103T18-05,11508
20191103T17-05,10744
20191103T16-05,9837
20191103T15-05,9621
20191103T14-05,9666
20191103T13-05,9815
20191103T12-05,10093
20191103T11-05,10371
20191103T10-05,10980
20191103T09-05,11601
20191103T08-05,11939
20191103T07-05,11839
20191103T06-05,11252
20191103T05-05,10600
20191103T04-05,10162
20191103T03-05,9836
20191103T02-05,9721
20191103T01-05,9749
20191103T01-04,9670
20191103T00-04,9830
20191102T23-04,10200
20191102T22-04,10539
20191102T21-04,10761
20191102T20-04,10729
20191102T19-04,10562
20191102T18-04,10298
20191102T17-04,10006
20191102T16-04,9814
20191102T15-04,9802
20191102T14-04,9968
20191102T13-04,10379
20191102T12-04,11012
20191102T11-04,11593
20191102T10-04,12036
20191102T09-04,12392
20191102T08-04,12111
20191102T07-04,11554
20191102T06-04,10784
20191102T05-04,10267
20191102T04-04,9970
20191102T03-04,9821
20191102T02-04,9712
20191102T01-04,9781
20191102T00-04,9952
20191101T23-04,10437
20191101T22-04,10901
20191101T21-04,11235
20191101T20-04,11326
20191101T19-04,11234
20191101T18-04,11056
20191101T17-04,10779
20191101T16-04,10741
20191101T15-04,10720
20191101T14-04,10842
20191101T13-04,10955
20191101T12-04,11259
20191101T11-04,11529
20191101T10-04,11550
20191101T09-04,11534
20191101T08-04,11460
20191101T07-04,10627
20191101T06-04,9430
20191101T05-04,8607
20191101T04-04,8317
20191101T03-04,8253
20191101T02-04,8240
20191101T01-04,8643
20191101T00-04,9550
20191031T23-04,10372
20191031T22-04,11119
20191031T21-04,11700
20191031T20-04,12081
20191031T19-04,12104
20191031T18-04,12488
20191031T17-04,13010
20191031T16-04,13199
20191031T15-04,13374
20191031T14-04,13292
20191031T13-04,12939
20191031T12-04,12771
20191031T11-04,12438
20191031T10-04,11993
20191031T09-04,11651
20191031T08-04,11507
20191031T07-04,10766
20191031T06-04,9437
20191031T05-04,8748
20191031T04-04,8540
20191031T03-04,8552
20191031T02-04,8702
20191031T01-04,9051
20191031T00-04,9555
20191030T23-04,10288
20191030T22-04,11023
20191030T21-04,11583
20191030T20-04,11792
20191030T19-04,11336
20191030T18-04,11076
20191030T17-04,10945
20191030T16-04,10872
20191030T15-04,10932
20191030T14-04,10986
20191030T13-04,11040
20191030T12-04,11102
20191030T11-04,11027
20191030T10-04,10891
20191030T09-04,10748
20191030T08-04,10787
20191030T07-04,10156
20191030T06-04,8927
20191030T05-04,8276
20191030T04-04,8156
20191030T03-04,8248
20191030T02-04,8445
20191030T01-04,8865
20191030T00-04,9505
20191029T23-04,10287
20191029T22-04,11144
20191029T21-04,11861
20191029T20-04,12173
20191029T19-04,12007
20191029T18-04,11805
20191029T17-04,11804
20191029T16-04,11624
20191029T15-04,11453
20191029T14-04,11295
20191029T13-04,11069
20191029T12-04,11041
20191029T11-04,10906
20191029T10-04,10713
20191029T09-04,10558
20191029T08-04,10589
20191029T07-04,9986
20191029T06-04,8779
20191029T05-04,8136
20191029T04-04,7990
20191029T03-04,8044
20191029T02-04,8209
20191029T01-04,8675
20191029T00-04,9483
20191028T23-04,10304
20191028T22-04,11219
20191028T21-04,11981
20191028T20-04,12433
20191028T19-04,12399
20191028T18-04,12316
20191028T17-04,12294
20191028T16-04,12130
20191028T15-04,11967
20191028T14-04,11748
20191028T13-04,11392
20191028T12-04,11229
20191028T11-04,11027
20191028T10-04,10713
20191028T09-04,10502
20191028T08-04,10374
20191028T07-04,9712
20191028T06-04,8632
20191028T05-04,8057
20191028T04-04,7939
20191028T03-04,8053
20191028T02-04,8322
20191028T01-04,8754
20191028T00-04,9370
20191027T23-04,10097
20191027T22-04,10876
20191027T21-04,11647
20191027T20-04,12032
20191027T19-04,11797
20191027T18-04,11980
20191027T17-04,11944
20191027T16-04,11667
20191027T15-04,11607
20191027T14-04,11427
20191027T13-04,11147
20191027T12-04,10802
20191027T11-04,10516
20191027T10-04,10166
20191027T09-04,9543
20191027T08-04,8924
20191027T07-04,8437
20191027T06-04,8105
20191027T05-04,7884
20191027T04-04,7864
20191027T03-04,7978
20191027T02-04,8136
20191027T01-04,8563
20191027T00-04,9020
20191026T23-04,9607
20191026T22-04,10051
20191026T21-04,10451
20191026T20-04,10654
