,Day-ahead demand forecast1
20191115T00-07,798
20191114T23-07,851
20191114T22-07,920
20191114T21-07,962
20191114T20-07,973
20191114T19-07,974
20191114T18-07,966
20191114T17-07,874
20191114T16-07,858
20191114T15-07,867
20191114T14-07,859
20191114T13-07,849
20191114T12-07,860
20191114T11-07,883
20191114T10-07,879
20191114T09-07,897
20191114T08-07,908
20191114T07-07,900
20191114T06-07,813
20191114T05-07,754
20191114T04-07,727
20191114T03-07,722
20191114T02-07,738
20191114T01-07,749
20191114T00-07,779
20191113T23-07,833
20191113T22-07,906
20191113T21-07,953
20191113T20-07,974
20191113T19-07,968
20191113T18-07,968
20191113T17-07,872
20191113T16-07,855
20191113T15-07,861
20191113T14-07,850
20191113T13-07,837
20191113T12-07,858
20191113T11-07,881
20191113T10-07,889
20191113T09-07,910
20191113T08-07,926
20191113T07-07,911
20191113T06-07,827
20191113T05-07,757
20191113T04-07,738
20191113T03-07,731
20191113T02-07,740
20191113T01-07,755
20191113T00-07,793
20191112T23-07,871
20191112T22-07,930
20191112T21-07,984
20191112T20-07,984
20191112T19-07,1002
20191112T18-07,996
20191112T17-07,890
20191112T16-07,861
20191112T15-07,867
20191112T14-07,857
20191112T13-07,864
20191112T12-07,877
20191112T11-07,887
20191112T10-07,899
20191112T09-07,903
20191112T08-07,892
20191112T07-07,872
20191112T06-07,771
20191112T05-07,717
20191112T04-07,696
20191112T03-07,701
20191112T02-07,699
20191112T01-07,721
20191112T00-07,768
20191111T23-07,838
20191111T22-07,906
20191111T21-07,963
20191111T20-07,980
20191111T19-07,986
20191111T18-07,964
20191111T17-07,883
20191111T16-07,886
20191111T15-07,877
20191111T14-07,866
20191111T13-07,865
20191111T12-07,851
20191111T11-07,828
20191111T10-07,808
20191111T09-07,784
20191111T08-07,729
20191111T07-07,681
20191111T06-07,637
20191111T05-07,606
20191111T04-07,601
20191111T03-07,596
20191111T02-07,612
20191111T01-07,627
20191111T00-07,659
20191110T23-07,736
20191110T22-07,786
20191110T21-07,830
20191110T20-07,849
20191110T19-07,862
20191110T18-07,854
20191110T17-07,803
20191110T16-07,788
20191110T15-07,778
20191110T14-07,762
20191110T13-07,744
20191110T12-07,732
20191110T11-07,709
20191110T10-07,683
20191110T09-07,653
20191110T08-07,629
20191110T07-07,630
20191110T06-07,615
20191110T05-07,605
20191110T04-07,612
20191110T03-07,620
20191110T02-07,640
20191110T01-07,665
20191110T00-07,710
20191109T23-07,752
20191109T22-07,788
20191109T21-07,810
20191109T20-07,836
20191109T19-07,848
20191109T18-07,854
20191109T17-07,790
20191109T16-07,780
20191109T15-07,786
20191109T14-07,773
20191109T13-07,765
20191109T12-07,758
20191109T11-07,768
20191109T10-07,764
20191109T09-07,749
20191109T08-07,727
20191109T07-07,704
20191109T06-07,682
20191109T05-07,657
20191109T04-07,654
20191109T03-07,661
20191109T02-07,677
20191109T01-07,712
20191109T00-07,744
20191108T23-07,790
20191108T22-07,841
20191108T21-07,884
20191108T20-07,900
20191108T19-07,922
20191108T18-07,934
20191108T17-07,858
20191108T16-07,850
20191108T15-07,860
20191108T14-07,849
20191108T13-07,845
20191108T12-07,848
20191108T11-07,855
20191108T10-07,850
20191108T09-07,846
20191108T08-07,840
20191108T07-07,811
20191108T06-07,738
20191108T05-07,683
20191108T04-07,671
20191108T03-07,675
20191108T02-07,680
20191108T01-07,702
20191108T00-07,748
20191107T23-07,798
20191107T22-07,877
20191107T21-07,929
20191107T20-07,949
20191107T19-07,965
20191107T18-07,959
20191107T17-07,888
20191107T16-07,887
20191107T15-07,886
20191107T14-07,869
20191107T13-07,861
20191107T12-07,854
20191107T11-07,847
20191107T10-07,833
20191107T09-07,816
20191107T08-07,790
20191107T07-07,764
