,Day-ahead demand forecast1
20191115T00-06,43024
20191114T23-06,45389
20191114T22-06,47645
20191114T21-06,48948
20191114T20-06,49287
20191114T19-06,49172
20191114T18-06,47050
20191114T17-06,45026
20191114T16-06,44242
20191114T15-06,44618
20191114T14-06,45345
20191114T13-06,46264
20191114T12-06,47387
20191114T11-06,48443
20191114T10-06,49428
20191114T09-06,49934
20191114T08-06,50759
20191114T07-06,49528
20191114T06-06,45333
20191114T05-06,42536
20191114T04-06,41275
20191114T03-06,41094
20191114T02-06,41407
20191114T01-06,42524
20191114T00-06,43553
20191113T23-06,45980
20191113T22-06,48314
20191113T21-06,49672
20191113T20-06,49798
20191113T19-06,49767
20191113T18-06,47638
20191113T17-06,45236
20191113T16-06,44487
20191113T15-06,45317
20191113T14-06,46264
20191113T13-06,47616
20191113T12-06,49367
20191113T11-06,51528
20191113T10-06,53610
20191113T09-06,55655
20191113T08-06,57385
20191113T07-06,56765
20191113T06-06,52949
20191113T05-06,50120
20191113T04-06,48441
20191113T03-06,47661
20191113T02-06,47436
20191113T01-06,47997
20191113T00-06,49750
20191112T23-06,51227
20191112T22-06,53091
20191112T21-06,54038
20191112T20-06,53820
20191112T19-06,52820
20191112T18-06,50361
20191112T17-06,48514
20191112T16-06,47719
20191112T15-06,47908
20191112T14-06,49102
20191112T13-06,50377
20191112T12-06,52221
20191112T11-06,53662
20191112T10-06,55210
20191112T09-06,55837
20191112T08-06,55587
20191112T07-06,54858
20191112T06-06,50160
20191112T05-06,46574
20191112T04-06,45008
20191112T03-06,45463
20191112T02-06,43665
20191112T01-06,44185
20191112T00-06,43118
20191111T23-06,44879
20191111T22-06,46473
20191111T21-06,47836
20191111T20-06,48590
20191111T19-06,48598
20191111T18-06,47116
20191111T17-06,46181
20191111T16-06,45872
20191111T15-06,45848
20191111T14-06,45497
20191111T13-06,44677
20191111T12-06,43839
20191111T11-06,42521
20191111T10-06,41123
20191111T09-06,39957
20191111T08-06,38743
20191111T07-06,37041
20191111T06-06,33908
20191111T05-06,31878
20191111T04-06,31010
20191111T03-06,31036
20191111T02-06,31580
20191111T01-06,32524
20191111T00-06,32237
20191110T23-06,34267
20191110T22-06,36175
20191110T21-06,37614
20191110T20-06,38468
20191110T19-06,38660
20191110T18-06,37400
20191110T17-06,36376
20191110T16-06,36523
20191110T15-06,35921
20191110T14-06,35515
20191110T13-06,35684
20191110T12-06,35553
20191110T11-06,35676
20191110T10-06,35265
20191110T09-06,34609
20191110T08-06,33716
20191110T07-06,32661
20191110T06-06,31743
20191110T05-06,31144
20191110T04-06,30901
20191110T03-06,31137
20191110T02-06,31532
20191110T01-06,32435
20191110T00-06,33483
20191109T23-06,34608
20191109T22-06,35471
20191109T21-06,36387
20191109T20-06,36357
20191109T19-06,36994
20191109T18-06,35724
20191109T17-06,34680
20191109T16-06,34424
20191109T15-06,34723
20191109T14-06,35412
20191109T13-06,36480
20191109T12-06,37796
20191109T11-06,39203
20191109T10-06,39960
20191109T09-06,40211
20191109T08-06,39770
20191109T07-06,38222
20191109T06-06,36598
20191109T05-06,35578
20191109T04-06,34846
20191109T03-06,34699
20191109T02-06,35064
20191109T01-06,35917
20191109T00-06,37514
20191108T23-06,39052
20191108T22-06,40408
20191108T21-06,41336
20191108T20-06,41863
20191108T19-06,42184
20191108T18-06,40736
20191108T17-06,39517
20191108T16-06,39352
20191108T15-06,40122
20191108T14-06,40666
20191108T13-06,41169
20191108T12-06,41875
20191108T11-06,42405
20191108T10-06,42542
20191108T09-06,42268
20191108T08-06,41987
20191108T07-06,40360
20191108T06-06,36751
20191108T05-06,34398
20191108T04-06,33580
20191108T03-06,33443
20191108T02-06,33736
20191108T01-06,34639
20191108T00-06,36591
20191107T23-06,38748
20191107T22-06,40839
20191107T21-06,42512
20191107T20-06,43582
20191107T19-06,44091
20191107T18-06,42963
20191107T17-06,42363
20191107T16-06,42585
20191107T15-06,42522
20191107T14-06,42341
20191107T13-06,41649
20191107T12-06,41333
20191107T11-06,40686
20191107T10-06,39393
20191107T09-06,38232
20191107T08-06,37326
20191107T07-06,36094
20191107T06-06,32668
20191107T05-06,30709
20191107T04-06,30271
20191107T03-06,30432
20191107T02-06,31199
20191107T01-06,32340
20191107T00-06,33932
20191106T23-06,36556
20191106T22-06,39213
20191106T21-06,41087
20191106T20-06,42539
20191106T19-06,43428
20191106T18-06,42774
20191106T17-06,42583
20191106T16-06,42623
20191106T15-06,42452
20191106T14-06,41883
20191106T13-06,41112
20191106T12-06,40395
20191106T11-06,39681
20191106T10-06,38767
20191106T09-06,37900
20191106T08-06,37269
20191106T07-06,36110
20191106T06-06,32971
20191106T05-06,30984
20191106T04-06,30542
20191106T03-06,30768
20191106T02-06,31472
20191106T01-06,32726
20191106T00-06,33746
20191105T23-06,36121
20191105T22-06,38763
20191105T21-06,40481
20191105T20-06,41673
20191105T19-06,42376
20191105T18-06,41623
20191105T17-06,41317
20191105T16-06,41354
20191105T15-06,41406
20191105T14-06,41065
20191105T13-06,40410
20191105T12-06,39864
20191105T11-06,39352
20191105T10-06,38599
20191105T09-06,37890
20191105T08-06,37348
20191105T07-06,36110
20191105T06-06,32805
20191105T05-06,30753
20191105T04-06,30180
20191105T03-06,30335
20191105T02-06,30943
20191105T01-06,32061
20191105T00-06,33385
20191104T23-06,35620
20191104T22-06,37915
20191104T21-06,39622
20191104T20-06,40457
20191104T19-06,41299
20191104T18-06,40199
20191104T17-06,40000
20191104T16-06,39998
20191104T15-06,39913
20191104T14-06,39568
20191104T13-06,38941
20191104T12-06,38537
20191104T11-06,38398
20191104T10-06,37966
20191104T09-06,37562
20191104T08-06,37517
20191104T07-06,36250
20191104T06-06,32917
20191104T05-06,30684
20191104T04-06,29734
20191104T03-06,29659
20191104T02-06,29912
20191104T01-06,30788
20191104T00-06,33073
20191103T23-06,35054
20191103T22-06,36821
20191103T21-06,37799
20191103T20-06,38263
20191103T19-06,38089
20191103T18-06,36332
20191103T17-06,34805
20191103T16-06,34615
20191103T15-06,34882
20191103T14-06,35372
20191103T13-06,36091
20191103T12-06,37000
20191103T11-06,38003
20191103T10-06,38857
20191103T09-06,38789
20191103T08-06,37675
20191103T07-06,36785
20191103T06-06,35790
20191103T05-06,35053
20191103T04-06,34734
20191103T03-06,34881
20191103T02-06,35266
20191103T01-06,35266
20191103T01-05,35835
20191103T00-05,36207
20191102T23-05,37213
20191102T22-05,38113
20191102T21-05,38915
20191102T20-05,38763
20191102T19-05,36627
20191102T18-05,36546
20191102T17-05,36328
20191102T16-05,36030
20191102T15-05,36105
20191102T14-05,36778
20191102T13-05,37856
20191102T12-05,39244
20191102T11-05,40490
20191102T10-05,41031
20191102T09-05,41019
20191102T08-05,40595
20191102T07-05,38578
20191102T06-05,36876
20191102T05-05,35795
20191102T04-05,35110
20191102T03-05,35028
20191102T02-05,35047
20191102T01-05,35869
20191102T00-05,37722
20191101T23-05,38973
20191101T22-05,40366
20191101T21-05,41410
20191101T20-05,41344
20191101T19-05,39321
20191101T18-05,39474
20191101T17-05,39634
20191101T16-05,39597
20191101T15-05,39740
20191101T14-05,40253
20191101T13-05,41563
20191101T12-05,43151
20191101T11-05,45058
20191101T10-05,46565
20191101T09-05,48248
20191101T08-05,49658
20191101T07-05,48022
20191101T06-05,44122
20191101T05-05,41199
20191101T04-05,39950
20191101T03-05,39504
20191101T02-05,39083
20191101T01-05,39800
20191101T00-05,40179
20191031T23-05,41881
20191031T22-05,44228
20191031T21-05,44921
20191031T20-05,44561
20191031T19-05,41600
20191031T18-05,41150
20191031T17-05,41136
20191031T16-05,40340
20191031T15-05,40577
20191031T14-05,41722
20191031T13-05,43672
20191031T12-05,44532
20191031T11-05,47042
20191031T10-05,47351
20191031T09-05,47945
20191031T08-05,48710
20191031T07-05,46290
20191031T06-05,42442
20191031T05-05,39999
20191031T04-05,39277
20191031T03-05,38972
20191031T02-05,38367
20191031T01-05,38904
20191031T00-05,38771
20191030T23-05,40409
20191030T22-05,42362
20191030T21-05,43586
20191030T20-05,43992
20191030T19-05,43253
20191030T18-05,43180
20191030T17-05,43339
20191030T16-05,42928
20191030T15-05,42374
20191030T14-05,42302
20191030T13-05,41945
20191030T12-05,42118
20191030T11-05,41495
20191030T10-05,41020
20191030T09-05,39825
20191030T08-05,40230
20191030T07-05,38459
20191030T06-05,35320
20191030T05-05,33621
20191030T04-05,33007
20191030T03-05,33145
20191030T02-05,33571
20191030T01-05,34778
20191030T00-05,35514
20191029T23-05,37851
20191029T22-05,40228
20191029T21-05,41961
20191029T20-05,42441
20191029T19-05,41575
20191029T18-05,41799
20191029T17-05,42100
20191029T16-05,41694
20191029T15-05,41503
20191029T14-05,41264
20191029T13-05,40729
20191029T12-05,40236
20191029T11-05,39484
20191029T10-05,38603
20191029T09-05,37970
20191029T08-05,37945
20191029T07-05,36313
20191029T06-05,33055
20191029T05-05,31365
20191029T04-05,30983
20191029T03-05,31263
20191029T02-05,31981
20191029T01-05,33193
20191029T00-05,34792
20191028T23-05,37507
20191028T22-05,40303
20191028T21-05,42205
20191028T20-05,43010
20191028T19-05,42498
20191028T18-05,42997
20191028T17-05,43162
20191028T16-05,42541
20191028T15-05,41713
20191028T14-05,40762
20191028T13-05,39660
20191028T12-05,38798
20191028T11-05,37903
20191028T10-05,36967
20191028T09-05,36172
20191028T08-05,36170
20191028T07-05,34567
20191028T06-05,31320
20191028T05-05,29444
20191028T04-05,28871
20191028T03-05,29067
20191028T02-05,29623
20191028T01-05,30796
20191028T00-05,32122
20191027T23-05,34357
20191027T22-05,36528
20191027T21-05,37927
20191027T20-05,38443
20191027T19-05,37546
20191027T18-05,37808
20191027T17-05,37787
20191027T16-05,37068
20191027T15-05,36276
20191027T14-05,35607
20191027T13-05,34871
20191027T12-05,34309
20191027T11-05,33964
20191027T10-05,33383
20191027T09-05,32366
20191027T08-05,31484
20191027T07-05,30414
20191027T06-05,29614
20191027T05-05,29184
20191027T04-05,29192
20191027T03-05,29527
20191027T02-05,30142
20191027T01-05,31198
20191027T00-05,32716
20191026T23-05,34122
20191026T22-05,35296
20191026T21-05,36269
20191026T20-05,36582
20191026T19-05,35619
20191026T18-05,35845
20191026T17-05,35854
20191026T16-05,35446
20191026T15-05,35351
20191026T14-05,35478
20191026T13-05,35898
20191026T12-05,36428
20191026T11-05,36866
20191026T10-05,36774
20191026T09-05,36238
20191026T08-05,35540
20191026T07-05,34046
20191026T06-05,32823
20191026T05-05,31966
20191026T04-05,31805
20191026T03-05,32075
20191026T02-05,32773
20191026T01-05,33824
20191026T00-05,34302
20191025T23-05,35818
20191025T22-05,37133
20191025T21-05,38162
20191025T20-05,38336
20191025T19-05,37545
20191025T18-05,37675
20191025T17-05,37786
20191025T16-05,37546
20191025T15-05,37860
20191025T14-05,38142
20191025T13-05,38330
20191025T12-05,38750
20191025T11-05,38938
20191025T10-05,38740
20191025T09-05,38434
20191025T08-05,38398
20191025T07-05,36726
20191025T06-05,33546
20191025T05-05,31781
20191025T04-05,31433
20191025T03-05,31653
20191025T02-05,32470
20191025T01-05,33750
20191025T00-05,35252
20191024T23-05,38069
20191024T22-05,40639
20191024T21-05,42535
20191024T20-05,43493
20191024T19-05,43118
20191024T18-05,44130
20191024T17-05,44885
20191024T16-05,44746
20191024T15-05,44324
20191024T14-05,43362
20191024T13-05,41926
20191024T12-05,40774
20191024T11-05,39514
20191024T10-05,38201
20191024T09-05,37138
20191024T08-05,36853
20191024T07-05,35419
20191024T06-05,32402
20191024T05-05,30776
20191024T04-05,30576
20191024T03-05,31051
20191024T02-05,32049
20191024T01-05,33587
20191024T00-05,35212
20191023T23-05,38015
20191023T22-05,40692
20191023T21-05,42885
20191023T20-05,43932
20191023T19-05,43382
20191023T18-05,44450
20191023T17-05,44698
20191023T16-05,43881
20191023T15-05,42341
20191023T14-05,40980
20191023T13-05,39667
20191023T12-05,38510
20191023T11-05,37541
20191023T10-05,36557
20191023T09-05,35829
20191023T08-05,36178
20191023T07-05,34761
20191023T06-05,31535
20191023T05-05,29811
20191023T04-05,29570
20191023T03-05,29786
20191023T02-05,30708
20191023T01-05,31787
20191023T00-05,33833
20191022T23-05,36559
20191022T22-05,39313
20191022T21-05,41309
20191022T20-05,42143
20191022T19-05,41881
20191022T18-05,42740
20191022T17-05,43010
20191022T16-05,42284
20191022T15-05,41393
20191022T14-05,40505
20191022T13-05,39342
20191022T12-05,38561
20191022T11-05,37876
20191022T10-05,37108
20191022T09-05,36647
20191022T08-05,37090
20191022T07-05,35643
20191022T06-05,32294
20191022T05-05,30378
20191022T04-05,29861
20191022T03-05,30074
20191022T02-05,30961
20191022T01-05,32306
20191022T00-05,35142
20191021T23-05,38278
20191021T22-05,40912
20191021T21-05,43135
20191021T20-05,44009
20191021T19-05,43981
20191021T18-05,44659
20191021T17-05,45258
20191021T16-05,45217
20191021T15-05,44877
20191021T14-05,44497
20191021T13-05,43874
20191021T12-05,43584
20191021T11-05,42645
20191021T10-05,41589
20191021T09-05,40932
20191021T08-05,40774
20191021T07-05,39569
20191021T06-05,36824
20191021T05-05,35271
20191021T04-05,35025
20191021T03-05,35625
20191021T02-05,36885
20191021T01-05,38696
20191021T00-05,41402
20191020T23-05,44735
20191020T22-05,47605
20191020T21-05,49861
20191020T20-05,50980
20191020T19-05,51432
20191020T18-05,52673
20191020T17-05,52423
20191020T16-05,51313
20191020T15-05,49540
20191020T14-05,47491
20191020T13-05,45135
20191020T12-05,42650
20191020T11-05,40141
20191020T10-05,37747
20191020T09-05,35572
20191020T08-05,34200
20191020T07-05,33582
20191020T06-05,32806
20191020T05-05,32552
20191020T04-05,32898
20191020T03-05,33690
20191020T02-05,34881
20191020T01-05,36556
20191020T00-05,37804
20191019T23-05,40278
20191019T22-05,42423
20191019T21-05,44432
20191019T20-05,46092
20191019T19-05,46680
20191019T18-05,48275
20191019T17-05,48788
20191019T16-05,47819
20191019T15-05,46427
20191019T14-05,44770
20191019T13-05,42781
20191019T12-05,40688
20191019T11-05,38624
20191019T10-05,36479
20191019T09-05,34114
20191019T08-05,32499
20191019T07-05,31585
20191019T06-05,30544
20191019T05-05,30073
20191019T04-05,30251
20191019T03-05,30670
20191019T02-05,31641
20191019T01-05,33202
20191019T00-05,35294
20191018T23-05,37686
20191018T22-05,39585
20191018T21-05,41340
20191018T20-05,42514
20191018T19-05,42533
20191018T18-05,43978
20191018T17-05,44189
20191018T16-05,43186
20191018T15-05,42172
20191018T14-05,40902
20191018T13-05,39253
20191018T12-05,38256
20191018T11-05,37215
20191018T10-05,36248
20191018T09-05,35579
20191018T08-05,35864
20191018T07-05,34388
20191018T06-05,31129
20191018T05-05,29329
20191018T04-05,28954
20191018T03-05,29344
20191018T02-05,29971
20191018T01-05,31184
20191018T00-05,33635
20191017T23-05,36198
20191017T22-05,38714
20191017T21-05,40382
20191017T20-05,41037
20191017T19-05,40354
20191017T18-05,40864
20191017T17-05,40968
20191017T16-05,40463
20191017T15-05,39862
20191017T14-05,39282
20191017T13-05,38532
20191017T12-05,38046
20191017T11-05,37709
20191017T10-05,37214
20191017T09-05,36864
20191017T08-05,37210
20191017T07-05,35748
20191017T06-05,32541
20191017T05-05,30738
20191017T04-05,30228
20191017T03-05,30479
20191017T02-05,31310
20191017T01-05,32665
20191017T00-05,34388
20191016T23-05,36982
20191016T22-05,39606
20191016T21-05,41226
20191016T20-05,41940
20191016T19-05,41195
20191016T18-05,41627
20191016T17-05,42168
20191016T16-05,42186
20191016T15-05,42027
