,Day-ahead demand forecast1
20191219T00-05,18123
20191218T23-05,19777
20191218T22-05,21530
20191218T21-05,22706
20191218T20-05,23438
20191218T19-05,23723
20191218T18-05,22764
20191218T17-05,21178
20191218T16-05,21293
20191218T15-05,21628
20191218T14-05,22007
20191218T13-05,22170
20191218T12-05,22320
20191218T11-05,22115
20191218T10-05,21602
20191218T09-05,20890
20191218T08-05,20012
20191218T07-05,19165
20191218T06-05,17190
20191218T05-05,15554
20191218T04-05,15219
20191218T03-05,15472
20191218T02-05,15971
20191218T01-05,16938
20191218T00-05,18287
20191217T23-05,20716
20191217T22-05,23023
20191217T21-05,24777
20191217T20-05,26066
20191217T19-05,26952
20191217T18-05,27094
20191217T17-05,26477
20191217T16-05,26973
20191217T15-05,27151
20191217T14-05,26896
20191217T13-05,26328
20191217T12-05,25557
20191217T11-05,24577
20191217T10-05,23443
20191217T09-05,22093
20191217T08-05,20796
20191217T07-05,19694
20191217T06-05,17648
20191217T05-05,15908
20191217T04-05,15389
20191217T03-05,15715
20191217T02-05,16068
20191217T01-05,17106
20191217T00-05,18328
20191216T23-05,20324
20191216T22-05,22383
20191216T21-05,23986
20191216T20-05,25086
20191216T19-05,25908
20191216T18-05,25993
20191216T17-05,25138
20191216T16-05,25373
20191216T15-05,25176
20191216T14-05,24950
20191216T13-05,24309
20191216T12-05,23647
20191216T11-05,22850
20191216T10-05,21794
20191216T09-05,20507
20191216T08-05,19266
20191216T07-05,18217
20191216T06-05,16080
20191216T05-05,14541
20191216T04-05,14050
20191216T03-05,14026
20191216T02-05,14394
20191216T01-05,15130
20191216T00-05,16666
20191215T23-05,18274
20191215T22-05,19881
20191215T21-05,20986
20191215T20-05,21807
20191215T19-05,22496
20191215T18-05,22568
20191215T17-05,21517
20191215T16-05,21682
20191215T15-05,21783
20191215T14-05,21541
20191215T13-05,21267
20191215T12-05,20743
20191215T11-05,20174
20191215T10-05,19566
20191215T09-05,18454
20191215T08-05,16632
20191215T07-05,15195
20191215T06-05,14149
20191215T05-05,13678
20191215T04-05,13522
20191215T03-05,13808
20191215T02-05,14224
20191215T01-05,15151
20191215T00-05,15999
20191214T23-05,18256
20191214T22-05,19842
20191214T21-05,21108
20191214T20-05,22090
20191214T19-05,23089
20191214T18-05,23523
20191214T17-05,22791
20191214T16-05,23098
20191214T15-05,23454
20191214T14-05,23694
20191214T13-05,23559
20191214T12-05,23109
20191214T11-05,22406
20191214T10-05,21277
20191214T09-05,19662
20191214T08-05,17614
20191214T07-05,16329
20191214T06-05,15190
20191214T05-05,14680
20191214T04-05,14558
20191214T03-05,14968
20191214T02-05,15385
20191214T01-05,16446
20191214T00-05,17738
20191213T23-05,19673
20191213T22-05,21379
20191213T21-05,22686
20191213T20-05,23794
20191213T19-05,24627
20191213T18-05,25038
20191213T17-05,24234
20191213T16-05,24554
20191213T15-05,24883
20191213T14-05,24698
20191213T13-05,24565
20191213T12-05,24052
20191213T11-05,23330
20191213T10-05,22235
20191213T09-05,20873
20191213T08-05,19606
20191213T07-05,18761
20191213T06-05,16561
20191213T05-05,14939
20191213T04-05,14495
20191213T03-05,14750
