,Day-ahead demand forecast1
20191115T00-05,1452
20191114T23-05,1554
20191114T22-05,1731
20191114T21-05,1894
20191114T20-05,2019
20191114T19-05,2126
20191114T18-05,2148
20191114T17-05,2049
20191114T16-05,2091
20191114T15-05,2096
20191114T14-05,2082
20191114T13-05,2053
20191114T12-05,1994
20191114T11-05,1935
20191114T10-05,1861
20191114T09-05,1767
20191114T08-05,1686
20191114T07-05,1616
20191114T06-05,1462
20191114T05-05,1284
20191114T04-05,1220
20191114T03-05,1223
20191114T02-05,1250
20191114T01-05,1311
20191114T00-05,1339
20191113T23-05,1467
20191113T22-05,1618
20191113T21-05,1757
20191113T20-05,1852
20191113T19-05,1910
20191113T18-05,1919
20191113T17-05,1746
20191113T16-05,1728
20191113T15-05,1740
20191113T14-05,1749
20191113T13-05,1750
20191113T12-05,1754
20191113T11-05,1739
20191113T10-05,1713
20191113T09-05,1664
20191113T08-05,1617
20191113T07-05,1554
20191113T06-05,1387
20191113T05-05,1226
20191113T04-05,1174
20191113T03-05,1184
20191113T02-05,1218
20191113T01-05,1306
20191113T00-05,1538
20191112T23-05,1712
20191112T22-05,1909
20191112T21-05,2088
20191112T20-05,2229
20191112T19-05,2346
20191112T18-05,2406
20191112T17-05,2333
20191112T16-05,2385
20191112T15-05,2409
20191112T14-05,2390
20191112T13-05,2351
20191112T12-05,2272
20191112T11-05,2162
20191112T10-05,2029
20191112T09-05,1882
20191112T08-05,1760
20191112T07-05,1678
20191112T06-05,1512
20191112T05-05,1325
20191112T04-05,1266
20191112T03-05,1265
20191112T02-05,1292
20191112T01-05,1354
20191112T00-05,1462
20191111T23-05,1636
20191111T22-05,1817
20191111T21-05,2005
20191111T20-05,2145
20191111T19-05,2335
20191111T18-05,2301
20191111T17-05,2193
20191111T16-05,2252
20191111T15-05,2274
20191111T14-05,2246
20191111T13-05,2219
20191111T12-05,2139
20191111T11-05,2082
20191111T10-05,1986
20191111T09-05,1856
20191111T08-05,1750
20191111T07-05,1658
20191111T06-05,1506
20191111T05-05,1319
20191111T04-05,1251
20191111T03-05,1250
20191111T02-05,1287
20191111T01-05,1355
20191111T00-05,1440
20191110T23-05,1576
20191110T22-05,1762
20191110T21-05,1877
20191110T20-05,2003
20191110T19-05,2140
20191110T18-05,2129
20191110T17-05,2028
20191110T16-05,2068
20191110T15-05,2087
20191110T14-05,2092
20191110T13-05,2047
20191110T12-05,1958
20191110T11-05,1870
20191110T10-05,1751
20191110T09-05,1599
20191110T08-05,1441
20191110T07-05,1337
20191110T06-05,1295
20191110T05-05,1248
20191110T04-05,1245
20191110T03-05,1265
20191110T02-05,1297
20191110T01-05,1358
20191110T00-05,1450
20191109T23-05,1574
20191109T22-05,1696
20191109T21-05,1813
20191109T20-05,1892
20191109T19-05,2045
20191109T18-05,2031
20191109T17-05,1919
20191109T16-05,1950
20191109T15-05,1985
20191109T14-05,1998
20191109T13-05,1970
20191109T12-05,1917
20191109T11-05,1845
20191109T10-05,1752
20191109T09-05,1634
20191109T08-05,1483
20191109T07-05,1351
20191109T06-05,1305
20191109T05-05,1255
20191109T04-05,1257
20191109T03-05,1277
20191109T02-05,1331
20191109T01-05,1423
20191109T00-05,1570
20191108T23-05,1730
20191108T22-05,1890
