,Day-ahead demand forecast
20191114T05Z,10744
20191114T04Z,11736
20191114T03Z,12673
20191114T02Z,13595
20191114T01Z,14166
20191114T00Z,14721
20191113T23Z,14815
20191113T22Z,14687
20191113T21Z,15188
20191113T20Z,15770
20191113T19Z,15334
20191113T18Z,14825
20191113T17Z,14386
20191113T16Z,13849
20191113T15Z,13249
20191113T14Z,12652
20191113T13Z,11514
20191113T12Z,10663
20191113T11Z,9829
20191113T10Z,9022
20191113T09Z,8875
20191113T08Z,9042
20191113T07Z,9077
20191113T06Z,9623
20191113T05Z,10784
20191113T04Z,11990
20191113T03Z,13255
20191113T02Z,14429
20191113T01Z,15485
20191113T00Z,16322
20191112T23Z,16853
20191112T22Z,16938
20191112T21Z,17359
20191112T20Z,17727
20191112T19Z,17398
20191112T18Z,16674
20191112T17Z,15917
20191112T16Z,15094
20191112T15Z,14021
20191112T14Z,12729
20191112T13Z,11395
20191112T12Z,10473
20191112T11Z,9742
20191112T10Z,8932
20191112T09Z,8581
20191112T08Z,8645
20191112T07Z,9050
20191112T06Z,9613
20191112T05Z,10845
20191112T04Z,11936
20191112T03Z,13104
20191112T02Z,14123
20191112T01Z,14923
20191112T00Z,15691
20191111T23Z,16001
20191111T22Z,16078
20191111T21Z,16502
20191111T20Z,16698
20191111T19Z,16207
20191111T18Z,15895
20191111T17Z,15369
20191111T16Z,14593
20191111T15Z,13556
20191111T14Z,12395
20191111T13Z,11286
20191111T12Z,10281
20191111T11Z,9420
20191111T10Z,8524
20191111T09Z,8288
20191111T08Z,8395
20191111T07Z,8753
20191111T06Z,9504
20191111T05Z,10205
20191111T04Z,11132
20191111T03Z,12089
20191111T02Z,12980
20191111T01Z,13614
20191111T00Z,14261
20191110T23Z,14732
20191110T22Z,14667
20191110T21Z,15121
20191110T20Z,15491
20191110T19Z,15170
20191110T18Z,14905
20191110T17Z,14437
20191110T16Z,13473
20191110T15Z,12319
20191110T14Z,10990
20191110T13Z,9574
20191110T12Z,8572
20191110T11Z,8207
20191110T10Z,7988
20191110T09Z,8040
20191110T08Z,8261
20191110T07Z,8495
20191110T06Z,9749
20191110T05Z,11094
20191110T04Z,11854
20191110T03Z,12546
20191110T02Z,13291
20191110T01Z,13864
20191110T00Z,14550
20191109T23Z,14855
20191109T22Z,14843
20191109T21Z,15350
20191109T20Z,15559
20191109T19Z,15750
20191109T18Z,15583
20191109T17Z,15363
20191109T16Z,14836
20191109T15Z,14258
20191109T14Z,13381
20191109T13Z,11793
20191109T12Z,10600
20191109T11Z,10239
20191109T10Z,9864
20191109T09Z,9874
20191109T08Z,10223
20191109T07Z,10683
20191109T06Z,10984
20191109T05Z,12085
20191109T04Z,13148
20191109T03Z,14014
20191109T02Z,14953
20191109T01Z,15896
20191109T00Z,16838
20191108T23Z,17313
20191108T22Z,17617
20191108T21Z,18369
20191108T20Z,19000
20191108T19Z,19171
20191108T18Z,18410
20191108T17Z,17918
20191108T16Z,16792
20191108T15Z,15756
20191108T14Z,14530
20191108T13Z,13068
20191108T12Z,12144
20191108T11Z,11153
20191108T10Z,10173
20191108T09Z,9979
20191108T08Z,10286
20191108T07Z,10747
20191108T06Z,11308
20191108T05Z,12387
20191108T04Z,13790
20191108T03Z,15143
20191108T02Z,16259
20191108T01Z,17245
20191108T00Z,18026
20191107T23Z,18621
20191107T22Z,18821
20191107T21Z,19191
20191107T20Z,19741
20191107T19Z,19538
20191107T18Z,18933
20191107T17Z,18464
20191107T16Z,17434
20191107T15Z,16117
20191107T14Z,14817
20191107T13Z,13220
20191107T12Z,12443
20191107T11Z,11555
20191107T10Z,10702
20191107T09Z,10528
20191107T08Z,10770
20191107T07Z,11246
20191107T06Z,11894
20191107T05Z,12713
20191107T04Z,14015
20191107T03Z,15348
20191107T02Z,16497
20191107T01Z,17356
20191107T00Z,18095
20191106T23Z,18452
20191106T22Z,18586
20191106T21Z,19082
20191106T20Z,19488
20191106T19Z,19452
20191106T18Z,19146
20191106T17Z,18514
20191106T16Z,17410
20191106T15Z,16141
20191106T14Z,14696
20191106T13Z,13143
20191106T12Z,12320
20191106T11Z,11296
20191106T10Z,10454
20191106T09Z,10196
20191106T08Z,10456
20191106T07Z,10925
20191106T06Z,11640
20191106T05Z,12784
20191106T04Z,14036
20191106T03Z,15434
20191106T02Z,16617
20191106T01Z,17456
20191106T00Z,17931
20191105T23Z,18467
20191105T22Z,18731
20191105T21Z,19357
20191105T20Z,19723
20191105T19Z,19798
20191105T18Z,19212
20191105T17Z,18673
20191105T16Z,17518
20191105T15Z,16180
20191105T14Z,14693
20191105T13Z,13106
20191105T12Z,12582
20191105T11Z,11503
