,Day-ahead demand forecast
20191114T08Z,565
20191114T07Z,570
20191114T06Z,582
20191114T05Z,590
20191114T04Z,592
20191114T03Z,589
20191114T02Z,583
20191114T01Z,568
20191114T00Z,555
20191113T23Z,552
20191113T22Z,558
20191113T21Z,570
20191113T20Z,582
20191113T19Z,595
20191113T18Z,608
20191113T17Z,626
20191113T16Z,641
20191113T15Z,642
20191113T14Z,618
20191113T13Z,597
20191113T12Z,588
20191113T11Z,582
20191113T10Z,579
20191113T09Z,574
20191113T08Z,582
20191113T07Z,588
20191113T06Z,595
20191113T05Z,599
20191113T04Z,602
20191113T03Z,598
20191113T02Z,598
20191113T01Z,585
20191113T00Z,569
20191112T23Z,561
20191112T22Z,561
20191112T21Z,574
20191112T20Z,577
20191112T19Z,589
20191112T18Z,605
20191112T17Z,621
20191112T16Z,628
20191112T15Z,625
20191112T14Z,611
20191112T13Z,599
20191112T12Z,589
20191112T11Z,585
20191112T10Z,577
20191112T09Z,564
20191112T08Z,577
20191112T07Z,582
20191112T06Z,590
20191112T05Z,596
20191112T04Z,593
20191112T03Z,592
20191112T02Z,582
20191112T01Z,566
20191112T00Z,557
20191111T23Z,555
20191111T22Z,559
20191111T21Z,569
20191111T20Z,579
20191111T19Z,593
20191111T18Z,610
20191111T17Z,628
20191111T16Z,643
20191111T15Z,639
20191111T14Z,613
20191111T13Z,589
20191111T12Z,577
20191111T11Z,571
20191111T10Z,564
20191111T09Z,554
20191111T08Z,548
20191111T07Z,550
20191111T06Z,557
20191111T05Z,561
20191111T04Z,558
20191111T03Z,552
20191111T02Z,543
20191111T01Z,527
20191111T00Z,519
20191110T23Z,521
20191110T22Z,527
20191110T21Z,537
20191110T20Z,546
20191110T19Z,562
20191110T18Z,577
20191110T17Z,585
20191110T16Z,585
20191110T15Z,581
20191110T14Z,572
20191110T13Z,558
20191110T12Z,556
20191110T11Z,553
20191110T10Z,550
20191110T09Z,576
20191110T08Z,562
20191110T07Z,565
20191110T06Z,573
20191110T05Z,576
20191110T04Z,576
20191110T03Z,576
20191110T02Z,576
20191110T01Z,561
20191110T00Z,551
20191109T23Z,552
20191109T22Z,554
20191109T21Z,566
20191109T20Z,580
20191109T19Z,597
20191109T18Z,604
20191109T17Z,614
20191109T16Z,609
20191109T15Z,612
20191109T14Z,607
20191109T13Z,593
20191109T12Z,580
20191109T11Z,581
20191109T10Z,572
20191109T09Z,585
20191109T08Z,579
20191109T07Z,582
20191109T06Z,589
20191109T05Z,593
20191109T04Z,593
20191109T03Z,590
20191109T02Z,579
20191109T01Z,564
20191109T00Z,555
20191108T23Z,556
20191108T22Z,565
20191108T21Z,574
20191108T20Z,587
20191108T19Z,603
