,Day-ahead demand forecast1
20191219T00-08,1806
20191218T23-08,1880
20191218T22-08,2010
20191218T21-08,2154
20191218T20-08,2241
20191218T19-08,2282
20191218T18-08,2308
20191218T17-08,2266
20191218T16-08,2115
20191218T15-08,2046
20191218T14-08,2038
20191218T13-08,2065
20191218T12-08,2125
20191218T11-08,2208
20191218T10-08,2282
20191218T09-08,2364
20191218T08-08,2441
20191218T07-08,2444
20191218T06-08,2314
20191218T05-08,2122
20191218T04-08,2004
20191218T03-08,1954
20191218T02-08,1939
20191218T01-08,1929
20191218T00-08,1909
20191217T23-08,2032
20191217T22-08,2163
20191217T21-08,2300
20191217T20-08,2379
20191217T19-08,2403
20191217T18-08,2410
20191217T17-08,2351
20191217T16-08,2178
20191217T15-08,2102
20191217T14-08,2099
20191217T13-08,2128
20191217T12-08,2182
20191217T11-08,2258
20191217T10-08,2328
20191217T09-08,2396
20191217T08-08,2443
20191217T07-08,2415
20191217T06-08,2269
20191217T05-08,2077
20191217T04-08,1957
20191217T03-08,1911
20191217T02-08,1899
20191217T01-08,1863
20191217T00-08,1833
20191216T23-08,1961
20191216T22-08,2095
20191216T21-08,2233
20191216T20-08,2319
20191216T19-08,2350
20191216T18-08,2363
20191216T17-08,2317
20191216T16-08,2174
20191216T15-08,2108
20191216T14-08,2096
20191216T13-08,2112
20191216T12-08,2145
20191216T11-08,2200
20191216T10-08,2263
20191216T09-08,2324
20191216T08-08,2359
20191216T07-08,2332
20191216T06-08,2191
20191216T05-08,1991
20191216T04-08,1858
20191216T03-08,1808
20191216T02-08,1783
20191216T01-08,1743
20191216T00-08,1750
20191215T23-08,1835
20191215T22-08,1952
20191215T21-08,2082
20191215T20-08,2157
20191215T19-08,2186
20191215T18-08,2198
20191215T17-08,2170
20191215T16-08,2032
20191215T15-08,1969
20191215T14-08,1961
20191215T13-08,1986
20191215T12-08,2019
20191215T11-08,2052
20191215T10-08,2082
20191215T09-08,2102
20191215T08-08,2068
20191215T07-08,1976
20191215T06-08,1878
20191215T05-08,1800
20191215T04-08,1753
20191215T03-08,1742
20191215T02-08,1738
20191215T01-08,1749
20191215T00-08,1789
20191214T23-08,1860
20191214T22-08,1955
20191214T21-08,2034
20191214T20-08,2084
20191214T19-08,2106
20191214T18-08,2128
20191214T17-08,2113
20191214T16-08,1995
20191214T15-08,1936
20191214T14-08,1930
20191214T13-08,1954
20191214T12-08,1996
20191214T11-08,2043
20191214T10-08,2064
20191214T09-08,2074
20191214T08-08,2054
20191214T07-08,1973
20191214T06-08,1866
20191214T05-08,1772
20191214T04-08,1711
20191214T03-08,1685
20191214T02-08,1676
20191214T01-08,1673
20191214T00-08,1730
20191213T23-08,1754
20191213T22-08,1855
20191213T21-08,1950
20191213T20-08,2007
20191213T19-08,2046
20191213T18-08,2084
