,Day-ahead demand forecast1
20200103T01-05,1240
20191030T00-04,1387
20191029T23-04,1537
20191029T22-04,1661
20191029T21-04,1756
20191029T20-04,1790
20191029T19-04,1811
20191029T18-04,1826
20191029T17-04,1852
20191029T16-04,1852
20191029T15-04,1833
20191029T14-04,1778
20191029T13-04,1724
20191029T12-04,1649
20191029T11-04,1575
20191029T10-04,1498
20191029T09-04,1433
20191029T08-04,1403
20191029T07-04,1379
20191029T06-04,1245
20191029T05-04,1134
20191029T04-04,1105
20191029T03-04,1134
20191029T02-04,1191
20191029T01-04,1273
20191029T00-04,1388
20191028T23-04,1540
20191028T22-04,1666
20191028T21-04,1762
20191028T20-04,1791
20191028T19-04,1803
20191028T18-04,1814
20191028T17-04,1829
20191028T16-04,1821
20191028T15-04,1794
20191028T14-04,1747
20191028T13-04,1705
20191028T12-04,1623
20191028T11-04,1545
20191028T10-04,1470
20191028T09-04,1389
20191028T08-04,1356
20191028T07-04,1321
20191028T06-04,1201
20191028T05-04,1089
20191028T04-04,1057
20191028T03-04,1083
20191028T02-04,1136
20191028T01-04,1223
20191028T00-04,1297
20191027T23-04,1419
20191027T22-04,1524
20191027T21-04,1599
20191027T20-04,1629
20191027T19-04,1643
20191027T18-04,1660
20191027T17-04,1649
20191027T16-04,1641
20191027T15-04,1633
20191027T14-04,1583
20191027T13-04,1533
20191027T12-04,1475
20191027T11-04,1394
20191027T10-04,1314
20191027T09-04,1222
20191027T08-04,1115
20191027T07-04,1077
20191027T06-04,1039
20191027T05-04,1068
20191027T04-04,1069
20191027T03-04,1108
20191027T02-04,1157
20191027T01-04,1234
20191027T00-04,1299
20191026T23-04,1400
20191026T22-04,1475
20191026T21-04,1548
20191026T20-04,1580
20191026T19-04,1591
20191026T18-04,1613
20191026T17-04,1628
20191026T16-04,1638
20191026T15-04,1630
20191026T14-04,1597
20191026T13-04,1570
20191026T12-04,1524
20191026T11-04,1451
20191026T10-04,1372
20191026T09-04,1284
20191026T08-04,1195
20191026T07-04,1146
20191026T06-04,1090
20191026T05-04,1085
20191026T04-04,1087
20191026T03-04,1114
20191026T02-04,1163
20191026T01-04,1248
20191026T00-04,1339
20191025T23-04,1451
20191025T22-04,1555
20191025T21-04,1622
20191025T20-04,1662
20191025T19-04,1705
20191025T18-04,1733
20191025T17-04,1743
20191025T16-04,1745
20191025T15-04,1709
20191025T14-04,1681
20191025T13-04,1651
20191025T12-04,1608
20191025T11-04,1536
20191025T10-04,1466
20191025T09-04,1395
20191025T08-04,1359
20191025T07-04,1332
20191025T06-04,1198
20191025T05-04,1092
20191025T04-04,1053
20191025T03-04,1076
20191025T02-04,1119
20191025T01-04,1198
20191025T00-04,1307
20191024T23-04,1434
20191024T22-04,1556
20191024T21-04,1622
20191024T20-04,1632
20191024T19-04,1653
20191024T18-04,1654
20191024T17-04,1623
20191024T16-04,1591
20191024T15-04,1577
20191024T14-04,1519
20191024T13-04,1480
20191024T12-04,1458
20191024T11-04,1402
20191024T10-04,1387
20191024T09-04,1350
20191024T08-04,1332
20191024T07-04,1306
20191024T06-04,1170
20191024T05-04,1038
20191024T04-04,998
20191024T03-04,1015
20191024T02-04,1055
20191024T01-04,1121
20191024T00-04,1222
20191023T23-04,1343
20191023T22-04,1444
20191023T21-04,1513
20191023T20-04,1540
20191023T19-04,1562
20191023T18-04,1577
20191023T17-04,1553
20191023T16-04,1543
20191023T15-04,1514
20191023T14-04,1464
20191023T13-04,1431
20191023T12-04,1402
20191023T11-04,1367
20191023T10-04,1351
20191023T09-04,1322
20191023T08-04,1315
20191023T07-04,1294
20191023T06-04,1177
20191023T05-04,1064
20191023T04-04,1036
20191023T03-04,1070
20191023T02-04,1127
20191023T01-04,1222
20191023T00-04,1403
20191022T23-04,1568
20191022T22-04,1708
20191022T21-04,1822
20191022T20-04,1877
20191022T19-04,1941
20191022T18-04,1981
20191022T17-04,1998
20191022T16-04,2010
20191022T15-04,1987
20191022T14-04,1938
20191022T13-04,1864
20191022T12-04,1773
20191022T11-04,1677
20191022T10-04,1570
20191022T09-04,1481
20191022T08-04,1427
20191022T07-04,1390
20191022T06-04,1266
20191022T05-04,1154
20191022T04-04,1132
20191022T03-04,1163
20191022T02-04,1215
20191022T01-04,1304
20191022T00-04,1412
20191021T23-04,1578
20191021T22-04,1708
20191021T21-04,1813
20191021T20-04,1858
20191021T19-04,1905
20191021T18-04,1926
20191021T17-04,1935
20191021T16-04,1917
20191021T15-04,1879
20191021T14-04,1803
20191021T13-04,1726
20191021T12-04,1620
20191021T11-04,1514
20191021T10-04,1414
20191021T09-04,1326
20191021T08-04,1290
20191021T07-04,1249
20191021T06-04,1132
20191021T05-04,1021
20191021T04-04,994
20191021T03-04,1025
20191021T02-04,1082
20191021T01-04,1173
20191021T00-04,1242
20191020T23-04,1382
20191020T22-04,1491
20191020T21-04,1572
20191020T20-04,1598
20191020T19-04,1640
20191020T18-04,1664
20191020T17-04,1662
20191020T16-04,1626
20191020T15-04,1583
20191020T14-04,1533
20191020T13-04,1472
20191020T12-04,1404
20191020T11-04,1322
20191020T10-04,1245
20191020T09-04,1161
20191020T08-04,1077
20191020T07-04,1033
20191020T06-04,1008
20191020T05-04,1019
20191020T04-04,1036
20191020T03-04,1084
20191020T02-04,1141
20191020T01-04,1235
20191020T00-04,1317
20191019T23-04,1429
20191019T22-04,1511
20191019T21-04,1567
20191019T20-04,1592
20191019T19-04,1611
20191019T18-04,1622
20191019T17-04,1614
20191019T16-04,1607
20191019T15-04,1587
20191019T14-04,1552
20191019T13-04,1526
20191019T12-04,1496
20191019T11-04,1425
20191019T10-04,1351
20191019T09-04,1275
20191019T08-04,1190
20191019T07-04,1143
20191019T06-04,1076
20191019T05-04,1062
20191019T04-04,1057
20191019T03-04,1078
20191019T02-04,1126
20191019T01-04,1198
20191019T00-04,1269
20191018T23-04,1381
20191018T22-04,1473
20191018T21-04,1531
20191018T20-04,1540
20191018T19-04,1568
20191018T18-04,1563
20191018T17-04,1558
20191018T16-04,1516
20191018T15-04,1489
20191018T14-04,1451
20191018T13-04,1404
20191018T12-04,1378
20191018T11-04,1368
20191018T10-04,1337
20191018T09-04,1303
20191018T08-04,1295
20191018T07-04,1255
20191018T06-04,1128
20191018T05-04,1007
20191018T04-04,973
20191018T03-04,994
20191018T02-04,1036
20191018T01-04,1114
20191018T00-04,1249
20191017T23-04,1394
20191017T22-04,1510
20191017T21-04,1592
20191017T20-04,1628
20191017T19-04,1670
20191017T18-04,1703
20191017T17-04,1700
20191017T16-04,1662
20191017T15-04,1613
20191017T14-04,1560
20191017T13-04,1500
20191017T12-04,1452
20191017T11-04,1393
20191017T10-04,1359
20191017T09-04,1337
20191017T08-04,1339
20191017T07-04,1310
20191017T06-04,1193
20191017T05-04,1082
20191017T04-04,1067
20191017T03-04,1102
20191017T02-04,1165
20191017T01-04,1278
20191017T00-04,1454
