,Day-ahead demand forecast1
20191219T00-08,2745
20191218T23-08,2972
20191218T22-08,3109
20191218T21-08,3194
20191218T20-08,3261
20191218T19-08,3291
20191218T18-08,3300
20191218T17-08,3136
20191218T16-08,3021
20191218T15-08,3022
20191218T14-08,3039
20191218T13-08,3091
20191218T12-08,3156
20191218T11-08,3193
20191218T10-08,3154
20191218T09-08,3019
20191218T08-08,2855
20191218T07-08,2640
20191218T06-08,2390
20191218T05-08,2211
20191218T04-08,2150
20191218T03-08,2163
20191218T02-08,2217
20191218T01-08,2262
20191218T00-08,2726
20191217T23-08,2973
20191217T22-08,3113
20191217T21-08,3169
20191217T20-08,3209
20191217T19-08,3223
20191217T18-08,3225
20191217T17-08,3054
20191217T16-08,2890
20191217T15-08,2814
20191217T14-08,2787
20191217T13-08,2819
20191217T12-08,2845
20191217T11-08,2829
20191217T10-08,2829
20191217T09-08,2857
20191217T08-08,2843
20191217T07-08,2694
20191217T06-08,2419
20191217T05-08,2187
20191217T04-08,2104
20191217T03-08,2100
20191217T02-08,2220
20191217T01-08,2271
20191217T00-08,2691
20191216T23-08,2919
20191216T22-08,3077
20191216T21-08,3165
20191216T20-08,3215
20191216T19-08,3240
20191216T18-08,3250
20191216T17-08,3091
20191216T16-08,2947
20191216T15-08,2914
20191216T14-08,2879
20191216T13-08,2869
20191216T12-08,2861
20191216T11-08,2853
20191216T10-08,2860
20191216T09-08,2833
20191216T08-08,2771
20191216T07-08,2625
20191216T06-08,2352
20191216T05-08,2130
20191216T04-08,2054
20191216T03-08,2050
20191216T02-08,2165
20191216T01-08,2216
20191216T00-08,2622
20191215T23-08,2800
20191215T22-08,2904
20191215T21-08,2957
20191215T20-08,2988
20191215T19-08,3000
20191215T18-08,2921
20191215T17-08,2681
20191215T16-08,2460
20191215T15-08,2356
20191215T14-08,2298
20191215T13-08,2293
20191215T12-08,2310
20191215T11-08,2342
20191215T10-08,2321
20191215T09-08,2252
20191215T08-08,2188
20191215T07-08,2125
20191215T06-08,2061
20191215T05-08,2012
20191215T04-08,2000
20191215T03-08,2059
20191215T02-08,2149
20191215T01-08,2204
20191215T00-08,2512
20191214T23-08,2644
20191214T22-08,2745
20191214T21-08,2794
20191214T20-08,2844
20191214T19-08,2894
20191214T18-08,2900
20191214T17-08,2731
20191214T16-08,2614
20191214T15-08,2597
20191214T14-08,2599
20191214T13-08,2610
20191214T12-08,2603
20191214T11-08,2557
20191214T10-08,2508
