,Day-ahead demand forecast
20191114T05Z,4301
20191114T04Z,4422
20191114T03Z,4568
20191114T02Z,4660
20191114T01Z,4644
20191114T00Z,4568
20191113T23Z,4360
20191113T22Z,4163
20191113T21Z,4147
20191113T20Z,4217
20191113T19Z,4322
20191113T18Z,4571
20191113T17Z,4804
20191113T16Z,5092
20191113T15Z,5396
20191113T14Z,5587
20191113T13Z,5639
20191113T12Z,5485
20191113T11Z,5132
20191113T10Z,4915
20191113T09Z,4848
20191113T08Z,4822
20191113T07Z,4846
20191113T06Z,4876
20191113T05Z,4807
20191113T04Z,4900
20191113T03Z,5037
20191113T02Z,5122
20191113T01Z,5113
20191113T00Z,5000
20191112T23Z,4719
20191112T22Z,4548
20191112T21Z,4528
20191112T20Z,4593
20191112T19Z,4650
20191112T18Z,4732
20191112T17Z,4846
20191112T16Z,4950
20191112T15Z,5000
20191112T14Z,4996
20191112T13Z,4918
20191112T12Z,4706
20191112T11Z,4303
20191112T10Z,3969
20191112T09Z,3834
20191112T08Z,3761
20191112T07Z,3739
20191112T06Z,3767
20191112T05Z,3998
20191112T04Z,4080
20191112T03Z,4208
20191112T02Z,4263
20191112T01Z,4309
20191112T00Z,4274
20191111T23Z,4116
20191111T22Z,3957
20191111T21Z,3942
20191111T20Z,3960
20191111T19Z,4000
20191111T18Z,4055
20191111T17Z,4045
20191111T16Z,4087
20191111T15Z,4140
20191111T14Z,4178
20191111T13Z,4166
20191111T12Z,3994
20191111T11Z,3650
20191111T10Z,3354
20191111T09Z,3194
20191111T08Z,3105
20191111T07Z,3072
20191111T06Z,3045
20191111T05Z,3315
20191111T04Z,3437
20191111T03Z,3570
20191111T02Z,3649
20191111T01Z,3677
20191111T00Z,3657
20191110T23Z,3517
20191110T22Z,3355
20191110T21Z,3322
20191110T20Z,3331
20191110T19Z,3356
20191110T18Z,3423
20191110T17Z,3528
20191110T16Z,3628
20191110T15Z,3725
20191110T14Z,3734
20191110T13Z,3675
20191110T12Z,3576
20191110T11Z,3477
20191110T10Z,3416
20191110T09Z,3397
20191110T08Z,3396
20191110T07Z,3413
20191110T06Z,3461
20191110T05Z,3606
20191110T04Z,3753
20191110T03Z,3891
20191110T02Z,3998
20191110T01Z,4012
20191110T00Z,4011
20191109T23Z,3851
20191109T22Z,3652
20191109T21Z,3592
20191109T20Z,3630
20191109T19Z,3721
20191109T18Z,3853
20191109T17Z,4003
20191109T16Z,4184
20191109T15Z,4325
20191109T14Z,4386
20191109T13Z,4337
20191109T12Z,4206
20191109T11Z,4073
20191109T10Z,3992
20191109T09Z,3958
20191109T08Z,3959
20191109T07Z,3993
20191109T06Z,4069
20191109T05Z,4163
20191109T04Z,4284
20191109T03Z,4386
20191109T02Z,4430
20191109T01Z,4431
20191109T00Z,4380
20191108T23Z,4180
20191108T22Z,3991
20191108T21Z,4012
20191108T20Z,4099
20191108T19Z,4202
20191108T18Z,4301
20191108T17Z,4437
20191108T16Z,4593
20191108T15Z,4700
20191108T14Z,4775
20191108T13Z,4787
20191108T12Z,4577
20191108T11Z,4234
20191108T10Z,3988
20191108T09Z,3861
20191108T08Z,3812
20191108T07Z,3782
20191108T06Z,3782
20191108T05Z,3902
20191108T04Z,4033
20191108T03Z,4179
20191108T02Z,4273
20191108T01Z,4310
20191108T00Z,4313
20191107T23Z,4180
20191107T22Z,4012
20191107T21Z,3998
20191107T20Z,4011
20191107T19Z,4030
20191107T18Z,4020
20191107T17Z,4030
20191107T16Z,4032
20191107T15Z,3971
20191107T14Z,3927
20191107T13Z,3890
20191107T12Z,3670
20191107T11Z,3363
20191107T10Z,3160
20191107T09Z,3071
20191107T08Z,3062
20191107T07Z,3062
20191107T06Z,3092
20191107T05Z,3365
20191107T04Z,3490
20191107T03Z,3647
20191107T02Z,3741
20191107T01Z,3802
20191107T00Z,3749
20191106T23Z,3579
20191106T22Z,3493
20191106T21Z,3509
20191106T20Z,3605
20191106T19Z,3675
20191106T18Z,3728
20191106T17Z,3795
20191106T16Z,3905
20191106T15Z,4056
20191106T14Z,4221
20191106T13Z,4347
20191106T12Z,4249
20191106T11Z,3905
20191106T10Z,3645
20191106T09Z,3529
20191106T08Z,3475
20191106T07Z,3420
20191106T06Z,3433
20191106T05Z,3618
20191106T04Z,3669
20191106T03Z,3799
20191106T02Z,3887
20191106T01Z,3921
20191106T00Z,3929
20191105T23Z,3820
20191105T22Z,3640
20191105T21Z,3597
20191105T20Z,3666
20191105T19Z,3627
20191105T18Z,3626
20191105T17Z,3787
20191105T16Z,3842
20191105T15Z,4042
20191105T14Z,4081
20191105T13Z,4129
20191105T12Z,3936
20191105T11Z,3592
20191105T10Z,3385
20191105T09Z,3294
20191105T08Z,3215
20191105T07Z,3207
20191105T06Z,3212
20191105T05Z,3495
20191105T04Z,3591
20191105T03Z,3865
20191105T02Z,3934
20191105T01Z,3987
20191105T00Z,3894
20191104T23Z,3887
20191104T22Z,3721
20191104T21Z,3702
20191104T20Z,3715
20191104T19Z,3749
