,Day-ahead demand forecast1
20191219T00-05,98620
20191218T23-05,101773
20191218T22-05,106395
20191218T21-05,111137
20191218T20-05,113779
20191218T19-05,114456
20191218T18-05,113887
20191218T17-05,111092
20191218T16-05,105020
20191218T15-05,101619
20191218T14-05,101031
20191218T13-05,101560
20191218T12-05,102450
20191218T11-05,103824
20191218T10-05,105334
20191218T09-05,107072
20191218T08-05,109092
20191218T07-05,109621
20191218T06-05,104720
20191218T05-05,96234
20191218T04-05,90609
20191218T03-05,88152
20191218T02-05,87531
20191218T01-05,87982
20191218T00-05,88085
20191217T23-05,91210
20191217T22-05,96318
20191217T21-05,101455
20191217T20-05,104734
20191217T19-05,105860
20191217T18-05,106625
20191217T17-05,105198
20191217T16-05,100323
20191217T15-05,97675
20191217T14-05,97265
20191217T13-05,97721
20191217T12-05,98284
20191217T11-05,99314
20191217T10-05,100414
20191217T09-05,101306
20191217T08-05,102327
20191217T07-05,102199
20191217T06-05,97366
20191217T05-05,89491
20191217T04-05,84578
20191217T03-05,82962
20191217T02-05,83027
20191217T01-05,84118
20191217T00-05,85108
20191216T23-05,88945
20191216T22-05,94545
20191216T21-05,100281
20191216T20-05,104433
20191216T19-05,106942
20191216T18-05,108421
20191216T17-05,107895
20191216T16-05,102966
20191216T15-05,99755
20191216T14-05,99374
20191216T13-05,99809
20191216T12-05,100453
20191216T11-05,101453
20191216T10-05,102382
20191216T09-05,103204
20191216T08-05,103913
20191216T07-05,103279
20191216T06-05,98032
20191216T05-05,89762
20191216T04-05,84296
20191216T03-05,81847
20191216T02-05,81224
20191216T01-05,81597
20191214T00-05,81879
20191213T23-05,85964
20191213T22-05,90871
20191213T21-05,95376
20191213T20-05,98516
20191213T19-05,100747
20191213T18-05,102498
20191213T17-05,102663
20191213T16-05,99132
20191213T15-05,97102
20191213T14-05,97139
20191213T13-05,98057
20191213T12-05,99156
20191213T11-05,100917
20191213T10-05,102620
20191213T09-05,104227
20191213T08-05,106014
20191213T07-05,106434
20191213T06-05,101934
20191213T05-05,94141
20191213T04-05,89350
20191213T03-05,87491
20191213T02-05,87423
20191213T01-05,88346
20191213T00-05,89931
20191212T23-05,94027
20191212T22-05,98811
20191212T21-05,103807
20191212T20-05,106900
20191212T19-05,108131
20191212T18-05,108306
20191212T17-05,106488
20191212T16-05,100750
20191212T15-05,97654
20191212T14-05,97320
20191212T13-05,98133
20191212T12-05,99316
20191212T11-05,101437
20191212T10-05,103698
20191212T09-05,106392
20191212T08-05,109648
20191212T07-05,111240
20191212T06-05,107042
20191212T05-05,98585
20191212T04-05,93149
20191212T03-05,90699
20191212T02-05,89999
20191212T01-05,90385
20191212T00-05,90765
20191211T23-05,93750
20191211T22-05,98205
20191211T21-05,103038
20191211T20-05,105973
20191211T19-05,107330
20191211T18-05,107721
20191211T17-05,105894
20191211T16-05,100208
20191211T15-05,97165
20191211T14-05,96757
20191211T13-05,97305
20191211T12-05,98148
20191211T11-05,99342
20191211T10-05,100391
20191211T09-05,101434
20191211T08-05,102653
20191211T07-05,102622
20191211T06-05,97568
20191211T05-05,89080
20191211T04-05,83646
20191211T03-05,81099
20191211T02-05,80642
20191211T01-05,81075
20191211T00-05,81633
20191210T23-05,84538
20191210T22-05,89296
20191210T21-05,94091
20191210T20-05,97308
20191210T19-05,98726
20191210T18-05,99476
20191210T17-05,98108
20191210T16-05,94026
20191210T15-05,91962
20191210T14-05,91625
20191210T13-05,91868
20191210T12-05,91958
20191210T11-05,92295
20191210T10-05,92428
20191210T09-05,92134
20191210T08-05,91880
20191210T07-05,90822
20191210T06-05,85617
20191210T05-05,77960
20191210T04-05,73240
20191210T03-05,71784
20191210T02-05,71920
20191210T01-05,73079
20191210T00-05,74344
20191209T23-05,78585
20191209T22-05,83917
20191209T21-05,89402
20191209T20-05,93561
20191209T19-05,96203
20191209T18-05,97785
20191209T17-05,97892
20191209T16-05,94536
20191209T15-05,92668
20191209T14-05,92838
20191209T13-05,93516
20191209T12-05,94014
20191209T11-05,94790
20191209T10-05,95529
20191209T09-05,95828
20191209T08-05,96059
20191209T07-05,95367
20191209T06-05,90612
20191209T05-05,82579
20191209T04-05,77668
20191209T03-05,75796
20191209T02-05,75618
20191209T01-05,76447
20191209T00-05,77203
20191208T23-05,80452
20191208T22-05,84564
20191208T21-05,88545
20191208T20-05,91484
20191208T19-05,92719
20191208T18-05,93582
20191208T17-05,92696
20191208T16-05,87155
20191208T15-05,83937
