,Day-ahead demand forecast1
20191219T00-05,91114
20191218T23-05,95131
20191218T22-05,98176
20191218T21-05,99622
20191218T20-05,100101
20191218T19-05,99156
20191218T18-05,94206
20191218T17-05,90415
20191218T16-05,89959
20191218T15-05,90833
20191218T14-05,92035
20191218T13-05,93670
20191218T12-05,95721
20191218T11-05,97711
20191218T10-05,99474
20191218T09-05,100828
20191218T08-05,99256
20191218T07-05,92781
20191218T06-05,87219
20191218T05-05,84909
20191218T04-05,84224
20191218T03-05,84609
20191218T02-05,85522
20191218T01-05,87263
20191218T00-05,89880
20191217T23-05,93797
20191217T22-05,97025
20191217T21-05,98599
20191217T20-05,99137
20191217T19-05,98321
20191217T18-05,93548
20191217T17-05,89678
20191217T16-05,89025
20191217T15-05,89723
20191217T14-05,90620
20191217T13-05,91925
20191217T12-05,93301
20191217T11-05,94457
20191217T10-05,95364
20191217T09-05,95847
20191217T08-05,93789
20191217T07-05,87149
20191217T06-05,81325
20191217T05-05,78542
20191217T04-05,78000
20191217T03-05,78686
20191217T02-05,79866
20191217T01-05,82047
20191217T00-05,84834
20191216T23-05,88786
20191216T22-05,92239
20191216T21-05,94307
20191216T20-05,95544
20191216T19-05,95628
20191216T18-05,92229
20191216T17-05,89100
20191216T16-05,88710
20191216T15-05,89199
20191216T14-05,89666
20191216T13-05,90162
20191216T12-05,90539
20191216T11-05,90639
20191216T10-05,90587
20191216T09-05,90511
20191216T08-05,88315
20191216T07-05,82130
20191216T06-05,76901
20191216T05-05,74707
20191216T04-05,73957
20191216T03-05,74189
20191216T02-05,75191
20191216T01-05,77058
20191216T00-05,80012
20191215T23-05,83796
20191215T22-05,86725
20191215T21-05,88471
20191215T20-05,89343
20191215T19-05,89235
20191215T18-05,85397
20191215T17-05,81502
20191215T16-05,80407
20191215T15-05,80453
20191215T14-05,80773
20191215T13-05,81086
20191215T12-05,81617
20191215T11-05,82165
20191215T10-05,82021
20191215T09-05,80956
20191215T08-05,79040
20191215T07-05,76186
20191215T06-05,74588
20191215T05-05,73870
20191215T04-05,73910
20191215T03-05,74213
20191215T02-05,75054
20191215T01-05,76784
20191215T00-05,80266
20191214T23-05,83568
20191214T22-05,85764
20191214T21-05,86909
20191214T20-05,87765
20191214T19-05,88000
20191214T18-05,84947
20191214T17-05,81887
20191214T16-05,81165
20191214T15-05,81558
20191214T14-05,82338
20191214T13-05,83268
20191214T12-05,84151
20191214T11-05,84597
20191214T10-05,84069
20191214T09-05,82702
20191214T08-05,80485
20191214T07-05,76970
20191214T06-05,74237
20191214T05-05,72967
20191214T04-05,73235
20191214T03-05,73877
20191214T02-05,75250
20191214T01-05,77376
20191214T00-05,80510
20191213T23-05,84302
20191213T22-05,87024
20191213T21-05,88610
20191213T20-05,89925
20191213T19-05,90726
20191213T18-05,88235
20191213T17-05,85638
20191213T16-05,85411
20191213T15-05,86180
20191213T14-05,87148
20191213T13-05,88389
20191213T12-05,89633
20191213T11-05,90870
20191213T10-05,91875
20191213T09-05,92805
20191213T08-05,91370
20191213T07-05,85461
20191213T06-05,80084
20191213T05-05,77496
20191213T04-05,76796
20191213T03-05,77151
20191213T02-05,78372
20191213T01-05,80817
20191213T00-05,83566
20191212T23-05,87812
20191212T22-05,91114
20191212T21-05,92896
20191212T20-05,93574
20191212T19-05,93232
20191212T18-05,89439
20191212T17-05,86258
20191212T16-05,85916
20191212T15-05,86766
20191212T14-05,87902
20191212T13-05,89434
20191212T12-05,91451
20191212T11-05,93445
20191212T10-05,95246
20191212T09-05,96756
20191212T08-05,95694
20191212T07-05,89556
20191212T06-05,83938
20191212T05-05,81520
20191212T04-05,81113
20191212T03-05,81666
20191212T02-05,82806
20191212T01-05,85212
20191212T00-05,89568
20191211T23-05,92998
20191211T22-05,95891
20191211T21-05,97285
20191211T20-05,97788
20191211T19-05,96960
20191211T18-05,91980
20191211T17-05,88219
20191211T16-05,87753
20191211T15-05,88527
20191211T14-05,89568
20191211T13-05,91152
20191211T12-05,93063
20191211T11-05,94920
20191211T10-05,96660
20191211T09-05,98113
20191211T08-05,96889
20191211T07-05,90588
20191211T06-05,84846
20191211T05-05,82019
20191211T04-05,81585
20191211T03-05,81821
20191211T02-05,82948
20191211T01-05,85212
20191211T00-05,88243
20191210T23-05,92154
20191210T22-05,94861
20191210T21-05,96438
20191210T20-05,97199
20191210T19-05,97010
20191210T18-05,92844
20191210T17-05,89392
20191210T16-05,88774
20191210T15-05,89202
20191210T14-05,89613
20191210T13-05,90180
20191210T12-05,90771
20191210T11-05,91129
20191210T10-05,91172
20191210T09-05,90917
20191210T08-05,88643
20191210T07-05,82170
20191210T06-05,77090
20191210T05-05,74523
20191210T04-05,73904
20191210T03-05,74156
20191210T02-05,75262
20191210T01-05,77053
20191210T00-05,79492
20191209T23-05,83328
20191209T22-05,86784
20191209T21-05,88922
20191209T20-05,90222
20191209T19-05,90654
20191209T18-05,87769
20191209T17-05,84840
20191209T16-05,84267
20191209T15-05,84471
20191209T14-05,84608
20191209T13-05,84813
20191209T12-05,84891
20191209T11-05,84741
20191209T10-05,84420
20191209T09-05,83966
20191209T08-05,81507
20191209T07-05,75090
20191209T06-05,69868
20191209T05-05,67549
20191209T04-05,67029
20191209T03-05,67317
20191209T02-05,68402
20191209T01-05,70284
20191209T00-05,73427
20191208T23-05,77139
20191208T22-05,80153
20191208T21-05,82099
20191208T20-05,83102
20191208T19-05,83212
20191208T18-05,79798
20191208T17-05,76145
20191208T16-05,75176
20191208T15-05,75310
20191208T14-05,75746
20191208T13-05,76120
20191208T12-05,76623
20191208T11-05,76997
20191208T10-05,76725
20191208T09-05,75755
20191208T08-05,74483
20191208T07-05,71669
20191208T06-05,69566
20191208T05-05,69198
20191208T04-05,69271
20191208T03-05,69885
20191208T02-05,70741
20191208T01-05,72480
20191208T00-05,75575
20191207T23-05,78976
20191207T22-05,81370
20191207T21-05,82756
20191207T20-05,83628
20191207T19-05,83893
20191207T18-05,80127
20191207T17-05,76702
20191207T16-05,76040
20191207T15-05,76663
20191207T14-05,77799
20191207T13-05,79205
20191207T12-05,80605
20191207T11-05,81438
20191207T10-05,81468
20191207T09-05,80640
20191207T08-05,78872
20191207T07-05,75381
20191207T06-05,73118
20191207T05-05,71957
20191207T04-05,71851
20191207T03-05,72436
20191207T02-05,73769
20191207T01-05,76067
20191207T00-05,79401
20191206T23-05,82982
20191206T22-05,85527
20191206T21-05,86970
20191206T20-05,88235
20191206T19-05,88966
20191206T18-05,86260
20191206T17-05,83350
20191206T16-05,83048
20191206T15-05,83620
20191206T14-05,84133
20191206T13-05,84755
20191206T12-05,85394
20191206T11-05,85792
20191206T10-05,85923
20191206T09-05,85863
20191206T08-05,83829
20191206T07-05,77733
20191206T06-05,72754
20191206T05-05,70486
20191206T04-05,70002
20191206T03-05,70519
20191206T02-05,71868
20191206T01-05,74329
20191206T00-05,79386
20191205T23-05,83634
20191205T22-05,86876
20191205T21-05,88723
20191205T20-05,89736
20191205T19-05,89844
20191205T18-05,86679
20191205T17-05,83675
20191205T16-05,83231
20191205T15-05,83736
20191205T14-05,84447
20191205T13-05,85429
20191205T12-05,86770
20191205T11-05,88059
20191205T10-05,89271
20191205T09-05,90486
20191205T08-05,89535
20191205T07-05,82987
20191205T06-05,77260
20191205T05-05,74584
20191205T04-05,73846
20191205T03-05,74113
20191205T02-05,75247
20191205T01-05,77336
20191205T00-05,81196
20191204T23-05,85514
20191204T22-05,88836
20191204T21-05,90707
20191204T20-05,91621
20191204T19-05,91431
20191204T18-05,87719
20191204T17-05,84516
20191204T16-05,83995
20191204T15-05,84539
20191204T14-05,85226
20191204T13-05,86328
20191204T12-05,87612
20191204T11-05,88963
20191204T10-05,90322
20191204T09-05,91741
20191204T08-05,90739
20191204T07-05,84035
20191204T06-05,78178
20191204T05-05,75859
20191204T04-05,75503
20191204T03-05,75834
20191204T02-05,76912
20191204T01-05,78744
20191204T00-05,82495
20191203T23-05,86359
20191203T22-05,89624
20191203T21-05,91440
20191203T20-05,92349
20191203T19-05,91934
20191203T18-05,88285
20191203T17-05,85086
20191203T16-05,84676
20191203T15-05,85403
20191203T14-05,86412
20191203T13-05,87968
20191203T12-05,89860
20191203T11-05,91724
20191203T10-05,93252
20191203T09-05,94382
20191203T08-05,93124
20191203T07-05,86726
20191203T06-05,81119
20191203T05-05,79211
20191203T04-05,78455
20191203T03-05,78859
20191203T02-05,79998
20191203T01-05,81989
20191203T00-05,84511
20191202T23-05,88398
20191202T22-05,91491
20191202T21-05,93203
20191202T20-05,93978
20191202T19-05,93192
20191202T18-05,88767
20191202T17-05,85267
20191202T16-05,84683
20191202T15-05,85290
20191202T14-05,86195
20191202T13-05,87471
20191202T12-05,88829
20191202T11-05,89899
20191202T10-05,90427
20191202T09-05,90539
20191202T08-05,88599
20191202T07-05,81846
20191202T06-05,75939
20191202T05-05,72890
20191202T04-05,71734
20191202T03-05,71590
20191202T02-05,72201
20191202T01-05,73765
20191202T00-05,75770
20191201T23-05,79257
20191201T22-05,81751
20191201T21-05,83123
20191201T20-05,83586
20191201T19-05,82970
20191201T18-05,79029
20191201T17-05,74975
20191201T16-05,73696
20191201T15-05,73516
20191201T14-05,73653
20191201T13-05,73709
20191201T12-05,73752
20191201T11-05,73508
20191201T10-05,72394
20191201T09-05,70418
20191201T08-05,68151
20191201T07-05,65024
20191201T06-05,62827
20191201T05-05,61932
20191201T04-05,62212
20191201T03-05,62695
20191201T02-05,63962
20191201T01-05,66125
20191201T00-05,68750
20191130T23-05,71529
20191130T22-05,73877
20191130T21-05,75405
20191130T20-05,76734
20191130T19-05,77493
20191130T18-05,75087
20191130T17-05,72607
20191130T16-05,72127
20191130T15-05,72646
20191130T14-05,72896
20191130T13-05,73275
20191130T12-05,73607
20191130T11-05,73326
20191130T10-05,71927
20191130T09-05,69613
20191130T08-05,67198
20191130T07-05,65167
20191130T06-05,63649
20191130T05-05,63176
20191130T04-05,63426
20191130T03-05,64552
20191130T02-05,65955
20191130T01-05,68292
20191130T00-05,70936
20191129T23-05,73546
20191129T22-05,75845
20191129T21-05,77282
20191129T20-05,78405
20191129T19-05,78923
20191129T18-05,76527
20191129T17-05,73803
20191129T16-05,73415
20191129T15-05,73182
20191129T14-05,73660
20191129T13-05,74261
20191129T12-05,74691
20191129T11-05,74664
20191129T10-05,73782
20191129T09-05,72230
20191129T08-05,70262
20191129T07-05,67758
20191129T06-05,65491
20191129T05-05,64516
20191129T04-05,64161
20191129T03-05,64854
20191129T02-05,65723
20191129T01-05,67243
20191129T00-05,69142
20191128T23-05,70927
20191128T22-05,72171
20191128T21-05,72644
20191128T20-05,73141
20191128T19-05,73352
20191128T18-05,71198
20191128T17-05,69571
20191128T16-05,69714
20191128T15-05,71104
20191128T14-05,73493
20191128T13-05,76371
20191128T12-05,78361
20191128T11-05,78640
20191128T10-05,77253
20191128T09-05,74809
20191128T08-05,72392
20191128T07-05,70227
20191128T06-05,68428
20191128T05-05,68044
20191128T04-05,68596
20191128T03-05,69458
20191128T02-05,71084
20191128T01-05,73296
20191128T00-05,76740
20191127T23-05,80065
20191127T22-05,82550
20191127T21-05,84662
20191127T20-05,86651
20191127T19-05,86421
20191127T18-05,84212
20191127T17-05,82145
20191127T16-05,82030
20191127T15-05,82600
20191127T14-05,83123
20191127T13-05,83739
20191127T12-05,84113
20191127T11-05,83967
20191127T10-05,83203
20191127T09-05,82011
20191127T08-05,79240
20191127T07-05,73950
20191127T06-05,69427
20191127T05-05,67944
20191127T04-05,67600
20191127T03-05,68178
20191127T02-05,69177
20191127T01-05,71566
20191127T00-05,75705
20191126T23-05,79718
20191126T22-05,83015
20191126T21-05,85498
20191126T20-05,87127
20191126T19-05,87836
20191126T18-05,85691
20191126T17-05,83351
20191126T16-05,82996
20191126T15-05,83256
20191126T14-05,83476
20191126T13-05,83727
20191126T12-05,83970
20191126T11-05,84073
20191126T10-05,83938
20191126T09-05,83695
20191126T08-05,81861
20191126T07-05,76303
20191126T06-05,71272
20191126T05-05,69493
20191126T04-05,68991
20191126T03-05,69371
20191126T02-05,70595
20191126T01-05,72873
20191126T00-05,76802
20191125T23-05,80611
20191125T22-05,83791
20191125T21-05,86112
20191125T20-05,87496
20191125T19-05,87701
20191125T18-05,84644
20191125T17-05,82156
20191125T16-05,81871
20191125T15-05,82409
20191125T14-05,83108
20191125T13-05,84002
20191125T12-05,84999
20191125T11-05,85818
20191125T10-05,86472
20191125T09-05,87094
20191125T08-05,85620
20191125T07-05,79275
20191125T06-05,73192
20191125T05-05,70078
20191125T04-05,69722
20191125T03-05,69719
20191125T02-05,70369
20191125T01-05,71846
20191125T00-05,73426
20191124T23-05,76113
20191124T22-05,78896
20191124T21-05,80646
20191124T20-05,81485
20191124T19-05,81130
20191124T18-05,77022
20191124T17-05,73404
20191124T16-05,72939
20191124T15-05,73289
20191124T14-05,73940
20191124T13-05,74344
20191124T12-05,75369
20191124T11-05,76338
20191124T10-05,76523
20191124T09-05,75830
20191124T08-05,74350
20191124T07-05,71721
20191124T06-05,69670
20191124T05-05,68811
20191124T04-05,68738
20191124T03-05,69114
20191124T02-05,69999
20191124T01-05,71324
20191124T00-05,74208
20191123T23-05,76852
20191123T22-05,79106
20191123T21-05,80411
20191123T20-05,81313
20191123T19-05,81813
20191123T18-05,78900
20191123T17-05,76086
20191123T16-05,75896
20191123T15-05,76401
20191123T14-05,77303
20191123T13-05,77958
20191123T12-05,78886
20191123T11-05,79085
20191123T10-05,78339
20191123T09-05,76836
20191123T08-05,74611
20191123T07-05,71530
20191123T06-05,69447
20191123T05-05,68987
20191123T04-05,69059
20191123T03-05,69833
20191123T02-05,71241
20191123T01-05,73564
20191123T00-05,76511
20191122T23-05,79936
20191122T22-05,82813
20191122T21-05,84550
20191122T20-05,85808
20191122T19-05,86559
20191122T18-05,83981
20191122T17-05,81867
20191122T16-05,81756
20191122T15-05,82368
20191122T14-05,82939
20191122T13-05,83493
20191122T12-05,83959
20191122T11-05,84020
20191122T10-05,83739
20191122T09-05,83402
20191122T08-05,81613
20191122T07-05,75793
20191122T06-05,70941
20191122T05-05,69241
20191122T04-05,68722
20191122T03-05,69154
20191122T02-05,70365
20191122T01-05,72368
20191122T00-05,75075
20191121T23-05,78752
20191121T22-05,82134
20191121T21-05,84397
20191121T20-05,85833
20191121T19-05,86475
20191121T18-05,84228
20191121T17-05,82187
20191121T16-05,81896
20191121T15-05,82065
20191121T14-05,82207
20191121T13-05,82411
20191121T12-05,82564
20191121T11-05,82541
20191121T10-05,82300
20191121T09-05,82108
20191121T08-05,80338
20191121T07-05,74900
20191121T06-05,69997
20191121T05-05,68382
20191121T04-05,67886
20191121T03-05,68374
20191121T02-05,69683
20191121T01-05,71877
20191121T00-05,74857
20191120T23-05,79255
20191120T22-05,82949
20191120T21-05,85220
20191120T20-05,86406
20191120T19-05,87006
20191120T18-05,84494
20191120T17-05,81991
20191120T16-05,81546
20191120T15-05,81872
20191120T14-05,82257
20191120T13-05,82743
20191120T12-05,83437
20191120T11-05,84073
20191120T10-05,84578
20191120T09-05,85146
20191120T08-05,83978
20191120T07-05,78205
20191120T06-05,72570
20191120T05-05,69840
20191120T04-05,69150
20191120T03-05,69517
20191120T02-05,71025
20191120T01-05,72930
20191120T00-05,76787
20191119T23-05,80923
20191119T22-05,84437
20191119T21-05,86672
20191119T20-05,87921
20191119T19-05,87874
20191119T18-05,85004
20191119T17-05,82568
20191119T16-05,82242
20191119T15-05,82788
20191119T14-05,83411
20191119T13-05,84158
20191119T12-05,85098
20191119T11-05,85989
20191119T10-05,86799
20191119T09-05,87601
20191119T08-05,86434
20191119T07-05,80450
20191119T06-05,74892
20191119T05-05,72508
20191119T04-05,72111
20191119T03-05,72363
20191119T02-05,73458
20191119T01-05,75578
20191119T00-05,78992
20191118T23-05,82591
20191118T22-05,86195
