,Day-ahead demand forecast1
20200106T23-06,72114
20200106T22-06,75885
20200106T21-06,78941
20200106T20-06,80853
20200106T19-06,82049
20200106T18-06,81662
20200106T17-06,77961
20200106T16-06,75311
20200106T15-06,75123
20200106T14-06,75853
20200106T13-06,76718
20200106T12-06,77750
20200106T11-06,78866
20200106T10-06,79867
20200106T09-06,80858
20200106T08-06,81649
20200106T07-06,79976
20200106T06-06,73957
20200106T05-06,68636
20200106T04-06,65836
20200106T03-06,64862
20200106T02-06,64788
20200106T01-06,65351
20200106T00-06,66671
20200105T23-06,68486
20200105T22-06,71243
20200105T21-06,73616
20200105T20-06,75152
20200105T19-06,75703
20200105T18-06,74902
20200105T17-06,70478
20200105T16-06,67417
20200105T15-06,66915
20200105T14-06,67479
20200105T13-06,68352
20200105T12-06,69403
20200105T11-06,70724
20200105T10-06,71847
20200105T09-06,72222
20200105T08-06,71598
20200105T07-06,69952
20200105T06-06,67513
20200105T05-06,65640
20200105T04-06,64801
20200105T03-06,64707
20200105T02-06,65071
20200105T01-06,65985
20200105T00-06,67694
20200104T23-06,70777
20200104T22-06,73477
20200104T21-06,75385
20200104T20-06,76502
20200104T19-06,77299
20200104T18-06,76794
20200104T17-06,73423
20200104T16-06,70951
20200104T15-06,70637
20200104T14-06,71408
20200104T13-06,72565
20200104T12-06,73743
20200104T11-06,74782
20200104T10-06,75236
20200104T09-06,74673
20200104T08-06,73057
20200104T07-06,70634
20200104T06-06,67486
20200104T05-06,65091
20200104T04-06,63852
20200104T03-06,63639
20200104T02-06,64153
20200104T01-06,65295
20200104T00-06,67283
20200103T23-06,70685
20200103T22-06,73814
20200103T21-06,76093
20200103T20-06,77537
20200103T19-06,78875
20200103T18-06,79339
20200103T17-06,77233
20200103T16-06,75606
20200103T15-06,75660
20200103T14-06,76215
20200103T13-06,76682
20200103T12-06,77203
20200103T11-06,77638
20200103T10-06,77700
20200103T09-06,77395
20200103T08-06,76843
20200103T07-06,74359
20200103T06-06,68866
20200103T05-06,64742
20200103T04-06,62886
20200103T03-06,62583
20200103T02-06,63058
20200103T01-06,64241
20200103T00-06,66329
20200102T23-06,69112
20200102T22-06,72791
20200102T21-06,75772
20200102T20-06,77712
20200102T19-06,79170
20200102T18-06,79558
20200102T17-06,76976
20200102T16-06,74662
20200102T15-06,74294
20200102T14-06,74645
20200102T13-06,75069
20200102T12-06,75466
20200102T11-06,75781
20200102T10-06,75526
20200102T09-06,74627
20200102T08-06,73494
20200102T07-06,71097
20200102T06-06,66486
20200102T05-06,62985
20200102T04-06,61291
20200102T03-06,60925
20200102T02-06,61333
20200102T01-06,62293
20200102T00-06,64086
20200101T23-06,67545
20200101T22-06,70654
20200101T21-06,73061
20200101T20-06,74514
20200101T19-06,75399
20200101T18-06,74969
20200101T17-06,70745
20200101T16-06,67487
20200101T15-06,67011
20200101T14-06,67713
20200101T13-06,68809
20200101T12-06,70028
20200101T11-06,71000
20200101T10-06,71400
