,Day-ahead demand forecast
20191114T08Z,3425
20191114T07Z,3598
20191114T06Z,3773
20191114T05Z,3896
20191114T04Z,3983
20191114T03Z,4024
20191114T02Z,3970
20191114T01Z,3831
20191114T00Z,3752
20191113T23Z,3679
20191113T22Z,3611
20191113T21Z,3552
20191113T20Z,3531
20191113T19Z,3507
20191113T18Z,3513
20191113T17Z,3536
20191113T16Z,3552
20191113T15Z,3540
20191113T14Z,3379
20191113T13Z,3203
20191113T12Z,3128
20191113T11Z,3097
20191113T10Z,3123
20191113T09Z,3153
20191113T08Z,3406
20191113T07Z,3588
20191113T06Z,3767
20191113T05Z,3888
20191113T04Z,4037
20191113T03Z,4091
20191113T02Z,3991
20191113T01Z,3773
20191113T00Z,3689
20191112T23Z,3661
20191112T22Z,3614
20191112T21Z,3599
20191112T20Z,3578
20191112T19Z,3582
20191112T18Z,3612
20191112T17Z,3657
20191112T16Z,3689
20191112T15Z,3606
20191112T14Z,3386
20191112T13Z,3255
20191112T12Z,3194
20191112T11Z,3166
20191112T10Z,3214
20191112T09Z,3264
20191112T08Z,3328
20191112T07Z,3542
20191112T06Z,3746
20191112T05Z,3882
20191112T04Z,4008
20191112T03Z,4059
20191112T02Z,4006
20191112T01Z,3792
20191112T00Z,3737
20191111T23Z,3671
20191111T22Z,3621
20191111T21Z,3537
20191111T20Z,3491
20191111T19Z,3499
20191111T18Z,3438
20191111T17Z,3400
20191111T16Z,3415
20191111T15Z,3349
20191111T14Z,3197
20191111T13Z,3164
20191111T12Z,3115
20191111T11Z,3110
20191111T10Z,3139
20191111T09Z,3167
20191111T08Z,3350
20191111T07Z,3478
20191111T06Z,3636
20191111T05Z,3782
20191111T04Z,3869
20191111T03Z,3933
20191111T02Z,3823
20191111T01Z,3643
20191111T00Z,3541
20191110T23Z,3455
20191110T22Z,3388
20191110T21Z,3335
20191110T20Z,3345
20191110T19Z,3349
20191110T18Z,3294
20191110T17Z,3252
20191110T16Z,3237
20191110T15Z,3249
20191110T14Z,3250
20191110T13Z,3196
20191110T12Z,3170
20191110T11Z,3157
20191110T10Z,3204
20191110T09Z,3256
20191110T08Z,3402
20191110T07Z,3526
20191110T06Z,3651
20191110T05Z,3756
20191110T04Z,3852
20191110T03Z,3911
20191110T02Z,3827
20191110T01Z,3667
20191110T00Z,3588
20191109T23Z,3523
20191109T22Z,3443
20191109T21Z,3371
20191109T20Z,3376
20191109T19Z,3363
