,Day-ahead demand forecast
20191114T07Z,30761
20191114T06Z,32301
20191114T05Z,33572
20191114T04Z,34641
20191114T03Z,35197
20191114T02Z,35261
20191114T01Z,33830
20191114T00Z,32355
20191113T23Z,31841
20191113T22Z,31904
20191113T21Z,32127
20191113T20Z,32569
20191113T19Z,33093
20191113T18Z,34068
20191113T17Z,34559
20191113T16Z,35065
20191113T15Z,34342
20191113T14Z,31961
20191113T13Z,29614
20191113T12Z,28438
20191113T11Z,28030
20191113T10Z,28188
20191113T09Z,28458
20191113T08Z,29512
20191113T07Z,30957
20191113T06Z,32432
20191113T05Z,33940
20191113T04Z,35068
20191113T03Z,35683
20191113T02Z,35595
20191113T01Z,33916
20191113T00Z,32623
20191112T23Z,32190
20191112T22Z,32291
20191112T21Z,32653
20191112T20Z,33016
20191112T19Z,33697
20191112T18Z,34575
20191112T17Z,35314
20191112T16Z,35920
20191112T15Z,35075
20191112T14Z,32559
20191112T13Z,30075
20191112T12Z,28812
20191112T11Z,28401
20191112T10Z,28459
20191112T09Z,28709
20191112T08Z,27660
20191112T07Z,28923
20191112T06Z,30391
20191112T05Z,31921
20191112T04Z,32856
20191112T03Z,33485
20191112T02Z,33523
20191112T01Z,32102
20191112T00Z,30807
20191111T23Z,30323
20191111T22Z,30435
20191111T21Z,30798
20191111T20Z,31315
20191111T19Z,31965
20191111T18Z,32515
20191111T17Z,32998
20191111T16Z,33218
20191111T15Z,32223
20191111T14Z,29812
20191111T13Z,27673
20191111T12Z,26337
20191111T11Z,25813
20191111T10Z,25716
20191111T09Z,26033
20191111T08Z,28359
20191111T07Z,29507
20191111T06Z,30630
20191111T05Z,31980
20191111T04Z,32905
20191111T03Z,33465
20191111T02Z,33451
20191111T01Z,31844
20191111T00Z,30352
20191110T23Z,29762
20191110T22Z,29700
20191110T21Z,30021
20191110T20Z,30409
20191110T19Z,30841
20191110T18Z,31144
20191110T17Z,30909
20191110T16Z,30262
20191110T15Z,29299
20191110T14Z,28407
20191110T13Z,27978
20191110T12Z,27376
20191110T11Z,27249
20191110T10Z,27295
20191110T09Z,27845
20191110T08Z,28434
20191110T07Z,29582
20191110T06Z,30469
20191110T05Z,31528
20191110T04Z,32473
20191110T03Z,33052
20191110T02Z,33146
20191110T01Z,31880
20191110T00Z,30535
20191109T23Z,30072
20191109T22Z,30167
20191109T21Z,30541
20191109T20Z,31305
20191109T19Z,31882
20191109T18Z,32286
20191109T17Z,32263
20191109T16Z,31599
20191109T15Z,30467
20191109T14Z,29457
20191109T13Z,28453
20191109T12Z,28024
20191109T11Z,27817
20191109T10Z,27969
20191109T09Z,28318
20191109T08Z,28835
20191109T07Z,30187
20191109T06Z,31105
20191109T05Z,32436
20191109T04Z,33509
20191109T03Z,34316
20191109T02Z,34545
20191109T01Z,33249
20191109T00Z,31981
20191108T23Z,31601
20191108T22Z,31803
20191108T21Z,32095
20191108T20Z,32804
20191108T19Z,33662
20191108T18Z,34675
20191108T17Z,35519
20191108T16Z,36106
20191108T15Z,35336
20191108T14Z,32881
20191108T13Z,30634
20191108T12Z,29118
20191108T11Z,28629
20191108T10Z,28626
20191108T09Z,28773
20191108T08Z,29463
20191108T07Z,30844
20191108T06Z,32178
20191108T05Z,33735
20191108T04Z,34742
20191108T03Z,35325
20191108T02Z,35336
20191108T01Z,33544
20191108T00Z,32140
20191107T23Z,31717
20191107T22Z,31955
20191107T21Z,32268
20191107T20Z,32924
20191107T19Z,33769
20191107T18Z,34785
20191107T17Z,35740
20191107T16Z,36575
20191107T15Z,35962
20191107T14Z,33278
20191107T13Z,30778
20191107T12Z,29440
20191107T11Z,28939
20191107T10Z,28853
20191107T09Z,28934
20191107T08Z,29692
20191107T07Z,30935
20191107T06Z,32342
20191107T05Z,33918
20191107T04Z,34911
20191107T03Z,35541
20191107T02Z,35510
20191107T01Z,33751
20191107T00Z,32433
20191106T23Z,32023
20191106T22Z,32198
20191106T21Z,32569
20191106T20Z,33010
20191106T19Z,33688
20191106T18Z,34770
20191106T17Z,35559
20191106T16Z,36189
20191106T15Z,35421
20191106T14Z,32842
20191106T13Z,30421
20191106T12Z,29041
20191106T11Z,28596
20191106T10Z,28642
20191106T09Z,28997
20191106T08Z,29609
20191106T07Z,31057
20191106T06Z,32423
20191106T05Z,34154
20191106T04Z,35223
20191106T03Z,35686
20191106T02Z,35405
20191106T01Z,33571
20191106T00Z,32238
20191105T23Z,31939
20191105T22Z,32091
20191105T21Z,32642
20191105T20Z,33196
20191105T19Z,33991
20191105T18Z,34899
20191105T17Z,35855
20191105T16Z,36551
20191105T15Z,35646
20191105T14Z,33014
20191105T13Z,30441
20191105T12Z,29056
20191105T11Z,28411
20191105T10Z,28361
20191105T09Z,28687
20191105T08Z,28787
20191105T07Z,30288
20191105T06Z,31533
20191105T05Z,33195
20191105T04Z,34336
20191105T03Z,35070
20191105T02Z,34804
20191105T01Z,33029
20191105T00Z,31639
20191104T23Z,31360
20191104T22Z,31559
20191104T21Z,32063
20191104T20Z,32550
20191104T19Z,33261
20191104T18Z,34220
20191104T17Z,35165
20191104T16Z,35653
20191104T15Z,34632
20191104T14Z,31898
20191104T13Z,29181
20191104T12Z,27765
20191104T11Z,27188
20191104T10Z,27051
20191104T09Z,27329
20191104T08Z,26560
20191104T07Z,31489
20191104T06Z,33863
20191104T05Z,35256
20191104T04Z,36530
20191104T03Z,37524
20191104T02Z,37572
20191104T01Z,35977
20191104T00Z,34434
20191103T23Z,33795
20191103T22Z,33615
20191103T21Z,33782
20191103T20Z,34289
20191103T19Z,34821
20191103T18Z,35474
20191103T17Z,35721
20191103T16Z,35156
20191103T15Z,34083
20191103T14Z,33360
20191103T13Z,32448
20191103T12Z,31580
20191103T11Z,31204
20191103T10Z,31190
20191103T09Z,31833
20191103T08Z,27398
20191103T07Z,33421
20191103T06Z,35057
20191103T05Z,35936
20191103T04Z,36952
20191103T03Z,37911
20191103T02Z,38002
20191103T01Z,36637
20191103T00Z,35169
20191102T23Z,34420
20191102T22Z,34312
20191102T21Z,34779
20191102T20Z,35784
20191102T19Z,36909
20191102T18Z,37961
20191102T17Z,38909
20191102T16Z,39205
20191102T15Z,38562
20191102T14Z,37248
20191102T13Z,35874
20191102T12Z,34491
20191102T11Z,33625
20191102T10Z,33329
20191102T09Z,33449
20191102T08Z,34246
20191102T07Z,36298
20191102T06Z,38000
20191102T05Z,39299
20191102T04Z,40791
20191102T03Z,41556
20191102T02Z,41636
20191102T01Z,40321
20191102T00Z,39187
20191101T23Z,38644
20191101T22Z,38652
20191101T21Z,39123
20191101T20Z,39745
20191101T19Z,40640
20191101T18Z,42000
20191101T17Z,43357
20191101T16Z,44565
20191101T15Z,45193
20191101T14Z,43809
20191101T13Z,40583
20191101T12Z,37847
20191101T11Z,36250
20191101T10Z,35647
20191101T09Z,35586
20191101T08Z,35951
20191101T07Z,34363
20191101T06Z,35926
20191101T05Z,37614
20191101T04Z,39096
20191101T03Z,39664
20191101T02Z,39581
20191101T01Z,38309
20191101T00Z,37255
20191031T23Z,36764
20191031T22Z,36732
20191031T21Z,37217
20191031T20Z,38013
20191031T19Z,38984
20191031T18Z,40164
20191031T17Z,41527
20191031T16Z,42975
20191031T15Z,44005
20191031T14Z,42912
20191031T13Z,39633
20191031T12Z,36663
20191031T11Z,35184
20191031T10Z,34568
20191031T09Z,34445
20191031T08Z,34573
20191031T07Z,35269
20191031T06Z,37071
20191031T05Z,38898
20191031T04Z,40839
20191031T03Z,41775
20191031T02Z,41673
20191031T01Z,39886
20191031T00Z,38373
20191030T23Z,37432
20191030T22Z,37368
20191030T21Z,37839
20191030T20Z,38691
20191030T19Z,39788
20191030T18Z,40967
20191030T17Z,42272
20191030T16Z,43484
20191030T15Z,44292
20191030T14Z,43132
20191030T13Z,39916
20191030T12Z,36976
20191030T11Z,35157
20191030T10Z,34514
20191030T09Z,34386
20191030T08Z,34398
20191030T07Z,35634
20191030T06Z,37229
20191030T05Z,38894
20191030T04Z,41053
20191030T03Z,42289
20191030T02Z,42331
20191030T01Z,40748
20191030T00Z,39386
20191029T23Z,38515
20191029T22Z,38421
20191029T21Z,38758
20191029T20Z,39177
20191029T19Z,39947
20191029T18Z,40829
20191029T17Z,41783
20191029T16Z,42648
20191029T15Z,43085
20191029T14Z,41397
20191029T13Z,38257
20191029T12Z,35210
20191029T11Z,33544
20191029T10Z,32943
20191029T09Z,32642
20191029T08Z,32577
20191029T07Z,35681
20191029T06Z,37539
20191029T05Z,39288
20191029T04Z,41252
20191029T03Z,42600
20191029T02Z,42635
20191029T01Z,41175
20191029T00Z,39580
20191028T23Z,38724
20191028T22Z,38668
20191028T21Z,38974
20191028T20Z,39596
20191028T19Z,40440
20191028T18Z,41718
20191028T17Z,42515
20191028T16Z,43534
20191028T15Z,44039
20191028T14Z,42501
20191028T13Z,39457
20191028T12Z,36107
20191028T11Z,34458
20191028T10Z,33787
20191028T09Z,33413
20191028T08Z,33488
20191028T07Z,34139
20191028T06Z,35792
20191028T05Z,37457
20191028T04Z,39220
20191028T03Z,40083
20191028T02Z,39887
20191028T01Z,38336
20191028T00Z,36799
20191027T23Z,35945
20191027T22Z,35772
20191027T21Z,36151
20191027T20Z,36740
20191027T19Z,37373
20191027T18Z,38086
20191027T17Z,38591
20191027T16Z,38226
20191027T15Z,37068
20191027T14Z,35398
20191027T13Z,34003
20191027T12Z,32670
20191027T11Z,31996
20191027T10Z,31677
20191027T09Z,31840
20191027T08Z,32149
20191027T07Z,32886
20191027T06Z,34135
20191027T05Z,35263
20191027T04Z,36514
20191027T03Z,37482
20191027T02Z,37610
20191027T01Z,36508
20191027T00Z,35110
20191026T23Z,34529
20191026T22Z,34391
20191026T21Z,34624
20191026T20Z,35072
20191026T19Z,35612
20191026T18Z,36251
20191026T17Z,36512
20191026T16Z,36180
20191026T15Z,35106
20191026T14Z,33831
20191026T13Z,32343
20191026T12Z,30970
20191026T11Z,30373
20191026T10Z,30189
20191026T09Z,30419
20191026T08Z,30914
20191026T07Z,31127
20191026T06Z,33301
20191026T05Z,34643
20191026T04Z,36259
20191026T03Z,37358
20191026T02Z,37630
20191026T01Z,36784
20191026T00Z,35903
20191025T23Z,35422
20191025T22Z,35382
20191025T21Z,35635
20191025T20Z,36163
20191025T19Z,36602
20191025T18Z,37187
20191025T17Z,37989
20191025T16Z,38676
20191025T15Z,39063
20191025T14Z,37875
20191025T13Z,35144
20191025T12Z,32634
20191025T11Z,31393
20191025T10Z,30985
20191025T09Z,31037
20191025T08Z,31428
20191025T07Z,32401
20191025T06Z,34298
20191025T05Z,35730
20191025T04Z,37761
20191025T03Z,38938
20191025T02Z,39107
20191025T01Z,38057
20191025T00Z,36949
20191024T23Z,36303
20191024T22Z,36115
20191024T21Z,36271
20191024T20Z,36684
20191024T19Z,37279
20191024T18Z,37875
20191024T17Z,38871
20191024T16Z,39626
20191024T15Z,40300
20191024T14Z,39071
20191024T13Z,36331
20191024T12Z,33221
20191024T11Z,31955
20191024T10Z,31418
20191024T09Z,31459
20191024T08Z,31944
20191024T07Z,32759
20191024T06Z,34194
20191024T05Z,35839
20191024T04Z,37875
20191024T03Z,39150
20191024T02Z,39319
20191024T01Z,38298
20191024T00Z,37144
20191023T23Z,36660
20191023T22Z,36386
20191023T21Z,36357
20191023T20Z,36477
20191023T19Z,36748
20191023T18Z,37303
20191023T17Z,37869
20191023T16Z,38480
20191023T15Z,38823
20191023T14Z,37631
20191023T13Z,34984
20191023T12Z,32068
20191023T11Z,30780
20191023T10Z,30337
20191023T09Z,30420
20191023T08Z,30873
20191023T07Z,30212
20191023T06Z,33854
20191023T05Z,35745
20191023T04Z,37785
20191023T03Z,39154
20191023T02Z,39457
20191023T01Z,38532
20191023T00Z,37489
20191022T23Z,36806
20191022T22Z,36555
20191022T21Z,36529
20191022T20Z,36578
20191022T19Z,36757
20191022T18Z,36960
20191022T17Z,37338
20191022T16Z,37718
20191022T15Z,38047
20191022T14Z,36789
20191022T13Z,34318
20191022T12Z,31747
20191022T11Z,30397
20191022T10Z,30123
20191022T09Z,30318
20191022T08Z,30888
20191022T07Z,32224
20191022T06Z,33947
20191022T05Z,35911
20191022T04Z,38255
20191022T03Z,39526
20191022T02Z,39801
20191022T01Z,38836
20191022T00Z,37750
20191021T23Z,37152
20191021T22Z,36833
20191021T21Z,37004
20191021T20Z,37287
20191021T19Z,37732
20191021T18Z,38186
20191021T17Z,38716
20191021T16Z,39215
20191021T15Z,39468
20191021T14Z,38046
20191021T13Z,35178
20191021T12Z,32417
20191021T11Z,31035
20191021T10Z,30441
20191021T09Z,30654
20191021T08Z,31048
20191021T07Z,31727
20191021T06Z,33510
20191021T05Z,35210
20191021T04Z,37033
20191021T03Z,38119
20191021T02Z,38170
20191021T01Z,37050
20191021T00Z,35856
20191020T23Z,34960
20191020T22Z,34562
20191020T21Z,34802
20191020T20Z,34987
20191020T19Z,35405
20191020T18Z,35953
20191020T17Z,35988
20191020T16Z,35692
20191020T15Z,34819
20191020T14Z,33338
20191020T13Z,32335
20191020T12Z,31147
20191020T11Z,30676
20191020T10Z,30527
20191020T09Z,30788
20191020T08Z,31339
20191020T07Z,31987
20191020T06Z,33250
20191020T05Z,34571
20191020T04Z,35929
20191020T03Z,36989
20191020T02Z,37099
20191020T01Z,36188
20191020T00Z,35109
20191019T23Z,34554
20191019T22Z,34331
20191019T21Z,34498
20191019T20Z,34785
20191019T19Z,35337
20191019T18Z,35567
20191019T17Z,35803
20191019T16Z,35554
20191019T15Z,34552
20191019T14Z,33299
20191019T13Z,31884
20191019T12Z,30790
20191019T11Z,30290
