,Day-ahead demand forecast
20191114T07Z,1380
20191114T06Z,1450
20191114T05Z,1520
20191114T04Z,1575
20191114T03Z,1600
20191114T02Z,1615
20191114T01Z,1585
20191114T00Z,1515
20191113T23Z,1485
20191113T22Z,1475
20191113T21Z,1495
20191113T20Z,1510
20191113T19Z,1540
20191113T18Z,1560
20191113T17Z,1580
20191113T16Z,1590
20191113T15Z,1595
20191113T14Z,1550
20191113T13Z,1460
20191113T12Z,1395
20191113T11Z,1370
20191113T10Z,1360
20191113T09Z,1360
20191113T08Z,1365
20191113T07Z,1320
20191113T06Z,1365
20191113T05Z,1460
20191113T04Z,1485
20191113T03Z,1520
20191113T02Z,1540
20191113T01Z,1495
20191113T00Z,1430
20191112T23Z,1400
20191112T22Z,1410
20191112T21Z,1415
20191112T20Z,1420
20191112T19Z,1430
20191112T18Z,1450
20191112T17Z,1460
20191112T16Z,1465
20191112T15Z,1460
20191112T14Z,1430
20191112T13Z,1325
20191112T12Z,1265
20191112T11Z,1255
20191112T10Z,1250
20191112T09Z,1260
20191112T08Z,1285
20191112T07Z,1355
20191112T06Z,1410
20191112T05Z,1605
20191112T04Z,1565
20191112T03Z,1615
20191112T02Z,1640
20191112T01Z,1635
20191112T00Z,1565
20191111T23Z,1530
20191111T22Z,1530
20191111T21Z,1545
20191111T20Z,1555
20191111T19Z,1580
20191111T18Z,1585
20191111T17Z,1600
20191111T16Z,1595
20191111T15Z,1605
20191111T14Z,1520
20191111T13Z,1370
20191111T12Z,1310
20191111T11Z,1290
20191111T10Z,1275
20191111T09Z,1280
20191111T08Z,1300
20191111T07Z,1365
20191111T06Z,1425
20191111T05Z,1480
20191111T04Z,1555
20191111T03Z,1585
20191111T02Z,1595
20191111T01Z,1550
20191111T00Z,1490
20191110T23Z,1475
20191110T22Z,1465
20191110T21Z,1480
20191110T20Z,1480
20191110T19Z,1490
20191110T18Z,1505
20191110T17Z,1510
20191110T16Z,1490
20191110T15Z,1455
20191110T14Z,1440
20191110T13Z,1420
20191110T12Z,1385
20191110T11Z,1375
20191110T10Z,1340
20191110T09Z,1360
20191110T08Z,1370
20191110T07Z,1310
20191110T06Z,1365
20191110T05Z,1410
20191110T04Z,1460
20191110T03Z,1485
20191110T02Z,1485
20191110T01Z,1445
20191110T00Z,1410
20191109T23Z,1400
20191109T22Z,1390
20191109T21Z,1405
20191109T20Z,1435
20191109T19Z,1455
20191109T18Z,1460
20191109T17Z,1455
20191109T16Z,1445
20191109T15Z,1410
20191109T14Z,1370
20191109T13Z,1320
20191109T12Z,1290
20191109T11Z,1285
20191109T10Z,1275
20191109T09Z,1290
20191109T08Z,1305
20191109T07Z,1320
20191109T06Z,1370
20191109T05Z,1420
20191109T04Z,1460
20191109T03Z,1480
20191109T02Z,1465
20191109T01Z,1410
20191109T00Z,1395
20191108T23Z,1390
20191108T22Z,1385
20191108T21Z,1410
20191108T20Z,1420
20191108T19Z,1460
20191108T18Z,1480
20191108T17Z,1505
20191108T16Z,1520
20191108T15Z,1520
20191108T14Z,1440
20191108T13Z,1355
20191108T12Z,1305
20191108T11Z,1290
20191108T10Z,1280
20191108T09Z,1285
20191108T08Z,1290
20191108T07Z,1375
20191108T06Z,1435
20191108T05Z,1500
20191108T04Z,1565
20191108T03Z,1590
20191108T02Z,1600
20191108T01Z,1555
20191108T00Z,1515
20191107T23Z,1495
20191107T22Z,1510
20191107T21Z,1525
20191107T20Z,1520
20191107T19Z,1550
20191107T18Z,1575
20191107T17Z,1590
20191107T16Z,1610
20191107T15Z,1615
20191107T14Z,1565
20191107T13Z,1435
20191107T12Z,1365
20191107T11Z,1355
20191107T10Z,1350
20191107T09Z,1350
20191107T08Z,1385
20191107T07Z,1395
20191107T06Z,1455
20191107T05Z,1550
20191107T04Z,1605
20191107T03Z,1645
20191107T02Z,1650
20191107T01Z,1615
20191107T00Z,1575
20191106T23Z,1550
20191106T22Z,1555
20191106T21Z,1570
20191106T20Z,1585
20191106T19Z,1610
20191106T18Z,1625
20191106T17Z,1635
20191106T16Z,1640
20191106T15Z,1650
20191106T14Z,1565
20191106T13Z,1435
20191106T12Z,1375
20191106T11Z,1355
20191106T10Z,1345
20191106T09Z,1340
20191106T08Z,1365
20191106T07Z,1430
20191106T06Z,1490
20191106T05Z,1570
20191106T04Z,1620
20191106T03Z,1650
20191106T02Z,1635
20191106T01Z,1570
20191106T00Z,1540
20191105T23Z,1525
20191105T22Z,1525
20191105T21Z,1550
20191105T20Z,1570
20191105T19Z,1595
20191105T18Z,1625
20191105T17Z,1635
20191105T16Z,1635
20191105T15Z,1625
20191105T14Z,1545
20191105T13Z,1430
20191105T12Z,1385
20191105T11Z,1360
20191105T10Z,1350
20191105T09Z,1365
20191105T08Z,1375
20191105T07Z,1335
20191105T06Z,1390
20191105T05Z,1490
20191105T04Z,1540
20191105T03Z,1570
20191105T02Z,1560
20191105T01Z,1505
20191105T00Z,1485
20191104T23Z,1475
20191104T22Z,1470
20191104T21Z,1470
20191104T20Z,1485
20191104T19Z,1505
20191104T18Z,1515
20191104T17Z,1520
20191104T16Z,1525
20191104T15Z,1525
20191104T14Z,1420
20191104T13Z,1290
20191104T12Z,1225
20191104T11Z,1210
20191104T10Z,1210
20191104T09Z,1205
20191104T08Z,1230
20191104T07Z,0
20191104T06Z,1305
20191104T05Z,1360
20191104T04Z,1420
20191104T03Z,1480
20191104T02Z,1500
20191104T01Z,1485
20191104T00Z,1400
20191103T23Z,1375
20191103T22Z,1370
20191103T21Z,1375
20191103T20Z,1395
20191103T19Z,1395
20191103T18Z,1410
20191103T17Z,1430
20191103T16Z,1430
20191103T15Z,1405
20191103T14Z,1385
20191103T13Z,1310
20191103T12Z,1225
20191103T11Z,1195
20191103T10Z,1185
20191103T09Z,1185
20191103T08Z,1185
20191103T07Z,1205
20191103T06Z,1335
20191103T05Z,1395
20191103T04Z,1400
20191103T03Z,1485
20191103T02Z,1510
20191103T01Z,1495
20191103T00Z,1450
20191102T23Z,1440
20191102T22Z,1430
20191102T21Z,1420
20191102T20Z,1435
20191102T19Z,1450
20191102T18Z,1460
20191102T17Z,1465
20191102T16Z,1455
20191102T15Z,1435
20191102T14Z,1400
20191102T13Z,1325
20191102T12Z,1255
20191102T11Z,1225
20191102T10Z,1205
20191102T09Z,1200
20191102T08Z,1210
20191102T07Z,1225
20191102T06Z,1370
20191102T05Z,1420
20191102T04Z,1480
20191102T03Z,1525
20191102T02Z,1545
20191102T01Z,1535
