,Day-ahead demand forecast
20191114T05Z,16521
20191114T04Z,17647
20191114T03Z,18775
20191114T02Z,19592
20191114T01Z,20204
20191114T00Z,20602
20191113T23Z,20598
20191113T22Z,19535
20191113T21Z,18754
20191113T20Z,18476
20191113T19Z,18386
20191113T18Z,18366
20191113T17Z,18519
20191113T16Z,18656
20191113T15Z,18720
20191113T14Z,18708
20191113T13Z,18456
20191113T12Z,17497
20191113T11Z,15911
20191113T10Z,15018
20191113T09Z,14771
20191113T08Z,14833
20191113T07Z,15077
20191113T06Z,15502
20191113T05Z,16260
20191113T04Z,17345
20191113T03Z,18473
20191113T02Z,19290
20191113T01Z,19902
20191113T00Z,20304
20191112T23Z,20308
20191112T22Z,19345
20191112T21Z,18622
20191112T20Z,18407
20191112T19Z,18385
20191112T18Z,18368
20191112T17Z,18389
20191112T16Z,18333
20191112T15Z,18097
20191112T14Z,17716
20191112T13Z,17210
20191112T12Z,16060
20191112T11Z,14438
20191112T10Z,13525
20191112T09Z,13264
20191112T08Z,13346
20191112T07Z,13621
20191112T06Z,14102
20191112T05Z,15042
20191112T04Z,16189
20191112T03Z,17353
20191112T02Z,18205
20191112T01Z,18854
20191112T00Z,19306
20191111T23Z,19513
20191111T22Z,18659
20191111T21Z,17962
20191111T20Z,17752
20191111T19Z,17716
20191111T18Z,17679
20191111T17Z,17726
20191111T16Z,17743
20191111T15Z,17634
20191111T14Z,17423
20191111T13Z,17125
20191111T12Z,16085
20191111T11Z,14480
20191111T10Z,13538
20191111T09Z,13245
20191111T08Z,13279
20191111T07Z,13473
20191111T06Z,13841
20191111T05Z,14405
20191111T04Z,15326
20191111T03Z,16295
20191111T02Z,17044
20191111T01Z,17534
20191111T00Z,17858
20191110T23Z,17853
20191110T22Z,16785
20191110T21Z,15994
20191110T20Z,15715
20191110T19Z,15597
20191110T18Z,15589
20191110T17Z,15598
20191110T16Z,15533
20191110T15Z,15384
20191110T14Z,15013
20191110T13Z,14492
20191110T12Z,14119
20191110T11Z,13757
20191110T10Z,13518
20191110T09Z,13497
20191110T08Z,13647
20191110T07Z,13970
20191110T06Z,14535
20191110T05Z,15105
20191110T04Z,15893
20191110T03Z,16642
20191110T02Z,17145
20191110T01Z,17642
20191110T00Z,17990
20191109T23Z,18000
20191109T22Z,17022
20191109T21Z,16343
