,Day-ahead demand forecast1
20191219T00-07,5829
20191218T23-07,6121
20191218T22-07,6408
20191218T21-07,6608
20191218T20-07,6713
20191218T19-07,6793
20191218T18-07,6693
20191218T17-07,6403
20191218T16-07,6216
20191218T15-07,6188
20191218T14-07,6201
20191218T13-07,6242
20191218T12-07,6297
20191218T11-07,6358
20191218T10-07,6417
20191218T09-07,6506
20191218T08-07,6466
20191218T07-07,6218
20191218T06-07,5876
20191218T05-07,5632
20191218T04-07,5529
20191218T03-07,5508
20191218T02-07,5600
20191218T01-07,5698
20191218T00-07,5889
20191217T23-07,6158
20191217T22-07,6461
20191217T21-07,6664
20191217T20-07,6779
20191217T19-07,6841
20191217T18-07,6720
20191217T17-07,6462
20191217T16-07,6240
20191217T15-07,6194
20191217T14-07,6210
20191217T13-07,6254
20191217T12-07,6320
20191217T11-07,6412
20191217T10-07,6518
20191217T09-07,6617
20191217T08-07,6579
20191217T07-07,6316
20191217T06-07,5952
20191217T05-07,5691
20191217T04-07,5579
20191217T03-07,5559
20191217T02-07,5592
20191217T01-07,5719
20191217T00-07,5883
20191216T23-07,6170
20191216T22-07,6487
20191216T21-07,6694
20191216T20-07,6806
20191216T19-07,6870
20191216T18-07,6757
20191216T17-07,6510
20191216T16-07,6299
20191216T15-07,6260
20191216T14-07,6273
20191216T13-07,6315
20191216T12-07,6384
20191216T11-07,6456
20191216T10-07,6523
20191216T09-07,6589
20191216T08-07,6528
20191216T07-07,6244
20191216T06-07,5861
20191216T05-07,5595
20191216T04-07,5481
20191216T03-07,5448
20191216T02-07,5467
20191216T01-07,5541
20191216T00-07,5679
20191215T23-07,5893
20191215T22-07,6135
20191215T21-07,6295
20191215T20-07,6389
20191215T19-07,6444
20191215T18-07,6328
20191215T17-07,6058
20191215T16-07,5820
20191215T15-07,5747
20191215T14-07,5753
20191215T13-07,5758
20191215T12-07,5788
20191215T11-07,5811
20191215T10-07,5838
20191215T09-07,5794
20191215T08-07,5676
20191215T07-07,5511
20191215T06-07,5374
20191215T05-07,5289
20191215T04-07,5252
20191215T03-07,5267
20191215T02-07,5326
20191215T01-07,5437
20191215T00-07,5604
20191214T23-07,5807
20191214T22-07,5997
20191214T21-07,6115
20191214T20-07,6204
20191214T19-07,6278
20191214T18-07,6189
20191214T17-07,5959
20191214T16-07,5750
20191214T15-07,5703
20191214T14-07,5719
20191214T13-07,5753
20191214T12-07,5795
20191214T11-07,5818
20191214T10-07,5804
20191214T09-07,5714
20191214T08-07,5570
20191214T07-07,5397
20191214T06-07,5253
20191214T05-07,5162
20191214T04-07,5136
20191214T03-07,5164
20191214T02-07,5221
20191214T01-07,5352
20191214T00-07,5519
20191213T23-07,5743
20191213T22-07,5966
20191213T21-07,6105
20191213T20-07,6209
20191213T19-07,6303
20191213T18-07,6243
20191213T17-07,6051
20191213T16-07,5877
20191213T15-07,5864
20191213T14-07,5890
20191213T13-07,5932
20191213T12-07,6002
20191213T11-07,6082
20191213T10-07,6155
20191213T09-07,6201
20191213T08-07,6116
20191213T07-07,5839
20191213T06-07,5495
20191213T05-07,5265
20191213T04-07,5170
20191213T03-07,5157
20191213T02-07,5236
20191213T01-07,5374
20191213T00-07,5598
20191212T23-07,5863
20191212T22-07,6146
20191212T21-07,6330
20191212T20-07,6451
20191212T19-07,6548
20191212T18-07,6471
20191212T17-07,6251
20191212T16-07,6040
20191212T15-07,6003
20191212T14-07,6021
20191212T13-07,6067
20191212T12-07,6125
20191212T11-07,6190
20191212T10-07,6249
20191212T09-07,6285
20191212T08-07,6186
20191212T07-07,5895
20191212T06-07,5541
20191212T05-07,5306
20191212T04-07,5214
20191212T03-07,5210
20191212T02-07,5271
20191212T01-07,5400
20191212T00-07,5589
20191211T23-07,5848
20191211T22-07,6137
20191211T21-07,6322
20191211T20-07,6431
20191211T19-07,6502
20191211T18-07,6404
20191211T17-07,6162
20191211T16-07,5950
20191211T15-07,5919
20191211T14-07,5950
20191211T13-07,6002
20191211T12-07,6069
20191211T11-07,6143
20191211T10-07,6221
20191211T09-07,6285
20191211T08-07,6216
20191211T07-07,5950
20191211T06-07,5608
20191211T05-07,5371
20191211T04-07,5276
20191211T03-07,5272
20191211T02-07,5326
20191211T01-07,5494
20191211T00-07,5682
20191210T23-07,5946
20191210T22-07,6243
20191210T21-07,6439
20191210T20-07,6558
20191210T19-07,6629
20191210T18-07,6524
20191210T17-07,6274
20191210T16-07,6057
20191210T15-07,6019
20191210T14-07,6041
20191210T13-07,6088
20191210T12-07,6154
20191210T11-07,6229
20191210T10-07,6307
20191210T09-07,6379
20191210T08-07,6316
20191210T07-07,6035
20191210T06-07,5668
20191210T05-07,5417
20191210T04-07,5316
20191210T03-07,5302
20191210T02-07,5352
20191210T01-07,5400
20191210T00-07,5717
20191209T23-07,5978
20191209T22-07,6274
20191209T21-07,6466
20191209T20-07,6581
20191209T19-07,6648
20191209T18-07,6539
20191209T17-07,6287
20191209T16-07,6074
20191209T15-07,6042
20191209T14-07,6069
20191209T13-07,6118
20191209T12-07,6186
20191209T11-07,6263
20191209T10-07,6346
20191209T09-07,6419
20191209T08-07,6357
20191209T07-07,6078
20191209T06-07,5716
20191209T05-07,5468
20191209T04-07,5367
20191209T03-07,5353
20191209T02-07,5396
20191209T01-07,5496
20191209T00-07,5481
20191208T23-07,5702
20191208T22-07,5937
20191208T21-07,6089
20191208T20-07,6189
20191208T19-07,6272
20191208T18-07,6191
20191208T17-07,5943
20191208T16-07,5704
20191208T15-07,5610
20191208T14-07,5600
20191208T13-07,5593
20191208T12-07,5611
20191208T11-07,5611
20191208T10-07,5602
20191208T09-07,5522
20191208T08-07,5383
20191208T07-07,5222
20191208T06-07,5103
20191208T05-07,5048
20191208T04-07,5041
20191208T03-07,5079
20191208T02-07,5172
20191208T01-07,5193
20191208T00-07,5387
20191207T23-07,5637
20191207T22-07,5758
20191207T21-07,5881
20191207T20-07,5924
20191207T19-07,6022
20191207T18-07,5989
20191207T17-07,5699
20191207T16-07,5528
20191207T15-07,5492
20191207T14-07,5515
20191207T13-07,5524
20191207T12-07,5587
20191207T11-07,5630
20191207T10-07,5573
20191207T09-07,5543
20191207T08-07,5497
20191207T07-07,5340
20191207T06-07,5196
20191207T05-07,5104
