,Day-ahead demand forecast
20191114T08Z,2044
20191114T07Z,2227
20191114T06Z,2425
20191114T05Z,2573
20191114T04Z,2668
20191114T03Z,2735
20191114T02Z,2741
20191114T01Z,2584
20191114T00Z,2474
20191113T23Z,2445
20191113T22Z,2482
20191113T21Z,2506
20191113T20Z,2541
20191113T19Z,2594
20191113T18Z,2638
20191113T17Z,2676
20191113T16Z,2676
20191113T15Z,2493
20191113T14Z,2168
20191113T13Z,1925
20191113T12Z,1826
20191113T11Z,1809
20191113T10Z,1845
20191113T09Z,1922
20191113T08Z,2077
20191113T07Z,2263
20191113T06Z,2458
20191113T05Z,2619
20191113T04Z,2717
20191113T03Z,2792
20191113T02Z,2789
20191113T01Z,2607
20191113T00Z,2524
20191112T23Z,2512
20191112T22Z,2530
20191112T21Z,2545
20191112T20Z,2574
20191112T19Z,2613
20191112T18Z,2649
20191112T17Z,2697
20191112T16Z,2728
20191112T15Z,2551
20191112T14Z,2217
20191112T13Z,1967
20191112T12Z,1862
20191112T11Z,1835
20191112T10Z,1863
20191112T09Z,1908
20191112T08Z,2048
20191112T07Z,2217
20191112T06Z,2417
20191112T05Z,2573
20191112T04Z,2678
20191112T03Z,2748
20191112T02Z,2743
20191112T01Z,2562
20191112T00Z,2441
20191111T23Z,2421
20191111T22Z,2452
20191111T21Z,2486
20191111T20Z,2529
20191111T19Z,2572
20191111T18Z,2607
20191111T17Z,2645
20191111T16Z,2658
20191111T15Z,2472
20191111T14Z,2144
20191111T13Z,1906
20191111T12Z,1803
20191111T11Z,1779
20191111T10Z,1792
20191111T09Z,1836
20191111T08Z,1884
20191111T07Z,2041
20191111T06Z,2219
20191111T05Z,2354
20191111T04Z,2449
20191111T03Z,2510
20191111T02Z,2518
20191111T01Z,2337
20191111T00Z,2231
20191110T23Z,2226
20191110T22Z,2243
20191110T21Z,2280
20191110T20Z,2306
20191110T19Z,2334
20191110T18Z,2340
20191110T17Z,2280
20191110T16Z,2149
20191110T15Z,2002
20191110T14Z,1874
20191110T13Z,1795
20191110T12Z,1763
20191110T11Z,1768
20191110T10Z,1768
20191110T09Z,1865
20191110T08Z,1963
20191110T07Z,2105
20191110T06Z,2230
20191110T05Z,2350
20191110T04Z,2444
20191110T03Z,2528
20191110T02Z,2560
20191110T01Z,2422
20191110T00Z,2315
20191109T23Z,2311
20191109T22Z,2339
20191109T21Z,2396
20191109T20Z,2475
20191109T19Z,2525
20191109T18Z,2537
20191109T17Z,2483
20191109T16Z,2359
20191109T15Z,2202
20191109T14Z,2037
20191109T13Z,1929
20191109T12Z,1885
20191109T11Z,1880
20191109T10Z,1901
20191109T09Z,1973
20191109T08Z,2038
20191109T07Z,2191
20191109T06Z,2349
20191109T05Z,2468
20191109T04Z,2569
20191109T03Z,2658
20191109T02Z,2679
20191109T01Z,2548
20191109T00Z,2461
20191108T23Z,2441
20191108T22Z,2483
20191108T21Z,2516
20191108T20Z,2574
20191108T19Z,2655
20191108T18Z,2710
20191108T17Z,2756
20191108T16Z,2745
20191108T15Z,2576
20191108T14Z,2269
20191108T13Z,2050
20191108T12Z,1962
20191108T11Z,1942
20191108T10Z,1949
20191108T09Z,1981
20191108T08Z,2072
20191108T07Z,2245
20191108T06Z,2426
20191108T05Z,2575
20191108T04Z,2671
20191108T03Z,2743
20191108T02Z,2743
20191108T01Z,2555
20191108T00Z,2468
20191107T23Z,2464
20191107T22Z,2500
20191107T21Z,2531
20191107T20Z,2575
20191107T19Z,2640
20191107T18Z,2692
20191107T17Z,2744
20191107T16Z,2778
20191107T15Z,2607
20191107T14Z,2268
20191107T13Z,2026
20191107T12Z,1924
20191107T11Z,1899
20191107T10Z,1913
20191107T09Z,1955
20191107T08Z,2036
20191107T07Z,2207
20191107T06Z,2394
20191107T05Z,2550
20191107T04Z,2635
20191107T03Z,2692
20191107T02Z,2688
20191107T01Z,2528
20191107T00Z,2423
20191106T23Z,2431
20191106T22Z,2479
20191106T21Z,2524
20191106T20Z,2577
20191106T19Z,2657
20191106T18Z,2723
20191106T17Z,2779
20191106T16Z,2790
20191106T15Z,2614
20191106T14Z,2286
20191106T13Z,2045
20191106T12Z,1938
20191106T11Z,1916
20191106T10Z,1942
20191106T09Z,2000
20191106T08Z,2110
20191106T07Z,2293
20191106T06Z,2490
20191106T05Z,2651
20191106T04Z,2745
20191106T03Z,2800
