,Day-ahead demand forecast1
20191115T00-05,86079
20191114T23-05,89253
20191114T22-05,93546
20191114T21-05,98262
20191114T20-05,101742
20191114T19-05,103736
20191114T18-05,103728
20191114T17-05,101249
20191114T16-05,96841
20191114T15-05,94963
20191114T14-05,94936
20191114T13-05,95818
20191114T12-05,96757
20191114T11-05,98291
20191114T10-05,99992
20191114T09-05,101866
20191114T08-05,104138
20191114T07-05,105421
20191114T06-05,102420
20191114T05-05,95779
20191114T04-05,91543
20191114T03-05,89654
20191114T02-05,89573
20191114T01-05,90461
20191114T00-05,90570
20191113T23-05,93428
20191113T22-05,97609
20191113T21-05,101943
20191113T20-05,105024
20191113T19-05,105670
20191113T18-05,104911
20191113T17-05,102108
20191113T16-05,98563
20191113T15-05,97320
20191113T14-05,97609
20191113T13-05,99003
20191113T12-05,100675
20191113T11-05,102441
20191113T10-05,104357
20191113T09-05,106198
20191113T08-05,108024
20191113T07-05,108335
20191113T06-05,104590
20191113T05-05,98842
20191113T04-05,94754
20191113T03-05,92993
20191113T02-05,92850
20191113T01-05,93835
20191113T00-05,94817
20191112T23-05,97882
20191112T22-05,101909
20191112T21-05,106798
20191112T20-05,109910
20191112T19-05,110832
20191112T18-05,109946
20191112T17-05,106541
20191112T16-05,102596
20191112T15-05,100706
20191112T14-05,100288
20191112T13-05,100633
20191112T12-05,100361
20191112T11-05,100331
20191112T10-05,100022
20191112T09-05,99056
20191112T08-05,98249
20191112T07-05,97034
20191112T06-05,91264
20191112T05-05,82507
20191112T04-05,77181
20191112T03-05,75022
20191112T02-05,74524
20191112T01-05,75144
20191112T00-05,78196
20191111T23-05,81536
20191111T22-05,86210
20191111T21-05,91042
20191111T20-05,94740
20191111T19-05,96591
20191111T18-05,96476
20191111T17-05,94309
20191111T16-05,90949
20191111T15-05,89589
20191111T14-05,89610
20191111T13-05,90200
20191111T12-05,90452
20191111T11-05,90898
20191111T10-05,91387
20191111T09-05,91705
20191111T08-05,92241
20191111T07-05,91739
20191111T06-05,86959
20191111T05-05,79327
20191111T04-05,74364
20191111T03-05,72423
20191111T02-05,71962
20191111T01-05,72538
20191111T00-05,74594
20191110T23-05,77585
20191110T22-05,81312
20191110T21-05,84952
20191110T20-05,87912
20191110T19-05,88870
20191110T18-05,88410
20191110T17-05,86325
20191110T16-05,82477
20191110T15-05,80617
20191110T14-05,80356
20191110T13-05,80951
20191110T12-05,81818
20191110T11-05,82408
20191110T10-05,83324
20191110T09-05,84137
20191110T08-05,83847
20191110T07-05,82336
20191110T06-05,80206
20191110T05-05,78356
20191110T04-05,77323
20191110T03-05,77127
20191110T02-05,77611
20191110T01-05,79010
20191110T00-05,79684
20191109T23-05,82899
20191109T22-05,86110
20191109T21-05,89151
20191109T20-05,91394
20191109T19-05,92830
20191109T18-05,93089
20191109T17-05,91204
20191109T16-05,87091
20191109T15-05,85308
20191109T14-05,85285
20191109T13-05,86310
20191109T12-05,87992
20191109T11-05,89611
20191109T10-05,91072
20191109T09-05,91894
20191109T08-05,91889
20191109T07-05,90364
20191109T06-05,87723
20191109T05-05,85332
20191109T04-05,83786
20191109T03-05,83132
20191109T02-05,83460
20191109T01-05,84472
20191109T00-05,86072
20191108T23-05,89578
20191108T22-05,93362
20191108T21-05,96549
20191108T20-05,98718
20191108T19-05,100401
20191108T18-05,100470
20191108T17-05,97881
20191108T16-05,94277
20191108T15-05,92595
20191108T14-05,92799
20191108T13-05,93580
20191108T12-05,94292
20191108T11-05,95299
20191108T10-05,96150
20191108T09-05,96835
20191108T08-05,97595
20191108T07-05,97226
20191108T06-05,92228
20191108T05-05,84384
20191108T04-05,79455
20191108T03-05,77504
20191108T02-05,77133
20191108T01-05,77701
20191108T00-05,79314
20191107T23-05,82563
20191107T22-05,87091
20191107T21-05,91751
20191107T20-05,94599
20191107T19-05,95643
20191107T18-05,95545
20191107T17-05,93809
20191107T16-05,90774
20191107T15-05,89422
