,Day-ahead demand forecast
20191114T07Z,1495
20191114T06Z,1573
20191114T05Z,1663
20191114T04Z,1733
20191114T03Z,1762
20191114T02Z,1739
20191114T01Z,1698
20191114T00Z,1574
20191113T23Z,1517
20191113T22Z,1499
20191113T21Z,1489
20191113T20Z,1503
20191113T19Z,1531
20191113T18Z,1565
20191113T17Z,1604
20191113T16Z,1662
20191113T15Z,1725
20191113T14Z,1727
20191113T13Z,1614
20191113T12Z,1512
20191113T11Z,1471
20191113T10Z,1463
20191113T09Z,1473
20191113T08Z,1492
20191113T07Z,1536
20191113T06Z,1619
20191113T05Z,1714
20191113T04Z,1786
20191113T03Z,1812
20191113T02Z,1787
20191113T01Z,1749
20191113T00Z,1611
20191112T23Z,1545
20191112T22Z,1528
20191112T21Z,1526
20191112T20Z,1541
20191112T19Z,1577
20191112T18Z,1611
20191112T17Z,1653
20191112T16Z,1709
20191112T15Z,1775
20191112T14Z,1769
20191112T13Z,1630
20191112T12Z,1531
20191112T11Z,1487
20191112T10Z,1486
20191112T09Z,1493
20191112T08Z,1495
20191112T07Z,1501
20191112T06Z,1595
20191112T05Z,1687
20191112T04Z,1751
20191112T03Z,1774
20191112T02Z,1787
20191112T01Z,1738
20191112T00Z,1623
20191111T23Z,1557
20191111T22Z,1537
20191111T21Z,1527
20191111T20Z,1535
20191111T19Z,1559
20191111T18Z,1571
20191111T17Z,1595
20191111T16Z,1614
20191111T15Z,1636
20191111T14Z,1627
20191111T13Z,1521
20191111T12Z,1419
20191111T11Z,1381
20191111T10Z,1367
20191111T09Z,1378
20191111T08Z,1399
20191111T07Z,1427
20191111T06Z,1512
20191111T05Z,1594
20191111T04Z,1650
20191111T03Z,1674
20191111T02Z,1695
20191111T01Z,1647
20191111T00Z,1536
20191110T23Z,1472
20191110T22Z,1435
20191110T21Z,1412
20191110T20Z,1419
20191110T19Z,1433
20191110T18Z,1443
20191110T17Z,1459
20191110T16Z,1481
20191110T15Z,1476
20191110T14Z,1473
20191110T13Z,1430
20191110T12Z,1383
20191110T11Z,1370
20191110T10Z,1369
20191110T09Z,1386
20191110T08Z,1413
20191110T07Z,1452
20191110T06Z,1520
20191110T05Z,1578
20191110T04Z,1616
20191110T03Z,1638
20191110T02Z,1663
20191110T01Z,1616
20191110T00Z,1493
20191109T23Z,1437
20191109T22Z,1414
20191109T21Z,1399
20191109T20Z,1412
20191109T19Z,1446
20191109T18Z,1465
20191109T17Z,1484
20191109T16Z,1519
20191109T15Z,1537
20191109T14Z,1523
20191109T13Z,1461
20191109T12Z,1415
20191109T11Z,1400
20191109T10Z,1400
20191109T09Z,1417
20191109T08Z,1446
20191109T07Z,1477
20191109T06Z,1545
20191109T05Z,1605
20191109T04Z,1651
20191109T03Z,1689
20191109T02Z,1676
20191109T01Z,1649
20191109T00Z,1549
20191108T23Z,1512
20191108T22Z,1492
20191108T21Z,1484
20191108T20Z,1484
20191108T19Z,1514
20191108T18Z,1533
20191108T17Z,1557
20191108T16Z,1594
20191108T15Z,1631
20191108T14Z,1641
20191108T13Z,1536
20191108T12Z,1429
20191108T11Z,1384
20191108T10Z,1398
20191108T09Z,1411
20191108T08Z,1431
20191108T07Z,1445
20191108T06Z,1531
20191108T05Z,1630
20191108T04Z,1695
20191108T03Z,1693
20191108T02Z,1705
20191108T01Z,1660
20191108T00Z,1556
20191107T23Z,1525
20191107T22Z,1523
20191107T21Z,1517
20191107T20Z,1519
20191107T19Z,1530
20191107T18Z,1554
20191107T17Z,1578
20191107T16Z,1632
20191107T15Z,1658
20191107T14Z,1640
20191107T13Z,1525
20191107T12Z,1433
