,Day-ahead demand forecast1
20200107T00-07,5496
20200106T23-07,5803
20200106T22-07,6202
20200106T21-07,6496
20200106T20-07,6663
20200106T19-07,6856
20200106T18-07,6831
20200106T17-07,6321
20200106T16-07,6008
20200106T15-07,5950
20200106T14-07,5926
20200106T13-07,5936
20200106T12-07,6002
20200106T11-07,6094
20200106T10-07,6132
20200106T09-07,6184
20200106T08-07,6208
20200106T07-07,5975
20200106T06-07,5509
20200106T05-07,5205
20200106T04-07,5064
20200106T03-07,5004
20200106T02-07,5016
20200106T01-07,5060
20200106T00-07,5219
20200105T23-07,5502
20200105T22-07,5847
20200105T21-07,6075
20200105T20-07,6212
20200105T19-07,6356
20200105T18-07,6304
20200105T17-07,5807
20200105T16-07,5500
20200105T15-07,5354
20200105T14-07,5332
20200105T13-07,5326
20200105T12-07,5358
20200105T11-07,5378
20200105T10-07,5414
20200105T09-07,5430
20200105T08-07,5363
20200105T07-07,5215
20200105T06-07,4995
20200105T05-07,4842
20200105T04-07,4763
20200105T03-07,4796
20200105T02-07,4823
20200105T01-07,4943
20200105T00-07,5170
20200104T23-07,5378
20200104T22-07,5681
20200104T21-07,5862
20200104T20-07,5994
20200104T19-07,6137
20200104T18-07,6161
20200104T17-07,5732
20200104T16-07,5479
20200104T15-07,5396
20200104T14-07,5359
20200104T13-07,5380
20200104T12-07,5411
20200104T11-07,5464
20200104T10-07,5563
20200104T09-07,5576
20200104T08-07,5481
20200104T07-07,5352
20200104T06-07,5139
20200104T05-07,5015
20200104T04-07,4934
20200104T03-07,4955
20200104T02-07,5025
20200104T01-07,5125
20200104T00-07,5350
20200103T23-07,5652
20200103T22-07,5973
20200103T21-07,6208
20200103T20-07,6345
20200103T19-07,6519
20200103T18-07,6518
20200103T17-07,6208
20200103T16-07,6062
20200103T15-07,6026
20200103T14-07,6026
20200103T13-07,6045
20200103T12-07,6091
20200103T11-07,6140
20200103T10-07,6189
20200103T09-07,6236
20200103T08-07,6231
20200103T07-07,6009
20200103T06-07,5631
20200103T05-07,5349
20200103T04-07,5232
20200103T03-07,5218
20200103T02-07,5231
20200103T01-07,5299
20200103T00-07,5467
20200102T23-07,5808
20200102T22-07,6170
20200102T21-07,6451
20200102T20-07,6627
20200102T19-07,6798
20200102T18-07,6820
20200102T17-07,6343
20200102T16-07,6119
20200102T15-07,6049
20200102T14-07,6043
20200102T13-07,6058
20200102T12-07,6101
20200102T11-07,6122
20200102T10-07,6132
20200102T09-07,6116
20200102T08-07,6082
20200102T07-07,5813
20200102T06-07,5398
20200102T05-07,5134
20200102T04-07,4960
20200102T03-07,4942
20200102T02-07,4943
20200102T01-07,4981
20200102T00-07,5216
20200101T23-07,5463
20200101T22-07,5810
20200101T21-07,6110
20200101T20-07,6254
20200101T19-07,6320
20200101T18-07,6350
20200101T17-07,5756
20200101T16-07,5384
20200101T15-07,5229
20200101T14-07,5220
20200101T13-07,5258
20200101T12-07,5323
20200101T11-07,5386
20200101T10-07,5461
20200101T09-07,5523
20200101T08-07,5536
20200101T07-07,5511
20200101T06-07,5319
20200101T05-07,5265
20200101T04-07,5219
20200101T03-07,5222
20200101T02-07,5300
20200101T01-07,5461
20200101T00-07,5620
20191231T23-07,5740
20191231T22-07,5928
20191231T21-07,6133
20191231T20-07,6282
20191231T19-07,6485
20191231T18-07,6550
20191231T17-07,6085
20191231T16-07,5738
20191231T15-07,5659
20191231T14-07,5672
20191231T13-07,5808
20191231T12-07,5920
20191231T11-07,6088
20191231T10-07,6186
20191231T09-07,6277
20191231T08-07,6374
20191231T07-07,6188
20191231T06-07,5879
20191231T05-07,5609
20191231T04-07,5482
20191231T03-07,5463
20191231T02-07,5467
20191231T01-07,5550
20191231T00-07,5658
20191230T23-07,5955
20191230T22-07,6332
20191230T21-07,6606
20191230T20-07,6795
20191230T19-07,6954
20191230T18-07,6930
20191230T17-07,6371
20191230T16-07,5967
20191230T15-07,5795
20191230T14-07,5793
20191230T13-07,5917
20191230T12-07,6035
20191230T11-07,6206
20191230T10-07,6355
20191230T09-07,6429
20191230T08-07,6410
20191230T07-07,6166
20191230T06-07,5739
20191230T05-07,5441
20191230T04-07,5302
20191230T03-07,5268
20191230T02-07,5274
20191230T01-07,5347
20191230T00-07,5527
20191229T23-07,5709
20191229T22-07,6003
20191229T21-07,6274
20191229T20-07,6417
20191229T19-07,6514
20191229T18-07,6539
20191229T17-07,6102
20191229T16-07,5712
20191229T15-07,5587
20191229T14-07,5460
20191229T13-07,5498
20191229T12-07,5587
20191229T11-07,5703
20191229T10-07,5684
20191229T09-07,5698
20191229T08-07,5611
20191229T07-07,5480
20191229T06-07,5315
20191229T05-07,5235
20191229T04-07,5162
20191229T03-07,5169
20191229T02-07,5226
20191229T01-07,5324
20191229T00-07,5499
20191228T23-07,5827
20191228T22-07,6061
20191228T21-07,6258
20191228T20-07,6400
20191228T19-07,6601
20191228T18-07,6672
20191228T17-07,6320
