,Day-ahead demand forecast1
20191115T00-08,1802
20191114T23-08,1931
20191114T22-08,1573
20191114T21-08,1784
20191114T20-08,1889
20191114T19-08,1982
20191114T18-08,1970
20191114T17-08,1737
20191114T16-08,1638
20191114T15-08,1531
20191114T14-08,1617
20191114T13-08,1708
20191114T12-08,1735
20191114T11-08,1729
20191114T10-08,1823
20191114T09-08,1888
20191114T08-08,1929
20191114T07-08,1753
20191114T06-08,1817
20191114T05-08,1617
20191114T04-08,1642
20191114T03-08,1568
20191114T02-08,1627
20191114T01-08,1716
20191114T00-08,1749
20191113T23-08,1827
20191113T22-08,1718
20191113T21-08,1715
20191113T20-08,1818
20191113T19-08,1809
20191113T18-08,1862
20191113T17-08,1758
20191113T16-08,1652
20191113T15-08,1651
20191113T14-08,1649
20191113T13-08,1626
20191113T12-08,1622
20191113T11-08,1623
20191113T10-08,1980
20191113T09-08,1842
20191113T08-08,1852
20191113T07-08,1904
20191113T06-08,1873
20191113T05-08,1813
20191113T04-08,1792
20191113T03-08,1772
20191113T02-08,1785
20191113T01-08,1845
20191113T00-08,1829
20191112T23-08,2017
20191112T22-08,1976
20191112T21-08,1988
20191112T20-08,2104
20191112T19-08,2095
20191112T18-08,2066
20191112T17-08,1856
20191112T16-08,1896
20191112T15-08,1907
20191112T14-08,1926
20191112T13-08,1987
20191112T12-08,1939
20191112T11-08,1957
20191112T10-08,2104
20191112T09-08,2106
20191112T08-08,2107
20191112T07-08,2089
20191112T06-08,2111
20191112T05-08,1987
20191112T04-08,1873
20191112T03-08,1874
20191112T02-08,1890
20191112T01-08,1929
20191111T00-08,1796
20191110T23-08,1856
20191110T22-08,1719
20191110T21-08,1713
20191110T20-08,1788
20191110T19-08,1849
20191110T18-08,1839
20191110T17-08,1601
20191110T16-08,1469
20191110T15-08,1441
20191110T14-08,1431
20191110T13-08,1453
20191110T12-08,1458
20191110T11-08,1488
20191110T10-08,1481
20191110T09-08,1380
20191110T08-08,1364
20191110T07-08,1366
20191110T06-08,1433
20191110T05-08,1722
20191110T04-08,1637
20191110T03-08,1693
20191110T02-08,1653
20191110T01-08,1676
20191110T00-08,1560
20191109T23-08,1687
20191109T22-08,1561
20191109T21-08,1571
20191109T20-08,1707
20191109T19-08,1665
20191109T18-08,1643
20191109T17-08,1572
20191109T16-08,1434
20191109T15-08,1416
20191109T14-08,1471
20191109T13-08,1490
