,Day-ahead demand forecast
20191114T05Z,3231
20191114T04Z,3372
20191114T03Z,3473
20191114T02Z,3527
20191114T01Z,3506
20191114T00Z,3423
20191113T23Z,3125
20191113T22Z,2840
20191113T21Z,2673
20191113T20Z,2617
20191113T19Z,2675
20191113T18Z,2774
20191113T17Z,2941
20191113T16Z,3274
20191113T15Z,3583
20191113T14Z,3762
20191113T13Z,3816
20191113T12Z,3746
20191113T11Z,3555
20191113T10Z,3407
20191113T09Z,3520
20191113T08Z,3422
20191113T07Z,3307
20191113T06Z,3218
20191113T05Z,3307
20191113T04Z,3303
20191113T03Z,3313
20191113T02Z,3355
20191113T01Z,3268
20191113T00Z,3261
20191112T23Z,3074
20191112T22Z,2785
20191112T21Z,2658
20191112T20Z,2513
20191112T19Z,2467
20191112T18Z,2459
20191112T17Z,2446
20191112T16Z,2451
20191112T15Z,2520
20191112T14Z,2506
20191112T13Z,2559
20191112T12Z,2554
20191112T11Z,2420
20191112T10Z,2248
20191112T09Z,2212
20191112T08Z,2227
20191112T07Z,2249
20191112T06Z,2285
20191112T05Z,2314
20191112T04Z,2439
20191112T03Z,2573
20191112T02Z,2677
20191112T01Z,2731
20191112T00Z,2750
20191111T23Z,2595
20191111T22Z,2461
20191111T21Z,2413
20191111T20Z,2425
20191111T19Z,2422
20191111T18Z,2474
20191111T17Z,2560
20191111T16Z,2618
20191111T15Z,2806
20191111T14Z,2991
20191111T13Z,3131
20191111T12Z,3123
20191111T11Z,2901
20191111T10Z,2691
20191111T09Z,2614
20191111T08Z,2572
20191111T07Z,2595
20191111T06Z,2565
20191111T05Z,2580
20191111T04Z,2626
20191111T03Z,2655
20191111T02Z,2762
20191111T01Z,2809
20191111T00Z,2721
20191110T23Z,2612
20191110T22Z,2466
20191110T21Z,2410
20191110T20Z,2407
20191110T19Z,2473
20191110T18Z,2509
20191110T17Z,2687
20191110T16Z,2798
20191110T15Z,3102
20191110T14Z,3406
20191110T13Z,3388
20191110T12Z,3321
20191110T11Z,3114
20191110T10Z,3059
20191110T09Z,2951
20191110T08Z,2933
20191110T07Z,2960
20191110T06Z,2948
20191110T05Z,2865
20191110T04Z,2997
20191110T03Z,3082
20191110T02Z,3066
20191110T01Z,3029
20191110T00Z,3004
20191109T23Z,2870
20191109T22Z,2627
20191109T21Z,2603
20191109T20Z,2631
20191109T19Z,2666
20191109T18Z,2722
20191109T17Z,2858
20191109T16Z,3033
20191109T15Z,3286
20191109T14Z,3319
20191109T13Z,3376
20191109T12Z,3197
20191109T11Z,3063
20191109T10Z,2925
20191109T09Z,2890
20191109T08Z,2777
20191109T07Z,2691
20191109T06Z,2623
20191109T05Z,2842
20191109T04Z,2976
20191109T03Z,2983
20191109T02Z,3006
20191109T01Z,2970
20191109T00Z,2953
20191108T23Z,2796
20191108T22Z,2573
20191108T21Z,2520
20191108T20Z,2458
20191108T19Z,2457
20191108T18Z,2458
20191108T17Z,2488
20191108T16Z,2455
20191108T15Z,2435
20191108T14Z,2405
20191108T13Z,2376
20191108T12Z,2314
20191108T11Z,2085
20191108T10Z,1964
20191108T09Z,1964
20191108T08Z,1948
20191108T07Z,2001
20191108T06Z,2077
20191108T05Z,2206
20191108T04Z,2325
20191108T03Z,2452
20191108T02Z,2600
20191108T01Z,2716
20191108T00Z,2751
20191107T23Z,2602
20191107T22Z,2512
20191107T21Z,2440
20191107T20Z,2390
20191107T19Z,2369
20191107T18Z,2381
20191107T17Z,2402
20191107T16Z,2401
20191107T15Z,2416
20191107T14Z,2469
20191107T13Z,2484
20191107T12Z,2442
20191107T11Z,2250
20191107T10Z,2123
20191107T09Z,2068
20191107T08Z,2048
20191107T07Z,2062
20191107T06Z,2062
20191107T05Z,2185
20191107T04Z,2326
20191107T03Z,2457
20191107T02Z,2546
20191107T01Z,2656
20191107T00Z,2680
20191106T23Z,2553
20191106T22Z,2447
20191106T21Z,2409
20191106T20Z,2412
20191106T19Z,2349
20191106T18Z,2369
20191106T17Z,2354
20191106T16Z,2343
20191106T15Z,2342
20191106T14Z,2365
20191106T13Z,2349
20191106T12Z,2299
20191106T11Z,2107
20191106T10Z,1982
20191106T09Z,1928
20191106T08Z,1975
20191106T07Z,2016
20191106T06Z,2055
20191106T05Z,2198
20191106T04Z,2362
20191106T03Z,2495
20191106T02Z,2617
20191106T01Z,2706
20191106T00Z,2767
20191105T23Z,2662
20191105T22Z,2513
20191105T21Z,2481
20191105T20Z,2465
20191105T19Z,2431
20191105T18Z,2415
20191105T17Z,2428
20191105T16Z,2438
20191105T15Z,2447
20191105T14Z,2456
