,Day-ahead demand forecast
20191114T05Z,2996
20191114T04Z,3123
20191114T03Z,3253
20191114T02Z,3355
20191114T01Z,3302
20191114T00Z,3264
20191113T23Z,2950
20191113T22Z,2749
20191113T21Z,2680
20191113T20Z,2719
20191113T19Z,2814
20191113T18Z,2943
20191113T17Z,3134
20191113T16Z,3342
20191113T15Z,3581
20191113T14Z,3825
20191113T13Z,3900
20191113T12Z,3780
20191113T11Z,3406
20191113T10Z,3132
20191113T09Z,2968
20191113T08Z,2860
20191113T07Z,2773
20191113T06Z,2747
20191113T05Z,2710
20191113T04Z,2841
20191113T03Z,2911
20191113T02Z,2941
20191113T01Z,2950
20191113T00Z,2900
20191112T23Z,2752
20191112T22Z,2538
20191112T21Z,2465
20191112T20Z,2476
20191112T19Z,2489
20191112T18Z,2504
20191112T17Z,2493
20191112T16Z,2486
20191112T15Z,2514
20191112T14Z,2628
20191112T13Z,2683
20191112T12Z,2491
20191112T11Z,2231
20191112T10Z,2029
20191112T09Z,1983
20191112T08Z,1958
20191112T07Z,1944
20191112T06Z,2012
20191112T05Z,2136
20191112T04Z,2265
20191112T03Z,2416
20191112T02Z,2486
20191112T01Z,2552
20191112T00Z,2599
20191111T23Z,2461
20191111T22Z,2319
20191111T21Z,2312
20191111T20Z,2292
20191111T19Z,2304
20191111T18Z,2314
20191111T17Z,2351
20191111T16Z,2482
20191111T15Z,2596
20191111T14Z,2822
20191111T13Z,2859
20191111T12Z,2900
20191111T11Z,2637
20191111T10Z,2359
20191111T09Z,2275
20191111T08Z,2236
20191111T07Z,2230
20191111T06Z,2241
20191111T05Z,2187
20191111T04Z,2295
20191111T03Z,2405
20191111T02Z,2543
20191111T01Z,2554
20191111T00Z,2560
20191110T23Z,2414
20191110T22Z,2259
20191110T21Z,2206
20191110T20Z,2212
20191110T19Z,2239
20191110T18Z,2292
20191110T17Z,2374
20191110T16Z,2546
20191110T15Z,2723
20191110T14Z,2900
20191110T13Z,2871
20191110T12Z,2845
20191110T11Z,2692
20191110T10Z,2558
20191110T09Z,2510
20191110T08Z,2483
20191110T07Z,2475
20191110T06Z,2487
20191110T05Z,2485
20191110T04Z,2538
20191110T03Z,2591
20191110T02Z,2632
20191110T01Z,2643
20191110T00Z,2634
20191109T23Z,2429
20191109T22Z,2257
20191109T21Z,2209
20191109T20Z,2225
20191109T19Z,2297
20191109T18Z,2397
20191109T17Z,2522
20191109T16Z,2672
20191109T15Z,2843
20191109T14Z,2950
20191109T13Z,2910
20191109T12Z,2764
20191109T11Z,2558
20191109T10Z,2456
20191109T09Z,2374
20191109T08Z,2326
20191109T07Z,2308
20191109T06Z,2327
20191109T05Z,2477
20191109T04Z,2540
20191109T03Z,2593
20191109T02Z,2625
20191109T01Z,2570
20191109T00Z,2531
20191108T23Z,2425
20191108T22Z,2366
20191108T21Z,2375
20191108T20Z,2363
20191108T19Z,2389
20191108T18Z,2410
20191108T17Z,2425
20191108T16Z,2424
20191108T15Z,2416
20191108T14Z,2385
20191108T13Z,2370
20191108T12Z,2283
20191108T11Z,2052
20191108T10Z,1924
20191108T09Z,1889
20191108T08Z,1901
20191108T07Z,1917
20191108T06Z,1976
20191108T05Z,2065
20191108T04Z,2204
20191108T03Z,2342
20191108T02Z,2449
20191108T01Z,2500
20191108T00Z,2479
20191107T23Z,2437
20191107T22Z,2412
20191107T21Z,2415
20191107T20Z,2407
20191107T19Z,2392
20191107T18Z,2359
20191107T17Z,2349
20191107T16Z,2340
20191107T15Z,2339
20191107T14Z,2340
20191107T13Z,2342
20191107T12Z,2259
20191107T11Z,2019
20191107T10Z,1899
20191107T09Z,1848
20191107T08Z,1851
20191107T07Z,1881
20191107T06Z,1927
20191107T05Z,2071
20191107T04Z,2187
20191107T03Z,2294
20191107T02Z,2442
20191107T01Z,2494
20191107T00Z,2550
20191106T23Z,2441
20191106T22Z,2349
20191106T21Z,2313
20191106T20Z,2340
20191106T19Z,2325
20191106T18Z,2335
20191106T17Z,2363
20191106T16Z,2361
20191106T15Z,2371
20191106T14Z,2317
20191106T13Z,2355
20191106T12Z,2315
20191106T11Z,2074
20191106T10Z,1923
20191106T09Z,1891
20191106T08Z,1869
20191106T07Z,1884
20191106T06Z,1953
20191106T05Z,2088
20191106T04Z,2192
20191106T03Z,2343
20191106T02Z,2466
20191106T01Z,2516
20191106T00Z,2525
20191105T23Z,2450
20191105T22Z,2395
20191105T21Z,2369
20191105T20Z,2337
20191105T19Z,2339
20191105T18Z,2365
20191105T17Z,2394
20191105T16Z,2371
20191105T15Z,2391
20191105T14Z,2346
20191105T13Z,2405
20191105T12Z,2369
20191105T11Z,2123
20191105T10Z,1978
20191105T09Z,1919
20191105T08Z,1902
20191105T07Z,1930
20191105T06Z,1951
20191105T05Z,2101
20191105T04Z,2251
20191105T03Z,2326
20191105T02Z,2401
20191105T01Z,2507
20191105T00Z,2523
20191104T23Z,2460
20191104T22Z,2387
20191104T21Z,2342
20191104T20Z,2354
20191104T19Z,2395
20191104T18Z,2436
20191104T17Z,2515
20191104T16Z,2618
20191104T15Z,2738
20191104T14Z,2840
20191104T13Z,2900
20191104T12Z,2830
20191104T11Z,2508
