,Day-ahead demand forecast
20191114T08Z,954
20191114T07Z,1036
20191114T06Z,1124
20191114T05Z,1182
20191114T04Z,1218
20191114T03Z,1252
20191114T02Z,1270
20191114T01Z,1160
20191114T00Z,1110
20191113T23Z,1104
20191113T22Z,1112
20191113T21Z,1126
20191113T20Z,1151
20191113T19Z,1185
20191113T18Z,1209
20191113T17Z,1236
20191113T16Z,1239
20191113T15Z,1127
20191113T14Z,959
20191113T13Z,856
20191113T12Z,822
20191113T11Z,824
20191113T10Z,838
20191113T09Z,873
20191113T08Z,951
20191113T07Z,1044
20191113T06Z,1142
20191113T05Z,1212
20191113T04Z,1249
20191113T03Z,1300
20191113T02Z,1330
20191113T01Z,1240
20191113T00Z,1200
20191112T23Z,1200
20191112T22Z,1210
20191112T21Z,1210
20191112T20Z,1220
20191112T19Z,1280
20191112T18Z,1310
20191112T17Z,1320
20191112T16Z,1320
20191112T15Z,1220
20191112T14Z,1040
20191112T13Z,920
20191112T12Z,870
20191112T11Z,860
20191112T10Z,870
20191112T09Z,910
20191112T08Z,953
20191112T07Z,1054
20191112T06Z,1148
20191112T05Z,1214
20191112T04Z,1258
20191112T03Z,1299
20191112T02Z,1310
20191112T01Z,1225
20191112T00Z,1182
20191111T23Z,1164
20191111T22Z,1176
20191111T21Z,1200
20191111T20Z,1234
20191111T19Z,1260
20191111T18Z,1291
20191111T17Z,1286
20191111T16Z,1257
20191111T15Z,1168
20191111T14Z,1020
20191111T13Z,926
20191111T12Z,876
20191111T11Z,867
20191111T10Z,880
20191111T09Z,903
20191111T08Z,955
20191111T07Z,1008
20191111T06Z,1076
20191111T05Z,1137
20191111T04Z,1172
20191111T03Z,1199
20191111T02Z,1219
20191111T01Z,1135
20191111T00Z,1108
20191110T23Z,1106
20191110T22Z,1113
20191110T21Z,1123
20191110T20Z,1143
20191110T19Z,1130
20191110T18Z,1115
20191110T17Z,1074
20191110T16Z,1030
20191110T15Z,952
20191110T14Z,870
20191110T13Z,877
20191110T12Z,855
20191110T11Z,860
20191110T10Z,882
20191110T09Z,899
20191110T08Z,952
20191110T07Z,1040
20191110T06Z,1092
20191110T05Z,1139
20191110T04Z,1178
20191110T03Z,1226
20191110T02Z,1240
20191110T01Z,1209
20191110T00Z,1166
20191109T23Z,1162
20191109T22Z,1163
20191109T21Z,1179
20191109T20Z,1201
20191109T19Z,1211
20191109T18Z,1202
20191109T17Z,1172
20191109T16Z,1057
20191109T15Z,988
20191109T14Z,924
20191109T13Z,884
20191109T12Z,878
20191109T11Z,882
20191109T10Z,907
20191109T09Z,947
20191109T08Z,990
20191109T07Z,1029
20191109T06Z,1096
20191109T05Z,1152
20191109T04Z,1193
20191109T03Z,1246
20191109T02Z,1301
20191109T01Z,1258
20191109T00Z,1231
20191108T23Z,1225
20191108T22Z,1237
20191108T21Z,1237
20191108T20Z,1262
20191108T19Z,1280
20191108T18Z,1326
20191108T17Z,1368
20191108T16Z,1379
20191108T15Z,1262
20191108T14Z,1085
20191108T13Z,968
20191108T12Z,894
20191108T11Z,871
20191108T10Z,883
20191108T09Z,912
20191108T08Z,954
20191108T07Z,1032
20191108T06Z,1122
20191108T05Z,1186
20191108T04Z,1222
20191108T03Z,1260
20191108T02Z,1288
20191108T01Z,1220
20191108T00Z,1184
20191107T23Z,1180
20191107T22Z,1188
20191107T21Z,1202
20191107T20Z,1220
20191107T19Z,1234
20191107T18Z,1282
20191107T17Z,1328
20191107T16Z,1354
20191107T15Z,1246
20191107T14Z,1054
20191107T13Z,928
20191107T12Z,880
20191107T11Z,870
20191107T10Z,880
20191107T09Z,910
20191107T08Z,984
20191107T07Z,1054
20191107T06Z,1144
20191107T05Z,1208
20191107T04Z,1242
20191107T03Z,1282
20191107T02Z,1304
20191107T01Z,1226
20191107T00Z,1182
20191106T23Z,1178
20191106T22Z,1192
20191106T21Z,1214
20191106T20Z,1224
20191106T19Z,1238
20191106T18Z,1274
20191106T17Z,1306
20191106T16Z,1322
20191106T15Z,1218
20191106T14Z,1034
20191106T13Z,916
20191106T12Z,872
20191106T11Z,866
20191106T10Z,884
20191106T09Z,920
20191106T08Z,1017
20191106T07Z,1101
20191106T06Z,1193
20191106T05Z,1257
20191106T04Z,1291
20191106T03Z,1329
20191106T02Z,1346
20191106T01Z,1276
20191106T00Z,1234
20191105T23Z,1232
20191105T22Z,1252
20191105T21Z,1265
20191105T20Z,1262
20191105T19Z,1283
20191105T18Z,1301
20191105T17Z,1333
20191105T16Z,1346
20191105T15Z,1251
20191105T14Z,1059
20191105T13Z,946
20191105T12Z,895
20191105T11Z,884
20191105T10Z,908
20191105T09Z,950
20191105T08Z,1013
20191105T07Z,1103
20191105T06Z,1193
20191105T05Z,1264
20191105T04Z,1304
20191105T03Z,1342
20191105T02Z,1362
20191105T01Z,1296
20191105T00Z,1249
20191104T23Z,1250
20191104T22Z,1265
20191104T21Z,1288
20191104T20Z,1281
20191104T19Z,1310
20191104T18Z,1330
20191104T17Z,1368
20191104T16Z,1373
20191104T15Z,1270
20191104T14Z,1086
20191104T13Z,972
20191104T12Z,914
20191104T11Z,897
20191104T10Z,910
20191104T09Z,941
20191102T07Z,1069
20191102T06Z,1142
20191102T05Z,1223
20191102T04Z,1274
20191102T03Z,1304
20191102T02Z,1332
20191102T01Z,1291
20191102T00Z,1247
20191101T23Z,1236
20191101T22Z,1243
20191101T21Z,1276
20191101T20Z,1301
20191101T19Z,1330
20191101T18Z,1377
20191101T17Z,1424
20191101T16Z,1455
20191101T15Z,1456
20191101T14Z,1327
20191101T13Z,1140
20191101T12Z,1019
20191101T11Z,947
20191101T10Z,925
20191101T09Z,932
20191101T08Z,964
20191101T07Z,1038
20191101T06Z,1136
20191101T05Z,1224
20191101T04Z,1278
20191101T03Z,1286
20191101T02Z,1318
20191101T01Z,1262
20191101T00Z,1206
20191031T23Z,1184
20191031T22Z,1208
20191031T21Z,1238
20191031T20Z,1258
20191031T19Z,1318
20191031T18Z,1378
20191031T17Z,1408
20191031T16Z,1458
20191031T15Z,1472
20191031T14Z,1352
20191031T13Z,1150
20191031T12Z,1022
20191031T11Z,946
20191031T10Z,928
20191031T09Z,944
20191031T08Z,970
20191031T07Z,1038
20191031T06Z,1136
20191031T05Z,1224
20191031T04Z,1278
20191031T03Z,1286
20191031T02Z,1318
20191031T01Z,1262
20191031T00Z,1206
20191030T23Z,1184
20191030T22Z,1208
20191030T21Z,1238
20191030T20Z,1258
20191030T19Z,1318
20191030T18Z,1378
20191030T17Z,1408
20191030T16Z,1458
20191030T15Z,1480
20191030T14Z,1362
20191030T13Z,1165
20191030T12Z,1022
20191030T11Z,946
20191030T10Z,928
20191030T09Z,944
20191030T08Z,970
20191030T07Z,1040
20191030T06Z,1138
20191030T05Z,1230
20191030T04Z,1280
20191030T03Z,1294
20191030T02Z,1348
20191030T01Z,1302
20191030T00Z,1246
20191029T23Z,1222
20191029T22Z,1244
20191029T21Z,1278
20191029T20Z,1298
20191029T19Z,1364
20191029T18Z,1410
20191029T17Z,1430
20191029T16Z,1486
20191029T15Z,1494
20191029T14Z,1368
20191029T13Z,1172
20191029T12Z,1040
20191029T11Z,968
20191029T10Z,950
20191029T09Z,956
20191029T08Z,986
20191029T07Z,1025
20191029T06Z,1115
20191029T05Z,1210
20191029T04Z,1275
20191029T03Z,1295
20191029T02Z,1320
20191029T01Z,1265
20191029T00Z,1215
20191028T23Z,1190
20191028T22Z,1210
20191028T21Z,1235
20191028T20Z,1250
20191028T19Z,1295
20191028T18Z,1325
20191028T17Z,1355
20191028T16Z,1395
20191028T15Z,1400
20191028T14Z,1275
20191028T13Z,1095
20191028T12Z,980
20191028T11Z,920
20191028T10Z,910
20191028T09Z,915
20191028T08Z,940
20191028T07Z,985
20191028T06Z,1080
20191028T05Z,1165
20191028T04Z,1210
20191028T03Z,1235
20191028T02Z,1230
20191028T01Z,1160
20191028T00Z,1120
20191027T23Z,1100
20191027T22Z,1105
20191027T21Z,1120
20191027T20Z,1140
20191027T19Z,1160
20191027T18Z,1175
20191027T17Z,1180
20191027T16Z,1025
20191027T15Z,1075
20191027T14Z,1025
20191027T13Z,950
20191027T12Z,915
20191027T11Z,905
20191027T10Z,895
20191027T09Z,900
20191027T08Z,945
20191027T07Z,1010
20191027T06Z,1075
20191027T05Z,1125
20191027T04Z,1165
20191027T03Z,1175
20191027T02Z,1185
20191027T01Z,1155
20191027T00Z,1135
20191026T23Z,1125
20191026T22Z,1135
20191026T21Z,1155
20191026T20Z,1175
20191026T19Z,1190
20191026T18Z,1190
20191026T17Z,1185
20191026T16Z,1130
20191026T15Z,1060
20191026T14Z,970
20191026T13Z,910
20191026T12Z,870
20191026T11Z,860
20191026T10Z,860
20191026T09Z,870
20191026T08Z,910
20191026T07Z,96
20191026T06Z,1020
20191026T05Z,1090
20191026T04Z,1145
20191026T03Z,1185
20191026T02Z,1200
20191026T01Z,1180
20191026T00Z,1145
20191025T23Z,1140
20191025T22Z,1145
20191025T21Z,1170
20191025T20Z,1185
20191025T19Z,1190
20191025T18Z,1200
20191025T17Z,1215
20191025T16Z,1225
20191025T15Z,1190
20191025T14Z,1080
20191025T13Z,930
20191025T12Z,840
20191025T11Z,810
20191025T10Z,770
20191025T09Z,785
20191025T08Z,820
20191025T07Z,930
20191025T06Z,1010
20191025T05Z,1090
20191025T04Z,1140
20191025T03Z,1175
20191025T02Z,1175
20191025T01Z,1140
20191025T00Z,1095
20191024T23Z,1090
20191024T22Z,1100
20191024T21Z,1125
20191024T20Z,1140
20191024T19Z,1150
20191024T18Z,1180
20191024T17Z,1210
20191024T16Z,1260
20191024T15Z,1235
20191024T14Z,1115
20191024T13Z,960
20191024T12Z,850
20191024T11Z,820
20191024T10Z,825
20191024T09Z,845
20191024T08Z,890
20191024T07Z,945
20191024T06Z,1025
20191024T05Z,1100
20191024T04Z,1155
20191024T03Z,1175
20191024T02Z,1175
20191024T01Z,1130
20191024T00Z,1080
20191023T23Z,1080
20191023T22Z,1075
20191023T21Z,1095
20191023T20Z,1115
20191023T19Z,1130
20191023T18Z,1150
20191023T17Z,1175
20191023T16Z,1190
20191023T15Z,1170
20191023T14Z,1050
20191023T13Z,900
20191023T12Z,820
20191023T11Z,795
20191023T10Z,800
20191023T09Z,820
20191023T08Z,865
20191023T07Z,946
20191023T06Z,1031
20191023T05Z,1111
20191023T04Z,1158
20191023T03Z,1187
20191023T02Z,1187
20191023T01Z,1134
20191023T00Z,1073
20191022T23Z,1075
20191022T22Z,1085
20191022T21Z,1102
20191022T20Z,1123
20191022T19Z,1137
20191022T18Z,1140
20191022T17Z,1154
20191022T16Z,1182
20191022T15Z,1175
20191022T14Z,1074
20191022T13Z,965
20191022T12Z,878
20191022T11Z,848
20191022T10Z,853
20191022T09Z,865
20191022T08Z,911
20191022T07Z,980
20191022T06Z,1070
20191022T05Z,1150
20191022T04Z,1220
20191022T03Z,1260
20191022T02Z,1280
20191022T01Z,1240
20191022T00Z,1190
20191021T23Z,1190
20191021T22Z,1190
20191021T21Z,1210
20191021T20Z,1230
20191021T19Z,1210
20191021T18Z,1210
20191021T17Z,1230
20191021T16Z,1250
20191021T15Z,1240
20191021T14Z,1140
20191021T13Z,980
20191021T12Z,890
20191021T11Z,850
20191021T10Z,850
20191021T09Z,865
20191021T08Z,911
20191021T07Z,948
20191021T06Z,1038
20191021T05Z,1112
20191021T04Z,1173
20191021T03Z,1198
20191021T02Z,1183
20191021T01Z,1137
20191021T00Z,1100
20191020T23Z,1094
20191020T22Z,1104
20191020T21Z,1109
20191020T20Z,1120
20191020T19Z,1119
20191020T18Z,1106
20191020T17Z,1069
20191020T16Z,1024
20191020T15Z,951
20191020T14Z,896
20191020T13Z,849
20191020T12Z,824
20191020T11Z,822
20191020T10Z,835
20191020T09Z,863
20191020T08Z,899
20191020T07Z,944
20191020T06Z,1008
20191020T05Z,1057
20191020T04Z,1099
20191020T03Z,1133
20191020T02Z,1127
20191020T01Z,1091
20191020T00Z,1068
20191019T23Z,1065
20191019T22Z,1079
20191019T21Z,1095
20191019T20Z,1105
20191019T19Z,1120
20191019T18Z,1120
20191019T17Z,1114
20191019T16Z,1056
20191019T15Z,988
20191019T14Z,933
20191019T13Z,864
20191019T12Z,835
20191019T11Z,832
20191019T10Z,842
20191019T09Z,867
20191019T08Z,909
20191019T07Z,949
20191019T06Z,1009
20191019T05Z,1086
20191019T04Z,1144
20191019T03Z,1191
20191019T02Z,1231
20191019T01Z,1220
20191019T00Z,1176
20191018T23Z,1171
20191018T22Z,1178
20191018T21Z,1175
20191018T20Z,1191
20191018T19Z,1192
20191018T18Z,1200
20191018T17Z,1218
20191018T16Z,1229
20191018T15Z,1220
20191018T14Z,1114
20191018T13Z,963
20191018T12Z,872
20191018T11Z,842
20191018T10Z,797
20191018T09Z,813
20191018T08Z,851
20191018T07Z,899
20191018T06Z,987
20191018T05Z,1080
20191018T04Z,1137
20191018T03Z,1166
20191018T02Z,1174
20191018T01Z,1143
20191018T00Z,1102
20191017T23Z,1084
20191017T22Z,1096
20191017T21Z,1119
20191017T20Z,1133
20191017T19Z,1132
20191017T18Z,1134
20191017T17Z,1149
20191017T16Z,1179
20191017T15Z,1182
20191017T14Z,1070
20191017T13Z,900
20191017T12Z,810
20191017T11Z,766
20191017T10Z,762
20191017T09Z,781
20191017T08Z,820
20191017T07Z,877
20191017T06Z,961
20191017T05Z,1053
20191017T04Z,1109
20191017T03Z,1146
20191017T02Z,1171
20191017T01Z,1152
