,Day-ahead demand forecast
20191114T06Z,29936
20191114T05Z,30653
20191114T04Z,31974
20191114T03Z,33066
20191114T02Z,33487
20191114T01Z,33504
20191114T00Z,32317
20191113T23Z,29934
20191113T22Z,28656
20191113T21Z,28561
20191113T20Z,29220
20191113T19Z,30239
20191113T18Z,31696
20191113T17Z,33395
20191113T16Z,35323
20191113T15Z,37204
20191113T14Z,38900
20191113T13Z,39444
20191113T12Z,37822
20191113T11Z,35033
20191113T10Z,33331
20191113T09Z,32282
20191113T08Z,31710
20191113T07Z,31404
20191113T06Z,30473
20191113T05Z,31128
20191113T04Z,32263
20191113T03Z,33429
20191113T02Z,33732
20191113T01Z,33276
20191113T00Z,31793
20191112T23Z,29804
20191112T22Z,28686
20191112T21Z,28465
20191112T20Z,28695
20191112T19Z,29033
20191112T18Z,29167
20191112T17Z,29001
20191112T16Z,28575
20191112T15Z,27777
20191112T14Z,27192
20191112T13Z,26568
20191112T12Z,24441
20191112T11Z,21906
20191112T10Z,20373
20191112T09Z,19835
20191112T08Z,19613
20191112T07Z,19813
20191112T06Z,21380
20191112T05Z,22358
20191112T04Z,23738
20191112T03Z,24903
20191112T02Z,25802
20191112T01Z,26429
20191112T00Z,26075
20191111T23Z,24406
20191111T22Z,23577
20191111T21Z,23481
20191111T20Z,23854
20191111T19Z,24097
20191111T18Z,24514
20191111T17Z,24854
20191111T16Z,25348
20191111T15Z,26173
20191111T14Z,27195
20191111T13Z,27647
20191111T12Z,26012
20191111T11Z,23218
20191111T10Z,21453
20191111T09Z,20841
20191111T08Z,20572
20191111T07Z,20629
20191111T06Z,21343
20191111T05Z,22264
20191111T04Z,23371
20191111T03Z,24461
20191111T02Z,25311
20191111T01Z,25482
20191111T00Z,25039
20191110T23Z,23495
20191110T22Z,22716
20191110T21Z,22551
20191110T20Z,22881
20191110T19Z,23241
20191110T18Z,23693
20191110T17Z,24249
20191110T16Z,25324
20191110T15Z,26239
20191110T14Z,26223
20191110T13Z,25216
20191110T12Z,24327
20191110T11Z,23425
20191110T10Z,22685
20191110T09Z,22338
20191110T08Z,22100
20191110T07Z,22208
20191110T06Z,22670
20191110T05Z,23347
20191110T04Z,23997
20191110T03Z,24616
20191110T02Z,25128
20191110T01Z,25424
20191110T00Z,25222
20191109T23Z,23158
20191109T22Z,22324
20191109T21Z,22336
20191109T20Z,22913
20191109T19Z,23609
20191109T18Z,24534
20191109T17Z,25336
20191109T16Z,26422
20191109T15Z,27325
20191109T14Z,27379
20191109T13Z,26497
20191109T12Z,25503
20191109T11Z,24145
20191109T10Z,23102
20191109T09Z,22437
20191109T08Z,21978
20191109T07Z,21936
20191109T06Z,22781
20191109T05Z,23545
20191109T04Z,24306
20191109T03Z,24965
20191109T02Z,25465
20191109T01Z,25828
20191109T00Z,25735
20191108T23Z,24049
20191108T22Z,23515
20191108T21Z,23615
20191108T20Z,24026
20191108T19Z,24343
20191108T18Z,24512
20191108T17Z,24607
20191108T16Z,24720
20191108T15Z,24588
20191108T14Z,24353
20191108T13Z,24144
20191108T12Z,22603
20191108T11Z,20191
20191108T10Z,18819
20191108T09Z,18272
20191108T08Z,18103
20191108T07Z,18391
20191108T06Z,19410
20191108T05Z,20513
