,Day-ahead demand forecast1
20191219T00-06,28443
20191218T23-06,29203
20191218T22-06,30515
20191218T21-06,31580
20191218T20-06,32016
20191218T19-06,32096
20191218T18-06,31380
20191218T17-06,29254
20191218T16-06,27551
20191218T15-06,26934
20191218T14-06,27127
20191218T13-06,27615
20191218T12-06,28525
20191218T11-06,29723
20191218T10-06,30949
20191218T09-06,32070
20191218T08-06,32998
20191218T07-06,32943
20191218T06-06,31139
20191218T05-06,28517
20191218T04-06,27026
20191218T03-06,26180
20191218T02-06,25735
20191218T01-06,25538
20191218T00-06,25319
20191217T23-06,26130
20191217T22-06,27376
20191217T21-06,28599
20191217T20-06,29129
20191217T19-06,29129
20191217T18-06,28719
20191217T17-06,26953
20191217T16-06,25653
20191217T15-06,25206
20191217T14-06,25254
20191217T13-06,25129
20191217T12-06,25210
20191217T11-06,25391
20191217T10-06,25189
20191217T09-06,24961
20191217T08-06,24667
20191217T07-06,24354
20191217T06-06,22611
20191217T05-06,20382
20191217T04-06,19157
20191217T03-06,18925
20191217T02-06,19024
20191217T01-06,19542
20191217T00-06,20279
20191216T23-06,21512
20191216T22-06,23065
20191216T21-06,24504
20191216T20-06,25414
20191216T19-06,25906
20191216T18-06,25954
20191216T17-06,25075
20191216T16-06,24353
20191216T15-06,24117
20191216T14-06,24168
20191216T13-06,24320
20191216T12-06,24524
20191216T11-06,24751
20191216T10-06,24894
20191216T09-06,24904
20191216T08-06,24880
20191216T07-06,24729
20191216T06-06,23273
20191216T05-06,21161
20191216T04-06,19930
20191216T03-06,19545
20191216T02-06,19564
20191216T01-06,19995
20191216T00-06,20322
20191215T23-06,21456
20191215T22-06,22812
20191215T21-06,23974
20191215T20-06,24759
20191215T19-06,24985
20191215T18-06,24807
20191215T17-06,23877
20191215T16-06,22904
20191215T15-06,22630
20191215T14-06,22689
20191215T13-06,22962
20191215T12-06,23335
20191215T11-06,23862
20191215T10-06,24684
20191215T09-06,25360
20191215T08-06,25215
20191215T07-06,24515
20191215T06-06,23623
20191215T05-06,22818
20191215T04-06,22178
20191215T03-06,21969
20191215T02-06,21976
20191215T01-06,22175
20191215T00-06,22715
20191214T23-06,23524
20191214T22-06,24328
20191214T21-06,25052
20191214T20-06,25409
20191214T19-06,25534
20191214T18-06,25384
20191214T17-06,24263
20191214T16-06,23355
20191214T15-06,23182
20191214T14-06,23381
20191214T13-06,23882
20191214T12-06,24601
20191214T11-06,25304
20191214T10-06,25810
20191214T09-06,25897
20191214T08-06,25518
20191214T07-06,24695
20191214T06-06,23774
20191214T05-06,22805
20191214T04-06,22188
20191214T03-06,21956
20191214T02-06,21942
20191214T01-06,22237
20191214T00-06,22603
20191213T23-06,23709
20191213T22-06,24865
20191213T21-06,25970
20191213T20-06,26643
20191213T19-06,27162
20191213T18-06,27558
20191213T17-06,27061
20191213T16-06,26245
20191213T15-06,26052
20191213T14-06,26185
20191213T13-06,26543
20191213T12-06,27007
20191213T11-06,27665
20191213T10-06,28167
20191213T09-06,28637
20191213T08-06,28973
20191213T07-06,29076
20191213T06-06,27665
20191213T05-06,25512
20191213T04-06,24270
20191213T03-06,23819
20191213T02-06,23818
20191213T01-06,24075
20191213T00-06,25057
20191212T23-06,26134
20191212T22-06,27700
20191212T21-06,28834
20191212T20-06,29394
20191212T19-06,29374
20191212T18-06,28862
20191212T17-06,26908
20191212T16-06,25335
20191212T15-06,24977
20191212T14-06,25243
20191212T13-06,25848
20191212T12-06,26736
20191212T11-06,27991
20191212T10-06,29443
20191212T09-06,31016
20191212T08-06,32512
20191212T07-06,33148
20191212T06-06,31504
20191212T05-06,28843
20191212T04-06,27201
20191212T03-06,26434
20191212T02-06,26198
20191212T01-06,26152
20191212T00-06,25375
20191211T23-06,26255
20191211T22-06,27631
20191211T21-06,28753
20191211T20-06,29127
20191211T19-06,28920
20191211T18-06,28286
20191211T17-06,26446
20191211T16-06,25036
20191211T15-06,24656
20191211T14-06,24858
20191211T13-06,25381
20191211T12-06,26039
20191211T11-06,26990
20191211T10-06,27931
20191211T09-06,28702
20191211T08-06,29133
20191211T07-06,28897
20191211T06-06,27102
20191211T05-06,24645
20191211T04-06,23192
20191211T03-06,22504
20191211T02-06,22292
20191211T01-06,22307
20191211T00-06,22469
20191210T23-06,23268
20191210T22-06,24432
20191210T21-06,25445
20191210T20-06,25963
20191210T19-06,25947
20191210T18-06,25507
20191210T17-06,24152
20191210T16-06,23358
20191210T15-06,23462
20191210T14-06,23809
20191210T13-06,24061
20191210T12-06,24179
20191210T11-06,24256
20191210T10-06,24241
20191210T09-06,24182
20191210T08-06,24237
20191210T07-06,24289
20191210T06-06,22799
20191210T05-06,20666
20191210T04-06,19470
20191210T03-06,19180
20191210T02-06,19349
20191210T01-06,19747
20191210T00-06,20088
20191209T23-06,21259
20191209T22-06,22797
20191209T21-06,24181
20191209T20-06,25135
20191209T19-06,25542
20191209T18-06,25421
20191209T17-06,24505
20191209T16-06,23813
20191209T15-06,23697
20191209T14-06,23850
20191209T13-06,23926
20191209T12-06,24119
20191209T11-06,24294
20191209T10-06,24471
20191209T09-06,24486
20191209T08-06,24437
20191209T07-06,24142
20191209T06-06,22658
20191209T05-06,20488
20191209T04-06,19308
20191209T03-06,18910
20191209T02-06,18940
20191209T01-06,19271
20191209T00-06,20256
20191208T23-06,21344
20191208T22-06,22593
20191208T21-06,23621
20191208T20-06,24216
20191208T19-06,24284
20191208T18-06,24289
20191208T17-06,23229
20191208T16-06,22288
20191208T15-06,22046
20191208T14-06,22124
20191208T13-06,22188
20191208T12-06,22295
20191208T11-06,22466
20191208T10-06,22772
20191208T09-06,22802
20191208T08-06,22232
20191208T07-06,21212
20191208T06-06,20294
20191208T05-06,19539
20191208T04-06,19150
20191208T03-06,19099
20191208T02-06,19259
20191208T01-06,19708
20191208T00-06,20471
20191207T23-06,21335
20191207T22-06,22256
20191207T21-06,22952
20191207T20-06,23385
20191207T19-06,23522
20191207T18-06,23466
20191207T17-06,22558
20191207T16-06,21805
20191207T15-06,21698
20191207T14-06,21963
20191207T13-06,22300
20191207T12-06,22864
20191207T11-06,23321
20191207T10-06,23716
20191207T09-06,23713
20191207T08-06,23354
20191207T07-06,22653
20191207T06-06,21834
20191207T05-06,20926
20191207T04-06,20345
20191207T03-06,20206
20191207T02-06,20288
20191207T01-06,20674
20191207T00-06,21323
20191206T23-06,22214
20191206T22-06,23150
20191206T21-06,24014
20191206T20-06,24553
20191206T19-06,24802
20191206T18-06,24820
20191206T17-06,23807
20191206T16-06,22986
20191206T15-06,23034
20191206T14-06,23352
20191206T13-06,23772
20191206T12-06,24243
20191206T11-06,25061
20191206T10-06,25866
20191206T09-06,26866
20191206T08-06,27851
20191206T07-06,28149
20191206T06-06,26713
20191206T05-06,24393
20191206T04-06,22980
20191206T03-06,22439
20191206T02-06,22344
20191206T01-06,22570
20191206T00-06,22304
20191205T23-06,23213
20191205T22-06,24379
20191205T21-06,25404
20191205T20-06,25930
20191205T19-06,25945
20191205T18-06,25612
20191205T17-06,24056
20191205T16-06,23080
20191205T15-06,22832
20191205T14-06,23136
20191205T13-06,23696
20191205T12-06,24471
20191205T11-06,25670
20191205T10-06,26918
20191205T09-06,28318
20191205T08-06,29724
20191205T07-06,30317
20191205T06-06,28891
20191205T05-06,26348
20191205T04-06,24759
20191205T03-06,24072
20191205T02-06,23878
20191205T01-06,23954
20191205T00-06,23423
20191204T23-06,24376
20191204T22-06,25994
20191204T21-06,27257
20191204T20-06,27981
20191204T19-06,28258
20191204T18-06,27925
20191204T17-06,26444
20191204T16-06,25264
20191204T15-06,25029
20191204T14-06,25304
20191204T13-06,25792
20191204T12-06,26521
20191204T11-06,27659
20191204T10-06,29029
20191204T09-06,30564
20191204T08-06,31988
20191204T07-06,32445
20191204T06-06,30831
20191204T05-06,28312
20191204T04-06,26794
20191204T03-06,26097
20191204T02-06,25925
20191204T01-06,25890
20191204T00-06,26439
20191203T23-06,27444
20191203T22-06,28984
20191203T21-06,30273
20191203T20-06,30998
20191203T19-06,31116
20191203T18-06,30486
20191203T17-06,28635
20191203T16-06,27132
20191203T15-06,26806
20191203T14-06,27130
20191203T13-06,27662
20191203T12-06,28349
20191203T11-06,29390
20191203T10-06,30543
20191203T09-06,31790
20191203T08-06,32867
20191203T07-06,33131
20191203T06-06,31366
20191203T05-06,28690
20191203T04-06,27060
20191203T03-06,26258
20191203T02-06,25939
20191203T01-06,25887
20191203T00-06,25637
20191202T23-06,26345
20191202T22-06,27503
20191202T21-06,28692
20191202T20-06,29403
20191202T19-06,29300
20191202T18-06,28465
20191202T17-06,26276
20191202T16-06,25097
20191202T15-06,24863
20191202T14-06,25264
20191202T13-06,25806
20191202T12-06,26180
20191202T11-06,26693
20191202T10-06,27165
20191202T09-06,27496
20191202T08-06,27523
20191202T07-06,27047
20191202T06-06,24924
20191202T05-06,22254
20191202T04-06,20534
20191202T03-06,19679
20191202T02-06,19371
20191202T01-06,19474
20191202T00-06,18974
20191201T23-06,19836
20191201T22-06,21167
20191201T21-06,22321
20191201T20-06,23011
20191201T19-06,23236
20191201T18-06,23211
20191201T17-06,21763
20191201T16-06,20835
20191201T15-06,20544
20191201T14-06,20446
20191201T13-06,20470
20191201T12-06,20503
20191201T11-06,20513
20191201T10-06,20441
20191201T09-06,19994
20191201T08-06,18623
20191201T07-06,16773
20191201T06-06,16220
20191201T05-06,16324
20191201T04-06,16324
20191201T03-06,16325
20191201T02-06,16438
20191201T01-06,16835
20191201T00-06,17794
20191130T23-06,18820
20191130T22-06,19818
20191130T21-06,20574
20191130T20-06,20950
20191130T19-06,21509
20191130T18-06,21898
20191130T17-06,21338
20191130T16-06,20622
20191130T15-06,20276
20191130T14-06,20156
20191130T13-06,20112
20191130T12-06,20217
20191130T11-06,20342
20191130T10-06,20395
20191130T09-06,20229
20191130T08-06,19684
20191130T07-06,18766
20191130T06-06,18120
20191130T05-06,17506
20191130T04-06,17121
20191130T03-06,17038
20191130T02-06,17156
20191130T01-06,17479
20191130T00-06,18840
20191129T23-06,19673
20191129T22-06,20546
20191129T21-06,21265
20191129T20-06,21705
20191129T19-06,21923
20191129T18-06,21984
20191129T17-06,20856
20191129T16-06,19998
20191129T15-06,19803
20191129T14-06,19959
20191129T13-06,20185
20191129T12-06,20541
20191129T11-06,21001
20191129T10-06,21430
20191129T09-06,21588
20191129T08-06,21418
20191129T07-06,20849
20191129T06-06,20116
20191129T05-06,19057
20191129T04-06,18262
20191129T03-06,17878
20191129T02-06,17788
20191129T01-06,17953
20191129T00-06,18465
20191128T23-06,19022
20191128T22-06,19566
20191128T21-06,19861
20191128T20-06,19900
20191128T19-06,19812
20191128T18-06,19703
20191128T17-06,18709
20191128T16-06,18458
20191128T15-06,18885
20191128T14-06,19585
20191128T13-06,20549
20191128T12-06,21746
20191128T11-06,22836
20191128T10-06,23291
20191128T09-06,23235
20191128T08-06,22560
20191128T07-06,21415
20191128T06-06,20562
20191128T05-06,19671
20191128T04-06,19065
20191128T03-06,18872
20191128T02-06,18966
20191128T01-06,19357
20191128T00-06,19909
20191127T23-06,20795
20191127T22-06,22150
20191127T21-06,23326
20191127T20-06,24105
20191127T19-06,24616
20191127T18-06,24612
20191127T17-06,23635
20191127T16-06,23081
20191127T15-06,22859
20191127T14-06,22847
20191127T13-06,22872
20191127T12-06,22958
20191127T11-06,23158
20191127T10-06,23361
20191127T09-06,23480
20191127T08-06,23579
20191127T07-06,23533
20191127T06-06,22210
20191127T05-06,20143
20191127T04-06,19116
20191127T03-06,18788
20191127T02-06,18964
20191127T01-06,19290
20191127T00-06,20005
20191126T23-06,20998
20191126T22-06,22334
20191126T21-06,23488
20191126T20-06,24203
20191126T19-06,24626
20191126T18-06,24740
20191126T17-06,23905
20191126T16-06,23173
20191126T15-06,23061
20191126T14-06,23187
20191126T13-06,23423
20191126T12-06,23848
20191126T11-06,24609
20191126T10-06,25678
20191126T09-06,27008
20191126T08-06,28081
20191126T07-06,28199
20191126T06-06,26867
20191126T05-06,24799
20191126T04-06,23435
20191126T03-06,22762
20191126T02-06,22580
20191126T01-06,22649
20191126T00-06,22571
20191125T23-06,23385
20191125T22-06,24665
20191125T21-06,25816
20191125T20-06,26485
20191125T19-06,26646
20191125T18-06,26221
20191125T17-06,24549
20191125T16-06,23463
20191125T15-06,23251
20191125T14-06,23433
20191125T13-06,23956
20191125T12-06,24690
20191125T11-06,25752
20191125T10-06,26942
20191125T09-06,28314
20191125T08-06,29433
20191125T07-06,29666
20191125T06-06,27947
20191125T05-06,25286
20191125T04-06,23591
20191125T03-06,22692
20191125T02-06,22370
20191125T01-06,22209
20191125T00-06,22000
20191124T23-06,22800
20191124T22-06,23923
20191124T21-06,25004
20191124T20-06,25800
20191124T19-06,25867
20191124T18-06,25242
20191124T17-06,23695
20191124T16-06,22515
20191124T15-06,22110
20191124T14-06,22222
20191124T13-06,22337
20191124T12-06,22548
20191124T11-06,23133
20191124T10-06,23733
20191124T09-06,24067
20191124T08-06,23600
20191124T07-06,22133
20191124T06-06,21000
20191124T05-06,19867
20191124T04-06,19267
20191124T03-06,18800
20191124T02-06,18733
20191124T01-06,18705
20191124T00-06,19206
20191123T23-06,20104
20191123T22-06,21084
20191123T21-06,21905
20191123T20-06,22478
20191123T19-06,22778
20191123T18-06,22896
20191123T17-06,22211
20191123T16-06,21666
20191123T15-06,21649
20191123T14-06,21869
20191123T13-06,21958
20191123T12-06,22099
20191123T11-06,22139
20191123T10-06,21895
20191123T09-06,21305
20191123T08-06,20326
20191123T07-06,19443
20191123T06-06,18790
20191123T05-06,18124
20191123T04-06,17766
20191123T03-06,17886
20191123T02-06,18118
20191123T01-06,18577
20191123T00-06,19471
20191122T23-06,20413
20191122T22-06,21487
20191122T21-06,22452
20191122T20-06,23307
20191122T19-06,23765
20191122T18-06,23917
20191122T17-06,23233
20191122T16-06,22707
20191122T15-06,22685
20191122T14-06,22941
20191122T13-06,23146
20191122T12-06,23312
20191122T11-06,23701
20191122T10-06,24082
20191122T09-06,24513
20191122T08-06,24926
20191122T07-06,25176
20191122T06-06,23926
20191122T05-06,21660
20191122T04-06,20428
20191122T03-06,19963
20191122T02-06,19951
20191122T01-06,20203
20191122T00-06,20574
20191121T23-06,21593
20191121T22-06,22969
20191121T21-06,24277
20191121T20-06,25126
20191121T19-06,25442
20191121T18-06,25381
20191121T17-06,24124
20191121T16-06,23269
20191121T15-06,23157
20191121T14-06,23280
20191121T13-06,23607
20191121T12-06,23916
20191121T11-06,24566
20191121T10-06,25224
20191121T09-06,26157
20191121T08-06,27186
20191121T07-06,27764
20191121T06-06,26446
20191121T05-06,23812
20191121T04-06,22282
20191121T03-06,21628
20191121T02-06,21427
20191121T01-06,21587
20191121T00-06,21680
20191120T23-06,22598
20191120T22-06,23878
20191120T21-06,25056
20191120T20-06,25758
20191120T19-06,26063
20191120T18-06,25864
20191120T17-06,24403
20191120T16-06,23291
20191120T15-06,23052
20191120T14-06,23204
20191120T13-06,23498
20191120T12-06,23903
20191120T11-06,24571
20191120T10-06,25416
20191120T09-06,26505
20191120T08-06,27566
20191120T07-06,27896
20191120T06-06,26571
20191120T05-06,23942
20191120T04-06,22444
20191120T03-06,21857
20191120T02-06,21646
20191120T01-06,21721
20191120T00-06,21347
20191119T23-06,22257
20191119T22-06,23601
20191119T21-06,24903
20191119T20-06,25719
20191119T19-06,25980
20191119T18-06,25865
20191119T17-06,24393
20191119T16-06,23391
20191119T15-06,23097
20191119T14-06,23217
20191119T13-06,23492
20191119T12-06,23830
20191119T11-06,24531
20191119T10-06,25379
20191119T09-06,26361
20191119T08-06,27351
20191119T07-06,27753
20191119T06-06,26296
20191119T05-06,23782
20191119T04-06,22259
20191119T03-06,21636
20191119T02-06,21490
20191119T01-06,21587
20191119T00-06,22107
20191118T23-06,23073
20191118T22-06,24387
20191118T21-06,25688
20191118T20-06,26606
20191118T19-06,26851
20191118T18-06,26395
20191118T17-06,24675
20191118T16-06,23591
20191118T15-06,23329
20191118T14-06,23521
20191118T13-06,23899
20191118T12-06,24256
20191118T11-06,24786
20191118T10-06,25376
20191118T09-06,26027
20191118T08-06,26543
20191118T07-06,26567
20191118T06-06,24890
20191118T05-06,22301
20191118T04-06,20734
20191118T03-06,19991
20191118T02-06,19711
20191118T01-06,19722
20191118T00-06,21139
20191117T23-06,21885
20191117T22-06,22900
20191117T21-06,23854
20191117T20-06,24486
20191117T19-06,24634
20191117T18-06,24426
20191117T17-06,23031
20191117T16-06,22005
20191117T15-06,21730
20191117T14-06,21739
20191117T13-06,21969
20191117T12-06,22395
20191117T11-06,23031
20191117T10-06,24005
20191117T09-06,24809
20191117T08-06,24938
20191117T07-06,24133
20191117T06-06,23213
20191117T05-06,22391
20191117T04-06,21860
20191117T03-06,21685
20191117T02-06,21635
20191117T01-06,21855
20191117T00-06,22822
20191116T23-06,23471
20191116T22-06,24202
20191116T21-06,24772
20191116T20-06,25045
20191116T19-06,25086
20191116T18-06,24737
20191116T17-06,23309
20191116T16-06,22461
20191116T15-06,22254
20191116T14-06,22503
20191116T13-06,23020
20191116T12-06,23792
20191116T11-06,24798
20191116T10-06,25785
20191116T09-06,26519
20191116T08-06,26805
20191116T07-06,26187
20191116T06-06,25176
20191116T05-06,23935
20191116T04-06,23209
20191116T03-06,22941
20191116T02-06,22964
20191116T01-06,23238
20191116T00-06,23611
20191115T23-06,24535
20191115T22-06,25455
20191115T21-06,26269
20191115T20-06,26931
20191115T19-06,27339
20191115T18-06,27363
20191115T17-06,26328
20191115T16-06,25598
20191115T15-06,25481
20191115T14-06,25811
20191115T13-06,26343
20191115T12-06,26771
20191115T11-06,27495
20191115T10-06,27989
20191115T09-06,28431
20191115T08-06,28835
20191115T07-06,29317
20191115T06-06,27838
20191115T05-06,25375
20191115T04-06,24080
20191115T03-06,23644
20191115T02-06,23638
20191115T01-06,23945
20191115T00-06,24890
20191114T23-06,25892
20191114T22-06,27498
20191114T21-06,28736
20191114T20-06,29893
20191114T19-06,30499
20191114T18-06,30370
20191114T17-06,28907
20191114T16-06,27592
20191114T15-06,27264
20191114T14-06,27466
20191114T13-06,28013
20191114T12-06,28818
20191114T11-06,29738
20191114T10-06,30708
20191114T09-06,31740
20191114T08-06,32776
20191114T07-06,33147
20191114T06-06,31606
20191114T05-06,29297
20191114T04-06,27653
20191114T03-06,27019
20191114T02-06,26768
20191114T01-06,26754
20191114T00-06,28663
20191113T23-06,29344
20191113T22-06,30586
20191113T21-06,31604
20191113T20-06,32048
20191113T19-06,32093
20191113T18-06,31031
20191113T17-06,28818
20191113T16-06,27645
20191113T15-06,27571
20191113T14-06,28199
20191113T13-06,29165
20191113T12-06,30536
20191113T11-06,32098
20191113T10-06,33847
20191113T09-06,35547
20191113T08-06,37033
20191113T07-06,37418
20191113T06-06,35931
20191113T05-06,33306
20191113T04-06,31689
20191113T03-06,30684
20191113T02-06,30151
20191113T01-06,29866
20191113T00-06,29263
20191112T23-06,29836
20191112T22-06,30889
20191112T21-06,31899
20191112T20-06,32129
20191112T19-06,31769
20191112T18-06,30311
20191112T17-06,28286
20191112T16-06,27055
20191112T15-06,26863
20191112T14-06,27040
20191112T13-06,27349
20191112T12-06,27595
20191112T11-06,27657
20191112T10-06,27379
20191112T09-06,26825
20191112T08-06,26155
20191112T07-06,25314
20191112T06-06,23482
20191112T05-06,21109
20191112T04-06,19636
20191112T03-06,19139
20191112T02-06,18926
20191112T01-06,19156
20191112T00-06,20694
20191111T23-06,21603
20191111T22-06,22892
20191111T21-06,23983
20191111T20-06,24835
20191111T19-06,25454
20191111T18-06,25149
20191111T17-06,23558
20191111T16-06,22767
20191111T15-06,22682
20191111T14-06,23049
20191111T13-06,23286
20191111T12-06,23688
20191111T11-06,24004
20191111T10-06,24458
20191111T09-06,25232
20191111T08-06,26191
20191111T07-06,26611
20191111T06-06,25089
20191111T05-06,22402
20191111T04-06,20692
20191111T03-06,20101
20191111T02-06,19839
20191111T01-06,19893
20191111T00-06,20570
20191110T23-06,21435
20191110T22-06,22476
20191110T21-06,23515
20191110T20-06,24331
20191110T19-06,24527
20191110T18-06,24109
20191110T17-06,22656
20191110T16-06,21921
20191110T15-06,21765
20191110T14-06,22084
20191110T13-06,22425
20191110T12-06,22847
20191110T11-06,23334
20191110T10-06,24306
20191110T09-06,25147
20191110T08-06,25128
20191110T07-06,24193
20191110T06-06,23373
20191110T05-06,22524
20191110T04-06,21818
20191110T03-06,21490
20191110T02-06,21264
20191110T01-06,21367
20191110T00-06,21807
20191109T23-06,22450
20191109T22-06,23069
20191109T21-06,23665
20191109T20-06,24167
20191109T19-06,24476
20191109T18-06,24331
20191109T17-06,22359
20191109T16-06,21564
20191109T15-06,21568
20191109T14-06,22123
20191109T13-06,22780
20191109T12-06,23649
20191109T11-06,24385
20191109T10-06,25403
20191109T09-06,26256
20191109T08-06,26315
20191109T07-06,25499
20191109T06-06,24579
20191109T05-06,23286
20191109T04-06,22283
20191109T03-06,21641
20191109T02-06,21188
20191109T01-06,21133
20191109T00-06,22411
20191108T23-06,23142
20191108T22-06,23877
20191108T21-06,24766
20191108T20-06,25266
20191108T19-06,25650
20191108T18-06,25603
20191108T17-06,24403
20191108T16-06,23667
20191108T15-06,23267
