,Day-ahead demand forecast1
20191115T00-06,96
20191114T23-06,99
20191114T22-06,99
20191114T21-06,105
20191114T20-06,101
20191114T19-06,100
20191114T18-06,107
20191114T17-06,93
20191114T16-06,89
20191114T15-06,88
20191114T14-06,93
20191114T13-06,90
20191114T12-06,89
20191114T11-06,91
20191114T10-06,102
20191114T09-06,105
20191114T08-06,101
20191114T07-06,97
20191114T06-06,99
20191114T05-06,93
20191114T04-06,86
20191114T03-06,90
20191114T02-06,83
20191114T01-06,90
20191114T00-06,94
20191113T23-06,89
20191113T22-06,98
20191113T21-06,96
20191113T20-06,95
20191113T19-06,96
20191113T18-06,96
20191113T17-06,93
20191113T16-06,87
20191113T15-06,88
20191113T14-06,81
20191113T13-06,89
20191113T12-06,83
20191113T11-06,90
20191113T10-06,88
20191113T09-06,93
20191113T08-06,90
20191113T07-06,87
20191113T06-06,86
20191113T05-06,84
20191113T04-06,80
20191113T03-06,74
20191113T02-06,83
20191113T01-06,79
20191113T00-06,87
20191112T23-06,89
20191112T22-06,95
20191112T21-06,96
20191112T20-06,96
20191112T19-06,96
20191112T18-06,87
20191112T17-06,89
20191112T16-06,87
20191112T15-06,86
20191112T14-06,86
20191112T13-06,93
20191112T12-06,96
20191112T11-06,91
20191112T10-06,104
20191112T09-06,104
20191112T08-06,104
20191112T07-06,105
20191112T06-06,97
20191112T05-06,97
20191112T04-06,94
20191112T03-06,94
20191112T02-06,90
20191112T01-06,94
20191112T00-06,88
20191111T23-06,89
20191111T22-06,87
20191111T21-06,95
20191111T20-06,95
20191111T19-06,93
20191111T18-06,85
20191111T17-06,87
20191111T16-06,87
20191111T15-06,80
20191111T14-06,85
20191111T13-06,86
20191111T12-06,77
20191111T11-06,91
20191111T10-06,85
20191111T09-06,86
20191111T08-06,91
20191111T07-06,78
20191111T06-06,86
20191111T05-06,73
20191111T04-06,69
20191111T03-06,75
20191111T02-06,70
20191111T01-06,70
20191111T00-06,54
20191110T23-06,61
20191110T22-06,56
20191110T21-06,62
20191110T20-06,60
20191110T19-06,65
20191110T18-06,58
20191110T17-06,56
20191110T16-06,55
20191110T15-06,60
20191110T14-06,56
20191110T13-06,54
20191110T12-06,59
20191110T11-06,55
20191110T10-06,64
20191110T09-06,62
20191110T08-06,63
20191110T07-06,64
20191110T06-06,60
20191110T05-06,60
20191110T04-06,58
20191110T03-06,54
20191110T02-06,56
20191110T01-06,54
20191110T00-06,57
20191109T23-06,60
20191109T22-06,62
20191109T21-06,60
20191109T20-06,64
20191109T19-06,65
20191109T18-06,60
20191109T17-06,64
20191109T16-06,59
20191109T15-06,57
20191109T14-06,58
20191109T13-06,63
20191109T12-06,60
20191109T11-06,60
20191109T10-06,62
20191109T09-06,64
20191109T08-06,59
20191109T07-06,62
20191109T06-06,59
20191109T05-06,62
20191109T04-06,56
20191109T03-06,54
20191109T02-06,60
20191109T01-06,58
20191109T00-06,73
20191108T23-06,74
20191108T22-06,77
20191108T21-06,81
20191108T20-06,76
20191108T19-06,74
20191108T18-06,83
20191108T17-06,70
20191108T16-06,74
20191108T15-06,75
20191108T14-06,73
20191108T13-06,75
20191108T12-06,80
20191108T11-06,79
20191108T10-06,83
20191108T09-06,88
20191108T08-06,84
20191108T07-06,85
20191108T06-06,83
20191108T05-06,73
20191108T04-06,71
20191108T03-06,71
20191108T02-06,71
20191108T01-06,70
20191108T00-06,74
20191107T23-06,75
20191107T22-06,79
20191107T21-06,80
20191107T20-06,87
20191107T19-06,87
20191107T18-06,79
20191107T17-06,81
20191107T16-06,79
20191107T15-06,77
20191107T14-06,82
20191107T13-06,81
20191107T12-06,85
20191107T11-06,84
20191107T10-06,93
20191107T09-06,83
20191107T08-06,85
20191107T07-06,75
20191107T06-06,74
20191107T05-06,70
20191107T04-06,68
20191107T03-06,62
20191107T02-06,63
20191107T01-06,60
20191107T00-06,66
20191106T23-06,68
20191106T22-06,76
20191106T21-06,75
20191106T20-06,75
20191106T19-06,76
20191106T18-06,76
20191106T17-06,72
20191106T16-06,74
20191106T15-06,75
20191106T14-06,70
20191106T13-06,72
20191106T12-06,75
20191106T11-06,74
20191106T10-06,81
20191106T09-06,75
20191106T08-06,84
20191106T07-06,77
20191106T06-06,80
20191106T05-06,77
20191106T04-06,69
20191106T03-06,73
20191106T02-06,68
20191106T01-06,72
20191106T00-06,83
20191105T23-06,75
20191105T22-06,79
20191105T21-06,79
20191105T20-06,73
20191105T19-06,74
20191105T18-06,82
20191105T17-06,73
20191105T16-06,70
20191105T15-06,76
20191105T14-06,71
20191105T13-06,76
20191105T12-06,78
20191105T11-06,84
20191105T10-06,88
20191105T09-06,89
20191105T08-06,96
20191105T07-06,84
20191105T06-06,83
20191105T05-06,80
20191105T04-06,62
20191105T03-06,80
20191105T02-06,68
20191105T01-06,73
20191105T00-06,77
20191104T23-06,71
20191104T22-06,72
