,Day-ahead demand forecast1
20200107T00-07,2827
20200106T23-07,2993
20200106T22-07,3175
20200106T21-07,3262
20200106T20-07,3289
20200106T19-07,3297
20200106T18-07,3064
20200106T17-07,2833
20200106T16-07,2764
20200106T15-07,2787
20200106T14-07,2861
20200106T13-07,2944
20200106T12-07,3044
20200106T11-07,3148
20200106T10-07,3308
20200106T09-07,3483
20200106T08-07,3601
20200106T07-07,3485
20200106T06-07,3131
20200106T05-07,2856
20200106T04-07,2688
20200106T03-07,2637
20200106T02-07,2670
20200106T01-07,2699
20200106T00-07,2781
20200105T23-07,2929
20200105T22-07,3063
20200105T21-07,3120
20200105T20-07,3141
20200105T19-07,3156
20200105T18-07,2987
20200105T17-07,2798
20200105T16-07,2741
20200105T15-07,2753
20200105T14-07,2803
20200105T13-07,2892
20200105T12-07,2995
20200105T11-07,3081
20200105T10-07,3185
20200105T09-07,3196
20200105T08-07,3074
20200105T07-07,2924
20200105T06-07,2802
20200105T05-07,2756
20200105T04-07,2708
20200105T03-07,2698
20200105T02-07,2658
20200105T01-07,2740
20200105T00-07,2839
20200104T23-07,2918
20200104T22-07,2975
20200104T21-07,2980
20200104T20-07,3018
20200104T19-07,3075
20200104T18-07,2961
20200104T17-07,2761
20200104T16-07,2725
20200104T15-07,2754
20200104T14-07,2819
20200104T13-07,2933
20200104T12-07,3020
20200104T11-07,3128
20200104T10-07,3244
20200104T09-07,3279
20200104T08-07,3163
20200104T07-07,3030
20200104T06-07,2910
20200104T05-07,2845
20200104T04-07,2811
20200104T03-07,2798
20200104T02-07,2816
20200104T01-07,2877
20200104T00-07,2983
20200103T23-07,3154
20200103T22-07,3216
20200103T21-07,3228
20200103T20-07,3253
20200103T19-07,3321
20200103T18-07,3188
20200103T17-07,2985
20200103T16-07,2935
20200103T15-07,2944
20200103T14-07,3007
20200103T13-07,3109
20200103T12-07,3188
20200103T11-07,3314
20200103T10-07,3442
20200103T09-07,3552
20200103T08-07,3567
20200103T07-07,3435
20200103T06-07,3192
20200103T05-07,2982
20200103T04-07,2862
20200103T03-07,2826
20200103T02-07,2873
20200103T01-07,2932
20200103T00-07,2902
20200102T23-07,3079
20200102T22-07,3250
20200102T21-07,3312
20200102T20-07,3321
20200102T19-07,3289
20200102T18-07,3043
20200102T17-07,2792
20200102T16-07,2737
20200102T15-07,2762
20200102T14-07,2820
20200102T13-07,2895
20200102T12-07,2993
20200102T11-07,3124
20200102T10-07,3260
20200102T09-07,3414
20200102T08-07,3551
20200102T07-07,3473
20200102T06-07,3163
20200102T05-07,2914
20200102T04-07,2782
20200102T03-07,2760
20200102T02-07,2788
20200102T01-07,2827
20200102T00-07,3018
20200101T23-07,3164
20200101T22-07,3308
20200101T21-07,3352
20200101T20-07,3373
20200101T19-07,3425
20200101T18-07,3217
20200101T17-07,2922
20200101T16-07,2854
20200101T15-07,2872
20200101T14-07,2934
20200101T13-07,3021
20200101T12-07,3124
20200101T11-07,3247
20200101T10-07,3367
20200101T09-07,3417
20200101T08-07,3339
20200101T07-07,3189
20200101T06-07,3043
20200101T05-07,2967
20200101T04-07,2929
20200101T03-07,2802
20200101T02-07,2704
20200101T01-07,2659
20200101T00-07,2946
20191231T23-07,3145
20191231T22-07,3326
20191231T21-07,3399
20191231T20-07,3431
20191231T19-07,3440
20191231T18-07,3226
20191231T17-07,2989
20191231T16-07,2920
20191231T15-07,2947
20191231T14-07,2973
20191231T13-07,3021
20191231T12-07,3093
20191231T11-07,3216
20191231T10-07,3325
20191231T09-07,3413
20191231T08-07,3523
20191231T07-07,3441
20191231T06-07,3209
20191231T05-07,2987
20191231T04-07,2956
20191231T03-07,2939
20191231T02-07,2923
20191231T01-07,2949
20191231T00-07,3000
20191230T23-07,3195
20191230T22-07,3388
20191230T21-07,3443
20191230T20-07,3462
20191230T19-07,3390
20191230T18-07,3096
20191230T17-07,2831
20191230T16-07,2781
20191230T15-07,2843
20191230T14-07,2905
20191230T13-07,2991
20191230T12-07,3113
20191230T11-07,3317
20191230T10-07,3534
20191230T09-07,3765
20191230T08-07,3943
20191230T07-07,3852
20191230T06-07,3516
20191230T05-07,3205
20191230T04-07,3073
20191230T03-07,3021
20191230T02-07,3041
20191230T01-07,3086
20191230T00-07,3241
20191229T23-07,3431
20191229T22-07,3552
20191229T21-07,3569
20191229T20-07,3544
20191229T19-07,3489
20191229T18-07,3284
20191229T17-07,3024
20191229T16-07,2976
20191229T15-07,3029
20191229T14-07,3099
20191229T13-07,3206
20191229T12-07,3327
20191229T11-07,3479
20191229T10-07,3584
20191229T09-07,3630
20191229T08-07,3547
20191229T07-07,3385
20191229T06-07,3248
20191229T05-07,3164
20191229T04-07,3138
20191229T03-07,3096
20191229T02-07,3045
20191229T01-07,3087
20191229T00-07,3042
20191228T23-07,3137
20191228T22-07,3172
20191228T21-07,3156
20191228T20-07,3141
20191228T19-07,3132
20191228T18-07,2985
20191228T17-07,2780
20191228T16-07,2745
20191228T15-07,2776
20191228T14-07,2826
20191228T13-07,2902
20191228T12-07,2986
20191228T11-07,3103
20191228T10-07,3162
20191228T09-07,3162
20191228T08-07,3075
20191228T07-07,2936
20191228T06-07,2855
20191228T05-07,2772
20191228T04-07,2732
20191228T03-07,2803
20191228T02-07,2879
20191228T01-07,2956
20191228T00-07,3091
20191227T23-07,3194
20191227T22-07,3291
20191227T21-07,3317
20191227T20-07,3332
20191227T19-07,3403
20191227T18-07,3336
20191227T17-07,3169
20191227T16-07,3050
20191227T15-07,3016
20191227T14-07,3001
20191227T13-07,3049
20191227T12-07,3131
20191227T11-07,3182
20191227T10-07,3223
20191227T09-07,3196
20191227T08-07,3136
20191227T07-07,3034
20191227T06-07,2834
20191227T05-07,2662
20191227T04-07,2607
20191227T03-07,2673
20191227T02-07,2704
20191227T01-07,2689
20191227T00-07,2951
20191226T23-07,3117
20191226T22-07,3250
20191226T21-07,3332
20191226T20-07,3369
20191226T19-07,3382
20191226T18-07,3150
20191226T17-07,2888
20191226T16-07,2794
20191226T15-07,2752
20191226T14-07,2796
20191226T13-07,2912
20191226T12-07,3137
20191226T11-07,3047
20191226T10-07,3145
20191226T09-07,3255
20191226T08-07,3365
20191226T07-07,3290
20191226T06-07,2988
20191226T05-07,2769
20191226T04-07,2557
20191226T03-07,2603
20191226T02-07,2644
20191226T01-07,2755
20191226T00-07,2901
20191225T23-07,3037
20191225T22-07,3135
20191225T21-07,3144
20191225T20-07,3110
20191225T19-07,3068
20191225T18-07,2893
20191225T17-07,2694
20191225T16-07,2461
20191225T15-07,2530
20191225T14-07,2576
20191225T13-07,2616
20191225T12-07,2665
20191225T11-07,2743
20191225T10-07,2836
20191225T09-07,2904
20191225T08-07,2850
20191225T07-07,2729
20191225T06-07,2588
20191225T05-07,2502
20191225T04-07,2465
20191225T03-07,2499
20191225T02-07,2494
20191225T01-07,2564
20191225T00-07,2780
20191224T23-07,2752
20191224T22-07,2837
20191224T21-07,2868
20191224T20-07,2919
20191224T19-07,2996
20191224T18-07,2917
20191224T17-07,2788
20191224T16-07,2763
20191224T15-07,2734
20191224T14-07,2725
20191224T13-07,2765
20191224T12-07,2823
20191224T11-07,2904
20191224T10-07,2948
20191224T09-07,2962
20191224T08-07,2891
20191224T07-07,2744
