,Day-ahead demand forecast1
20191115T00-07,9172
20191114T23-07,9810
20191114T22-07,10471
20191114T21-07,10827
20191114T20-07,10975
20191114T19-07,11113
20191114T18-07,10772
20191114T17-07,10284
20191114T16-07,9979
20191114T15-07,9772
20191114T14-07,9544
20191114T13-07,9334
20191114T12-07,9280
20191114T11-07,9376
20191114T10-07,9479
20191114T09-07,9676
20191114T08-07,9965
20191114T07-07,9919
20191114T06-07,9134
20191114T05-07,8567
20191114T04-07,8314
20191114T03-07,8358
20191114T02-07,8496
20191114T01-07,8785
20191114T00-07,9151
20191113T23-07,9780
20191113T22-07,10424
20191113T21-07,11706
20191113T20-07,10972
20191113T19-07,11095
20191113T18-07,10799
20191113T17-07,10329
20191113T16-07,9981
20191113T15-07,9761
20191113T14-07,9503
20191113T13-07,9324
20191113T12-07,9295
20191113T11-07,9372
20191113T10-07,9526
20191113T09-07,9663
20191113T08-07,9896
20191113T07-07,9837
20191113T06-07,9175
20191113T05-07,8695
20191113T04-07,8459
20191113T03-07,8509
20191113T02-07,8679
20191113T01-07,9084
20191113T00-07,9591
20191112T23-07,10173
20191112T22-07,10941
20191112T21-07,11445
20191112T20-07,11598
20191112T19-07,11759
20191112T18-07,11468
20191112T17-07,11004
20191112T16-07,10624
20191112T15-07,10414
20191112T14-07,10185
20191112T13-07,10007
20191112T12-07,9957
20191112T11-07,9949
20191112T10-07,9964
20191112T09-07,10030
20191112T08-07,10213
20191112T07-07,10178
20191112T06-07,9454
20191112T05-07,8938
20191112T04-07,8745
20191112T03-07,8854
20191112T02-07,8998
20191112T01-07,9259
20191112T00-07,9706
20191111T23-07,10447
20191111T22-07,11192
20191111T21-07,11701
20191111T20-07,11927
20191111T19-07,12224
20191111T18-07,11959
20191111T17-07,11452
20191111T16-07,11064
20191111T15-07,10743
20191111T14-07,10418
20191111T13-07,10124
20191111T12-07,9836
20191111T11-07,9670
20191111T10-07,9551
20191111T09-07,9466
20191111T08-07,9438
20191111T07-07,9326
20191111T06-07,8840
20191111T05-07,8518
20191111T04-07,8400
20191111T03-07,8557
20191111T02-07,8734
20191111T01-07,9132
20191111T00-07,9527
20191110T23-07,10197
20191110T22-07,10907
20191110T21-07,11303
20191110T20-07,11581
20191110T19-07,11963
20191110T18-07,11788
20191110T17-07,11379
20191110T16-07,10890
20191110T15-07,10426
20191110T14-07,9988
20191110T13-07,9716
20191110T12-07,9436
20191110T11-07,9188
20191110T10-07,9019
20191110T09-07,8922
20191110T08-07,8731
20191110T07-07,8659
20191110T06-07,8420
20191110T05-07,8335
20191110T04-07,8397
20191110T03-07,8574
20191110T02-07,8786
20191110T01-07,9113
20191110T00-07,9540
20191109T23-07,10073
20191109T22-07,10537
20191109T21-07,10843
20191109T20-07,11156
20191109T19-07,11543
20191109T18-07,11448
20191109T17-07,11090
20191109T16-07,10745
20191109T15-07,10366
20191109T14-07,10022
20191109T13-07,9743
20191109T12-07,9563
20191109T11-07,9391
20191109T10-07,9269
20191109T09-07,9229
20191109T08-07,9140
20191109T07-07,9000
20191109T06-07,8714
20191109T05-07,8541
20191109T04-07,8544
20191109T03-07,8723
20191109T02-07,8952
20191109T01-07,9318
20191109T00-07,9766
20191108T23-07,10371
20191108T22-07,10924
20191108T21-07,11326
20191108T20-07,11602
20191108T19-07,11931
20191108T18-07,11815
20191108T17-07,11455
20191108T16-07,11083
20191108T15-07,10781
20191108T14-07,10442
20191108T13-07,10131
20191108T12-07,9970
20191108T11-07,9877
20191108T10-07,9832
20191108T09-07,9847
20191108T08-07,9989
20191108T07-07,9925
20191108T06-07,9257
20191108T05-07,8747
20191108T04-07,8605
20191108T03-07,8728
20191108T02-07,8937
20191108T01-07,9268
20191108T00-07,9873
20191107T23-07,10383
20191107T22-07,10996
20191107T21-07,11414
20191107T20-07,11651
20191107T19-07,11956
