,Day-ahead demand forecast1
20191115T00-06,30170
20191114T23-06,31218
20191114T22-06,32408
20191114T21-06,33192
20191114T20-06,33493
20191114T19-06,33589
20191114T18-06,32710
20191114T17-06,31408
20191114T16-06,31042
20191114T15-06,31191
20191114T14-06,31727
20191114T13-06,32210
20191114T12-06,32797
20191114T11-06,33405
20191114T10-06,33898
20191114T09-06,34393
20191114T08-06,34624
20191114T07-06,33630
20191114T06-06,31136
20191114T05-06,29762
20191114T04-06,29204
20191114T03-06,29097
20191114T02-06,29222
20191114T01-06,29486
20191114T00-06,29791
20191113T23-06,30879
20191113T22-06,32098
20191113T21-06,32826
20191113T20-06,33030
20191113T19-06,33019
20191113T18-06,32076
20191113T17-06,30936
20191113T16-06,30676
20191113T15-06,30994
20191113T14-06,31685
20191113T13-06,32368
20191113T12-06,33322
20191113T11-06,34276
20191113T10-06,35184
20191113T09-06,36084
20191113T08-06,36604
20191113T07-06,35604
20191113T06-06,33013
20191113T05-06,31587
20191113T04-06,31061
20191113T03-06,31057
20191113T02-06,31286
20191113T01-06,31718
20191113T00-06,32873
20191112T23-06,34076
20191112T22-06,35526
20191112T21-06,36461
20191112T20-06,36763
20191112T19-06,36768
20191112T18-06,35744
20191112T17-06,34415
20191112T16-06,34008
20191112T15-06,34374
20191112T14-06,35094
20191112T13-06,35675
20191112T12-06,36384
20191112T11-06,36982
20191112T10-06,37472
20191112T09-06,37973
20191112T08-06,38305
20191112T07-06,37043
20191112T06-06,34247
20191112T05-06,32694
20191112T04-06,32003
20191112T03-06,31805
20191112T02-06,31889
20191112T01-06,32193
20191112T00-06,32654
20191111T23-06,33647
20191111T22-06,35235
20191111T21-06,36307
20191111T20-06,36635
20191111T19-06,37078
20191111T18-06,36026
20191111T17-06,35016
20191111T16-06,34401
20191111T15-06,34334
20191111T14-06,34432
20191111T13-06,34284
20191111T12-06,33990
20191111T11-06,33861
20191111T10-06,33760
20191111T09-06,33559
20191111T08-06,33481
20191111T07-06,31541
20191111T06-06,28685
20191111T05-06,27146
20191111T04-06,26344
20191111T03-06,25955
20191111T02-06,25814
20191111T01-06,25918
20191111T00-06,27226
20191110T23-06,28158
20191110T22-06,29035
20191110T21-06,29538
20191110T20-06,29802
20191110T19-06,29836
20191110T18-06,29062
20191110T17-06,27803
20191110T16-06,27352
20191110T15-06,27372
20191110T14-06,27618
20191110T13-06,27771
20191110T12-06,27772
20191110T11-06,27774
20191110T10-06,27883
20191110T09-06,27819
20191110T08-06,27150
20191110T07-06,26731
20191110T06-06,26040
20191110T05-06,25539
20191110T04-06,25407
20191110T03-06,25441
20191110T02-06,25497
20191110T01-06,26044
20191110T00-06,25982
20191109T23-06,26706
20191109T22-06,27312
20191109T21-06,27928
20191109T20-06,28143
20191109T19-06,28222
20191109T18-06,27823
20191109T17-06,26971
20191109T16-06,26807
20191109T15-06,27097
20191109T14-06,27519
20191109T13-06,28056
20191109T12-06,28810
20191109T11-06,29378
20191109T10-06,29867
20191109T09-06,30073
20191109T08-06,29992
20191109T07-06,29260
20191109T06-06,28179
20191109T05-06,27494
20191109T04-06,27145
20191109T03-06,27072
20191109T02-06,27148
20191109T01-06,27498
20191109T00-06,28123
20191108T23-06,28910
20191108T22-06,29704
20191108T21-06,30144
20191108T20-06,30239
20191108T19-06,30003
20191108T18-06,29494
20191108T17-06,29038
20191108T16-06,29022
20191108T15-06,29470
20191108T14-06,30125
20191108T13-06,30601
20191108T12-06,31401
20191108T11-06,32173
20191108T10-06,32815
20191108T09-06,33385
20191108T08-06,33690
20191108T07-06,32596
20191108T06-06,30270
20191108T05-06,28861
20191108T04-06,28267
20191108T03-06,28104
20191108T02-06,28101
20191108T01-06,28386
20191108T00-06,30040
20191107T23-06,31149
20191107T22-06,32324
20191107T21-06,33215
20191107T20-06,33581
20191107T19-06,33433
20191107T18-06,32905
20191107T17-06,32302
20191107T16-06,32261
20191107T15-06,32594
20191107T14-06,32916
20191107T13-06,32985
20191107T12-06,32870
20191107T11-06,32958
20191107T10-06,32741
20191107T09-06,32328
20191107T08-06,32041
20191107T07-06,30858
20191107T06-06,28532
20191107T05-06,27183
20191107T04-06,26650
20191107T03-06,26474
20191107T02-06,26384
20191107T01-06,26639
20191107T00-06,26021
20191106T23-06,27162
20191106T22-06,28419
20191106T21-06,29187
20191106T20-06,29553
20191106T19-06,29431
20191106T18-06,28826
20191106T17-06,28483
20191106T16-06,28309
20191106T15-06,28374
20191106T14-06,28551
20191106T13-06,28621
20191106T12-06,28846
20191106T11-06,29052
20191106T10-06,29240
20191106T09-06,29484
20191106T08-06,29486
20191106T07-06,28317
20191106T06-06,26269
20191106T05-06,25118
20191106T04-06,24702
20191106T03-06,24661
20191106T02-06,24790
20191106T01-06,25135
20191106T00-06,26927
20191105T23-06,28088
20191105T22-06,29336
20191105T21-06,30211
20191105T20-06,30578
20191105T19-06,29874
20191105T18-06,29506
20191105T17-06,29493
20191105T16-06,29428
20191105T15-06,29630
20191105T14-06,30033
20191105T13-06,30366
20191105T12-06,30528
20191105T11-06,30988
20191105T10-06,31274
20191105T09-06,31371
20191105T08-06,31479
20191105T07-06,30248
20191105T06-06,28189
20191105T05-06,27060
20191105T04-06,26626
20191105T03-06,26528
20191105T02-06,26420
20191105T01-06,26643
20191105T00-06,27378
20191104T23-06,28497
20191104T22-06,29692
20191104T21-06,30524
20191104T20-06,30871
20191104T19-06,30192
20191104T18-06,29786
20191104T17-06,29702
20191104T16-06,29577
20191104T15-06,29696
20191104T14-06,29954
20191104T13-06,30206
20191104T12-06,30195
20191104T11-06,30433
20191104T10-06,30514
20191104T09-06,30525
20191104T08-06,30713
20191104T07-06,29368
20191104T06-06,27254
20191104T05-06,26093
20191104T04-06,25650
20191104T03-06,25508
20191104T02-06,25353
20191104T01-06,25501
20191104T00-06,26741
20191103T23-06,27880
20191103T22-06,28667
20191103T21-06,29205
20191103T20-06,29701
20191103T19-06,29318
20191103T18-06,28412
20191103T17-06,27971
20191103T16-06,27709
20191103T15-06,27636
20191103T14-06,27962
20191103T13-06,28467
20191103T12-06,28760
20191103T11-06,28870
20191103T10-06,29351
20191103T09-06,29383
20191103T08-06,28805
20191103T07-06,28188
20191103T06-06,27563
20191103T05-06,27177
20191103T04-06,27130
20191103T03-06,27206
20191103T02-06,27299
20191103T01-06,27075
20191103T01-05,27316
20191103T00-05,27629
20191102T23-05,28279
20191102T22-05,29219
20191102T21-05,29823
20191102T20-05,29621
20191102T19-05,29329
20191102T18-05,28750
20191102T17-05,28719
20191102T16-05,28544
20191102T15-05,28748
20191102T14-05,29290
20191102T13-05,29809
20191102T12-05,30138
20191102T11-05,30681
20191102T10-05,31197
20191102T09-05,31262
20191102T08-05,31083
20191102T07-05,29705
20191102T06-05,28452
20191102T05-05,27793
20191102T04-05,27501
20191102T03-05,27347
20191102T02-05,27341
20191102T01-05,27593
20191102T00-05,28205
20191101T23-05,28976
20191101T22-05,30036
20191101T21-05,30754
20191101T20-05,30664
20191101T19-05,30525
20191101T18-05,30106
20191101T17-05,30223
20191101T16-05,30155
20191101T15-05,30495
20191101T14-05,31052
20191101T13-05,31486
20191101T12-05,31926
20191101T11-05,32716
20191101T10-05,33553
20191101T09-05,34653
20191101T08-05,35044
20191101T07-05,33421
20191101T06-05,30888
20191101T05-05,29582
20191101T04-05,29118
20191101T03-05,28950
20191101T02-05,29001
20191101T01-05,29283
20191101T00-05,30133
20191031T23-05,31028
20191031T22-05,32329
20191031T21-05,33114
20191031T20-05,32817
20191031T19-05,32378
20191031T18-05,31668
20191031T17-05,31541
20191031T16-05,31383
20191031T15-05,31691
20191031T14-05,32177
20191031T13-05,32536
20191031T12-05,32844
20191031T11-05,33492
20191031T10-05,34207
20191031T09-05,34603
20191031T08-05,35830
20191031T07-05,34124
20191031T06-05,31377
20191031T05-05,29924
20191031T04-05,29366
20191031T03-05,29120
20191031T02-05,29099
20191031T01-05,29268
20191031T00-05,29118
20191030T23-05,30192
20191030T22-05,31708
20191030T21-05,32666
20191030T20-05,32631
20191030T19-05,32561
20191030T18-05,32044
20191030T17-05,31888
20191030T16-05,31631
20191030T15-05,31751
20191030T14-05,32028
20191030T13-05,32082
20191030T12-05,32022
20191030T11-05,32224
20191030T10-05,32456
20191030T09-05,32552
20191030T08-05,32662
20191030T07-05,30987
20191030T06-05,28611
20191030T05-05,27416
20191030T04-05,26992
20191030T03-05,26898
20191030T02-05,26996
20191030T01-05,27285
20191030T00-05,27549
20191029T23-05,28721
20191029T22-05,30036
20191029T21-05,30890
20191029T20-05,30842
20191029T19-05,30347
20191029T18-05,30001
20191029T17-05,29765
20191029T16-05,29707
20191029T15-05,29991
20191029T14-05,30331
20191029T13-05,30542
20191029T12-05,30913
20191029T11-05,31247
20191029T10-05,31480
20191029T09-05,31852
20191029T08-05,32011
20191029T07-05,30522
20191029T06-05,28209
20191029T05-05,26851
20191029T04-05,26241
20191029T03-05,26089
20191029T02-05,26146
20191029T01-05,26419
20191029T00-05,27935
20191028T23-05,29204
20191028T22-05,30664
20191028T21-05,31316
20191028T20-05,31225
20191028T19-05,30925
20191028T18-05,30521
20191028T17-05,30496
20191028T16-05,30813
20191028T15-05,30931
20191028T14-05,31083
20191028T13-05,31129
20191028T12-05,30979
20191028T11-05,31038
20191028T10-05,30845
20191028T09-05,30766
20191028T08-05,30679
20191028T07-05,29304
20191028T06-05,26702
20191028T05-05,25350
20191028T04-05,24700
20191028T03-05,24529
20191028T02-05,24540
20191028T01-05,24775
20191028T00-05,26064
20191027T23-05,27155
20191027T22-05,28362
20191027T21-05,28878
20191027T20-05,28853
20191027T19-05,28442
20191027T18-05,28120
20191027T17-05,27888
20191027T16-05,28031
20191027T15-05,27913
20191027T14-05,27901
20191027T13-05,27927
20191027T12-05,27517
20191027T11-05,27453
20191027T10-05,27236
20191027T09-05,26890
20191027T08-05,26363
20191027T07-05,25767
20191027T06-05,24707
20191027T05-05,24261
20191027T04-05,24041
20191027T03-05,24046
20191027T02-05,24194
20191027T01-05,24583
20191027T00-05,25449
20191026T23-05,26241
20191026T22-05,27267
20191026T21-05,28004
20191026T20-05,27949
20191026T19-05,27800
20191026T18-05,27582
20191026T17-05,27586
20191026T16-05,27394
20191026T15-05,27485
20191026T14-05,27785
20191026T13-05,28026
20191026T12-05,28063
20191026T11-05,28297
20191026T10-05,28494
20191026T09-05,28363
20191026T08-05,28004
20191026T07-05,26765
20191026T06-05,25598
20191026T05-05,25045
20191026T04-05,24879
20191026T03-05,24874
20191026T02-05,25083
20191026T01-05,25491
20191026T00-05,26431
20191025T23-05,27285
20191025T22-05,28351
20191025T21-05,28994
20191025T20-05,29010
20191025T19-05,28862
20191025T18-05,28755
20191025T17-05,29016
20191025T16-05,29012
20191025T15-05,29286
20191025T14-05,29682
20191025T13-05,29867
20191025T12-05,30005
20191025T11-05,30377
20191025T10-05,30763
20191025T09-05,31008
20191025T08-05,30986
20191025T07-05,29319
20191025T06-05,26980
20191025T05-05,25808
20191025T04-05,25423
20191025T03-05,25380
20191025T02-05,25506
20191025T01-05,25805
20191024T00-05,25325
20191023T23-05,26769
20191023T22-05,28283
20191023T21-05,29209
20191023T20-05,29508
20191023T19-05,29237
20191023T18-05,29240
20191023T17-05,29336
20191023T16-05,29302
20191023T15-05,29309
20191023T14-05,29265
20191023T13-05,28950
20191023T12-05,28873
20191023T11-05,28837
20191023T10-05,28742
20191023T09-05,28718
20191023T08-05,28648
20191023T07-05,27656
20191023T06-05,25518
20191023T05-05,24308
20191023T04-05,23865
20191023T03-05,23918
20191023T02-05,24153
20191023T01-05,24528
20191023T00-05,25987
20191022T23-05,27333
20191022T22-05,28748
20191022T21-05,29506
20191022T20-05,29689
20191022T19-05,29467
20191022T18-05,29417
20191022T17-05,29601
20191022T16-05,29902
20191022T15-05,29829
20191022T14-05,29757
20191022T13-05,29587
20191022T12-05,29354
20191022T11-05,29414
20191022T10-05,29334
20191022T09-05,29410
20191022T08-05,29479
20191022T07-05,28287
20191022T06-05,25766
20191022T05-05,24529
20191022T04-05,24013
20191022T03-05,23991
20191022T02-05,24191
20191022T01-05,24573
20191022T00-05,25935
20191021T23-05,27353
20191021T22-05,28899
20191021T21-05,29619
20191021T20-05,29869
20191021T19-05,29722
20191021T18-05,29698
20191021T17-05,29886
20191021T16-05,30206
20191021T15-05,30164
20191021T14-05,30070
20191021T13-05,29857
20191021T12-05,29395
20191021T11-05,29214
20191021T10-05,28783
20191021T09-05,28500
20191021T08-05,28304
20191021T07-05,26938
20191021T06-05,24577
20191021T05-05,23398
20191021T04-05,22934
20191021T03-05,22962
20191021T02-05,23228
20191021T01-05,23704
20191021T00-05,25343
20191020T23-05,26844
20191020T22-05,28423
20191020T21-05,29221
20191020T20-05,29521
20191020T19-05,29579
20191020T18-05,29662
20191020T17-05,29407
20191020T16-05,29281
20191020T15-05,28654
20191020T14-05,28064
20191020T13-05,27540
20191020T12-05,26632
20191020T11-05,26112
20191020T10-05,25556
20191020T09-05,24891
20191020T08-05,24293
20191020T07-05,23758
20191020T06-05,22908
20191020T05-05,22640
20191020T04-05,22562
20191020T03-05,22732
20191020T02-05,23049
20191020T01-05,23615
20191020T00-05,25069
20191019T23-05,26285
20191019T22-05,27534
20191019T21-05,28185
20191019T20-05,28374
20191019T19-05,28443
20191019T18-05,28645
20191019T17-05,28718
20191019T16-05,28890
20191019T15-05,28592
20191019T14-05,28351
20191019T13-05,28115
20191019T12-05,27583
20191019T11-05,27240
20191019T10-05,26615
20191019T09-05,25934
20191019T08-05,25409
20191019T07-05,24663
20191019T06-05,23482
20191019T05-05,23013
20191019T04-05,22857
20191019T03-05,23028
20191019T02-05,23409
20191019T01-05,24029
20191019T00-05,25757
20191018T23-05,27128
20191018T22-05,28526
20191018T21-05,29420
20191018T20-05,29902
20191018T19-05,30111
20191018T18-05,30636
20191018T17-05,30999
20191018T16-05,31188
20191018T15-05,30768
20191018T14-05,30349
20191018T13-05,29848
20191018T12-05,29247
20191018T11-05,28923
20191018T10-05,28445
20191018T09-05,28282
20191018T08-05,28174
20191018T07-05,26987
20191018T06-05,24631
20191018T05-05,23514
20191018T04-05,23122
20191018T03-05,23195
20191018T02-05,23501
20191018T01-05,24021
20191018T00-05,25976
20191017T23-05,27576
20191017T22-05,29267
20191017T21-05,30068
20191017T20-05,30211
20191017T19-05,30219
20191017T18-05,30399
20191017T17-05,30647
20191017T16-05,30820
20191017T15-05,30569
20191017T14-05,30294
20191017T13-05,29910
20191017T12-05,29451
20191017T11-05,29350
20191017T10-05,29237
20191017T09-05,29330
20191017T08-05,29476
20191017T07-05,28323
20191017T06-05,25765
20191017T05-05,24496
20191017T04-05,24004
20191017T03-05,23999
20191017T02-05,24183
20191017T01-05,24527
20191017T00-05,26261
20191016T23-05,27765
20191016T22-05,29351
20191016T21-05,30016
20191016T20-05,29994
20191016T19-05,29892
20191016T18-05,29921
20191016T17-05,30117
20191016T16-05,30397
20191016T15-05,30329
20191016T14-05,30307
20191016T13-05,30142
20191016T12-05,29850
20191016T11-05,29786
20191016T10-05,29570
20191016T09-05,29428
20191016T08-05,29370
20191016T07-05,28124
20191016T06-05,25584
20191016T05-05,24355
20191016T04-05,23907
20191016T03-05,23969
20191016T02-05,24211
20191016T01-05,24672
20191016T00-05,24668
20191015T23-05,26118
20191015T22-05,27577
20191015T21-05,28452
20191015T20-05,28652
20191015T19-05,28404
20191015T18-05,28535
20191015T17-05,28748
20191015T16-05,28736
20191015T15-05,28802
20191015T14-05,28779
20191015T13-05,28549
20191015T12-05,28411
20191015T11-05,28233
20191015T10-05,27840
20191015T09-05,27504
20191015T08-05,27190
20191015T07-05,25965
20191015T06-05,23987
20191015T05-05,22968
20191015T04-05,22736
20191015T03-05,22912
