,Day-ahead demand forecast1
20191219T00-05,333
20191218T23-05,349
20191218T22-05,366
20191218T21-05,378
20191218T20-05,379
20191218T19-05,374
20191218T18-05,344
20191218T17-05,327
20191218T16-05,320
20191218T15-05,322
20191218T14-05,327
20191218T13-05,337
20191218T12-05,345
20191218T11-05,354
20191218T10-05,360
20191218T09-05,364
20191218T08-05,361
20191218T07-05,328
20191218T06-05,279
20191218T05-05,252
20191218T04-05,242
20191218T03-05,237
20191218T02-05,236
20191218T01-05,240
20191218T00-05,243
20191217T23-05,264
20191217T22-05,284
20191217T21-05,296
20191217T20-05,303
20191217T19-05,307
20191217T18-05,292
20191217T17-05,283
20191217T16-05,279
20191217T15-05,276
20191217T14-05,277
20191217T13-05,280
20191217T12-05,280
20191217T11-05,276
20191217T10-05,271
20191217T09-05,268
20191217T08-05,266
20191217T07-05,245
20191217T06-05,211
20191217T05-05,197
20191217T04-05,196
20191217T03-05,198
20191217T02-05,205
20191217T01-05,215
20191217T00-05,232
20191216T23-05,257
20191216T22-05,280
20191216T21-05,297
20191216T20-05,308
20191216T19-05,312
20191216T18-05,296
20191216T17-05,287
20191216T16-05,283
20191216T15-05,281
20191216T14-05,283
20191216T13-05,285
20191216T12-05,288
20191216T11-05,292
20191216T10-05,298
20191216T09-05,304
20191216T08-05,306
20191216T07-05,282
20191216T06-05,245
20191216T05-05,226
20191216T04-05,220
20191216T03-05,218
20191216T02-05,220
20191216T01-05,227
20191216T00-05,243
20191215T23-05,262
20191215T22-05,278
20191215T21-05,288
20191215T20-05,293
20191215T19-05,295
20191215T18-05,277
20191215T17-05,262
20191215T16-05,258
20191215T15-05,258
20191215T14-05,261
20191215T13-05,268
20191215T12-05,276
20191215T11-05,289
20191215T10-05,300
20191215T09-05,301
20191215T08-05,287
20191215T07-05,274
20191215T06-05,259
20191215T05-05,250
20191215T04-05,246
20191215T03-05,245
20191215T02-05,246
20191215T01-05,252
20191215T00-05,260
20191214T23-05,274
20191214T22-05,286
20191214T21-05,294
20191214T20-05,297
20191214T19-05,298
20191214T18-05,281
20191214T17-05,268
20191214T16-05,266
20191214T15-05,268
20191214T14-05,274
20191214T13-05,280
20191214T12-05,284
20191214T11-05,286
20191214T10-05,285
20191214T09-05,275
20191214T08-05,260
20191214T07-05,246
20191214T06-05,230
20191214T05-05,221
20191214T04-05,220
20191214T03-05,224
20191214T02-05,231
20191214T01-05,237
20191214T00-05,242
20191213T23-05,260
20191213T22-05,276
20191213T21-05,289
20191213T20-05,298
20191213T19-05,304
20191213T18-05,295
20191213T17-05,289
20191213T16-05,289
20191213T15-05,291
20191213T14-05,294
20191213T13-05,296
20191213T12-05,298
20191213T11-05,301
20191213T10-05,300
20191213T09-05,300
20191213T08-05,298
20191213T07-05,276
20191213T06-05,240
20191213T05-05,223
20191213T04-05,219
20191213T03-05,220
20191213T02-05,226
20191213T01-05,237
20191213T00-05,260
20191212T23-05,284
20191212T22-05,308
20191212T21-05,322
20191212T20-05,330
20191212T19-05,331
20191212T18-05,313
20191212T17-05,300
20191212T16-05,296
20191212T15-05,298
20191212T14-05,304
20191212T13-05,310
20191212T12-05,316
20191212T11-05,322
20191212T10-05,326
20191212T09-05,331
20191212T08-05,333
20191212T07-05,308
20191212T06-05,265
20191212T05-05,245
20191212T04-05,239
20191212T03-05,240
20191212T02-05,247
20191212T01-05,259
20191212T00-05,250
20191211T23-05,273
20191211T22-05,293
20191211T21-05,306
20191211T20-05,314
20191211T19-05,313
20191211T18-05,291
20191211T17-05,278
20191211T16-05,277
20191211T15-05,281
20191211T14-05,283
20191211T13-05,285
20191211T12-05,286
20191211T11-05,285
20191211T10-05,281
20191211T09-05,278
20191211T08-05,272
20191211T07-05,245
20191211T06-05,208
20191211T05-05,193
20191211T04-05,190
20191211T03-05,194
20191211T02-05,204
20191211T01-05,221
20191211T00-05,247
20191210T23-05,271
20191210T22-05,294
20191210T21-05,312
20191210T20-05,325
20191210T19-05,333
20191210T18-05,322
20191210T17-05,320
20191210T16-05,321
20191210T15-05,319
20191210T14-05,319
20191210T13-05,314
20191210T12-05,306
20191210T11-05,295
20191210T10-05,284
20191210T09-05,274
20191210T08-05,270
20191210T07-05,248
20191210T06-05,215
20191210T05-05,201
20191210T04-05,199
20191210T03-05,203
20191210T02-05,212
20191210T01-05,226
20191210T00-05,239
20191209T23-05,263
20191209T22-05,286
20191209T21-05,304
20191209T20-05,317
20191209T19-05,322
20191209T18-05,309
20191209T17-05,302
20191209T16-05,301
20191209T15-05,299
20191209T14-05,299
20191209T13-05,297
20191209T12-05,293
20191209T11-05,286
20191209T10-05,278
20191209T09-05,268
20191209T08-05,262
20191209T07-05,241
20191209T06-05,211
20191209T05-05,198
20191209T04-05,195
20191209T03-05,197
20191209T02-05,205
20191209T01-05,216
20191209T00-05,232
20191208T23-05,251
20191208T22-05,268
20191208T21-05,282
20191208T20-05,290
20191208T19-05,295
20191208T18-05,283
20191208T17-05,272
20191208T16-05,268
20191208T15-05,267
20191208T14-05,266
20191208T13-05,264
20191208T12-05,259
20191208T11-05,256
20191208T10-05,248
20191208T09-05,234
20191208T08-05,219
20191208T07-05,211
20191208T06-05,202
20191208T05-05,199
20191208T04-05,199
20191208T03-05,202
20191208T02-05,208
20191208T01-05,220
20191208T00-05,240
20191207T23-05,253
20191207T22-05,266
20191207T21-05,275
20191207T20-05,280
20191207T19-05,284
20191207T18-05,271
20191207T17-05,260
20191207T16-05,257
20191207T15-05,257
20191207T14-05,262
20191207T13-05,268
20191207T12-05,272
20191207T11-05,272
20191207T10-05,266
20191207T09-05,253
20191207T08-05,239
20191207T07-05,227
20191207T06-05,216
20191207T05-05,209
20191207T04-05,208
20191207T03-05,211
20191207T02-05,218
20191207T01-05,229
20191207T00-05,243
20191206T23-05,258
20191206T22-05,272
20191206T21-05,282
20191206T20-05,289
20191206T19-05,294
20191206T18-05,280
20191206T17-05,272
20191206T16-05,272
20191206T15-05,276
20191206T14-05,280
20191206T13-05,290
20191206T12-05,303
20191206T11-05,319
20191206T10-05,334
20191206T09-05,351
20191206T08-05,359
20191206T07-05,338
20191206T06-05,294
20191206T05-05,270
20191206T04-05,260
20191206T03-05,256
20191206T02-05,256
20191206T01-05,261
20191206T00-05,260
20191205T23-05,277
20191205T22-05,295
20191205T21-05,306
20191205T20-05,311
20191205T19-05,306
20191205T18-05,283
20191205T17-05,271
20191205T16-05,269
20191205T15-05,271
20191205T14-05,277
20191205T13-05,285
20191205T12-05,300
