,Day-ahead demand forecast1
20200107T00-05,1999
20200106T23-05,2114
20200106T22-05,2284
20200106T21-05,2413
20200106T20-05,2457
20200106T19-05,2461
20200106T18-05,2364
20200106T17-05,2110
20200106T16-05,2049
20200106T15-05,2051
20200106T14-05,2077
20200106T13-05,2146
20200106T12-05,2247
20200106T11-05,2362
20200106T10-05,2492
20200106T09-05,2591
20200106T08-05,2665
20200106T07-05,2641
20200106T06-05,2378
20200106T05-05,2104
20200106T04-05,1953
20200106T03-05,1905
20200106T02-05,1876
20200106T01-05,1918
20200106T00-05,1937
20200105T23-05,2061
20200105T22-05,2212
20200105T21-05,2326
20200105T20-05,2364
20200105T19-05,2358
20200105T18-05,2304
20200105T17-05,2110
20200105T16-05,2048
20200105T15-05,2033
20200105T14-05,2038
20200105T13-05,2072
20200105T12-05,2104
20200105T11-05,2106
20200105T10-05,2104
20200105T09-05,2027
20200105T08-05,1852
20200105T07-05,1657
20200105T06-05,1541
20200105T05-05,1483
20200105T04-05,1443
20200105T03-05,1438
20200105T02-05,1459
20200105T01-05,1512
20200105T00-05,1615
20200104T23-05,1732
20200104T22-05,1848
20200104T21-05,1946
20200104T20-05,2026
20200104T19-05,2087
20200104T18-05,2119
20200104T17-05,2024
20200104T16-05,2048
20200104T15-05,2086
20200104T14-05,2137
20200104T13-05,2203
20200104T12-05,2259
20200104T11-05,2257
20200104T10-05,2176
20200104T09-05,2044
20200104T08-05,1872
20200104T07-05,1734
20200104T06-05,1659
20200104T05-05,1623
20200104T04-05,1621
20200104T03-05,1658
20200104T02-05,1716
20200104T01-05,1808
20200104T00-05,1883
20200103T23-05,2062
20200103T22-05,2243
20200103T21-05,2401
20200103T20-05,2510
20200103T19-05,2657
20200103T18-05,2703
20200103T17-05,2635
20200103T16-05,2663
20200103T15-05,2660
20200103T14-05,2616
20200103T13-05,2554
20200103T12-05,2453
20200103T11-05,2342
20200103T10-05,2204
20200103T09-05,2063
20200103T08-05,1954
20200103T07-05,1900
20200103T06-05,1728
20200103T05-05,1552
20200103T04-05,1511
20200103T03-05,1512
20200103T02-05,1557
20200103T01-05,1634
20200103T00-05,1703
20200102T23-05,1889
20200102T22-05,2082
20200102T21-05,2252
20200102T20-05,2364
20200102T19-05,2437
20200102T18-05,2442
20200102T17-05,2280
20200102T16-05,2235
20200102T15-05,2215
20200102T14-05,2168
20200102T13-05,2104
20200102T12-05,2092
20200102T11-05,2065
20200102T10-05,2048
20200102T09-05,2072
20200102T08-05,2087
20200102T07-05,2080
20200102T06-05,1869
20200102T05-05,1649
20200102T04-05,1561
20200102T03-05,1540
20200102T02-05,1549
20200102T01-05,1597
20200102T00-05,1650
20200101T23-05,1776
20200101T22-05,1914
20200101T21-05,2070
20200101T20-05,2126
20200101T19-05,2137
20200101T18-05,2080
20200101T17-05,1955
20200101T16-05,1919
20200101T15-05,1906
20200101T14-05,1894
20200101T13-05,1932
20200101T12-05,1976
20200101T11-05,2009
20200101T10-05,2033
20200101T09-05,2020
20200101T08-05,1918
20200101T07-05,1789
20200101T06-05,1662
20200101T05-05,1574
20200101T04-05,1529
20200101T03-05,1543
20200101T02-05,1562
20200101T01-05,1615
20200101T00-05,1748
20191231T23-05,1872
20191231T22-05,2016
20191231T21-05,2175
20191231T20-05,2256
20191231T19-05,2300
20191231T18-05,2257
20191231T17-05,2090
20191231T16-05,2059
20191231T15-05,2048
20191231T14-05,2050
20191231T13-05,2050
20191231T12-05,2049
20191231T11-05,2026
20191231T10-05,1998
20191231T09-05,1952
20191231T08-05,1907
20191231T07-05,1875
20191231T06-05,1692
20191231T05-05,1527
20191231T04-05,1474
20191231T03-05,1484
20191231T02-05,1531
20191231T01-05,1616
20191231T00-05,1795
20191230T23-05,1979
20191230T22-05,2194
20191230T21-05,2380
20191230T20-05,2509
20191230T19-05,2607
20191230T18-05,2636
20191230T17-05,2488
20191230T16-05,2487
20191230T15-05,2509
20191230T14-05,2517
20191230T13-05,2511
20191230T12-05,2447
20191230T11-05,2368
20191230T10-05,2255
20191230T09-05,2149
20191230T08-05,2063
20191230T07-05,2023
20191230T06-05,1835
20191230T05-05,1645
20191230T04-05,1578
20191230T03-05,1576
20191230T02-05,1614
20191230T01-05,1694
20191230T00-05,1782
20191229T23-05,1962
20191229T22-05,2153
20191229T21-05,2320
20191229T20-05,2431
20191229T19-05,2505
20191229T18-05,2556
20191229T17-05,2474
20191229T16-05,2498
20191229T15-05,2506
20191229T14-05,2485
20191229T13-05,2466
20191229T12-05,2384
20191229T11-05,2258
20191229T10-05,2109
20191229T09-05,1935
20191229T08-05,1738
20191229T07-05,1606
20191229T06-05,1548
20191229T05-05,1516
20191229T04-05,1510
20191229T03-05,1539
20191229T02-05,1592
20191229T01-05,1671
20191229T00-05,1775
20191228T23-05,1919
20191228T22-05,2050
20191228T21-05,2157
20191228T20-05,2245
20191228T19-05,2334
20191228T18-05,2397
20191228T17-05,2327
20191228T16-05,2359
20191228T15-05,2355
20191228T14-05,2352
20191228T13-05,2345
20191228T12-05,2286
20191228T11-05,2187
20191228T10-05,2069
20191228T09-05,1915
20191228T08-05,1721
20191228T07-05,1570
20191228T06-05,1499
20191228T05-05,1469
20191228T04-05,1460
20191228T03-05,1492
20191228T02-05,1536
20191228T01-05,1619
20191228T00-05,1747
20191227T23-05,1902
20191227T22-05,2044
20191227T21-05,2159
20191227T20-05,2251
20191227T19-05,2375
20191227T18-05,2465
20191227T17-05,2344
20191227T16-05,2373
20191227T15-05,2375
20191227T14-05,2362
20191227T13-05,2347
20191227T12-05,2294
20191227T11-05,2223
20191227T10-05,2120
20191227T09-05,2011
20191227T08-05,1906
20191227T07-05,1822
20191227T06-05,1666
20191227T05-05,1520
20191227T04-05,1479
20191227T03-05,1485
20191227T02-05,1532
20191227T01-05,1608
20191227T00-05,1731
20191226T23-05,1919
20191226T22-05,2142
20191226T21-05,2328
20191226T20-05,2451
20191226T19-05,2558
20191226T18-05,2577
20191226T17-05,2407
20191226T16-05,2389
20191226T15-05,2383
20191226T14-05,2347
20191226T13-05,2291
20191226T12-05,2218
20191226T11-05,2148
20191226T10-05,2071
20191226T09-05,2001
20191226T08-05,1946
20191226T07-05,1905
20191226T06-05,1709
20191226T05-05,1514
20191226T04-05,1444
20191226T03-05,1461
20191226T02-05,1488
20191226T01-05,1560
20191226T00-05,1651
20191225T23-05,1776
20191225T22-05,1891
20191225T21-05,1996
20191225T20-05,2071
20191225T19-05,2141
20191225T18-05,2176
20191225T17-05,2138
20191225T16-05,2206
20191225T15-05,2255
20191225T14-05,2265
20191225T13-05,2248
20191225T12-05,2203
20191225T11-05,2117
20191225T10-05,2027
20191225T09-05,1906
20191225T08-05,1745
20191225T07-05,1626
20191225T06-05,1538
20191225T05-05,1501
20191225T04-05,1499
20191225T03-05,1548
20191225T02-05,1607
20191225T01-05,1687
