,Day-ahead demand forecast1
20191219T00-06,20858
20191218T23-06,21289
20191218T22-06,22010
20191218T21-06,22372
20191218T20-06,22270
20191218T19-06,22165
20191218T18-06,21522
20191218T17-06,20116
20191218T16-06,19004
20191218T15-06,18833
20191218T14-06,19184
20191218T13-06,19697
20191218T12-06,20429
20191218T11-06,21282
20191218T10-06,22170
20191218T09-06,23273
20191218T08-06,24459
20191218T07-06,24567
20191218T06-06,23067
20191218T05-06,21578
20191218T04-06,20860
20191218T03-06,20545
20191218T02-06,20409
20191218T01-06,20365
20191218T00-06,20064
20191217T23-06,20680
20191217T22-06,21466
20191217T21-06,22015
20191217T20-06,22162
20191217T19-06,22058
20191217T18-06,21808
20191217T17-06,20788
20191217T16-06,19799
20191217T15-06,19446
20191217T14-06,19432
20191217T13-06,19471
20191217T12-06,19524
20191217T11-06,19580
20191217T10-06,19473
20191217T09-06,19338
20191217T08-06,19054
20191217T07-06,18509
20191217T06-06,16802
20191217T05-06,15277
20191217T04-06,14615
20191217T03-06,14431
20191217T02-06,14497
20191217T01-06,14721
20191217T00-06,14934
20191216T23-06,15777
20191216T22-06,16699
20191216T21-06,17424
20191216T20-06,17911
20191216T19-06,18119
20191216T18-06,18036
20191216T17-06,17229
20191216T16-06,16593
20191216T15-06,16523
20191216T14-06,16659
20191216T13-06,16853
20191216T12-06,16960
20191216T11-06,17078
20191216T10-06,16931
20191216T09-06,16972
20191216T08-06,17109
20191216T07-06,16945
20191216T06-06,15603
20191216T05-06,14313
20191216T04-06,13828
20191216T03-06,13748
20191216T02-06,13846
20191216T01-06,14138
20191216T00-06,14538
20191215T23-06,15306
20191215T22-06,16242
20191215T21-06,17063
20191215T20-06,17488
20191215T19-06,17557
20191215T18-06,17464
20191215T17-06,16896
20191215T16-06,16171
20191215T15-06,16060
20191215T14-06,16248
20191215T13-06,16494
20191215T12-06,16741
20191215T11-06,17180
20191215T10-06,17787
20191215T09-06,18212
20191215T08-06,18030
20191215T07-06,17368
20191215T06-06,16663
20191215T05-06,16174
20191215T04-06,15956
20191215T03-06,15748
20191215T02-06,15735
20191215T01-06,15957
20191215T00-06,16995
20191214T23-06,17581
20191214T22-06,18164
20191214T21-06,18439
20191214T20-06,18480
20191214T19-06,18468
20191214T18-06,18358
20191214T17-06,17584
20191214T16-06,16804
20191214T15-06,16637
20191214T14-06,16821
20191214T13-06,17157
20191214T12-06,17706
20191214T11-06,18099
20191214T10-06,18395
20191214T09-06,18504
20191214T08-06,18054
20191214T07-06,17391
20191214T06-06,16661
20191214T05-06,16159
20191214T04-06,15884
20191214T03-06,15725
20191214T02-06,15789
20191214T01-06,16088
20191214T00-06,16506
20191213T23-06,17459
20191213T22-06,18295
20191213T21-06,18893
20191213T20-06,19225
20191213T19-06,19491
20191213T18-06,19569
20191213T17-06,18865
20191213T16-06,18120
20191213T15-06,18101
20191213T14-06,18335
20191213T13-06,18570
20191213T12-06,18979
20191213T11-06,19336
20191213T10-06,19528
20191213T09-06,19819
20191213T08-06,20076
20191213T07-06,20005
20191213T06-06,18819
20191213T05-06,17638
20191213T04-06,17124
20191213T03-06,16978
20191213T02-06,17082
20191213T01-06,17356
20191213T00-06,17962
