,Day-ahead demand forecast1
20191115T00-07,1190
20191114T23-07,1229
20191114T22-07,1261
20191114T21-07,1231
20191114T20-07,1180
20191114T19-07,1142
20191114T18-07,1095
20191114T17-07,1052
20191114T16-07,1031
20191114T15-07,1025
20191114T14-07,1041
20191114T13-07,1050
20191114T12-07,1073
20191114T11-07,1125
20191114T10-07,1118
20191114T09-07,1011
20191114T08-07,925
20191114T07-07,896
20191114T06-07,886
20191114T05-07,895
20191114T04-07,903
20191114T03-07,979
20191114T02-07,1049
20191114T01-07,1138
20191114T00-07,1236
20191113T23-07,1282
20191113T22-07,1308
20191113T21-07,1267
20191113T20-07,1190
20191113T19-07,1139
20191113T18-07,1100
20191113T17-07,1075
20191113T16-07,1062
20191113T15-07,1052
20191113T14-07,1057
20191113T13-07,1056
20191113T12-07,1067
20191113T11-07,1111
20191113T10-07,1101
20191113T09-07,995
20191113T08-07,902
20191113T07-07,870
20191113T06-07,878
20191113T05-07,896
20191113T04-07,912
20191113T03-07,973
20191113T02-07,1043
20191113T01-07,1124
20191113T00-07,1236
20191112T23-07,1297
20191112T22-07,1319
20191112T21-07,1274
20191112T20-07,1214
20191112T19-07,1171
20191112T18-07,1126
20191112T17-07,1089
20191112T16-07,1058
20191112T15-07,1042
20191112T14-07,1039
20191112T13-07,1050
20191112T12-07,1063
20191112T11-07,1089
20191112T10-07,1065
20191112T09-07,962
20191112T08-07,899
20191112T07-07,880
20191112T06-07,877
20191112T05-07,888
20191112T04-07,933
20191112T03-07,1010
20191112T02-07,1057
20191112T01-07,1179
20191112T00-07,1292
20191111T23-07,1353
20191111T22-07,1412
20191111T21-07,1407
20191111T20-07,1359
20191111T19-07,1314
20191111T18-07,1262
20191111T17-07,1212
20191111T16-07,1174
20191111T15-07,1151
20191111T14-07,1129
20191111T13-07,1103
20191111T12-07,1061
20191111T11-07,1032
20191111T10-07,992
20191111T09-07,934
20191111T08-07,884
20191111T07-07,869
20191111T06-07,872
20191111T05-07,916
20191111T04-07,921
20191111T03-07,1044
20191111T02-07,1061
20191111T01-07,1202
20191111T00-07,1282
20191110T23-07,1314
20191110T22-07,1393
20191110T21-07,1369
20191110T20-07,1319
20191110T19-07,1260
20191110T18-07,1193
20191110T17-07,1150
20191110T16-07,1105
20191110T15-07,1056
20191110T14-07,1048
20191110T13-07,1026
20191110T12-07,1011
20191110T11-07,982
20191110T10-07,958
20191110T09-07,922
20191110T08-07,880
20191110T07-07,867
20191110T06-07,881
20191110T05-07,898
20191110T04-07,950
20191110T03-07,1050
20191110T02-07,1063
20191110T01-07,1133
20191110T00-07,1240
20191109T23-07,1281
20191109T22-07,1313
20191109T21-07,1291
20191109T20-07,1244
20191109T19-07,1188
20191109T18-07,1129
20191109T17-07,1066
20191109T16-07,1045
20191109T15-07,1004
20191109T14-07,1028
20191109T13-07,1017
20191109T12-07,1007
20191109T11-07,978
20191109T10-07,945
20191109T09-07,905
20191109T08-07,877
20191109T07-07,867
20191109T06-07,876
20191109T05-07,911
20191109T04-07,947
20191109T03-07,1035
20191109T02-07,1079
20191109T01-07,1157
20191109T00-07,1260
20191108T23-07,1300
