,Day-ahead demand forecast
20191114T06Z,43553
20191114T05Z,45980
20191114T04Z,48314
20191114T03Z,49672
20191114T02Z,49798
20191114T01Z,49767
20191114T00Z,47638
20191113T23Z,45236
20191113T22Z,44487
20191113T21Z,45317
20191113T20Z,46264
20191113T19Z,47616
20191113T18Z,49367
20191113T17Z,51528
20191113T16Z,53610
20191113T15Z,55655
20191113T14Z,57385
20191113T13Z,56765
20191113T12Z,52949
20191113T11Z,50120
20191113T10Z,48441
20191113T09Z,47661
20191113T08Z,47436
20191113T07Z,47997
20191113T06Z,49750
20191113T05Z,51227
20191113T04Z,53091
20191113T03Z,54038
20191113T02Z,53820
20191113T01Z,52820
20191113T00Z,50361
20191112T23Z,48514
20191112T22Z,47719
20191112T21Z,47908
20191112T20Z,49102
20191112T19Z,50377
20191112T18Z,52221
20191112T17Z,53662
20191112T16Z,55210
20191112T15Z,55837
20191112T14Z,55587
20191112T13Z,54858
20191112T12Z,50160
20191112T11Z,46574
20191112T10Z,45008
20191112T09Z,45463
20191112T08Z,43665
20191112T07Z,44185
20191112T06Z,43118
20191112T05Z,44879
20191112T04Z,46473
20191112T03Z,47836
20191112T02Z,48590
20191112T01Z,48598
20191112T00Z,47116
20191111T23Z,46181
20191111T22Z,45872
20191111T21Z,45848
20191111T20Z,45497
20191111T19Z,44677
20191111T18Z,43839
20191111T17Z,42521
20191111T16Z,41123
20191111T15Z,39957
20191111T14Z,38743
20191111T13Z,37041
20191111T12Z,33908
20191111T11Z,31878
20191111T10Z,31010
20191111T09Z,31036
20191111T08Z,31580
20191111T07Z,32524
20191111T06Z,32237
20191111T05Z,34267
20191111T04Z,36175
20191111T03Z,37614
20191111T02Z,38468
20191111T01Z,38660
20191111T00Z,37400
20191110T23Z,36376
20191110T22Z,36523
20191110T21Z,35921
20191110T20Z,35515
20191110T19Z,35684
20191110T18Z,35553
20191110T17Z,35676
20191110T16Z,35265
20191110T15Z,34609
20191110T14Z,33716
20191110T13Z,32661
20191110T12Z,31743
20191110T11Z,31144
20191110T10Z,30901
20191110T09Z,31137
20191110T08Z,31532
20191110T07Z,32435
20191110T06Z,33483
20191110T05Z,34608
20191110T04Z,35471
20191110T03Z,36387
20191110T02Z,36357
20191110T01Z,36994
20191110T00Z,35724
20191109T23Z,34680
20191109T22Z,34424
20191109T21Z,34723
20191109T20Z,35412
20191109T19Z,36480
20191109T18Z,37796
20191109T17Z,39203
20191109T16Z,39960
20191109T15Z,40211
20191109T14Z,39770
20191109T13Z,38222
20191109T12Z,36598
20191109T11Z,35578
20191109T10Z,34846
20191109T09Z,34699
20191109T08Z,35064
20191109T07Z,35917
20191109T06Z,37514
20191109T05Z,39052
20191109T04Z,40408
20191109T03Z,41336
20191109T02Z,41863
20191109T01Z,42184
20191109T00Z,40736
20191108T23Z,39517
20191108T22Z,39352
20191108T21Z,40122
20191108T20Z,40666
20191108T19Z,41169
20191108T18Z,41875
20191108T17Z,42405
20191108T16Z,42542
20191108T15Z,42268
20191108T14Z,41987
20191108T13Z,40360
20191108T12Z,36751
20191108T11Z,34398
20191108T10Z,33580
20191108T09Z,33443
20191108T08Z,33736
20191108T07Z,34639
20191108T06Z,36591
20191108T05Z,38748
20191108T04Z,40839
20191108T03Z,42512
20191108T02Z,43582
20191108T01Z,44091
20191108T00Z,42963
20191107T23Z,42363
20191107T22Z,42585
20191107T21Z,42522
20191107T20Z,42341
