,Day-ahead demand forecast
20191114T08Z,268
20191114T07Z,284
20191114T06Z,302
20191114T05Z,312
20191114T04Z,315
20191114T03Z,322
20191114T02Z,323
20191114T01Z,307
20191114T00Z,305
20191113T23Z,306
20191113T22Z,302
20191113T21Z,296
20191113T20Z,295
20191113T19Z,295
20191113T18Z,294
20191113T17Z,304
20191113T16Z,303
20191113T15Z,289
20191113T14Z,260
20191113T13Z,246
20191113T12Z,240
20191113T11Z,241
20191113T10Z,244
20191113T09Z,251
20191113T08Z,265
20191113T07Z,279
20191113T06Z,296
20191113T05Z,308
20191113T04Z,316
20191113T03Z,323
20191113T02Z,324
20191113T01Z,314
20191113T00Z,311
20191112T23Z,312
20191112T22Z,306
20191112T21Z,301
20191112T20Z,298
20191112T19Z,298
20191112T18Z,300
20191112T17Z,301
20191112T16Z,299
20191112T15Z,282
20191112T14Z,257
20191112T13Z,243
20191112T12Z,238
20191112T11Z,238
20191112T10Z,240
20191112T09Z,246
20191112T08Z,262
20191112T07Z,275
20191112T06Z,291
20191112T05Z,304
20191112T04Z,311
20191112T03Z,317
20191112T02Z,318
20191112T01Z,308
20191112T00Z,306
20191111T23Z,306
20191111T22Z,300
20191111T21Z,294
20191111T20Z,292
20191111T19Z,292
20191111T18Z,292
20191111T17Z,293
20191111T16Z,292
20191111T15Z,276
20191111T14Z,247
20191111T13Z,229
20191111T12Z,222
20191111T11Z,221
20191111T10Z,223
20191111T09Z,226
20191111T08Z,243
20191111T07Z,256
20191111T06Z,268
20191111T05Z,275
20191111T04Z,279
20191111T03Z,275
20191111T02Z,265
20191111T01Z,251
20191111T00Z,243
20191110T23Z,238
20191110T22Z,233
20191110T21Z,232
20191110T20Z,230
20191110T19Z,230
20191110T18Z,229
20191110T17Z,226
20191110T16Z,222
20191110T15Z,218
20191110T14Z,217
20191110T13Z,215
20191110T12Z,215
20191110T11Z,216
20191110T10Z,222
20191110T09Z,230
20191110T08Z,236
20191110T07Z,249
20191110T06Z,262
20191110T05Z,272
20191110T04Z,278
20191110T03Z,285
20191110T02Z,289
20191110T01Z,267
20191110T00Z,261
20191109T23Z,260
20191109T22Z,258
20191109T21Z,258
20191109T20Z,258
20191109T19Z,257
20191109T18Z,256
20191109T17Z,253
20191109T16Z,248
20191109T15Z,246
20191109T14Z,238
20191109T13Z,231
20191109T12Z,228
20191109T11Z,231
20191109T10Z,235
20191109T09Z,244
20191109T08Z,263
20191109T07Z,278
20191109T06Z,295
20191109T05Z,304
20191109T04Z,311
20191109T03Z,318
