,Day-ahead demand forecast1
20191219T00-08,588
20191218T23-08,633
20191218T22-08,691
20191218T21-08,729
20191218T20-08,754
20191218T19-08,770
20191218T18-08,779
20191218T17-08,756
20191218T16-08,725
20191218T15-08,722
20191218T14-08,723
20191218T13-08,728
20191218T12-08,737
20191218T11-08,747
20191218T10-08,756
20191218T09-08,771
20191218T08-08,779
20191218T07-08,742
20191218T06-08,672
20191218T05-08,614
20191218T04-08,581
20191218T03-08,572
20191218T02-08,573
20191218T01-08,581
20191218T00-08,604
20191217T23-08,649
20191217T22-08,702
20191217T21-08,738
20191217T20-08,757
20191217T19-08,766
20191217T18-08,768
20191217T17-08,736
20191217T16-08,702
20191217T15-08,692
20191217T14-08,695
20191217T13-08,705
20191217T12-08,717
20191217T11-08,729
20191217T10-08,745
20191217T09-08,759
20191217T08-08,766
20191217T07-08,731
20191217T06-08,662
20191217T05-08,604
20191217T04-08,572
20191217T03-08,558
20191217T02-08,560
20191217T01-08,568
20191217T00-08,577
20191216T23-08,614
20191216T22-08,657
20191216T21-08,685
20191216T20-08,702
20191216T19-08,714
20191216T18-08,723
20191216T17-08,699
20191216T16-08,669
20191216T15-08,658
20191216T14-08,662
20191216T13-08,667
20191216T12-08,677
20191216T11-08,685
20191216T10-08,693
20191216T09-08,702
20191216T08-08,703
20191216T07-08,669
20191216T06-08,602
20191216T05-08,543
20191216T04-08,518
20191216T03-08,512
20191216T02-08,518
20191216T01-08,528
20191216T00-08,582
20191215T23-08,613
20191215T22-08,646
20191215T21-08,670
20191215T20-08,684
20191215T19-08,696
20191215T18-08,708
20191215T17-08,691
20191215T16-08,658
20191215T15-08,649
20191215T14-08,656
20191215T13-08,663
20191215T12-08,676
20191215T11-08,681
20191215T10-08,682
20191215T09-08,666
20191215T08-08,634
20191215T07-08,597
20191215T06-08,566
20191215T05-08,541
20191215T04-08,530
20191215T03-08,528
20191215T02-08,536
20191215T01-08,549
20191215T00-08,582
20191214T23-08,613
20191214T22-08,646
20191214T21-08,670
20191214T20-08,684
20191214T19-08,696
20191214T18-08,708
20191214T17-08,691
20191214T16-08,658
20191214T15-08,649
20191214T14-08,656
20191214T13-08,663
