,Day-ahead demand forecast1
20191219T00-05,488795
20191218T23-05,508471
20191218T22-05,525455
20191218T21-05,534827
20191218T20-05,533166
20191218T19-05,521748
20191218T18-05,503038
20191218T17-05,485564
20191218T16-05,476106
20191218T15-05,476262
20191218T14-05,482616
20191218T13-05,492732
20191218T12-05,505389
20191218T11-05,517964
20191218T10-05,526434
20191218T09-05,529079
20191218T08-05,520699
20191218T07-05,496939
20191218T06-05,467474
20191218T05-05,445945
20191218T04-05,436473
20191218T03-05,437064
20191218T02-05,444338
20191218T01-05,455286
20191218T00-05,470573
20191217T23-05,491131
20191217T22-05,509564
20191217T21-05,520628
20191217T20-05,520403
20191217T19-05,511855
20191217T18-05,498554
20191217T17-05,484911
20191217T16-05,477836
20191217T15-05,479311
20191217T14-05,483746
20191217T13-05,489460
20191217T12-05,496878
20191217T11-05,502623
20191217T10-05,503732
20191217T09-05,499062
20191217T08-05,486073
20191217T07-05,460622
20191217T06-05,432869
20191217T05-05,413302
20191217T04-05,406211
20191217T03-05,408475
20191217T02-05,416484
20191217T01-05,427406
20191217T00-05,445105
20191216T23-05,467400
20191216T22-05,488195
20191216T21-05,502335
20191216T20-05,505267
20191216T19-05,501133
20191216T18-05,491136
20191216T17-05,479846
20191216T16-05,472353
20191216T15-05,470875
20191216T14-05,473409
20191216T13-05,477112
20191216T12-05,481785
20191216T11-05,484712
20191216T10-05,483411
20191216T09-05,477684
20191216T08-05,465804
20191216T07-05,442031
20191216T06-05,414486
20191216T05-05,395453
20191216T04-05,387491
20191216T03-05,388309
20191216T02-05,395169
20191216T01-05,404523
20191216T00-05,338469
20191215T23-05,355032
20191215T22-05,367916
20191215T21-05,374988
20191215T20-05,372612
20191215T19-05,365640
20191215T18-05,353504
20191215T17-05,340440
20191215T16-05,335896
20191215T15-05,335813
20191215T14-05,337255
20191215T13-05,339085
20191215T12-05,340558
20191215T11-05,342004
20191215T10-05,340407
20191215T09-05,333932
20191215T08-05,323218
20191215T07-05,311790
20191215T06-05,304594
20191215T05-05,301768
20191215T04-05,302653
20191215T03-05,307322
20191215T02-05,315038
20191215T01-05,327194
20191215T00-05,340588
20191214T23-05,354143
20191214T22-05,363918
20191214T21-05,369438
20191214T20-05,368720
20191214T19-05,363773
20191214T18-05,353745
20191214T17-05,344014
20191214T16-05,341352
20191214T15-05,344372
20191214T14-05,349048
20191214T13-05,354017
20191214T12-05,357621
20191214T11-05,358120
20191214T10-05,354087
20191214T09-05,345598
20191214T08-05,332494
20191214T07-05,319302
20191214T06-05,309691
20191214T05-05,305730
20191214T04-05,306951
20191214T03-05,312549
20191214T02-05,321121
20191214T01-05,332403
20191214T00-05,429451
20191213T23-05,449565
20191213T22-05,467122
20191213T21-05,479686
20191213T20-05,484627
20191213T19-05,484821
20191213T18-05,479721
20191213T17-05,471435
20191213T16-05,466045
20191213T15-05,466534
20191213T14-05,470317
20191213T13-05,476487
20191213T12-05,483676
20191213T11-05,489717
20191213T10-05,492783
20191213T09-05,490929
20191213T08-05,481657
20191213T07-05,460960
20191213T06-05,435718
20191213T05-05,417614
20191213T04-05,410980
20191213T03-05,413160
20191213T02-05,421969
20191213T01-05,435857
20191213T00-05,453194
20191212T23-05,476087
20191212T22-05,495492
20191212T21-05,507657
20191212T20-05,509584
20191212T19-05,502921
20191212T18-05,489281
20191212T17-05,474103
20191212T16-05,464763
20191212T15-05,464385
20191212T14-05,468786
20191212T13-05,476642
20191212T12-05,487529
20191212T11-05,499261
20191212T10-05,508633
20191212T09-05,513152
20191212T08-05,507877
20191212T07-05,486423
20191212T06-05,458901
20191212T05-05,438846
20191212T04-05,430738
20191212T03-05,430365
20191212T02-05,437038
20191212T01-05,448334
20191212T00-05,465935
20191211T23-05,487068
20191211T22-05,505168
20191211T21-05,516199
20191211T20-05,516100
20191211T19-05,507745
20191211T18-05,491890
20191211T17-05,476333
20191211T16-05,467647
20191211T15-05,467335
20191211T14-05,472440
20191211T13-05,480181
20191211T12-05,490154
20191211T11-05,499493
20191211T10-05,504058
20191211T09-05,502922
20191211T08-05,492959
20191211T07-05,469139
20191211T06-05,439981
20191211T05-05,419189
20191211T04-05,410734
20191211T03-05,410859
20191211T02-05,415431
20191211T01-05,429938
20191211T00-05,445584
20191210T23-05,467695
20191210T22-05,486390
20191210T21-05,498869
20191210T20-05,501198
20191210T19-05,496617
20191210T18-05,485248
20191210T17-05,472983
20191210T16-05,466304
20191210T15-05,466196
20191210T14-05,468049
20191210T13-05,470214
20191210T12-05,472087
20191210T11-05,472328
20191210T10-05,467611
20191210T09-05,458687
20191210T08-05,445080
20191210T07-05,420297
20191210T06-05,393402
20191210T05-05,375273
20191210T04-05,369120
20191210T03-05,371948
20191210T02-05,383404
20191210T01-05,396220
20191210T00-05,413301
20191209T23-05,437632
20191209T22-05,458946
20191209T21-05,474327
20191209T20-05,479686
20191209T19-05,478429
20191209T18-05,470999
20191209T17-05,461780
20191209T16-05,455523
20191209T15-05,454535
20191209T14-05,455670
20191209T13-05,457612
20191209T12-05,459373
20191209T11-05,459773
20191209T10-05,455771
20191209T09-05,447996
20191209T08-05,435416
20191209T07-05,412747
20191209T06-05,386907
20191209T05-05,369124
20191209T04-05,362830
20191209T03-05,365081
20191209T02-05,372809
20191209T01-05,385093
20191209T00-05,399019
20191208T23-05,420852
20191208T22-05,438184
20191208T21-05,449906
20191208T20-05,452141
20191208T19-05,447812
20191208T18-05,437449
20191208T17-05,424932
20191208T16-05,415375
20191208T15-05,412659
20191208T14-05,413619
20191208T13-05,415420
20191208T12-05,417692
20191208T11-05,419262
20191208T10-05,418610
20191208T09-05,413787
20191208T08-05,405073
20191208T07-05,393223
20191208T06-05,384265
20191208T05-05,379226
20191208T04-05,378752
20191208T03-05,381804
20191208T02-05,389080
20191208T01-05,398746
20191208T00-05,413383
20191207T23-05,429047
20191207T22-05,441797
20191207T21-05,450466
20191207T20-05,451821
20191207T19-05,448311
20191207T18-05,437361
20191207T17-05,424094
20191207T16-05,416448
20191207T15-05,415862
20191207T14-05,419770
20191207T13-05,425897
20191207T12-05,431751
20191207T11-05,435195
20191207T10-05,435303
20191207T09-05,429309
20191207T08-05,418505
20191207T07-05,403568
20191207T06-05,390296
20191207T05-05,381962
20191207T04-05,379676
20191207T03-05,383225
20191207T02-05,391511
20191207T01-05,404161
20191207T00-05,419440
20191206T23-05,436716
20191206T22-05,452594
20191206T21-05,463898
20191206T20-05,467361
20191206T19-05,466324
20191206T18-05,458860
20191206T17-05,448677
20191206T16-05,442244
20191206T15-05,442257
20191206T14-05,445104
20191206T13-05,449860
20191206T12-05,455486
20191206T11-05,460583
20191206T10-05,462691
20191206T09-05,461991
20191206T08-05,455140
20191206T07-05,434526
20191206T06-05,408511
20191206T05-05,390109
20191206T04-05,383261
20191206T03-05,386015
20191206T02-05,388980
20191206T01-05,401090
20191206T00-05,419842
20191205T23-05,440509
20191205T22-05,458667
20191205T21-05,470480
20191205T20-05,472426
20191205T19-05,468454
20191205T18-05,457131
20191205T17-05,444307
20191205T16-05,436292
20191205T15-05,435477
20191205T14-05,438527
20191205T13-05,444270
20191205T12-05,452098
20191205T11-05,460239
20191205T10-05,466909
20191205T09-05,471005
20191205T08-05,466968
20191205T07-05,446067
20191205T06-05,418126
20191205T05-05,387958
20191205T04-05,400053
20191205T03-05,391090
20191205T02-05,398104
20191205T01-05,410074
20191205T00-05,427433
20191204T23-05,447665
20191204T22-05,466469
20191204T21-05,478595
20191204T20-05,480937
20191204T19-05,477115
20191204T18-05,466144
20191204T17-05,453641
20191204T16-05,446106
20191204T15-05,446036
20191204T14-05,449284
20191204T13-05,455301
20191204T12-05,462905
20191204T11-05,471456
20191204T10-05,478653
20191204T09-05,482776
20191204T08-05,477879
20191204T07-05,456642
20191204T06-05,429730
20191204T05-05,410161
20191204T04-05,402517
20191204T03-05,403850
20191204T02-05,410425
20191204T01-05,420856
20191204T00-05,438556
20191203T23-05,458477
20191203T22-05,477230
20191203T21-05,489042
20191203T20-05,490506
20191203T19-05,484802
20191203T18-05,472503
20191203T17-05,458028
20191203T16-05,449805
20191203T15-05,450002
20191203T14-05,454714
20191203T13-05,462005
20191203T12-05,472301
20191203T11-05,483028
20191203T10-05,491561
20191203T09-05,495134
20191203T08-05,489078
20191203T07-05,466444
20191203T06-05,438170
20191203T05-05,418247
20191203T04-05,409494
20191203T03-05,409946
20191203T02-05,416475
20191203T01-05,427576
20191203T00-05,443290
20191202T23-05,462744
20191202T22-05,481165
20191202T21-05,493173
20191202T20-05,495401
20191202T19-05,490453
20191202T18-05,477414
20191202T17-05,464693
20191202T16-05,457209
20191202T15-05,458176
20191202T14-05,462521
20191202T13-05,468209
20191202T12-05,474604
20191202T11-05,479684
20191202T10-05,480054
20191202T09-05,474927
20191202T08-05,463006
20191202T07-05,436958
20191202T06-05,407908
20191202T05-05,386129
20191202T04-05,376196
20191202T03-05,375088
20191202T02-05,380710
20191202T01-05,388436
20191202T00-05,401900
20191201T23-05,418869
20191201T22-05,433773
20191201T21-05,443302
20191201T20-05,443566
20191201T19-05,438918
20191201T18-05,427830
20191201T17-05,416248
20191201T16-05,407604
20191201T15-05,405665
20191201T14-05,405421
20191201T13-05,406340
20191201T12-05,406399
20191201T11-05,404661
20191201T10-05,399575
20191201T09-05,388540
20191201T08-05,373955
20191201T07-05,360904
20191201T06-05,352284
20191201T05-05,347604
20191201T04-05,347759
20191201T03-05,351755
20191201T02-05,359881
20191201T01-05,371150
20191201T00-05,386243
20191130T23-05,400759
20191130T22-05,414969
20191130T21-05,424920
20191130T20-05,428306
20191130T19-05,429480
20191130T18-05,425601
20191130T17-05,417798
20191130T16-05,410507
20191130T15-05,408208
20191130T14-05,408734
20191130T13-05,410627
20191130T12-05,412513
20191130T11-05,410968
20191130T10-05,404544
20191130T09-05,393922
20191130T08-05,381002
20191130T07-05,368546
20191130T06-05,359011
20191130T05-05,353845
20191130T04-05,353369
20191130T03-05,357161
20191130T02-05,364461
20191130T01-05,375990
20191130T00-05,391457
20191129T23-05,404488
20191129T22-05,417787
20191129T21-05,426454
20191129T20-05,428132
20191129T19-05,425945
20191129T18-05,417607
20191129T17-05,407598
20191129T16-05,400666
20191129T15-05,399252
20191129T14-05,402016
20191129T13-05,406377
20191129T12-05,408647
20191129T11-05,409267
20191129T10-05,406370
20191129T09-05,399732
20191129T08-05,390134
20191129T07-05,378561
20191129T06-05,366133
20191129T05-05,357329
20191129T04-05,353099
20191129T03-05,355757
20191129T02-05,361076
20191129T01-05,368953
20191129T00-05,380625
20191128T23-05,393412
20191128T22-05,402528
20191128T21-05,407965
20191128T20-05,408066
20191128T19-05,405561
20191128T18-05,398983
20191128T17-05,395379
20191128T16-05,395568
20191128T15-05,400730
20191128T14-05,408884
20191128T13-05,418674
20191128T12-05,425818
20191128T11-05,426246
20191128T10-05,419878
20191128T09-05,408511
20191128T08-05,394207
20191128T07-05,381464
20191128T06-05,371353
20191128T05-05,365272
20191128T04-05,364688
20191128T03-05,369019
20191128T02-05,378423
20191128T01-05,391043
20191128T00-05,409406
20191127T23-05,422397
20191127T22-05,440685
20191127T21-05,453711
20191127T20-05,458363
20191127T19-05,456723
20191127T18-05,449875
20191127T17-05,441472
20191127T16-05,436118
20191127T15-05,435525
20191127T14-05,437095
20191127T13-05,439361
20191127T12-05,441999
20191127T11-05,443895
20191127T10-05,440630
20191127T09-05,435437
20191127T08-05,424846
20191127T07-05,405593
20191127T06-05,382012
20191127T05-05,364533
20191127T04-05,358384
20191127T03-05,360728
20191127T02-05,367688
20191127T01-05,379295
20191127T00-05,398124
20191126T23-05,418533
20191126T22-05,437866
20191126T21-05,452459
20191126T20-05,457194
20191126T19-05,456127
20191126T18-05,448608
20191126T17-05,438843
20191126T16-05,431636
20191126T15-05,429566
20191126T14-05,430416
20191126T13-05,432928
20191126T12-05,436696
