,Day-ahead demand forecast1
20191219T00-07,792
20191218T23-07,819
20191218T22-07,864
20191218T21-07,892
20191218T20-07,903
20191218T19-07,888
20191218T18-07,857
20191218T17-07,757
20191218T16-07,709
20191218T15-07,698
20191218T14-07,703
20191218T13-07,708
20191218T12-07,751
20191218T11-07,783
20191218T10-07,812
20191218T09-07,876
20191218T08-07,902
20191218T07-07,869
20191218T06-07,809
20191218T05-07,749
20191218T04-07,733
20191218T03-07,730
20191218T02-07,712
20191218T01-07,659
20191218T00-07,661
20191217T23-07,715
20191217T22-07,752
20191217T21-07,773
20191217T20-07,781
20191217T19-07,788
20191217T18-07,752
20191217T17-07,660
20191217T16-07,618
20191217T15-07,588
20191217T14-07,592
20191217T13-07,608
20191217T12-07,616
20191217T11-07,650
20191217T10-07,676
20191217T09-07,741
20191217T08-07,801
20191217T07-07,746
20191217T06-07,700
20191217T05-07,657
20191217T04-07,621
20191217T03-07,620
20191217T02-07,615
20191217T01-07,632
20191217T00-07,664
20191216T23-07,685
20191216T22-07,722
20191216T21-07,764
20191216T20-07,769
20191216T19-07,791
20191216T18-07,752
20191216T17-07,696
20191216T16-07,664
20191216T15-07,650
20191216T14-07,650
20191216T13-07,644
20191216T12-07,661
20191216T11-07,666
20191216T10-07,709
20191216T09-07,726
20191216T08-07,740
20191216T07-07,713
20191216T06-07,646
20191216T05-07,610
20191216T04-07,593
20191216T03-07,581
20191216T02-07,587
20191216T01-07,602
20191216T00-07,623
20191215T23-07,643
20191215T22-07,687
20191215T21-07,727
20191215T20-07,739
20191215T19-07,750
20191215T18-07,731
20191215T17-07,677
20191215T16-07,648
20191215T15-07,630
20191215T14-07,639
20191215T13-07,645
20191215T12-07,655
20191215T11-07,665
20191215T10-07,658
20191215T09-07,665
20191215T08-07,635
20191215T07-07,618
20191215T06-07,587
20191215T05-07,563
20191215T04-07,561
20191215T03-07,568
20191215T02-07,572
20191215T01-07,584
20191215T00-07,607
20191214T23-07,650
20191214T22-07,689
20191214T21-07,704
20191214T20-07,718
20191214T19-07,735
