,Day-ahead demand forecast
20191114T07Z,97
20191114T06Z,103
20191114T05Z,108
20191114T04Z,112
20191114T03Z,113
20191114T02Z,113
20191114T01Z,111
20191114T00Z,107
20191113T23Z,104
20191113T22Z,104
20191113T21Z,105
20191113T20Z,106
20191113T19Z,107
20191113T18Z,110
20191113T17Z,111
20191113T16Z,112
20191113T15Z,110
20191113T14Z,102
20191113T13Z,95
20191113T12Z,91
20191113T11Z,90
20191113T10Z,90
20191113T09Z,91
20191113T08Z,92
20191113T07Z,91
20191113T06Z,98
20191113T05Z,104
20191113T04Z,107
20191113T03Z,108
20191113T02Z,109
20191113T01Z,107
20191113T00Z,102
20191112T23Z,99
20191112T22Z,100
20191112T21Z,100
20191112T20Z,102
20191112T19Z,103
20191112T18Z,105
20191112T17Z,106
20191112T16Z,107
20191112T15Z,105
20191112T14Z,98
20191112T13Z,91
20191112T12Z,87
20191112T11Z,86
20191112T10Z,86
20191112T09Z,87
20191112T08Z,89
20191112T07Z,93
20191112T06Z,101
20191112T05Z,106
20191112T04Z,110
20191112T03Z,111
20191112T02Z,112
20191112T01Z,109
20191112T00Z,105
20191111T23Z,102
20191111T22Z,102
20191111T21Z,103
20191111T20Z,104
20191111T19Z,105
20191111T18Z,108
20191111T17Z,109
20191111T16Z,110
20191111T15Z,108
20191111T14Z,100
20191111T13Z,93
20191111T12Z,89
20191111T11Z,89
20191111T10Z,88
20191111T09Z,90
20191111T08Z,91
20191111T07Z,95
20191111T06Z,100
20191111T05Z,103
20191111T04Z,107
20191111T03Z,109
20191111T02Z,109
20191111T01Z,105
20191111T00Z,100
20191110T23Z,99
20191110T22Z,99
20191110T21Z,100
20191110T20Z,101
20191110T19Z,103
20191110T18Z,104
20191110T17Z,103
20191110T16Z,101
20191110T15Z,98
20191110T14Z,94
20191110T13Z,91
20191110T12Z,89
20191110T11Z,88
20191110T10Z,88
20191110T09Z,89
20191110T08Z,90
20191110T07Z,94
20191110T06Z,96
20191110T05Z,99
20191110T04Z,102
20191110T03Z,104
20191110T02Z,104
20191110T01Z,101
20191110T00Z,96
20191109T23Z,95
20191109T22Z,94
20191109T21Z,95
20191109T20Z,96
20191109T19Z,98
20191109T18Z,99
20191109T17Z,99
20191109T16Z,97
20191109T15Z,93
20191109T14Z,90
20191109T13Z,87
20191109T12Z,85
20191109T11Z,85
20191109T10Z,84
20191109T09Z,85
20191109T08Z,86
20191109T07Z,90
20191109T06Z,92
20191109T05Z,97
20191109T04Z,101
20191109T03Z,102
20191109T02Z,102
20191109T01Z,100
20191109T00Z,96
20191108T23Z,93
20191108T22Z,93
20191108T21Z,94
20191108T20Z,95
20191108T19Z,96
20191108T18Z,99
20191108T17Z,100
20191108T16Z,100
20191108T15Z,98
20191108T14Z,92
20191108T13Z,85
20191108T12Z,81
20191108T11Z,81
20191108T10Z,80
20191108T09Z,82
20191108T08Z,83
20191108T07Z,87
20191108T06Z,97
20191108T05Z,103
20191108T04Z,106
20191108T03Z,107
20191108T02Z,108
20191108T01Z,106
20191108T00Z,101
20191107T23Z,98
20191107T22Z,99
20191107T21Z,99
20191107T20Z,101
20191107T19Z,102
20191107T18Z,104
20191107T17Z,105
20191107T16Z,106
20191107T15Z,104
20191107T14Z,97
20191107T13Z,90
20191107T12Z,86
20191107T11Z,86
20191107T10Z,85
20191107T09Z,86
20191107T08Z,88
20191107T07Z,91
20191107T06Z,98
20191107T05Z,104
20191107T04Z,107
20191107T03Z,108
20191107T02Z,109
20191107T01Z,107
20191107T00Z,102
20191106T23Z,99
20191106T22Z,100
20191106T21Z,100
20191106T20Z,102
20191106T19Z,103
20191106T18Z,105
20191106T17Z,106
20191106T16Z,107
20191106T15Z,105
20191106T14Z,98
20191106T13Z,91
20191106T12Z,87
20191106T11Z,86
20191106T10Z,86
20191106T09Z,87
20191106T08Z,89
20191106T07Z,93
20191106T06Z,94
20191106T05Z,99
20191106T04Z,103
20191106T03Z,104
20191106T02Z,104
20191106T01Z,102
20191106T00Z,98
20191105T23Z,95
20191105T22Z,95
20191105T21Z,96
20191105T20Z,97
20191105T19Z,98
20191105T18Z,101
20191105T17Z,101
20191105T16Z,102
20191105T15Z,100
20191105T14Z,93
20191105T13Z,87
20191105T12Z,83
20191105T11Z,83
20191105T10Z,82
20191105T09Z,83
20191105T08Z,85
20191105T07Z,89
20191105T06Z,92
20191105T05Z,97
20191105T04Z,101
20191105T03Z,102
20191105T02Z,102
20191105T01Z,100
20191105T00Z,96
20191104T23Z,93
20191104T22Z,93
20191104T21Z,94
20191104T20Z,95
20191104T19Z,96
20191104T18Z,99
20191104T17Z,100
20191104T16Z,100
20191104T15Z,98
20191104T14Z,92
20191104T13Z,85
20191104T12Z,81
20191104T11Z,81
20191104T10Z,80
20191104T09Z,82
20191104T08Z,83
20191104T07Z,87
20191104T06Z,92
20191104T05Z,94
20191104T04Z,98
20191104T03Z,99
20191104T02Z,99
20191104T01Z,96
20191104T00Z,92
20191103T23Z,90
20191103T22Z,90
20191103T21Z,91
20191103T20Z,92
20191103T19Z,94
20191103T18Z,94
20191103T17Z,94
20191103T16Z,92
20191103T15Z,89
20191103T14Z,85
20191103T13Z,83
20191103T12Z,81
20191103T11Z,81
20191103T10Z,80
20191103T09Z,81
20191103T08Z,81
20191103T07Z,83
20191103T06Z,86
20191103T05Z,91
20191103T04Z,93
