,Demand1
20191114T10-06,
20191114T09-06,3284
20191114T08-06,3488
20191114T07-06,3523
20191114T06-06,3291
20191114T05-06,3132
20191114T04-06,3018
20191114T03-06,3009
20191114T02-06,2969
20191114T01-06,2967
20191114T00-06,3000
20191113T23-06,3108
20191113T22-06,3267
20191113T21-06,3365
20191113T20-06,3394
20191113T19-06,3414
20191113T18-06,3312
20191113T17-06,3108
20191113T16-06,2961
20191113T15-06,2945
20191113T14-06,2975
20191113T13-06,3074
20191113T12-06,3251
20191113T11-06,3456
20191113T10-06,3637
20191113T09-06,3880
20191113T08-06,4172
20191113T07-06,4283
20191113T06-06,4023
20191113T05-06,3818
20191113T04-06,3734
20191113T03-06,3693
20191113T02-06,3674
20191113T01-06,3724
20191113T00-06,3753
20191112T23-06,3808
20191112T22-06,4010
20191112T21-06,4060
20191112T20-06,4080
20191112T19-06,3998
20191112T18-06,3862
20191112T17-06,3504
20191112T16-06,3307
20191112T15-06,3288
20191112T14-06,3356
20191112T13-06,3423
20191112T12-06,3625
20191112T11-06,3765
20191112T10-06,3956
20191112T09-06,4124
20191112T08-06,4317
20191112T07-06,4380
20191112T06-06,4121
20191112T05-06,3933
20191112T04-06,3831
20191112T03-06,3763
20191112T02-06,3719
20191112T01-06,3693
20191112T00-06,3756
20191111T23-06,3788
20191111T22-06,3929
20191111T21-06,4020
20191111T20-06,4068
20191111T19-06,4051
20191111T18-06,4041
20191111T17-06,3802
20191111T16-06,3670
20191111T15-06,3625
20191111T14-06,3551
20191111T13-06,3450
20191111T12-06,3415
20191111T11-06,3270
20191111T10-06,3094
20191111T09-06,3019
20191111T08-06,2936
20191111T07-06,2772
20191111T06-06,2480
20191111T05-06,2237
20191111T04-06,2166
20191111T03-06,2119
20191111T02-06,2105
20191111T01-06,2082
20191111T00-06,2144
20191110T23-06,2241
20191110T22-06,2341
20191110T21-06,2430
20191110T20-06,2509
20191110T19-06,2489
20191110T18-06,2417
20191110T17-06,2205
20191110T16-06,2122
20191110T15-06,2082
20191110T14-06,2105
20191110T13-06,2159
20191110T12-06,2190
20191110T11-06,2269
20191110T10-06,2421
20191110T09-06,2521
20191110T08-06,2551
20191110T07-06,2457
20191110T06-06,2367
20191110T05-06,2275
20191110T04-06,2236
20191110T03-06,2195
20191110T02-06,2213
20191110T01-06,2235
20191110T00-06,2232
20191109T23-06,2232
20191109T22-06,2358
20191109T21-06,2515
20191109T20-06,2513
20191109T19-06,2504
20191109T18-06,2386
20191109T17-06,2198
20191109T16-06,2147
20191109T15-06,2137
