,Demand1
20191218T08-08,1869
20191218T07-08,1792
20191218T06-08,1629
20191218T05-08,1485
20191218T04-08,1442
20191218T03-08,1431
20191218T02-08,1439
20191218T01-08,1468
20191218T00-08,1503
20191217T23-08,1607
20191217T22-08,1724
20191217T21-08,1813
20191217T20-08,1849
20191217T19-08,1905
20191217T18-08,1915
20191217T17-08,1895
20191217T16-08,1800
20191217T15-08,1796
20191217T14-08,1797
20191217T13-08,1813
20191217T12-08,1833
20191217T11-08,1844
20191217T10-08,1877
20191217T09-08,1895
20191217T08-08,1918
20191217T07-08,1829
20191217T06-08,1657
20191217T05-08,1512
20191217T04-08,1439
20191217T03-08,1431
20191217T02-08,1428
20191217T01-08,1459
20191217T00-08,1504
20191216T23-08,1599
20191216T22-08,1706
20191216T21-08,1798
20191216T20-08,1856
20191216T19-08,1890
20191216T18-08,1919
20191216T17-08,1868
20191216T16-08,1780
20191216T15-08,1746
20191216T14-08,1766
20191216T13-08,1778
20191216T12-08,1808
20191216T11-08,1825
20191216T10-08,1868
20191216T09-08,1877
20191216T08-08,1885
20191216T07-08,1797
20191216T06-08,1621
20191216T05-08,1479
20191216T04-08,1424
20191216T03-08,1403
20191216T02-08,1407
20191216T01-08,1436
20191216T00-08,1481
20191215T23-08,1560
20191215T22-08,1686
20191215T21-08,1754
20191215T20-08,1804
20191215T19-08,1842
20191215T18-08,1865
20191215T17-08,1825
20191215T16-08,1730
20191215T15-08,1700
20191215T14-08,1704
20191215T13-08,1706
20191215T12-08,1712
20191215T11-08,1711
20191215T10-08,1701
20191215T09-08,1658
20191215T08-08,1575
20191215T07-08,1493
20191215T06-08,1426
20191215T05-08,1376
20191215T04-08,1352
20191215T03-08,1352
20191215T02-08,1358
20191215T01-08,1382
20191215T00-08,1431
20191214T23-08,1498
20191214T22-08,1580
20191214T21-08,1644
20191214T20-08,1678
20191214T19-08,1719
20191214T18-08,1745
20191214T17-08,1745
20191214T16-08,1691
20191214T15-08,1658
20191214T14-08,1666
20191214T13-08,1689
20191214T12-08,1695
20191214T11-08,1701
20191214T10-08,1684
20191214T09-08,1634
20191214T08-08,1574
20191214T07-08,1489
20191214T06-08,1415
20191214T05-08,1353
20191214T04-08,1330
20191214T03-08,1329
20191214T02-08,1342
20191214T01-08,1369
20191214T00-08,1419
20191213T23-08,1505
20191213T22-08,1581
20191213T21-08,1641
20191213T20-08,1693
20191213T19-08,1726
20191213T18-08,1760
20191213T17-08,1741
20191213T16-08,1664
20191213T15-08,1643
20191213T14-08,1660
20191213T13-08,1682
20191213T12-08,1707
20191213T11-08,1726
20191213T10-08,1730
20191213T09-08,1750
20191213T08-08,1750
20191213T07-08,1661
20191213T06-08,1516
20191213T05-08,1380
20191213T04-08,1343
20191213T03-08,1330
20191213T02-08,1349
20191213T01-08,1367
20191213T00-08,1428
20191212T23-08,1511
20191212T22-08,1625
20191212T21-08,1703
20191212T20-08,1763
20191212T19-08,1793
20191212T18-08,1795
20191212T17-08,1788
20191212T16-08,1706
20191212T15-08,1677
20191212T14-08,1670
20191212T13-08,1678
20191212T12-08,1702
20191212T11-08,1717
20191212T10-08,1743
20191212T09-08,1766
20191212T08-08,1770
20191212T07-08,1703
20191212T06-08,1542
20191212T05-08,1420
20191212T04-08,1360
20191212T03-08,1353
20191212T02-08,1359
20191212T01-08,1386
20191212T00-08,1442
20191211T23-08,1534
20191211T22-08,1660
20191211T21-08,1747
20191211T20-08,1808
20191211T19-08,1847
20191211T18-08,1881
20191211T17-08,1853
20191211T16-08,1774
20191211T15-08,1732
20191211T14-08,1708
20191211T13-08,1702
20191211T12-08,1715
20191211T11-08,1720
20191211T10-08,1739
20191211T09-08,1744
20191211T08-08,1767
20191211T07-08,1690
20191211T06-08,1580
20191211T05-08,1476
20191211T04-08,1436
20191211T03-08,1420
20191211T02-08,1437
20191211T01-08,1439
20191211T00-08,1499
20191210T23-08,1583
20191210T22-08,1694
20191210T21-08,1776
20191210T20-08,1823
20191210T19-08,1854
20191210T18-08,1867
20191210T17-08,1810
20191210T16-08,1654
20191210T15-08,1608
20191210T14-08,1632
20191210T13-08,1655
20191210T12-08,1683
20191210T11-08,1727
20191210T10-08,1771
20191210T09-08,1843
20191210T08-08,1866
20191210T07-08,1790
20191210T06-08,1625
20191210T05-08,1486
20191210T04-08,1411
20191210T03-08,1401
20191210T02-08,1409
20191210T01-08,1433
20191210T00-08,1485
20191209T23-08,1579
20191209T22-08,1689
20191209T21-08,1790
20191209T20-08,1848
20191209T19-08,1875
20191209T18-08,1898
20191209T17-08,1857
20191209T16-08,1737
20191209T15-08,1724
20191209T14-08,1747
20191209T13-08,1758
20191209T12-08,1790
20191209T11-08,1817
20191209T10-08,1841
20191209T09-08,1863
20191209T08-08,1873
20191209T07-08,1773
20191209T06-08,1604
20191209T05-08,1462
20191209T04-08,1386
20191209T03-08,1367
20191209T02-08,1366
20191209T01-08,1376
20191209T00-08,1423
20191208T23-08,1506
20191208T22-08,1605
20191208T21-08,1684
20191208T20-08,1725
20191208T19-08,1741
20191208T18-08,1740
20191208T17-08,1683
20191208T16-08,1562
20191208T15-08,1519
20191208T14-08,1511
20191208T13-08,1533
20191208T12-08,1550
20191208T11-08,1555
20191208T10-08,1559
20191208T09-08,1525
20191208T08-08,1448
20191208T07-08,1384
20191208T06-08,1300
20191208T05-08,1251
20191208T04-08,1235
20191208T03-08,1220
20191208T02-08,1237
20191208T01-08,1268
20191208T00-08,1320
20191207T23-08,1393
20191207T22-08,1471
20191207T21-08,1531
20191207T20-08,1570
20191207T19-08,1609
20191207T18-08,1642
20191207T17-08,1641
20191207T16-08,1581
20191207T15-08,1561
20191207T14-08,1567
20191207T13-08,1580
20191207T12-08,1592
20191207T11-08,1578
20191207T10-08,1583
20191207T09-08,1553
20191207T08-08,1490
20191207T07-08,1425
20191207T06-08,1354
20191207T05-08,1294
20191207T04-08,1283
20191207T03-08,1280
20191207T02-08,1293
20191207T01-08,1334
20191207T00-08,1376
20191206T23-08,1468
20191206T22-08,1550
20191206T21-08,1619
20191206T20-08,1656
20191206T19-08,1706
20191206T18-08,1740
20191206T17-08,1726
20191206T16-08,1650
20191206T15-08,1649
20191206T14-08,1646
20191206T13-08,1674
20191206T12-08,1686
20191206T11-08,1707
20191206T10-08,1721
20191206T09-08,1722
20191206T08-08,1729
20191206T07-08,1658
20191206T06-08,1500
20191206T05-08,1374
20191206T04-08,1328
20191206T03-08,1312
20191206T02-08,1320
20191206T01-08,1343
20191206T00-08,1391
20191205T23-08,1468
20191205T22-08,1567
20191205T21-08,1652
20191205T20-08,1686
20191205T19-08,1720
20191205T18-08,1748
20191205T17-08,1719
20191205T16-08,1638
20191205T15-08,1610
20191205T14-08,1617
20191205T13-08,1631
20191205T12-08,1651
20191205T11-08,1662
20191205T10-08,1683
20191205T09-08,1692
20191205T08-08,1677
