,Demand
20191114T13Z,2631
20191114T12Z,2419
20191114T11Z,2339
20191114T10Z,2325
20191114T09Z,2374
20191114T08Z,2451
20191114T07Z,2580
20191114T06Z,2796
20191114T05Z,2980
20191114T04Z,3098
20191114T03Z,3163
20191114T02Z,3241
20191114T01Z,3189
20191114T00Z,3004
20191113T23Z,2757
20191113T22Z,2609
20191113T21Z,2486
20191113T20Z,2440
20191113T19Z,2412
20191113T18Z,2464
20191113T17Z,2558
20191113T16Z,2712
20191113T15Z,2907
20191113T14Z,2899
20191113T13Z,2656
20191113T12Z,2453
20191113T11Z,2378
20191113T10Z,2367
20191113T09Z,2420
20191113T08Z,2485
20191113T07Z,2628
20191113T06Z,2835
20191113T05Z,3045
20191113T04Z,3217
20191113T03Z,3268
20191113T02Z,3359
20191113T01Z,3298
20191113T00Z,3148
20191112T23Z,2969
20191112T22Z,2826
20191112T21Z,2694
20191112T20Z,2599
20191112T19Z,2562
20191112T18Z,2582
20191112T17Z,2645
20191112T16Z,2786
20191112T15Z,2910
20191112T14Z,2893
20191112T13Z,2525
20191112T12Z,2433
20191112T11Z,2377
20191112T10Z,2381
20191112T09Z,2441
20191112T08Z,2536
20191112T07Z,2680
20191112T06Z,2906
20191112T05Z,3130
20191112T04Z,3304
20191112T03Z,3412
20191112T02Z,3540
20191112T01Z,3510
20191112T00Z,3379
20191111T23Z,3216
20191111T22Z,3053
20191111T21Z,2772
20191111T20Z,2733
20191111T19Z,2642
20191111T18Z,2618
20191111T17Z,2635
20191111T16Z,2707
20191111T15Z,2771
20191111T14Z,2730
20191111T13Z,2565
20191111T12Z,2417
20191111T11Z,2359
20191111T10Z,2376
20191111T09Z,2421
20191111T08Z,2514
20191111T07Z,2644
20191111T06Z,2860
20191111T05Z,3063
20191111T04Z,3208
20191111T03Z,3305
20191111T02Z,3442
20191111T01Z,3409
20191111T00Z,3304
20191110T23Z,3166
20191110T22Z,2966
20191110T21Z,2780
20191110T20Z,2615
20191110T19Z,2533
20191110T18Z,2470
20191110T17Z,2440
20191110T16Z,2454
20191110T15Z,2480
20191110T14Z,2478
20191110T13Z,2389
20191110T12Z,2327
20191110T11Z,2337
20191110T10Z,2367
20191110T09Z,2427
20191110T08Z,2516
20191110T07Z,2655
20191110T06Z,2831
20191110T05Z,2966
20191110T04Z,3082
20191110T03Z,3187
20191110T02Z,3314
20191110T01Z,3280
20191110T00Z,3141
20191109T23Z,2993
20191109T22Z,2933
20191109T21Z,2719
20191109T20Z,2582
20191109T19Z,2551
20191109T18Z,2518
20191109T17Z,2510
20191109T16Z,2598
20191109T15Z,2602
20191109T14Z,2580
20191109T13Z,2481
20191109T12Z,2406
20191109T11Z,2389
20191109T10Z,2425
20191109T09Z,2499
20191109T08Z,2594
20191109T07Z,2753
20191109T06Z,2950
20191109T05Z,3113
20191109T04Z,3235
20191109T03Z,3300
20191109T02Z,3429
20191109T01Z,3435
20191109T00Z,3345
20191108T23Z,3195
20191108T22Z,3039
20191108T21Z,2879
20191108T20Z,2850
20191108T19Z,2746
20191108T18Z,2672
20191108T17Z,2706
20191108T16Z,2793
20191108T15Z,2924
20191108T14Z,2900
20191108T13Z,2653
20191108T12Z,2475
20191108T11Z,2391
20191108T10Z,2410
20191108T09Z,2469
20191108T08Z,2553
20191108T07Z,2694
20191108T06Z,2929
20191108T05Z,3150
20191108T04Z,3307
20191108T03Z,3378
20191108T02Z,3482
20191108T01Z,3461
20191108T00Z,3310
20191107T23Z,3128
20191107T22Z,2935
20191107T21Z,2770
20191107T20Z,2650
20191107T19Z,2566
20191107T18Z,2563
20191107T17Z,2612
20191107T16Z,2737
20191107T15Z,2878
20191107T14Z,2893
20191107T13Z,2637
20191107T12Z,2445
20191107T11Z,2372
20191107T10Z,2388
20191107T09Z,2433
20191107T08Z,2516
20191107T07Z,2664
20191107T06Z,2898
20191107T05Z,3138
20191107T04Z,3288
20191107T03Z,3366
20191107T02Z,3477
20191107T01Z,3438
20191107T00Z,3280
20191106T23Z,3095
20191106T22Z,2982
20191106T21Z,2910
20191106T20Z,2776
20191106T19Z,2622
20191106T18Z,2625
20191106T17Z,2594
20191106T16Z,2764
20191106T15Z,2900
20191106T14Z,2878
20191106T13Z,2623
20191106T12Z,2448
20191106T11Z,2375
20191106T10Z,2387
20191106T09Z,2441
20191106T08Z,2528
20191106T07Z,2669
20191106T06Z,2896
20191106T05Z,3127
20191106T04Z,3297
20191106T03Z,3367
20191106T02Z,3471
20191106T01Z,3435
20191106T00Z,3278
20191105T23Z,3075
20191105T22Z,2908
20191105T21Z,2719
20191105T20Z,2589
20191105T19Z,2518
20191105T18Z,2510
20191105T17Z,2576
20191105T16Z,2697
20191105T15Z,2868
20191105T14Z,2875
20191105T13Z,2602
20191105T12Z,2408
20191105T11Z,2349
20191105T10Z,2351
20191105T09Z,2383
20191105T08Z,2471
20191105T07Z,2612
20191105T06Z,2814
20191105T05Z,3021
20191105T04Z,3187
20191105T03Z,3261
20191105T02Z,3375
20191105T01Z,3297
20191105T00Z,3129
20191104T23Z,2915
20191104T22Z,2743
20191104T21Z,2593
20191104T20Z,2492
20191104T19Z,2446
20191104T18Z,2454
20191104T17Z,2527
20191104T16Z,2694
20191104T15Z,2848
20191104T14Z,2852
20191104T13Z,2590
20191104T12Z,2387
20191104T11Z,2308
20191104T10Z,2308
20191104T09Z,2321
20191104T08Z,2402
20191104T07Z,2501
20191104T06Z,2699
20191104T05Z,2895
20191104T04Z,3040
20191104T03Z,3171
20191104T02Z,3255
20191104T01Z,3181
20191104T00Z,2982
20191103T23Z,2759
20191103T22Z,2546
20191103T21Z,2407
20191103T20Z,2311
20191103T19Z,2281
20191103T18Z,2286
20191103T17Z,2364
20191103T16Z,2422
20191103T15Z,2485
20191103T14Z,2460
20191103T13Z,2379
20191103T12Z,2318
20191103T11Z,2301
20191103T10Z,2319
20191103T09Z,2369
20191103T08Z,2429
20191103T07Z,2554
20191103T06Z,2703
20191103T05Z,2823
20191103T04Z,2905
20191103T03Z,2988
20191103T02Z,3088
20191103T01Z,3022
20191103T00Z,2852
20191102T23Z,2628
20191102T22Z,2445
20191102T21Z,2311
20191102T20Z,2236
20191102T19Z,2236
20191102T18Z,2286
20191102T17Z,2387
20191102T16Z,2524
20191102T15Z,2633
20191102T14Z,2618
20191102T13Z,2471
20191102T12Z,2383
20191102T11Z,2353
20191102T10Z,2360
20191102T09Z,2404
20191102T08Z,2466
20191102T07Z,2579
20191102T06Z,2723
20191102T05Z,2826
20191102T04Z,2912
20191102T03Z,2952
20191102T02Z,3023
20191102T01Z,2925
20191102T00Z,2711
20191101T23Z,2500
20191101T22Z,2380
20191101T21Z,2291
20191101T20Z,2266
20191101T19Z,2277
20191101T18Z,2361
20191101T17Z,2535
20191101T16Z,2754
20191101T15Z,3010
20191101T14Z,3024
20191101T13Z,2768
20191101T12Z,2567
20191101T11Z,2464
20191101T10Z,2441
20191101T09Z,2459
20191101T08Z,2495
20191101T07Z,2574
20191101T06Z,2739
