,Demand
20191114T13Z,1425
20191114T12Z,1377
20191114T11Z,1372
20191114T10Z,1407
20191114T09Z,1448
20191114T08Z,1531
20191114T07Z,1647
20191114T06Z,1815
20191114T05Z,1911
20191114T04Z,1973
20191114T03Z,2037
20191114T02Z,2046
20191114T01Z,1918
20191114T00Z,1854
20191113T23Z,1847
20191113T22Z,1854
20191113T21Z,1825
20191113T20Z,1793
20191113T19Z,1800
20191113T18Z,1808
20191113T17Z,1811
20191113T16Z,1824
20191113T15Z,1766
20191113T14Z,1570
20191113T13Z,1436
20191113T12Z,1394
20191113T11Z,1387
20191113T10Z,1423
20191113T09Z,1462
20191113T08Z,1533
20191113T07Z,1671
20191113T06Z,1804
20191113T05Z,1910
20191113T04Z,1981
20191113T03Z,2024
20191113T02Z,2044
20191113T01Z,1933
20191113T00Z,1867
20191112T23Z,1846
20191112T22Z,1839
20191112T21Z,1849
20191112T20Z,1827
20191112T19Z,1795
20191112T18Z,1794
20191112T17Z,1795
20191112T16Z,1785
20191112T15Z,1748
20191112T14Z,1554
20191112T13Z,1431
20191112T12Z,1378
20191112T11Z,1373
20191112T10Z,1392
20191112T09Z,1443
20191112T08Z,1518
20191112T07Z,1642
20191112T06Z,1800
20191112T05Z,1891
20191112T04Z,1969
20191112T03Z,2035
20191112T02Z,2077
20191112T01Z,1944
20191112T00Z,1886
20191111T23Z,1863
20191111T22Z,1850
20191111T21Z,1834
20191111T20Z,1816
20191111T19Z,1777
20191111T18Z,1760
20191111T17Z,1720
20191111T16Z,1676
20191111T15Z,1628
20191111T14Z,1513
20191111T13Z,1415
20191111T12Z,1360
20191111T11Z,1352
20191111T10Z,1375
20191111T09Z,1409
20191111T08Z,1482
20191111T07Z,1582
20191111T06Z,1698
20191111T05Z,1773
20191111T04Z,1835
20191111T03Z,1890
20191111T02Z,1894
20191111T01Z,1763
20191111T00Z,1686
20191110T23Z,1645
20191110T22Z,1619
20191110T21Z,1600
20191110T20Z,1578
20191110T19Z,1568
20191110T18Z,1571
20191110T17Z,1540
20191110T16Z,1501
20191110T15Z,1469
20191110T14Z,1407
20191110T13Z,1358
20191110T12Z,1345
20191110T11Z,1354
20191110T10Z,1386
20191110T09Z,1431
20191110T08Z,1500
20191110T07Z,1606
20191110T06Z,1693
20191110T05Z,1764
20191110T04Z,1823
20191110T03Z,1872
20191110T02Z,1894
20191110T01Z,1775
20191110T00Z,1725
20191109T23Z,1689
20191109T22Z,1667
20191109T21Z,1638
20191109T20Z,1644
20191109T19Z,1646
20191109T18Z,1648
20191109T17Z,1628
20191109T16Z,1590
20191109T15Z,1544
20191109T14Z,1464
20191109T13Z,1406
20191109T12Z,1388
20191109T11Z,1402
20191109T10Z,1421
20191109T09Z,1477
20191109T08Z,1561
20191109T07Z,1658
20191109T06Z,1781
20191109T05Z,1854
20191109T04Z,1929
20191109T03Z,1987
20191109T02Z,2039
20191109T01Z,1929
20191109T00Z,2907
20191108T23Z,1857
20191108T22Z,1851
20191108T21Z,1811
20191108T20Z,1798
20191108T19Z,1788
20191108T18Z,1795
