,Demand1
20191218T08-08,9488
20191218T07-08,8260
20191218T06-08,7551
20191218T05-08,6924
20191218T04-08,6639
20191218T03-08,6505
20191218T02-08,6501
20191218T01-08,6559
20191218T00-08,6761
20191217T23-08,7159
20191217T22-08,7685
20191217T21-08,8045
20191217T20-08,8275
20191217T19-08,8437
20191217T18-08,8403
20191217T17-08,8130
20191217T16-08,7822
20191217T15-08,7714
20191217T14-08,7805
20191217T13-08,7976
20191217T12-08,8088
20191217T11-08,8272
20191217T10-08,8499
20191217T09-08,8669
20191217T08-08,8767
20191217T07-08,8421
20191217T06-08,7708
20191217T05-08,7055
20191217T04-08,6715
20191217T03-08,6568
20191217T02-08,6555
20191217T01-08,6934
20191217T00-08,6796
20191216T23-08,7169
20191216T22-08,7654
20191216T21-08,8042
20191216T20-08,8238
20191216T19-08,8243
20191216T18-08,8188
20191216T17-08,7848
20191216T16-08,7392
20191216T15-08,7289
20191216T14-08,7408
20191216T13-08,7573
20191216T12-08,7710
20191216T11-08,7871
20191216T10-08,8171
20191216T09-08,8373
20191216T08-08,8475
20191216T07-08,8132
20191216T06-08,7408
20191216T05-08,6736
20191216T04-08,6419
20191216T03-08,6302
20191216T02-08,6300
20191216T01-08,6359
20191216T00-08,6491
20191215T23-08,6903
20191215T22-08,7421
20191215T21-08,7753
20191215T20-08,7936
20191215T19-08,7956
20191215T18-08,7955
20191215T17-08,7586
20191215T16-08,7183
20191215T15-08,7066
20191215T14-08,7132
20191215T13-08,7262
20191215T12-08,7445
20191215T11-08,7609
20191215T10-08,7712
20191215T09-08,7669
20191215T08-08,7355
20191215T07-08,6962
20191215T06-08,6606
20191215T05-08,6277
20191215T04-08,6148
20191215T03-08,6092
20191215T02-08,6143
20191215T01-08,6245
20191215T00-08,6429
20191214T23-08,6741
20191214T22-08,7077
20191214T21-08,7328
20191214T20-08,7477
20191214T19-08,7521
20191214T18-08,7620
20191214T17-08,7473
20191214T16-08,7174
20191214T15-08,7105
20191214T14-08,7165
20191214T13-08,7258
20191214T12-08,7388
20191214T11-08,7513
20191214T10-08,7580
20191214T09-08,7524
20191214T08-08,7272
20191214T07-08,6885
20191214T06-08,6490
20191214T05-08,6166
20191214T04-08,5993
20191214T03-08,5997
20191214T02-08,6025
20191214T01-08,6127
20191214T00-08,6306
20191213T23-08,6660
20191213T22-08,7020
20191213T21-08,7301
20191213T20-08,7468
20191213T19-08,7573
20191213T18-08,7604
20191213T17-08,7305
20191213T16-08,6907
20191213T15-08,6800
20191213T14-08,6894
20191213T13-08,7008
20191213T12-08,7170
20191213T11-08,7350
20191213T10-08,7514
20191213T09-08,7638
20191213T08-08,7680
20191213T07-08,7349
20191213T06-08,6651
20191213T05-08,6150
20191213T04-08,5945
20191213T03-08,5862
20191213T02-08,5875
20191213T01-08,6017
20191213T00-08,6219
20191212T23-08,6645
20191212T22-08,7176
20191212T21-08,7526
20191212T20-08,7692
20191212T19-08,7786
20191212T18-08,7854
20191212T17-08,7627
20191212T16-08,7245
20191212T15-08,7127
20191212T14-08,7073
20191212T13-08,7135
20191212T12-08,7133
20191212T11-08,7257
20191212T10-08,7315
20191212T09-08,7425
20191212T08-08,7566
20191212T07-08,7264
20191212T06-08,6610
20191212T05-08,6122
20191212T04-08,5846
20191212T03-08,5839
20191212T02-08,5898
20191212T01-08,6019
20191212T00-08,6238
20191211T23-08,6727
20191211T22-08,7289
20191211T21-08,7656
20191211T20-08,7858
20191211T19-08,7985
20191211T18-08,8006
20191211T17-08,7818
20191211T16-08,7451
20191211T15-08,7360
20191211T14-08,7379
20191211T13-08,7319
20191211T12-08,7301
20191211T11-08,7328
20191211T10-08,7468
20191211T09-08,7641
20191211T08-08,7784
20191211T07-08,7496
20191211T06-08,6857
20191211T05-08,6333
20191211T04-08,6136
20191211T03-08,6083
20191211T02-08,6171
20191211T01-08,6327
20191211T00-08,6600
20191210T23-08,7010
20191210T22-08,7520
20191210T21-08,7880
20191210T20-08,8052
20191210T19-08,8169
20191210T18-08,8239
20191210T17-08,8004
20191210T16-08,7672
20191210T15-08,7537
20191210T14-08,7537
20191210T13-08,7539
20191210T12-08,7585
20191210T11-08,7688
20191210T10-08,7850
20191210T09-08,7988
20191210T08-08,8098
20191210T07-08,7813
20191210T06-08,7065
20191210T05-08,6446
20191210T04-08,6143
20191210T03-08,6046
20191210T02-08,6032
20191210T01-08,6134
20191210T00-08,6279
20191209T23-08,6692
20191209T22-08,7193
20191209T21-08,7584
20191209T20-08,7799
20191209T19-08,7957
20191209T18-08,7942
20191209T17-08,7623
20191209T16-08,7184
20191209T15-08,7040
20191209T14-08,7044
20191209T13-08,7106
20191209T12-08,7169
20191209T11-08,7259
20191209T10-08,7462
20191209T09-08,7580
20191209T08-08,7630
20191209T07-08,7254
20191209T06-08,6486
20191209T05-08,5911
20191209T04-08,5587
20191209T03-08,5522
20191209T02-08,5483
20191209T01-08,5571
20191209T00-08,5729
20191208T23-08,6072
20191208T22-08,6517
20191208T21-08,6870
20191208T20-08,7027
20191208T19-08,7149
20191208T18-08,7145
20191208T17-08,6910
20191208T16-08,6501
20191208T15-08,6443
20191208T14-08,6472
20191208T13-08,6529
20191208T12-08,6586
20191208T11-08,6610
20191208T10-08,6773
20191208T09-08,6649
20191208T08-08,6340
20191208T07-08,5977
20191208T06-08,5677
20191208T05-08,5479
20191208T04-08,5380
20191208T03-08,5384
20191208T02-08,5445
20191208T01-08,5587
20191208T00-08,5806
20191207T23-08,6121
20191207T22-08,6452
20191207T21-08,6692
20191207T20-08,6871
20191207T19-08,6988
20191207T18-08,7098
20191207T17-08,7020
20191207T16-08,6797
20191207T15-08,6818
20191207T14-08,6900
20191207T13-08,7001
20191207T12-08,7100
20191207T11-08,7008
20191207T10-08,7140
20191207T09-08,7048
20191207T08-08,6786
20191207T07-08,6499
20191207T06-08,6167
20191207T05-08,5890
20191207T04-08,5801
20191207T03-08,5815
20191207T02-08,5848
20191207T01-08,5954
20191207T00-08,6151
20191206T23-08,6518
20191206T22-08,6873
20191206T21-08,7059
20191206T20-08,7253
20191206T19-08,7392
20191206T18-08,7514
20191206T17-08,7356
20191206T16-08,7061
20191206T15-08,6959
20191206T14-08,6943
20191206T13-08,6995
20191206T12-08,7194
20191206T11-08,7316
20191206T10-08,7507
20191206T09-08,7580
20191206T08-08,7631
20191206T07-08,7478
20191206T06-08,6773
20191206T05-08,6270
20191206T04-08,5980
20191206T03-08,5917
20191206T02-08,5903
20191206T01-08,6061
20191206T00-08,6266
20191205T23-08,6598
20191205T22-08,7069
20191205T21-08,7371
20191205T20-08,7542
20191205T19-08,7605
20191205T18-08,7600
20191205T17-08,7280
20191205T16-08,6900
20191205T15-08,6794
20191205T14-08,6854
20191205T13-08,6957
20191205T12-08,7154
20191205T11-08,7307
20191205T10-08,7555
20191205T09-08,7736
20191205T08-08,7841
20191205T07-08,7486
20191205T06-08,6799
20191205T05-08,6255
20191205T04-08,6003
20191205T03-08,5943
20191205T02-08,5987
20191205T01-08,6092
20191205T00-08,6223
20191204T23-08,6604
20191204T22-08,7077
20191204T21-08,7470
20191204T20-08,7661
20191204T19-08,7719
20191204T18-08,7711
20191204T17-08,7487
20191204T16-08,7123
20191204T15-08,7036
20191204T14-08,7047
20191204T13-08,7166
20191204T12-08,7357
20191204T11-08,7524
20191204T10-08,7646
20191204T09-08,7759
20191204T08-08,7888
20191204T07-08,7552
20191204T06-08,6853
20191204T05-08,6331
20191204T04-08,6066
20191204T03-08,5946
20191204T02-08,6005
20191204T01-08,6060
20191204T00-08,6259
20191203T23-08,6643
20191203T22-08,7139
20191203T21-08,7515
20191203T20-08,7705
20191203T19-08,7834
20191203T18-08,7854
20191203T17-08,7586
20191203T16-08,7245
20191203T15-08,7169
20191203T14-08,7235
20191203T13-08,7341
20191203T12-08,7552
20191203T11-08,7786
20191203T10-08,8035
20191203T09-08,8284
20191203T08-08,8457
20191203T07-08,8137
20191203T06-08,7438
