,Demand1
20191114T10-06,33498
20191114T09-06,33496
20191114T08-06,34112
20191114T07-06,33362
20191114T06-06,31065
20191114T05-06,29565
20191114T04-06,28983
20191114T03-06,28794
20191114T02-06,28802
20191114T01-06,29002
20191114T00-06,29610
20191113T23-06,30688
20191113T22-06,32012
20191113T21-06,32907
20191113T20-06,33281
20191113T19-06,33567
20191113T18-06,32970
20191113T17-06,31779
20191113T16-06,31403
20191113T15-06,31619
20191113T14-06,32075
20191113T13-06,32656
20191113T12-06,33559
20191113T11-06,34496
20191113T10-06,35328
20191113T09-06,36241
20191113T08-06,37083
20191113T07-06,36543
20191113T06-06,34188
20191113T05-06,32823
20191113T04-06,32310
20191113T03-06,32086
20191113T02-06,32177
20191113T01-06,32496
20191113T00-06,33114
20191112T23-06,34212
20191112T22-06,35582
20191112T21-06,36478
20191112T20-06,36746
20191112T19-06,36715
20191112T18-06,35673
20191112T17-06,33775
20191112T16-06,33113
20191112T15-06,33207
20191112T14-06,33784
20191112T13-06,34378
20191112T12-06,35368
20191112T11-06,36246
20191112T10-06,37028
20191112T09-06,37925
20191112T08-06,38569
20191112T07-06,37921
20191112T06-06,35639
20191112T05-06,34062
20191112T04-06,33352
20191112T03-06,33099
20191112T02-06,33012
20191112T01-06,33126
20191112T00-06,33643
20191111T23-06,34680
20191111T22-06,35849
20191111T21-06,36698
20191111T20-06,37060
20191111T19-06,37136
20191111T18-06,36512
20191111T17-06,35080
20191111T16-06,34524
20191111T15-06,34469
20191111T14-06,34442
20191111T13-06,34376
20191111T12-06,34164
20191111T11-06,33863
20191111T10-06,33184
20191111T09-06,32398
20191111T08-06,31494
20191111T07-06,29853
20191111T06-06,27403
20191111T05-06,25912
20191111T04-06,25201
20191111T03-06,24897
20191111T02-06,24905
20191111T01-06,25114
20191111T00-06,25649
20191110T23-06,26491
20191110T22-06,27467
20191110T21-06,28159
20191110T20-06,28664
20191110T19-06,28752
20191110T18-06,28098
20191110T17-06,26862
20191110T16-06,26439
20191110T15-06,26196
20191110T14-06,26183
20191110T13-06,26268
20191110T12-06,26408
20191110T11-06,26564
20191110T10-06,26848
20191110T09-06,26917
20191110T08-06,26537
20191110T07-06,26035
20191110T06-06,25182
20191110T05-06,24644
20191110T04-06,24342
20191110T03-06,24326
20191110T02-06,24452
20191110T01-06,24774
20191110T00-06,25445
20191109T23-06,26172
20191109T22-06,26944
20191109T21-06,27501
20191109T20-06,27793
20191109T19-06,28080
20191109T18-06,27345
20191109T17-06,26378
20191109T16-06,26092
20191109T15-06,26112
20191109T14-06,26470
20191109T13-06,26924
20191109T12-06,27593
20191109T11-06,28368
20191109T10-06,28984
20191109T09-06,29386
20191109T08-06,29458
20191109T07-06,28972
20191109T06-06,28158
20191109T05-06,27504
20191109T04-06,27203
20191109T03-06,27249
20191109T02-06,27409
20191109T01-06,27767
20191109T00-06,28543
20191108T23-06,29482
20191108T22-06,30319
20191108T21-06,30809
20191108T20-06,31101
20191108T19-06,31308
20191108T18-06,30569
20191108T17-06,29535
20191108T16-06,29242
