,Demand
20191114T13Z,19957
20191114T12Z,19490
20191114T11Z,19629
20191114T10Z,19826
20191114T09Z,20772
20191114T08Z,21805
20191114T07Z,23198
20191114T06Z,24804
20191114T05Z,26090
20191114T04Z,26879
20191114T03Z,27636
20191114T02Z,27898
20191114T01Z,26360
20191114T00Z,25385
20191113T23Z,25001
20191113T22Z,24624
20191113T21Z,23999
20191113T20Z,
20191113T19Z,23181
20191113T18Z,23328
20191113T17Z,23643
20191113T16Z,23672
20191113T15Z,22893
20191113T14Z,21260
20191113T13Z,19952
20191113T12Z,19533
20191113T11Z,19638
20191113T10Z,20120
20191113T09Z,20852
20191113T08Z,21826
20191113T07Z,23228
20191113T06Z,24901
20191113T05Z,26124
20191113T04Z,27100
20191113T03Z,27892
20191113T02Z,28301
20191113T01Z,26911
20191113T00Z,25990
20191112T23Z,25385
20191112T22Z,24966
20191112T21Z,24181
20191112T20Z,23705
20191112T19Z,23476
20191112T18Z,23551
20191112T17Z,23579
20191112T16Z,23686
20191112T15Z,22979
20191112T14Z,21167
20191112T13Z,19834
20191112T12Z,19289
20191112T11Z,19408
20191112T10Z,19877
20191112T09Z,20584
20191112T08Z,21622
20191112T07Z,23226
20191112T06Z,24954
20191112T05Z,26122
20191112T04Z,27065
20191112T03Z,27931
20191112T02Z,28303
20191112T01Z,26651
20191112T00Z,25572
20191111T23Z,24534
20191111T22Z,23810
20191111T21Z,23263
20191111T20Z,23057
20191111T19Z,22634
20191111T18Z,22571
20191111T17Z,22783
20191111T16Z,22556
20191111T15Z,21825
20191111T14Z,20527
20191111T13Z,19593
20191111T12Z,19117
20191111T11Z,19189
20191111T10Z,19550
20191111T09Z,20198
20191111T08Z,21024
20191111T07Z,22152
20191111T06Z,23465
20191111T05Z,24477
20191111T04Z,25204
20191111T03Z,25807
20191111T02Z,25854
20191111T01Z,23921
20191111T00Z,22427
20191110T23Z,21525
20191110T22Z,20756
20191110T21Z,20035
20191110T20Z,19597
20191110T19Z,19576
20191110T18Z,19779
20191110T17Z,20122
20191110T16Z,20204
20191110T15Z,19930
20191110T14Z,19527
20191110T13Z,19152
20191110T12Z,19161
20191110T11Z,19433
20191110T10Z,19758
20191110T09Z,20404
20191110T08Z,21397
20191110T07Z,22744
20191110T06Z,24025
20191110T05Z,24990
20191110T04Z,25776
20191110T03Z,26592
20191110T02Z,26956
20191110T01Z,25686
20191110T00Z,24674
20191109T23Z,23739
20191109T22Z,22815
20191109T21Z,22294
20191109T20Z,21871
20191109T19Z,21764
20191109T18Z,21599
20191109T17Z,21402
20191109T16Z,21363
20191109T15Z,20958
20191109T14Z,20292
20191109T13Z,19739
20191109T12Z,19626
20191109T11Z,19973
20191109T10Z,20585
20191109T09Z,21423
20191109T08Z,22511
20191109T07Z,24090
20191109T06Z,25677
20191109T05Z,26702
20191109T04Z,27551
20191109T03Z,28509
20191109T02Z,29052
20191109T01Z,27908
20191109T00Z,27106
20191108T23Z,26172
20191108T22Z,25588
20191108T21Z,24927
20191108T20Z,24472
20191108T19Z,24386
20191108T18Z,24478
20191108T17Z,24416
20191108T16Z,24477
20191108T15Z,23661
20191108T14Z,21781
20191108T13Z,20327
20191108T12Z,19794
20191108T11Z,19894
20191108T10Z,20366
20191108T09Z,21181
20191108T08Z,22235
20191108T07Z,23831
20191108T06Z,25637
20191108T05Z,26989
20191108T04Z,27958
20191108T03Z,28758
20191108T02Z,28997
20191108T01Z,27576
20191108T00Z,26763
20191107T23Z,26039
20191107T22Z,25223
20191107T21Z,24492
20191107T20Z,24123
20191107T19Z,24083
20191107T18Z,24237
20191107T17Z,24420
20191107T16Z,24635
20191107T15Z,23886
20191107T14Z,21829
20191107T13Z,20322
20191107T12Z,19865
20191107T11Z,20274
20191107T10Z,20701
20191107T09Z,21310
20191107T08Z,22103
20191107T07Z,23662
20191107T06Z,25501
20191107T05Z,26819
20191107T04Z,27731
20191107T03Z,28512
20191107T02Z,28743
20191107T01Z,27233
20191107T00Z,26355
20191106T23Z,25630
20191106T22Z,24956
20191106T21Z,24283
20191106T20Z,24047
20191106T19Z,23835
20191106T18Z,24292
20191106T17Z,24351
20191106T16Z,24501
20191106T15Z,23730
20191106T14Z,21778
20191106T13Z,20269
20191106T12Z,19777
20191106T11Z,19836
20191106T10Z,20311
20191106T09Z,21011
20191106T08Z,21920
20191106T07Z,23537
20191106T06Z,25400
20191106T05Z,26790
20191106T04Z,27729
20191106T03Z,28530
20191106T02Z,28861
20191106T01Z,27414
20191106T00Z,26626
20191105T23Z,25571
20191105T22Z,24774
20191105T21Z,23874
20191105T20Z,23628
20191105T19Z,23369
20191105T18Z,23379
20191105T17Z,23672
20191105T16Z,24216
20191105T15Z,23683
20191105T14Z,21658
20191105T13Z,20083
20191105T12Z,19582
20191105T11Z,19590
20191105T10Z,19997
20191105T09Z,20691
20191105T08Z,21637
20191105T07Z,23166
20191105T06Z,24991
20191105T05Z,26519
20191105T04Z,27615
20191105T03Z,28518
20191105T02Z,28724
20191105T01Z,27245
20191105T00Z,26279
20191104T23Z,25287
20191104T22Z,24450
20191104T21Z,23928
20191104T20Z,23293
20191104T19Z,23107
20191104T18Z,22848
20191104T17Z,23349
20191104T16Z,23860
20191104T15Z,23644
20191104T14Z,21536
20191104T13Z,19770
20191104T12Z,19065
20191104T11Z,18985
20191104T10Z,19276
20191104T09Z,19783
20191104T08Z,
20191104T07Z,
20191104T06Z,
20191104T05Z,
20191104T04Z,
20191104T03Z,
20191104T02Z,
20191104T01Z,
20191104T00Z,
20191103T23Z,
20191103T22Z,
20191103T21Z,
20191103T20Z,
20191103T19Z,
20191103T18Z,
20191103T17Z,
20191103T16Z,
20191103T15Z,
20191103T14Z,
20191103T13Z,
20191103T12Z,
20191103T11Z,
20191103T10Z,
20191103T09Z,19326
20191103T08Z,20168
20191103T07Z,21218
20191103T06Z,22521
20191103T05Z,23749
20191103T04Z,24528
20191103T03Z,25202
20191103T02Z,25312
20191103T01Z,23915
20191103T00Z,22623
20191102T23Z,21538
20191102T22Z,20773
20191102T21Z,20252
20191102T20Z,20162
20191102T19Z,20424
20191102T18Z,20863
20191102T17Z,21496
20191102T16Z,21998
20191102T15Z,21924
20191102T14Z,21058
20191102T13Z,20023
20191102T12Z,19459
20191102T11Z,19429
20191102T10Z,19714
20191102T09Z,20263
20191102T08Z,21033
20191102T07Z,
20191102T06Z,
20191102T05Z,
20191102T04Z,
20191102T03Z,
20191102T02Z,
20191102T01Z,
20191102T00Z,
20191101T23Z,
20191101T22Z,
20191101T21Z,
20191101T20Z,
20191101T19Z,
20191101T18Z,
20191101T17Z,
20191101T16Z,
20191101T15Z,
20191101T14Z,
20191101T13Z,
20191101T12Z,
20191101T11Z,
20191101T10Z,
20191101T09Z,
20191101T08Z,
20191101T07Z,21969
20191101T06Z,23483
20191101T05Z,24977
20191101T04Z,25691
20191101T03Z,26187
20191101T02Z,26640
20191101T01Z,25762
20191101T00Z,24565
20191031T23Z,23502
20191031T22Z,22792
20191031T21Z,22403
20191031T20Z,22182
20191031T19Z,22521
20191031T18Z,23183
20191031T17Z,24105
20191031T16Z,25159
20191031T15Z,25627
20191031T14Z,24027
20191031T13Z,21518
20191031T12Z,20118
20191031T11Z,19593
20191031T10Z,19757
20191031T09Z,20154
20191031T08Z,20882
20191031T07Z,21974
20191031T06Z,23643
20191031T05Z,25382
20191031T04Z,26484
20191031T03Z,27218
20191031T02Z,27112
20191031T01Z,25425
20191031T00Z,24079
20191030T23Z,22931
20191030T22Z,22248
20191030T21Z,22035
20191030T20Z,21767
20191030T19Z,22262
20191030T18Z,22652
20191030T17Z,23075
20191030T16Z,24270
20191030T15Z,24739
20191030T14Z,23545
20191030T13Z,21194
20191030T12Z,20113
20191030T11Z,19662
20191030T10Z,19708
20191030T09Z,20020
20191030T08Z,20814
20191030T07Z,21914
20191030T06Z,23439
20191030T05Z,25009
20191030T04Z,26209
20191030T03Z,26994
20191030T02Z,27012
20191030T01Z,25516
20191030T00Z,24132
20191029T23Z,23147
20191029T22Z,22572
20191029T21Z,22422
20191029T20Z,22132
20191029T19Z,22335
20191029T18Z,22488
20191029T17Z,23202
20191029T16Z,23972
20191029T15Z,24392
20191029T14Z,22939
20191029T13Z,20451
20191029T12Z,19399
20191029T11Z,18943
20191029T10Z,18811
20191029T09Z,19341
20191029T08Z,20210
20191029T07Z,21472
20191029T06Z,23210
20191029T05Z,25017
20191029T04Z,26248
20191029T03Z,27161
20191029T02Z,27168
20191029T01Z,25792
20191029T00Z,24445
20191028T23Z,23424
20191028T22Z,22666
20191028T21Z,22110
20191028T20Z,21688
20191028T19Z,21742
20191028T18Z,21939
20191028T17Z,22226
20191028T16Z,22693
20191028T15Z,22916
20191028T14Z,21676
20191028T13Z,19478
20191028T12Z,18126
20191028T11Z,17773
20191028T10Z,17843
20191028T09Z,18199
20191028T08Z,18822
20191028T07Z,19707
20191028T06Z,21029
20191028T05Z,22449
20191028T04Z,23326
20191028T03Z,23919
20191028T02Z,23784
20191028T01Z,22385
20191028T00Z,20754
20191027T23Z,19601
20191027T22Z,18641
20191027T21Z,18247
20191027T20Z,18006
20191027T19Z,17989
20191027T18Z,18112
20191027T17Z,18506
20191027T16Z,18575
20191027T15Z,18696
20191027T14Z,18592
20191027T13Z,18006
20191027T12Z,18104
20191027T11Z,18251
20191027T10Z,18652
20191027T09Z,19234
20191027T08Z,20160
20191027T07Z,21332
20191027T06Z,22719
20191027T05Z,24084
20191027T04Z,25494
20191027T03Z,26927
20191027T02Z,27643
20191027T01Z,27543
20191027T00Z,26958
20191026T23Z,25731
20191026T22Z,24404
20191026T21Z,23324
20191026T20Z,22589
20191026T19Z,22037
20191026T18Z,21822
20191026T17Z,21683
20191026T16Z,21646
20191026T15Z,21542
20191026T14Z,21078
20191026T13Z,20183
20191026T12Z,19768
20191026T11Z,19767
20191026T10Z,20321
20191026T09Z,21137
20191026T08Z,22327
20191026T07Z,23940
20191026T06Z,25983
20191026T05Z,27892
20191026T04Z,29502
20191026T03Z,31060
20191026T02Z,32030
20191026T01Z,32593
20191026T00Z,32535
20191025T23Z,31510
20191025T22Z,30127
20191025T21Z,28658
20191025T20Z,27496
20191025T19Z,27038
20191025T18Z,26518
20191025T17Z,26228
20191025T16Z,25665
20191025T15Z,25512
20191025T14Z,24298
20191025T13Z,22134
20191025T12Z,20927
20191025T11Z,20753
20191025T10Z,21162
20191025T09Z,21954
20191025T08Z,23153
