,Demand
20191114T13Z,10212
20191114T12Z,10281
20191114T11Z,9894
20191114T10Z,9358
20191114T09Z,9165
20191114T08Z,9068
20191114T07Z,8993
20191114T06Z,9005
20191114T05Z,9143
20191114T04Z,9398
20191114T03Z,9671
20191114T02Z,9816
20191114T01Z,9765
20191114T00Z,9573
20191113T23Z,9008
20191113T22Z,8078
20191113T21Z,7572
20191113T20Z,7498
20191113T19Z,7644
20191113T18Z,7960
20191113T17Z,8438
20191113T16Z,8903
20191113T15Z,9412
20191113T14Z,9871
20191113T13Z,10151
20191113T12Z,10114
20191113T11Z,9528
20191113T10Z,8912
20191113T09Z,8558
20191113T08Z,8354
20191113T07Z,8187
20191113T06Z,8085
20191113T05Z,8006
20191113T04Z,8189
20191113T03Z,8432
20191113T02Z,8565
20191113T01Z,8523
20191113T00Z,8524
20191112T23Z,8277
20191112T22Z,7729
20191112T21Z,7329
20191112T20Z,7113
20191112T19Z,6989
20191112T18Z,6736
20191112T17Z,6657
20191112T16Z,6506
20191112T15Z,6444
20191112T14Z,6427
20191112T13Z,6448
20191112T12Z,6269
20191112T11Z,5557
20191112T10Z,5071
20191112T09Z,4912
20191112T08Z,4909
20191112T07Z,4959
20191112T06Z,5105
20191112T05Z,5355
20191112T04Z,5788
20191112T03Z,6205
20191112T02Z,6666
20191112T01Z,6740
20191112T00Z,6763
20191111T23Z,6477
20191111T22Z,5992
20191111T21Z,5846
20191111T20Z,5814
20191111T19Z,5864
20191111T18Z,5966
20191111T17Z,6147
20191111T16Z,6489
20191111T15Z,6779
20191111T14Z,7105
20191111T13Z,7331
20191111T12Z,7119
20191111T11Z,6526
20191111T10Z,6035
20191111T09Z,5773
20191111T08Z,5634
20191111T07Z,5573
20191111T06Z,5595
20191111T05Z,5779
20191111T04Z,5973
20191111T03Z,6197
20191111T02Z,6362
20191111T01Z,6370
20191111T00Z,6381
20191110T23Z,6119
20191110T22Z,5605
20191110T21Z,5353
20191110T20Z,5210
20191110T19Z,5461
20191110T18Z,5638
20191110T17Z,5842
20191110T16Z,6366
20191110T15Z,6757
20191110T14Z,7743
20191110T13Z,8171
20191110T12Z,8002
20191110T11Z,7670
20191110T10Z,7375
20191110T09Z,7188
20191110T08Z,7089
20191110T07Z,6992
20191110T06Z,6971
20191110T05Z,7021
20191110T04Z,7126
20191110T03Z,7207
20191110T02Z,7143
20191110T01Z,7114
20191110T00Z,6963
20191109T23Z,6615
20191109T22Z,6001
20191109T21Z,5748
20191109T20Z,5733
20191109T19Z,5890
20191109T18Z,6180
20191109T17Z,6566
20191109T16Z,7031
20191109T15Z,7533
20191109T14Z,8003
20191109T13Z,8184
20191109T12Z,7939
20191109T11Z,7550
20191109T10Z,7206
20191109T09Z,6965
20191109T08Z,6790
20191109T07Z,6695
20191109T06Z,6692
20191109T05Z,6775
20191109T04Z,6975
20191109T03Z,7157
20191109T02Z,7249
20191109T01Z,7231
20191109T00Z,7208
20191108T23Z,6947
20191108T22Z,6256
20191108T21Z,5925
20191108T20Z,5869
20191108T19Z,5902
20191108T18Z,5991
20191108T17Z,6097
20191108T16Z,6186
20191108T15Z,6151
20191108T14Z,6176
20191108T13Z,6081
20191108T12Z,5836
20191108T11Z,5080
20191108T10Z,4651
20191108T09Z,4501
20191108T08Z,4528
20191108T07Z,4615
20191108T06Z,4785
20191108T05Z,5100
20191108T04Z,5506
20191108T03Z,5990
20191108T02Z,6308
20191108T01Z,6531
20191108T00Z,6643
20191107T23Z,6475
20191107T22Z,6158
20191107T21Z,6043
20191107T20Z,6048
20191107T19Z,6007
20191107T18Z,5904
20191107T17Z,5949
20191107T16Z,6027
20191107T15Z,6202
20191107T14Z,6446
20191107T13Z,6716
20191107T12Z,6597
20191107T11Z,5844
20191107T10Z,5283
20191107T09Z,5045
20191107T08Z,4993
20191107T07Z,4986
20191107T06Z,5049
20191107T05Z,5280
20191107T04Z,5629
20191107T03Z,6062
20191107T02Z,6355
20191107T01Z,6539
20191107T00Z,6645
20191106T23Z,6393
20191106T22Z,5998
20191106T21Z,5900
20191106T20Z,5832
20191106T19Z,5856
20191106T18Z,5854
20191106T17Z,5869
20191106T16Z,5880
20191106T15Z,5920
20191106T14Z,6000
20191106T13Z,6073
20191106T12Z,5907
20191106T11Z,5171
20191106T10Z,4709
20191106T09Z,4563
20191106T08Z,4560
20191106T07Z,4620
20191106T06Z,4785
20191106T05Z,5071
20191106T04Z,5475
20191106T03Z,5931
20191106T02Z,6344
20191106T01Z,6542
20191106T00Z,6685
20191105T23Z,6467
20191105T22Z,6125
20191105T21Z,6107
20191105T20Z,6053
20191105T19Z,6052
20191105T18Z,5981
20191105T17Z,6056
20191105T16Z,6120
20191105T15Z,6115
20191105T14Z,6207
20191105T13Z,6328
20191105T12Z,6240
20191105T11Z,5522
20191105T10Z,5007
20191105T09Z,4838
20191105T08Z,4815
20191105T07Z,4878
20191105T06Z,5002
20191105T05Z,5237
20191105T04Z,5581
20191105T03Z,5959
20191105T02Z,6269
20191105T01Z,6430
20191105T00Z,6540
20191104T23Z,6601
20191104T22Z,6093
20191104T21Z,5909
20191104T20Z,5862
20191104T19Z,5875
20191104T18Z,5946
20191104T17Z,6110
20191104T16Z,6344
20191104T15Z,6739
20191104T14Z,7305
20191104T13Z,7640
20191104T12Z,7613
20191104T11Z,6933
20191104T10Z,6279
