,Demand1
20191218T11-05,812
20191218T10-05,866
20191218T09-05,914
20191218T08-05,918
20191218T07-05,878
20191218T06-05,793
20191218T05-05,740
20191218T04-05,714
20191218T03-05,695
20191218T02-05,682
20191218T01-05,677
20191218T00-05,693
20191217T23-05,715
20191217T22-05,749
20191217T21-05,766
20191217T20-05,767
20191217T19-05,755
20191217T18-05,716
20191217T17-05,657
20191217T16-05,628
20191217T15-05,600
20191217T14-05,598
20191217T13-05,594
20191217T12-05,598
20191217T11-05,597
20191217T10-05,595
20191217T09-05,589
20191217T08-05,585
20191217T07-05,547
20191217T06-05,479
20191217T05-05,447
20191217T04-05,431
20191217T03-05,433
20191217T02-05,440
20191217T01-05,454
20191217T00-05,531
20191216T23-05,541
20191216T22-05,588
20191216T21-05,627
20191216T20-05,638
20191216T19-05,635
20191216T18-05,605
20191216T17-05,575
20191216T16-05,556
20191216T15-05,563
20191216T14-05,577
20191216T13-05,588
20191216T12-05,605
20191216T11-05,632
20191216T10-05,672
20191216T09-05,711
20191216T08-05,697
20191216T07-05,679
20191216T06-05,611
20191216T05-05,566
20191216T04-05,548
20191216T03-05,541
20191216T02-05,536
20191216T01-05,541
20191216T00-05,570
20191215T23-05,602
20191215T22-05,653
20191215T21-05,639
20191215T20-05,649
20191215T19-05,655
20191215T18-05,618
20191215T17-05,568
20191215T16-05,545
20191215T15-05,547
20191215T14-05,561
20191215T13-05,589
20191215T12-05,610
20191215T11-05,655
20191215T10-05,720
20191215T09-05,743
20191215T08-05,713
20191215T07-05,671
20191215T06-05,641
20191215T05-05,620
20191215T04-05,601
20191215T03-05,585
20191215T02-05,575
20191215T01-05,585
20191215T00-05,615
20191214T23-05,644
20191214T22-05,676
20191214T21-05,687
20191214T20-05,703
20191214T19-05,702
20191214T18-05,691
20191214T17-05,649
20191214T16-05,616
20191214T15-05,618
20191214T14-05,616
20191214T13-05,625
20191214T12-05,643
20191214T11-05,648
20191214T10-05,651
20191214T09-05,637
20191214T08-05,602
20191214T07-05,562
20191214T06-05,533
20191214T05-05,515
20191214T04-05,507
20191214T03-05,514
20191214T02-05,526
20191214T01-05,543
20191214T00-05,577
20191213T23-05,633
20191213T22-05,672
20191213T21-05,687
20191213T20-05,704
20191213T19-05,724
20191213T18-05,725
20191213T17-05,713
20191213T16-05,701
20191213T15-05,705
20191213T14-05,721
20191213T13-05,735
20191213T12-05,752
20191213T11-05,766
20191213T10-05,778
20191213T09-05,787
20191213T08-05,773
20191213T07-05,740
20191213T06-05,667
20191213T05-05,651
20191213T04-05,636
20191213T03-05,634
20191213T02-05,645
20191213T01-05,654
20191213T00-05,663
20191212T23-05,712
20191212T22-05,739
20191212T21-05,778
20191212T20-05,795
20191212T19-05,791
20191212T18-05,756
20191212T17-05,681
20191212T16-05,654
20191212T15-05,648
20191212T14-05,668
20191212T13-05,695
20191212T12-05,726
20191212T11-05,780
20191212T10-05,861
20191212T09-05,918
20191212T08-05,944
20191212T07-05,912
20191212T06-05,826
20191212T05-05,776
20191212T04-05,746
20191212T03-05,731
20191212T02-05,724
20191212T01-05,728
20191212T00-05,739
20191211T23-05,775
20191211T22-05,809
20191211T21-05,838
20191211T20-05,841
20191211T19-05,834
20191211T18-05,789
20191211T17-05,716
20191211T16-05,692
20191211T15-05,685
20191211T14-05,713
20191211T13-05,770
20191211T12-05,797
20191211T11-05,819
20191211T10-05,850
20191211T09-05,867
20191211T08-05,859
20191211T07-05,794
20191211T06-05,715
20191211T05-05,673
20191211T04-05,650
20191211T03-05,639
20191211T02-05,630
20191211T01-05,637
20191211T00-05,656
20191210T23-05,695
20191210T22-05,716
20191210T21-05,739
20191210T20-05,744
20191210T19-05,741
20191210T18-05,713
20191210T17-05,676
20191210T16-05,640
20191210T15-05,618
20191210T14-05,620
20191210T13-05,616
20191210T12-05,609
20191210T11-05,605
20191210T10-05,604
20191210T09-05,602
20191210T08-05,599
20191210T07-05,560
20191210T06-05,495
20191210T05-05,459
20191210T04-05,448
20191210T03-05,449
20191210T02-05,453
20191210T01-05,472
20191210T00-05,504
20191209T23-05,564
20191209T22-05,604
20191209T21-05,634
20191209T20-05,646
20191209T19-05,655
20191209T18-05,630
20191209T17-05,579
20191209T16-05,586
20191209T15-05,588
20191209T14-05,598
20191209T13-05,614
20191209T12-05,643
20191209T11-05,656
20191209T10-05,667
20191209T09-05,664
20191209T08-05,656
20191209T07-05,632
20191209T06-05,562
20191209T05-05,530
20191209T04-05,515
20191209T03-05,507
20191209T02-05,508
20191209T01-05,520
20191209T00-05,561
20191208T23-05,608
20191208T22-05,625
20191208T21-05,663
20191208T20-05,671
20191208T19-05,669
20191208T18-05,634
20191208T17-05,568
20191208T16-05,551
20191208T15-05,545
20191208T14-05,563
20191208T13-05,582
20191208T12-05,603
20191208T11-05,641
20191208T10-05,661
20191208T09-05,652
20191208T08-05,615
20191208T07-05,573
20191208T06-05,543
20191208T05-05,521
20191208T04-05,519
20191208T03-05,504
20191208T02-05,513
20191208T01-05,532
20191208T00-05,544
20191207T23-05,571
20191207T22-05,594
20191207T21-05,608
20191207T20-05,606
20191207T19-05,606
20191207T18-05,573
20191207T17-05,537
20191207T16-05,517
20191207T15-05,518
20191207T14-05,530
20191207T13-05,555
20191207T12-05,599
20191207T11-05,646
20191207T10-05,713
20191207T09-05,737
20191207T08-05,711
20191207T07-05,667
20191207T06-05,619
20191207T05-05,591
20191207T04-05,569
20191207T03-05,565
20191207T02-05,565
20191207T01-05,576
20191207T00-05,597
20191206T23-05,633
20191206T22-05,653
20191206T21-05,667
20191206T20-05,673
20191206T19-05,678
20191206T18-05,670
20191206T17-05,625
20191206T16-05,625
20191206T15-05,635
20191206T14-05,648
20191206T13-05,677
20191206T12-05,705
20191206T11-05,714
20191206T10-05,725
20191206T09-05,727
20191206T08-05,732
20191206T07-05,698
20191206T06-05,637
20191206T05-05,602
20191206T04-05,600
20191206T03-05,609
20191206T02-05,612
20191206T01-05,620
20191206T00-05,629
20191205T23-05,654
20191205T22-05,693
20191205T21-05,705
20191205T20-05,702
20191205T19-05,673
20191205T18-05,630
20191205T17-05,582
20191205T16-05,565
20191205T15-05,567
20191205T14-05,578
20191205T13-05,597
20191205T12-05,626
20191205T11-05,661
20191205T10-05,725
20191205T09-05,762
20191205T08-05,749
20191205T07-05,707
20191205T06-05,604
20191205T05-05,589
20191205T04-05,573
20191205T03-05,566
20191205T02-05,567
20191205T01-05,587
20191205T00-05,621
20191204T23-05,645
20191204T22-05,684
20191204T21-05,716
20191204T20-05,726
20191204T19-05,723
20191204T18-05,684
20191204T17-05,627
20191204T16-05,600
20191204T15-05,600
20191204T14-05,613
20191204T13-05,630
20191204T12-05,656
20191204T11-05,703
20191204T10-05,777
20191204T09-05,827
20191204T08-05,840
20191204T07-05,816
20191204T06-05,728
20191204T05-05,690
20191204T04-05,670
20191204T03-05,662
20191204T02-05,664
20191204T01-05,661
20191204T00-05,685
20191203T23-05,721
20191203T22-05,755
20191203T21-05,779
20191203T20-05,800
20191203T19-05,787
20191203T18-05,750
20191203T17-05,677
20191203T16-05,657
20191203T15-05,647
20191203T14-05,683
20191203T13-05,704
20191203T12-05,757
20191203T11-05,775
20191203T10-05,806
20191203T09-05,842
20191203T08-05,834
20191203T07-05,798
20191203T06-05,728
20191203T05-05,688
20191203T04-05,674
20191203T03-05,667
20191203T02-05,667
20191203T01-05,678
20191203T00-05,698
20191202T23-05,737
20191202T22-05,790
20191202T21-05,821
20191202T20-05,840
20191202T19-05,840
20191202T18-05,817
20191202T17-05,748
20191202T16-05,727
20191202T15-05,716
20191202T14-05,710
20191202T13-05,715
20191202T12-05,743
20191202T11-05,764
20191202T10-05,765
20191202T09-05,770
20191202T08-05,742
20191202T07-05,686
20191202T06-05,609
